column,mu,sigma
angular_vel_z,3.804040393086664e-06,0.10291849703538059
linear_vel_x,0.0005299926308589731,0.09841603841017364
linear_vel_y,2.259805353944183e-05,0.03216822736295886
pose_theta,-4.2721564380881154e-05,0.017334747707023562
pose_theta_cos,5.779300191297806e-05,0.016841333585597126
pose_theta_sin,-4.081858517501586e-05,0.01127349201288359
pose_x,-0.00010179347566395527,0.012207160023109894
pose_y,1.5425663294347282e-05,0.012217498788385205
slip_angle,0.0,0.0
steering_angle,9.339844661316003e-05,0.019936607334576834
