s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,-0.683579,0.836759,-2.156178,0.712819,2.947074,-0.979996,1.327306,0.474607
0.099673,-0.598649,0.784731,-2.084423,0.728426,2.913741,-1.004093,1.268627,0.492681
0.199346,-0.510076,0.738956,-2.010848,0.747651,2.879188,-1.003092,1.208008,0.522674
0.299019,-0.418434,0.699939,-1.935450,0.766802,2.844251,-0.992245,1.148905,0.562228
0.398692,-0.323991,0.668007,-1.857833,0.790570,2.809263,-0.929921,1.092507,0.593711
0.498365,-0.227400,0.643631,-1.777674,0.819446,2.776074,-0.809954,1.049743,0.613724
0.598038,-0.129089,0.627214,-1.694276,0.854348,2.746839,-0.626160,1.022821,0.598922
0.697711,-0.029759,0.619222,-1.607229,0.893709,2.724023,-0.329992,1.013561,0.592048
0.797384,0.069871,0.620106,-1.515816,0.941849,2.711922,-0.253613,1.022893,0.591170
0.897057,0.169030,0.630282,-1.421008,0.958781,2.702584,-0.084521,1.050660,0.581054
0.996730,0.266685,0.649867,-1.324308,0.984019,2.699465,-0.081687,1.090874,0.561663
1.096403,0.362048,0.678910,-1.226062,0.984646,2.696447,-0.059306,1.119962,0.533059
1.196076,0.454008,0.717125,-1.127717,0.991263,2.694254,-0.053812,1.157842,0.495034
1.295749,0.541836,0.764254,-1.028932,0.989699,2.692263,-0.051714,1.204598,0.465456
1.395422,0.624523,0.819764,-0.930131,0.995174,2.690348,-0.045870,1.206366,0.446367
1.495095,0.701369,0.883222,-0.830985,0.993220,2.688648,-0.047388,1.121478,0.439265
1.594768,0.771520,0.953929,-0.731841,0.998322,2.686890,-0.040917,1.037869,0.427649
1.694441,0.834345,1.031288,-0.632405,0.995904,2.685372,-0.045625,0.963753,0.412447
1.794114,0.889161,1.114456,-0.532996,1.000948,2.683678,-0.039374,0.900265,0.407145
1.893787,0.935455,1.202707,-0.433290,0.998619,2.682215,-0.042886,0.845573,0.404383
1.993460,0.972725,1.295081,-0.333611,1.003601,2.680621,-0.036692,0.808765,0.405365
2.093133,1.000612,1.390768,-0.233636,1.001242,2.679257,-0.027729,0.780781,0.420639
2.192806,1.018806,1.488693,-0.133653,1.007481,2.678225,-0.027729,0.762510,0.448588
2.292479,1.027142,1.588009,-0.034355,0.979960,2.677193,0.177519,0.754163,0.486814
2.392152,1.025747,1.687602,0.061964,0.955125,2.683794,0.322918,0.755546,0.532918
2.491825,1.014999,1.786640,0.152286,0.846291,2.695760,1.057867,0.766235,0.584977
2.591498,0.995935,1.884455,0.230708,0.728436,2.734594,1.754857,0.771392,0.631126
2.691171,0.969848,1.980601,0.297059,0.601555,2.797825,2.466709,0.773101,0.680474
2.790844,0.938026,2.075073,0.350635,0.473681,2.884364,3.195382,0.793334,0.735364
2.890517,0.901792,2.167863,0.392030,0.358499,2.992748,3.875892,0.829504,0.795368
2.990190,0.862226,2.259394,0.422110,0.244995,3.119164,4.676007,0.868611,0.860247
3.089863,0.820472,2.349838,0.441127,0.137430,3.265169,5.569870,0.848485,0.923456
3.189536,0.777435,2.439800,0.449528,0.031202,3.430985,-1.020097,0.778334,0.990340
3.289209,0.734154,2.529554,0.447360,-0.074658,3.401221,-5.218903,0.715542,1.009265
3.388882,0.691515,2.619683,0.434653,-0.180171,3.244679,-4.392775,0.651677,0.980414
3.488555,0.650514,2.710533,0.411503,-0.284280,3.106808,-3.692893,0.583232,0.962865
3.588228,0.612103,2.802508,0.377963,-0.388728,2.985983,-3.034076,0.522503,0.932111
3.687901,0.577291,2.895914,0.333661,-0.501372,2.882926,-2.407336,0.471580,0.897347
3.787574,0.547200,2.990908,0.277956,-0.616559,2.798458,-1.673892,0.432971,0.867325
3.887247,0.523001,3.087629,0.210213,-0.744870,2.738190,-0.788889,0.409091,0.843187
3.986920,0.506066,3.185787,0.129220,-0.881562,2.709322,-0.441770,0.399101,0.826290
4.086593,0.497702,3.285137,0.037913,-0.939917,2.693020,-0.028015,0.384398,0.817938
4.186266,0.498679,3.384715,-0.058485,-0.997209,2.691983,-0.028015,0.385927,0.818917
4.285939,0.509392,3.483798,-0.155673,-0.935222,2.690946,0.430806,0.403091,0.829642
4.385612,0.529275,3.581400,-0.245000,-0.859414,2.706856,0.907769,0.433759,0.844974
4.485285,0.557386,3.676980,-0.325014,-0.739068,2.740078,1.651290,0.457495,0.852478
4.584958,0.592465,3.770258,-0.392267,-0.610967,2.799501,2.386541,0.493893,0.869711
4.684631,0.633163,3.861178,-0.447767,-0.505778,2.883220,2.932211,0.541246,0.903410
4.784304,0.678431,3.950011,-0.493119,-0.404209,2.982864,3.494872,0.597704,0.950846
4.883977,0.727194,4.036880,-0.528119,-0.297679,3.097445,4.207993,0.659936,1.009107
4.983650,0.778564,4.122348,-0.552477,-0.191066,3.230018,5.043897,0.719801,0.940603
