s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,-0.732750,0.883302,0.983794,-0.711623,3.012209,0.301191,0.455812,1.373346
0.099675,-0.813645,0.941359,0.912730,-0.716110,3.022159,-0.608363,0.425400,1.431380
0.199350,-0.890315,1.005143,0.840911,-0.725603,3.002027,-0.305954,0.410013,1.495462
0.299025,-0.962080,1.074268,0.766684,-0.765315,2.991852,-0.034577,0.411346,1.529242
0.398700,-1.028362,1.148663,0.688169,-0.800588,2.990699,-0.034577,0.405622,1.452841
0.498375,-1.088537,1.227880,0.612416,-0.720718,2.989547,0.646924,0.403039,1.385140
0.598051,-1.143055,1.311484,0.544701,-0.632706,3.011039,1.344949,0.407241,1.327058
0.697726,-1.192115,1.398188,0.486828,-0.531667,3.055237,2.109603,0.429013,1.268359
0.797401,-1.236564,1.487498,0.438196,-0.447122,3.123303,2.697098,0.466737,1.205827
0.897076,-1.276923,1.578581,0.397211,-0.374422,3.208222,3.187883,0.506939,1.152432
0.996751,-1.313871,1.671133,0.363743,-0.297151,3.305782,3.792546,0.543880,1.095870
1.096426,-1.348044,1.764696,0.337847,-0.223368,3.418221,4.443223,0.578118,1.045566
1.196101,-1.380175,1.859149,0.319139,-0.150732,3.545419,5.159131,0.600081,0.997874
1.295776,-1.410845,1.953940,0.308024,-0.072413,3.687610,2.639990,0.591073,0.959678
1.395451,-1.440853,2.049021,0.304696,0.005608,3.758291,-6.071392,0.582596,0.931306
1.495126,-1.470890,2.144009,0.309120,0.083075,3.593664,-5.244614,0.575365,0.912952
1.594802,-1.501745,2.238848,0.321245,0.160370,3.445127,-4.503201,0.586085,0.900697
1.694477,-1.534081,2.333086,0.341145,0.239013,3.312279,-3.895578,0.614514,0.886457
1.794152,-1.568681,2.426604,0.368874,0.316640,3.192899,-3.410165,0.648900,0.852128
1.893827,-1.606178,2.518899,0.404177,0.392016,3.084605,-2.987483,0.686243,0.815042
1.993502,-1.647299,2.609765,0.447020,0.467655,2.986508,-2.567444,0.717116,0.774086
2.093177,-1.692593,2.698562,0.497717,0.550329,2.899554,-2.178449,0.744436,0.728264
2.192852,-1.742675,2.784713,0.556857,0.633003,2.823675,-2.006240,0.779491,0.677673
2.292527,-1.798048,2.867522,0.622941,0.693068,2.751944,-1.805247,0.828291,0.623924
2.392202,-1.859051,2.946375,0.694951,0.757987,2.685762,-1.130117,0.889991,0.569193
