column,mu,sigma
angular_vel_z,-0.00027151547445387257,0.09432829815281446
linear_vel_x,0.00020442120343864504,0.5363898893864398
linear_vel_y,2.259725835448931e-05,0.40000958644222007
pose_theta,-3.14479492703196e-06,0.2887870128404571
pose_theta_cos,4.335765729430788e-07,0.0224403144879319
pose_theta_sin,3.1621920987034e-06,0.014982229999152327
pose_x,-8.016257272781108e-05,0.030456405772997026
pose_y,5.657302451635387e-06,0.07424256190098348
slip_angle,0.0,0.0
steering_angle,6.396613792727948e-05,0.030550202179719262
imu_gyro_z,0.0,0.0
