# This is F1TENTH simulation from 08.01.2024 at time 14:23:18
# Done with git-revision: unknown
# Starting position :,"[1.181768480100204, 3.761959686471794, 1.8452943526320793]"
# Saving: 0.02 s
# Speedfactor 0.9
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,-0.35,0.939,-0.343,-4.479,7.012,0.0,0.0,0.0,10.0,-4.161,-3.867,-3.675,-3.631,-3.733,-3.941,-4.221,-4.548,-4.908,-5.289,-5.683,-6.083,-6.481,-6.879,-7.274,-7.671,-8.066,-8.463,-8.862,-9.26,6.773,6.505,6.157,5.762,5.377,5.037,4.752,4.523,4.349,4.23,4.163,4.143,4.159,4.208,4.263,4.317,4.376,4.43,4.454,4.489,3.405,3.181,3.108,3.108,3.266,3.523,3.829,4.168,4.359,4.53,4.445,4.734,4.745,5.15,5.511,5.837,5.573,5.403,5.327,5.085,0.38,0.749,1.048,1.225,1.262,1.183,1.017,0.788,0.51,0.193,-0.154,-0.523,-0.902,-1.293,-1.683,-2.075,-2.465,-2.857,-3.24,-3.626,-0.116,-0.266,-0.528,-0.884,-1.28,-1.671,-2.035,-2.362,-2.649,-2.892,-3.089,-3.245,-3.367,-3.457,-3.541,-3.626,-3.707,-3.792,-3.906,-4.01,1.503,1.291,1.149,1.058,0.992,1.001,0.939,0.943,0.959,0.9,1.093,1.046,4.271,4.591,4.795,4.526,4.156,3.879,3.706,3.609,3.533,3.517,3.467,3.595,3.677,3.809,2.849,2.405,2.043,1.782,1.644,1.573,1.448,1.385,1.31,1.352,1.296,1.315,1.346,1.358,0.0,10.0,0.9
0.02,0.0,0.19,-0.35,0.939,-0.343,-4.478,7.012,0.0,0.0,0.0,10.0,-4.161,-3.867,-3.675,-3.631,-3.733,-3.941,-4.221,-4.548,-4.908,-5.289,-5.683,-6.083,-6.481,-6.879,-7.274,-7.671,-8.066,-8.463,-8.862,-9.26,6.773,6.505,6.157,5.762,5.377,5.037,4.752,4.523,4.349,4.23,4.163,4.143,4.159,4.208,4.263,4.317,4.376,4.43,4.454,4.489,3.405,3.181,3.108,3.108,3.266,3.523,3.829,4.168,4.359,4.53,4.445,4.734,4.745,5.15,5.511,5.837,5.573,5.403,5.327,5.085,0.379,0.748,1.047,1.224,1.261,1.182,1.016,0.787,0.509,0.192,-0.155,-0.524,-0.903,-1.294,-1.684,-2.076,-2.466,-2.858,-3.241,-3.627,-0.116,-0.266,-0.528,-0.884,-1.28,-1.671,-2.035,-2.362,-2.649,-2.892,-3.089,-3.245,-3.367,-3.457,-3.541,-3.626,-3.707,-3.792,-3.906,-4.01,1.487,1.281,1.152,1.057,1.027,1.007,0.947,0.949,0.961,0.886,1.081,1.041,4.275,4.618,4.795,4.56,4.15,3.909,3.718,3.632,3.482,3.528,3.448,3.563,3.672,3.799,2.842,2.409,2.029,1.804,1.674,1.595,1.461,1.409,1.302,1.349,1.311,1.314,1.351,1.349,0.0,10.0,0.9
0.04,0.0,0.38,-0.35,0.939,-0.343,-4.474,7.01,0.0,0.0,0.0,10.0,-4.161,-3.867,-3.675,-3.631,-3.733,-3.941,-4.221,-4.548,-4.908,-5.289,-5.683,-6.083,-6.481,-6.879,-7.274,-7.671,-8.066,-8.463,-8.862,-9.26,6.773,6.505,6.157,5.762,5.377,5.037,4.752,4.523,4.349,4.23,4.163,4.143,4.159,4.208,4.263,4.317,4.376,4.43,4.454,4.489,3.405,3.181,3.108,3.108,3.266,3.523,3.829,4.168,4.359,4.53,4.445,4.734,4.745,5.15,5.511,5.837,5.573,5.403,5.327,5.085,0.374,0.743,1.042,1.22,1.256,1.177,1.012,0.783,0.505,0.187,-0.159,-0.529,-0.908,-1.298,-1.689,-2.08,-2.471,-2.862,-3.246,-3.631,-0.116,-0.266,-0.528,-0.884,-1.28,-1.671,-2.035,-2.362,-2.649,-2.892,-3.089,-3.245,-3.367,-3.457,-3.541,-3.626,-3.707,-3.792,-3.906,-4.01,1.524,1.301,1.147,1.038,0.984,1.021,0.962,0.941,0.908,0.886,1.084,1.04,4.263,4.618,4.776,4.509,4.123,3.899,3.708,3.633,3.482,3.495,3.456,3.557,3.689,3.743,2.908,2.381,2.041,1.8,1.665,1.57,1.438,1.384,1.317,1.354,1.291,1.307,1.349,1.352,0.0,10.0,0.9
0.06,0.0,0.571,-0.35,0.939,-0.343,-4.466,7.007,0.0,0.0,0.0,10.0,-4.161,-3.867,-3.675,-3.631,-3.733,-3.941,-4.221,-4.548,-4.908,-5.289,-5.683,-6.083,-6.481,-6.879,-7.274,-7.671,-8.066,-8.463,-8.862,-9.26,6.773,6.505,6.157,5.762,5.377,5.037,4.752,4.523,4.349,4.23,4.163,4.143,4.159,4.208,4.263,4.317,4.376,4.43,4.454,4.489,3.405,3.181,3.108,3.108,3.266,3.523,3.829,4.168,4.359,4.53,4.445,4.734,4.745,5.15,5.511,5.837,5.573,5.403,5.327,5.085,0.366,0.735,1.034,1.211,1.248,1.168,1.003,0.774,0.496,0.179,-0.168,-0.538,-0.916,-1.307,-1.698,-2.089,-2.48,-2.871,-3.254,-3.64,-0.116,-0.266,-0.528,-0.884,-1.28,-1.671,-2.035,-2.362,-2.649,-2.892,-3.089,-3.245,-3.367,-3.457,-3.541,-3.626,-3.707,-3.792,-3.906,-4.01,1.502,1.283,1.156,1.054,1.0,1.004,0.963,0.936,0.897,0.906,1.071,1.056,4.282,4.622,4.778,4.501,4.12,3.888,3.718,3.612,3.487,3.488,3.472,3.517,3.672,3.743,2.882,2.418,2.031,1.796,1.665,1.564,1.455,1.392,1.326,1.345,1.306,1.317,1.359,1.353,0.0,10.0,0.9
0.08,0.0,0.761,-0.35,0.939,-0.343,-4.454,7.003,0.0,0.0,0.0,10.0,-4.161,-3.867,-3.675,-3.631,-3.733,-3.941,-4.221,-4.548,-4.908,-5.289,-5.683,-6.083,-6.481,-6.879,-7.274,-7.671,-8.066,-8.463,-8.862,-9.26,6.773,6.505,6.157,5.762,5.377,5.037,4.752,4.523,4.349,4.23,4.163,4.143,4.159,4.208,4.263,4.317,4.376,4.43,4.454,4.489,3.405,3.181,3.108,3.108,3.266,3.523,3.829,4.168,4.359,4.53,4.445,4.734,4.745,5.15,5.511,5.837,5.573,5.403,5.327,5.085,0.354,0.722,1.022,1.199,1.235,1.156,0.991,0.762,0.484,0.166,-0.18,-0.55,-0.929,-1.319,-1.71,-2.101,-2.492,-2.884,-3.266,-3.652,-0.116,-0.266,-0.528,-0.884,-1.28,-1.671,-2.035,-2.362,-2.649,-2.892,-3.089,-3.245,-3.367,-3.457,-3.541,-3.626,-3.707,-3.792,-3.906,-4.01,1.444,1.303,1.141,1.055,0.983,0.989,0.953,0.948,0.909,0.899,1.059,4.134,4.248,4.589,4.767,4.525,4.134,3.869,3.682,3.566,3.479,3.488,3.449,3.539,3.559,3.762,2.879,2.459,2.059,1.797,1.654,1.573,1.432,1.407,1.3,1.332,1.309,1.375,1.325,1.35,0.0,10.0,0.9
0.1,0.0,0.951,-0.35,0.939,-0.343,-4.439,6.998,0.0,0.0,-0.3880000114440918,-0.2290000021457672,-4.161,-3.867,-3.675,-3.631,-3.733,-3.941,-4.221,-4.548,-4.908,-5.289,-5.683,-6.083,-6.481,-6.879,-7.274,-7.671,-8.066,-8.463,-8.862,-9.26,6.773,6.505,6.157,5.762,5.377,5.037,4.752,4.523,4.349,4.23,4.163,4.143,4.159,4.208,4.263,4.317,4.376,4.43,4.454,4.489,3.405,3.181,3.108,3.108,3.266,3.523,3.829,4.168,4.359,4.53,4.445,4.734,4.745,5.15,5.511,5.837,5.573,5.403,5.327,5.085,0.337,0.706,1.005,1.182,1.219,1.14,0.974,0.746,0.468,0.15,-0.196,-0.566,-0.945,-1.336,-1.726,-2.117,-2.508,-2.9,-3.283,-3.668,-0.116,-0.266,-0.528,-0.884,-1.28,-1.671,-2.035,-2.362,-2.649,-2.892,-3.089,-3.245,-3.367,-3.457,-3.541,-3.626,-3.707,-3.792,-3.906,-4.01,1.46,1.294,1.137,1.067,1.047,1.015,0.966,0.951,0.885,0.892,1.059,4.116,4.272,4.558,4.778,4.484,4.119,3.816,3.684,3.58,3.469,3.446,3.432,3.506,3.563,3.744,2.884,2.427,2.088,1.815,1.708,1.57,1.445,1.395,1.36,1.317,1.314,1.31,1.312,1.337,-0.388,-0.229,0.9
0.12,-0.166,0.761,-0.351,0.939,-0.344,-4.422,6.991,0.0,-0.064,0.12999999523162842,6.507999897003174,-4.161,-3.867,-3.675,-3.631,-3.733,-3.941,-4.221,-4.548,-4.908,-5.289,-5.683,-6.083,-6.481,-6.879,-7.274,-7.671,-8.066,-8.463,-8.862,-9.26,6.773,6.505,6.157,5.762,5.377,5.037,4.752,4.523,4.349,4.23,4.163,4.143,4.159,4.208,4.263,4.317,4.376,4.43,4.454,4.489,3.405,3.181,3.108,3.108,3.266,3.523,3.829,4.168,4.359,4.53,4.445,4.734,4.745,5.15,5.511,5.837,5.573,5.403,5.327,5.085,0.319,0.688,0.988,1.165,1.202,1.123,0.958,0.729,0.452,0.134,-0.212,-0.581,-0.96,-1.351,-1.741,-2.132,-2.523,-2.915,-3.297,-3.683,-0.115,-0.266,-0.528,-0.883,-1.279,-1.67,-2.034,-2.361,-2.648,-2.892,-3.089,-3.246,-3.368,-3.458,-3.543,-3.628,-3.709,-3.794,-3.909,-4.013,1.454,1.258,1.139,1.037,0.972,1.011,0.954,0.903,0.914,1.057,1.022,4.117,4.255,4.554,4.78,4.438,4.098,3.826,3.651,3.561,3.431,3.483,3.421,3.525,3.537,3.721,2.971,2.462,2.085,1.836,1.706,1.566,1.428,1.406,1.363,1.332,1.293,1.307,1.333,1.356,0.13,6.508,0.9
0.14,-0.037,0.951,-0.353,0.938,-0.346,-4.407,6.986,0.0,0.0,-0.18400000035762787,3.4100000858306885,-4.161,-3.867,-3.675,-3.631,-3.733,-3.941,-4.221,-4.548,-4.908,-5.289,-5.683,-6.083,-6.481,-6.879,-7.274,-7.671,-8.066,-8.463,-8.862,-9.26,6.773,6.505,6.157,5.762,5.377,5.037,4.752,4.523,4.349,4.23,4.163,4.143,4.159,4.208,4.263,4.317,4.376,4.43,4.454,4.489,3.405,3.181,3.108,3.108,3.266,3.523,3.829,4.168,4.359,4.53,4.445,4.734,4.745,5.15,5.511,5.837,5.573,5.403,5.327,5.085,0.304,0.673,0.973,1.151,1.189,1.111,0.947,0.719,0.442,0.125,-0.221,-0.59,-0.969,-1.359,-1.749,-2.14,-2.531,-2.922,-3.304,-3.69,-0.114,-0.264,-0.525,-0.88,-1.277,-1.668,-2.032,-2.36,-2.647,-2.891,-3.09,-3.247,-3.37,-3.462,-3.547,-3.633,-3.715,-3.801,-3.917,-4.021,1.44,1.258,1.142,1.057,1.04,0.995,0.938,0.914,0.894,1.045,0.999,4.098,4.272,4.573,4.747,4.443,4.088,3.815,3.638,3.541,3.415,3.404,3.425,3.502,3.509,3.681,2.987,2.484,2.107,1.885,1.711,1.521,1.488,1.351,1.344,1.327,1.311,1.313,1.355,1.35,-0.184,3.41,0.9
0.16,-0.042,1.141,-0.354,0.938,-0.347,-4.388,6.979,-0.007,-0.064,-0.5,7.8429999351501465,-4.161,-3.867,-3.675,-3.631,-3.733,-3.941,-4.221,-4.548,-4.908,-5.289,-5.683,-6.083,-6.481,-6.879,-7.274,-7.671,-8.066,-8.463,-8.862,-9.26,6.773,6.505,6.157,5.762,5.377,5.037,4.752,4.523,4.349,4.23,4.163,4.143,4.159,4.208,4.263,4.317,4.376,4.43,4.454,4.489,3.405,3.181,3.108,3.108,3.266,3.523,3.829,4.168,4.359,4.53,4.445,4.734,4.745,5.15,5.511,5.837,5.573,5.403,5.327,5.085,0.284,0.653,0.954,1.132,1.17,1.093,0.929,0.702,0.425,0.109,-0.237,-0.606,-0.984,-1.374,-1.765,-2.156,-2.546,-2.937,-3.319,-3.705,-0.114,-0.263,-0.524,-0.879,-1.275,-1.666,-2.03,-2.359,-2.647,-2.891,-3.09,-3.248,-3.371,-3.463,-3.549,-3.636,-3.718,-3.804,-3.921,-4.026,1.434,1.257,1.156,1.047,0.991,0.95,0.946,0.905,0.921,1.059,1.005,4.086,4.217,4.571,4.726,4.403,4.008,3.83,3.614,3.519,3.412,3.417,3.381,3.478,3.517,3.718,3.049,2.496,2.096,1.907,1.707,1.527,1.491,1.399,1.34,1.333,1.36,1.306,1.366,1.384,-0.5,7.843,0.9
0.18,-0.219,1.331,-0.356,0.937,-0.349,-4.366,6.97,-0.019,-0.128,-0.10499999672174454,6.281000137329102,-4.161,-3.867,-3.675,-3.631,-3.733,-3.941,-4.221,-4.548,-4.908,-5.289,-5.683,-6.083,-6.481,-6.879,-7.274,-7.671,-8.066,-8.463,-8.862,-9.26,6.773,6.505,6.157,5.762,5.377,5.037,4.752,4.523,4.349,4.23,4.163,4.143,4.159,4.208,4.263,4.317,4.376,4.43,4.454,4.489,3.405,3.181,3.108,3.108,3.266,3.523,3.829,4.168,4.359,4.53,4.445,4.734,4.745,5.15,5.511,5.837,5.573,5.403,5.327,5.085,0.26,0.63,0.931,1.11,1.149,1.072,0.909,0.682,0.406,0.09,-0.255,-0.624,-1.002,-1.392,-1.782,-2.173,-2.563,-2.954,-3.336,-3.721,-0.113,-0.262,-0.522,-0.877,-1.273,-1.664,-2.029,-2.357,-2.646,-2.891,-3.09,-3.249,-3.373,-3.466,-3.552,-3.64,-3.722,-3.81,-3.927,-4.033,1.46,1.259,1.086,1.02,1.011,0.963,0.891,0.891,0.902,1.043,0.982,4.079,4.223,4.556,4.735,4.379,4.012,3.765,3.647,3.505,3.385,3.384,3.356,3.443,3.511,3.674,3.085,2.456,2.133,1.901,1.769,1.547,1.505,1.382,1.356,1.311,1.335,1.3,1.348,1.368,-0.105,6.281,0.9
