# This is F1TENTH simulation from 08.01.2024 at time 14:36:01
# Done with git-revision: unknown
# Starting position :,"[-18.83788286472201, 6.055452918169395, -2.8858447101374427]"
# Saving: 0.02 s
# Speedfactor 1.0
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,3.064,-0.997,0.078,-16.261,12.718,0.0,0.0,0.0,10.0,-16.808,-17.208,-17.608,-18.006,-18.398,-18.781,-19.146,-19.484,-19.785,-20.033,-20.206,-20.278,-20.215,-20.007,-19.701,-19.349,-18.977,-18.597,-18.205,-17.817,12.712,12.731,12.724,12.687,12.612,12.495,12.332,12.12,11.858,11.544,11.185,10.793,10.401,10.062,9.806,9.618,9.47,9.345,9.268,9.176,6.789,6.426,6.098,5.796,5.512,5.235,4.952,4.658,4.352,4.043,3.75,3.52,3.474,3.499,3.822,4.363,4.932,4.786,5.077,4.875,0.546,0.945,1.343,1.737,2.123,2.495,2.846,3.167,3.447,3.67,3.814,3.855,3.762,3.529,3.204,2.838,2.456,2.068,1.67,1.276,0.048,0.06,0.098,0.166,0.272,0.418,0.608,0.846,1.131,1.463,1.834,2.23,2.617,2.939,3.17,3.33,3.449,3.543,3.59,3.652,0.711,0.65,0.657,0.666,0.651,0.609,0.647,0.651,0.667,0.708,0.71,0.812,0.877,1.019,1.164,1.39,1.75,2.582,4.304,6.155,6.167,6.263,6.442,6.695,7.071,7.606,3.536,3.133,2.883,2.634,2.567,2.409,2.354,2.31,2.33,2.399,2.38,2.478,2.605,2.781,0.0,10.0,0.9
0.02,0.0,0.19,3.064,-0.997,0.078,-16.262,12.718,0.0,0.0,0.0,10.0,-16.808,-17.208,-17.608,-18.006,-18.398,-18.781,-19.146,-19.484,-19.785,-20.033,-20.206,-20.278,-20.215,-20.007,-19.701,-19.349,-18.977,-18.597,-18.205,-17.817,12.712,12.731,12.724,12.687,12.612,12.495,12.332,12.12,11.858,11.544,11.185,10.793,10.401,10.062,9.806,9.618,9.47,9.345,9.268,9.176,6.789,6.426,6.098,5.796,5.512,5.235,4.952,4.658,4.352,4.043,3.75,3.52,3.474,3.499,3.822,4.363,4.932,4.786,5.077,4.875,0.544,0.944,1.342,1.736,2.122,2.494,2.845,3.166,3.446,3.668,3.813,3.854,3.761,3.528,3.203,2.837,2.455,2.067,1.67,1.275,0.048,0.06,0.098,0.166,0.272,0.418,0.608,0.846,1.131,1.463,1.834,2.23,2.617,2.939,3.17,3.33,3.449,3.543,3.59,3.652,0.695,0.639,0.66,0.665,0.685,0.615,0.655,0.657,0.669,0.694,0.698,0.807,0.88,1.017,1.163,1.404,1.744,2.612,4.316,6.178,6.167,6.274,6.424,6.669,7.066,7.596,3.529,3.138,2.868,2.655,2.547,2.431,2.366,2.343,2.322,2.397,2.395,2.478,2.609,2.772,0.0,10.0,0.9
0.04,0.0,0.38,3.064,-0.997,0.078,-16.267,12.718,0.0,0.0,0.0,10.0,-16.808,-17.208,-17.608,-18.006,-18.398,-18.781,-19.146,-19.484,-19.785,-20.033,-20.206,-20.278,-20.215,-20.007,-19.701,-19.349,-18.977,-18.597,-18.205,-17.817,12.712,12.731,12.724,12.687,12.612,12.495,12.332,12.12,11.858,11.544,11.185,10.793,10.401,10.062,9.806,9.618,9.47,9.345,9.268,9.176,6.789,6.426,6.098,5.796,5.512,5.235,4.952,4.658,4.352,4.043,3.75,3.52,3.474,3.499,3.822,4.363,4.932,4.786,5.077,4.875,0.54,0.94,1.338,1.731,2.117,2.489,2.84,3.162,3.441,3.664,3.809,3.85,3.757,3.523,3.198,2.832,2.45,2.062,1.665,1.271,0.048,0.06,0.098,0.166,0.272,0.418,0.608,0.846,1.131,1.463,1.834,2.23,2.617,2.939,3.17,3.33,3.449,3.543,3.59,3.652,0.732,0.659,0.655,0.646,0.642,0.629,0.67,0.649,0.666,0.694,0.7,0.806,0.869,1.017,1.145,1.404,1.749,2.598,4.316,6.168,6.167,6.266,6.432,6.713,7.083,7.589,3.546,3.119,2.88,2.653,2.538,2.406,2.343,2.318,2.337,2.402,2.375,2.465,2.608,2.767,0.0,10.0,0.9
0.06,0.0,0.571,3.064,-0.997,0.078,-16.275,12.719,0.0,0.0,0.0,10.0,-16.808,-17.208,-17.608,-18.006,-18.398,-18.781,-19.146,-19.484,-19.785,-20.033,-20.206,-20.278,-20.215,-20.007,-19.701,-19.349,-18.977,-18.597,-18.205,-17.817,12.712,12.731,12.724,12.687,12.612,12.495,12.332,12.12,11.858,11.544,11.185,10.793,10.401,10.062,9.806,9.618,9.47,9.345,9.268,9.176,6.789,6.426,6.098,5.796,5.512,5.235,4.952,4.658,4.352,4.043,3.75,3.52,3.474,3.499,3.822,4.363,4.932,4.786,5.077,4.875,0.531,0.931,1.329,1.723,2.108,2.481,2.832,3.153,3.433,3.655,3.8,3.841,3.748,3.515,3.189,2.824,2.442,2.054,1.656,1.262,0.048,0.06,0.098,0.166,0.272,0.418,0.608,0.846,1.131,1.463,1.834,2.23,2.617,2.939,3.17,3.33,3.449,3.543,3.59,3.652,0.711,0.641,0.685,0.662,0.658,0.612,0.671,0.645,0.656,0.714,0.768,0.823,0.889,1.025,1.15,1.394,1.753,2.575,4.344,6.182,6.188,6.272,6.448,6.626,7.067,7.581,3.519,3.126,2.821,2.626,2.545,2.386,2.367,2.326,2.346,2.342,2.39,2.475,2.617,2.768,0.0,10.0,0.9
0.08,0.0,0.761,3.064,-0.997,0.078,-16.287,12.72,0.0,0.0,0.0,10.0,-16.808,-17.208,-17.608,-18.006,-18.398,-18.781,-19.146,-19.484,-19.785,-20.033,-20.206,-20.278,-20.215,-20.007,-19.701,-19.349,-18.977,-18.597,-18.205,-17.817,12.712,12.731,12.724,12.687,12.612,12.495,12.332,12.12,11.858,11.544,11.185,10.793,10.401,10.062,9.806,9.618,9.47,9.345,9.268,9.176,6.789,6.426,6.098,5.796,5.512,5.235,4.952,4.658,4.352,4.043,3.75,3.52,3.474,3.499,3.822,4.363,4.932,4.786,5.077,4.875,0.519,0.918,1.317,1.71,2.096,2.468,2.819,3.141,3.42,3.643,3.788,3.829,3.736,3.502,3.177,2.811,2.43,2.041,1.644,1.25,0.048,0.06,0.098,0.166,0.272,0.418,0.608,0.846,1.131,1.463,1.834,2.23,2.617,2.939,3.17,3.33,3.449,3.543,3.59,3.652,0.702,0.661,0.65,0.663,0.641,0.647,0.661,0.657,0.667,0.707,0.767,0.832,0.935,1.027,1.157,1.416,1.772,2.537,4.304,6.143,6.14,6.235,6.375,6.64,7.037,7.559,3.518,3.14,2.856,2.626,2.537,2.396,2.337,2.341,2.324,2.327,2.379,2.5,2.604,2.766,0.0,10.0,0.9
0.1,0.0,0.951,3.064,-0.997,0.078,-16.304,12.721,0.0,0.0,0.3440000116825104,6.7129998207092285,-16.808,-17.208,-17.608,-18.006,-18.398,-18.781,-19.146,-19.484,-19.785,-20.033,-20.206,-20.278,-20.215,-20.007,-19.701,-19.349,-18.977,-18.597,-18.205,-17.817,12.712,12.731,12.724,12.687,12.612,12.495,12.332,12.12,11.858,11.544,11.185,10.793,10.401,10.062,9.806,9.618,9.47,9.345,9.268,9.176,6.789,6.426,6.098,5.796,5.512,5.235,4.952,4.658,4.352,4.043,3.75,3.52,3.474,3.499,3.822,4.363,4.932,4.786,5.077,4.875,0.503,0.902,1.3,1.694,2.08,2.452,2.803,3.124,3.404,3.627,3.772,3.813,3.72,3.486,3.161,2.795,2.413,2.025,1.628,1.234,0.048,0.06,0.098,0.166,0.272,0.418,0.608,0.846,1.131,1.463,1.834,2.23,2.617,2.939,3.17,3.33,3.449,3.543,3.59,3.652,0.729,0.663,0.656,0.686,0.654,0.684,0.685,0.669,0.653,0.71,0.777,0.802,0.93,1.003,1.109,1.37,1.766,2.525,4.479,6.153,6.107,6.226,6.381,6.619,7.009,7.542,3.479,3.128,2.868,2.658,2.529,2.452,2.374,2.339,2.353,2.309,2.396,2.494,2.591,2.763,0.344,6.713,0.9
0.12,0.047,1.141,3.065,-0.997,0.077,-16.323,12.723,0.006,0.064,0.3630000054836273,0.4490000009536743,-16.808,-17.208,-17.608,-18.006,-18.398,-18.781,-19.146,-19.484,-19.785,-20.033,-20.206,-20.278,-20.215,-20.007,-19.701,-19.349,-18.977,-18.597,-18.205,-17.817,12.712,12.731,12.724,12.687,12.612,12.495,12.332,12.12,11.858,11.544,11.185,10.793,10.401,10.062,9.806,9.618,9.47,9.345,9.268,9.176,6.789,6.426,6.098,5.796,5.512,5.235,4.952,4.658,4.352,4.043,3.75,3.52,3.474,3.499,3.822,4.363,4.932,4.786,5.077,4.875,0.483,0.882,1.281,1.674,2.06,2.432,2.784,3.105,3.385,3.608,3.753,3.795,3.702,3.469,3.144,2.778,2.397,2.008,1.611,1.217,0.048,0.06,0.097,0.165,0.27,0.415,0.606,0.843,1.128,1.459,1.831,2.227,2.614,2.936,3.167,3.327,3.446,3.542,3.588,3.65,0.722,0.677,0.658,0.656,0.62,0.679,0.673,0.671,0.682,0.725,0.802,0.8,0.936,1.014,1.226,1.374,1.757,2.556,4.278,6.114,6.134,6.198,6.384,6.69,6.988,7.493,3.487,3.117,2.824,2.674,2.531,2.455,2.357,2.361,2.356,2.323,2.387,2.49,2.612,2.766,0.363,0.449,0.9
0.14,0.376,0.951,3.068,-0.997,0.074,-16.345,12.724,0.03,0.128,0.27399998903274536,3.875999927520752,-16.808,-17.208,-17.608,-18.006,-18.398,-18.781,-19.146,-19.484,-19.785,-20.033,-20.206,-20.278,-20.215,-20.007,-19.701,-19.349,-18.977,-18.597,-18.205,-17.817,12.712,12.731,12.724,12.687,12.612,12.495,12.332,12.12,11.858,11.544,11.185,10.793,10.401,10.062,9.806,9.618,9.47,9.345,9.268,9.176,6.789,6.426,6.098,5.796,5.512,5.235,4.952,4.658,4.352,4.043,3.75,3.52,3.474,3.499,3.822,4.363,4.932,4.786,5.077,4.875,0.461,0.861,1.259,1.653,2.039,2.412,2.764,3.086,3.367,3.591,3.737,3.78,3.688,3.456,3.132,2.767,2.386,1.998,1.6,1.207,0.046,0.057,0.093,0.16,0.263,0.408,0.597,0.833,1.117,1.448,1.819,2.215,2.602,2.925,3.156,3.318,3.439,3.535,3.583,3.646,0.708,0.697,0.66,0.675,0.638,0.663,0.656,0.682,0.662,0.764,0.779,0.82,0.936,1.007,1.225,1.359,1.747,2.528,4.541,6.075,6.093,6.183,6.37,6.624,6.981,7.499,3.446,3.098,2.842,2.623,2.539,2.384,2.382,2.348,2.287,2.319,2.388,2.508,2.607,2.807,0.274,3.876,0.9
0.16,0.33,1.141,3.077,-0.998,0.065,-16.365,12.725,0.049,0.192,-0.03400000184774399,9.699000358581543,-16.808,-17.208,-17.608,-18.006,-18.398,-18.781,-19.146,-19.484,-19.785,-20.033,-20.206,-20.278,-20.215,-20.007,-19.701,-19.349,-18.977,-18.597,-18.205,-17.817,12.712,12.731,12.724,12.687,12.612,12.495,12.332,12.12,11.858,11.544,11.185,10.793,10.401,10.062,9.806,9.618,9.47,9.345,9.268,9.176,6.789,6.426,6.098,5.796,5.512,5.235,4.952,4.658,4.352,4.043,3.75,3.52,3.474,3.499,3.822,4.363,4.932,4.786,5.077,4.875,0.442,0.841,1.24,1.634,2.022,2.395,2.749,3.073,3.356,3.583,3.733,3.779,3.691,3.462,3.139,2.776,2.396,2.009,1.612,1.219,0.042,0.049,0.081,0.145,0.245,0.386,0.572,0.806,1.087,1.416,1.786,2.181,2.569,2.894,3.129,3.294,3.417,3.517,3.569,3.636,0.715,0.709,0.687,0.628,0.672,0.681,0.677,0.686,0.702,0.761,0.777,0.838,0.924,1.037,1.221,1.499,1.76,2.514,4.841,6.096,6.094,6.166,6.331,6.663,7.032,7.539,3.447,3.079,2.805,2.633,2.497,2.399,2.351,2.331,2.299,2.366,2.4,2.513,2.63,2.804,-0.034,9.699,0.9
0.18,0.503,1.331,3.085,-0.998,0.057,-16.389,12.725,0.059,0.128,0.19300000369548798,4.339000225067139,-16.808,-17.208,-17.608,-18.006,-18.398,-18.781,-19.146,-19.484,-19.785,-20.033,-20.206,-20.278,-20.215,-20.007,-19.701,-19.349,-18.977,-18.597,-18.205,-17.817,12.712,12.731,12.724,12.687,12.612,12.495,12.332,12.12,11.858,11.544,11.185,10.793,10.401,10.062,9.806,9.618,9.47,9.345,9.268,9.176,6.789,6.426,6.098,5.796,5.512,5.235,4.952,4.658,4.352,4.043,3.75,3.52,3.474,3.499,3.822,4.363,4.932,4.786,5.077,4.875,0.418,0.818,1.217,1.612,2.0,2.375,2.73,3.056,3.342,3.571,3.724,3.773,3.688,3.462,3.142,2.779,2.4,2.014,1.618,1.225,0.037,0.041,0.07,0.13,0.227,0.365,0.548,0.779,1.058,1.385,1.754,2.149,2.537,2.864,3.102,3.269,3.396,3.499,3.554,3.624,0.691,0.74,0.668,0.639,0.692,0.694,0.672,0.672,0.683,0.744,0.764,0.864,0.925,1.045,1.256,1.503,1.793,3.268,5.229,6.07,6.089,6.198,6.382,6.646,7.032,7.561,3.424,3.045,2.807,2.628,2.517,2.396,2.327,2.319,2.326,2.345,2.413,2.507,2.621,2.816,0.193,4.339,0.9
