# This is F1TENTH simulation from 08.01.2024 at time 15:37:14
# Done with git-revision: unknown
# Starting position :,"[2.9237014815930134, 9.698609983442502, -2.0265205601424032]"
# Saving: 0.02 s
# Speedfactor 0.6
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,-1.687,-0.116,-0.993,-3.426,10.797,0.0,0.0,0.0,10.0,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,7.145,6.914,6.675,6.426,6.167,5.897,5.611,5.308,5.023,4.751,4.491,4.263,4.062,3.88,3.711,3.549,3.387,3.224,3.057,2.885,0.125,0.128,0.13,0.131,0.13,0.128,0.123,0.119,0.117,0.121,0.133,0.158,0.201,0.267,0.361,0.486,0.646,0.842,1.078,1.354,0.31,0.709,1.109,1.508,1.908,2.308,2.707,3.107,3.506,3.906,4.305,4.704,5.102,5.496,5.884,6.263,6.63,6.977,7.299,7.588,1.093,1.285,1.707,2.134,4.357,18.995,19.176,12.263,8.014,6.021,4.838,3.998,3.491,3.104,2.918,2.725,2.593,2.49,2.409,2.376,2.408,2.391,2.462,2.576,2.679,2.897,3.097,3.471,3.947,4.547,5.619,7.263,11.013,10.848,10.782,5.623,2.44,1.947,1.359,1.127,0.0,10.0,0.9
0.02,0.0,0.19,-1.687,-0.116,-0.993,-3.426,10.796,0.0,0.0,0.0,10.0,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,7.145,6.914,6.675,6.426,6.167,5.897,5.611,5.308,5.023,4.751,4.491,4.263,4.062,3.88,3.711,3.549,3.387,3.224,3.057,2.885,0.124,0.127,0.13,0.13,0.129,0.127,0.122,0.118,0.116,0.12,0.132,0.157,0.2,0.266,0.36,0.485,0.645,0.842,1.077,1.353,0.31,0.709,1.109,1.508,1.908,2.308,2.707,3.107,3.506,3.906,4.305,4.704,5.102,5.496,5.884,6.263,6.63,6.977,7.299,7.588,1.077,1.274,1.71,2.283,4.391,19.001,19.209,12.269,7.966,6.008,4.827,3.992,3.494,3.102,2.917,2.739,2.586,2.521,2.419,2.399,2.408,2.403,2.444,2.545,2.674,2.887,3.09,3.476,3.932,4.569,5.648,7.284,11.025,10.872,10.773,5.621,2.455,1.996,1.363,1.118,0.0,10.0,0.9
0.04,0.0,0.38,-1.687,-0.116,-0.993,-3.427,10.792,0.0,0.0,0.0,10.0,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,7.145,6.914,6.675,6.426,6.167,5.897,5.611,5.308,5.023,4.751,4.491,4.263,4.062,3.88,3.711,3.549,3.387,3.224,3.057,2.885,0.119,0.123,0.125,0.125,0.124,0.122,0.118,0.113,0.112,0.115,0.128,0.152,0.195,0.261,0.355,0.48,0.64,0.837,1.073,1.349,0.31,0.709,1.109,1.508,1.908,2.308,2.707,3.107,3.506,3.906,4.305,4.704,5.102,5.496,5.884,6.263,6.63,6.977,7.299,7.588,1.164,1.294,1.705,2.264,4.371,19.0,19.187,12.24,7.969,5.957,4.804,3.991,3.473,3.101,2.889,2.739,2.592,2.507,2.409,2.4,2.408,2.395,2.452,2.588,2.691,2.881,3.107,3.457,3.894,4.526,5.639,7.246,11.024,10.878,10.789,6.007,2.435,1.989,1.411,1.171,0.0,10.0,0.9
0.06,0.0,0.571,-1.687,-0.116,-0.993,-3.428,10.783,0.0,0.0,0.0,10.0,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,7.145,6.914,6.675,6.426,6.167,5.897,5.611,5.308,5.023,4.751,4.491,4.263,4.062,3.88,3.711,3.549,3.387,3.224,3.057,2.885,0.11,0.114,0.116,0.117,0.116,0.113,0.109,0.105,0.103,0.107,0.119,0.144,0.187,0.253,0.346,0.472,0.631,0.828,1.064,1.34,0.31,0.709,1.109,1.508,1.908,2.308,2.707,3.107,3.506,3.906,4.305,4.704,5.102,5.496,5.884,6.263,6.63,6.977,7.299,7.588,1.142,1.276,1.735,2.43,4.428,19.008,19.183,12.225,7.888,5.952,4.821,4.0,3.493,3.11,2.9,2.718,2.538,2.445,2.418,2.409,2.413,2.387,2.468,2.56,2.675,2.831,3.085,3.456,3.809,4.522,5.5,7.237,11.019,10.887,10.812,5.989,2.442,2.049,1.421,1.16,0.0,10.0,0.9
0.08,0.0,0.761,-1.687,-0.116,-0.993,-3.429,10.771,0.0,0.0,0.0,10.0,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,7.145,6.914,6.675,6.426,6.167,5.897,5.611,5.308,5.023,4.751,4.491,4.263,4.062,3.88,3.711,3.549,3.387,3.224,3.057,2.885,0.098,0.102,0.104,0.104,0.104,0.101,0.097,0.092,0.091,0.094,0.107,0.132,0.174,0.24,0.334,0.459,0.619,0.816,1.052,1.328,0.31,0.709,1.109,1.508,1.908,2.308,2.707,3.107,3.506,3.906,4.305,4.704,5.102,5.496,5.884,6.263,6.63,6.977,7.299,7.588,1.134,1.394,1.74,2.589,4.458,19.013,19.169,12.006,7.859,5.69,4.759,3.966,3.483,3.053,2.859,2.691,2.552,2.45,2.41,2.389,2.415,2.388,2.447,2.53,2.669,2.864,3.092,3.457,3.837,4.522,5.504,7.2,11.013,10.871,10.783,6.017,2.57,2.067,1.468,1.208,0.0,10.0,0.9
0.1,0.0,0.951,-1.687,-0.116,-0.993,-3.431,10.755,0.0,0.0,-0.22100000083446503,11.765000343322754,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,7.145,6.914,6.675,6.426,6.167,5.897,5.611,5.308,5.023,4.751,4.491,4.263,4.062,3.88,3.711,3.549,3.387,3.224,3.057,2.885,0.082,0.086,0.088,0.088,0.087,0.085,0.081,0.076,0.074,0.078,0.09,0.115,0.158,0.224,0.318,0.443,0.603,0.8,1.036,1.312,0.31,0.709,1.109,1.508,1.908,2.308,2.707,3.107,3.506,3.906,4.305,4.704,5.102,5.496,5.884,6.263,6.63,6.977,7.299,7.588,1.202,1.425,1.737,2.646,4.707,19.058,19.247,11.962,7.813,5.654,4.741,3.94,3.448,3.025,2.853,2.668,2.548,2.449,2.412,2.362,2.342,2.393,2.409,2.499,2.652,2.845,3.037,3.412,3.838,4.49,5.442,7.157,11.034,10.839,10.792,6.352,2.916,2.06,1.53,1.249,-0.221,11.765,0.9
0.12,-0.047,1.141,-1.688,-0.117,-0.993,-3.434,10.735,-0.006,-0.064,0.4860000014305115,-0.8410000205039978,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,7.145,6.914,6.675,6.426,6.167,5.897,5.611,5.308,5.023,4.751,4.491,4.263,4.062,3.88,3.711,3.549,3.387,3.224,3.057,2.885,0.062,0.065,0.067,0.067,0.066,0.063,0.058,0.053,0.051,0.055,0.067,0.091,0.134,0.199,0.292,0.417,0.577,0.773,1.009,1.285,0.31,0.709,1.109,1.508,1.908,2.308,2.707,3.107,3.506,3.906,4.306,4.704,5.102,5.496,5.884,6.264,6.63,6.978,7.3,7.589,1.195,1.479,1.739,2.674,4.716,19.114,19.229,12.017,7.847,5.619,4.72,3.894,3.388,3.059,2.82,2.631,2.507,2.458,2.354,2.326,2.363,2.352,2.411,2.518,2.643,2.783,3.006,3.398,3.76,4.49,5.437,7.122,11.01,10.845,10.812,6.393,3.198,2.066,1.621,1.318,0.486,-0.841,0.9
0.14,-0.098,0.951,-1.691,-0.12,-0.993,-3.436,10.713,-0.012,0.0,-0.15600000321865082,0.6549999713897705,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,7.145,6.914,6.675,6.426,6.167,5.897,5.611,5.308,5.023,4.751,4.491,4.263,4.062,3.88,3.711,3.549,3.387,3.224,3.057,2.885,0.039,0.041,0.041,0.04,0.038,0.034,0.028,0.022,0.018,0.02,0.031,0.054,0.096,0.16,0.252,0.376,0.534,0.729,0.964,1.239,0.31,0.71,1.109,1.509,1.908,2.308,2.708,3.107,3.507,3.906,4.306,4.705,5.102,5.496,5.885,6.265,6.632,6.98,7.304,7.593,1.201,1.479,1.774,2.742,4.753,19.004,19.15,12.247,7.797,5.616,4.682,3.889,3.388,3.039,2.8,2.591,2.495,2.389,2.374,2.351,2.299,2.321,2.371,2.459,2.584,2.769,2.973,3.338,3.728,4.325,5.374,6.92,11.082,10.87,10.809,6.438,3.263,2.219,1.643,1.361,-0.156,0.655,0.9
0.16,-0.273,0.849,-1.692,-0.121,-0.993,-3.439,10.695,-0.012,-0.064,0.1080000028014183,3.2850000858306885,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,7.145,6.914,6.675,6.426,6.167,5.897,5.611,5.308,5.023,4.751,4.491,4.263,4.062,3.88,3.711,3.549,3.387,3.224,3.057,2.885,0.02,0.022,0.022,0.02,0.018,0.013,0.007,0.0,-0.003,-0.001,0.009,0.032,0.073,0.137,0.229,0.352,0.51,0.705,0.939,1.214,0.31,0.71,1.109,1.509,1.908,2.308,2.708,3.107,3.507,3.906,4.306,4.705,5.102,5.497,5.886,6.266,6.632,6.981,7.304,7.594,1.224,1.506,1.796,2.777,4.979,19.026,19.19,11.946,7.816,5.635,4.619,3.843,3.375,3.027,2.814,2.6,2.46,2.393,2.299,2.357,2.262,2.269,2.383,2.46,2.607,2.763,2.967,3.236,3.708,4.306,5.289,6.883,11.083,10.859,10.82,6.57,3.374,2.244,1.653,1.335,0.108,3.285,0.9
0.18,-0.126,1.039,-1.695,-0.123,-0.992,-3.441,10.677,-0.012,0.0,0.22499999403953552,0.4749999940395355,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,7.145,6.914,6.675,6.426,6.167,5.897,5.611,5.308,5.023,4.751,4.491,4.263,4.062,3.88,3.711,3.549,3.387,3.224,3.057,2.885,0.001,0.002,0.001,-0.001,-0.005,-0.011,-0.018,-0.025,-0.03,-0.029,-0.02,0.002,0.042,0.105,0.196,0.318,0.475,0.669,0.903,1.176,0.31,0.71,1.109,1.509,1.908,2.308,2.708,3.107,3.507,3.906,4.306,4.705,5.102,5.497,5.886,6.266,6.634,6.983,7.307,7.597,1.3,1.558,1.826,2.946,5.0,19.02,19.152,12.216,7.838,5.596,4.576,3.802,3.327,3.001,2.758,2.57,2.435,2.388,2.334,2.3,2.27,2.297,2.369,2.475,2.55,2.747,2.964,3.224,3.692,4.241,5.288,6.788,11.053,10.849,10.772,6.762,3.635,2.23,1.694,1.342,0.225,0.475,0.9
