# This is F1TENTH simulation from 08.01.2024 at time 15:59:56
# Done with git-revision: unknown
# Starting position :,"[-9.923507774733219, 1.479547268268951, 1.2828018124045306]"
# Saving: 0.02 s
# Speedfactor 0.7
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,-1.685,-0.114,-0.994,-3.806,10.851,0.0,0.0,0.0,10.0,-3.53,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,10.689,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.319,8.336,8.066,7.787,7.497,7.195,6.879,6.546,6.192,5.86,5.542,5.24,4.973,4.739,4.527,4.33,4.14,3.951,3.761,3.567,0.13,0.136,0.14,0.144,0.145,0.145,0.144,0.14,0.137,0.136,0.141,0.154,0.18,0.224,0.29,0.385,0.511,0.672,0.869,1.106,0.293,0.692,1.092,1.492,1.891,2.291,2.69,3.09,3.49,3.889,4.289,4.688,5.087,5.484,5.878,6.266,6.645,7.011,7.358,7.68,1.097,1.33,1.509,2.555,4.331,18.713,18.849,12.19,7.858,5.941,4.718,4.009,3.428,3.122,2.864,2.717,2.603,2.482,2.41,2.425,2.355,2.391,2.504,2.596,2.685,2.907,3.123,3.481,3.855,4.585,5.621,7.288,11.438,11.268,11.18,5.691,2.701,1.896,1.367,1.13,0.0,10.0,0.9
0.02,0.0,0.19,-1.685,-0.114,-0.994,-3.806,10.85,0.0,0.0,0.0,10.0,-3.53,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,10.689,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.319,8.336,8.066,7.787,7.497,7.195,6.879,6.546,6.192,5.86,5.542,5.24,4.973,4.739,4.527,4.33,4.14,3.951,3.761,3.567,0.129,0.135,0.14,0.143,0.144,0.144,0.143,0.139,0.136,0.135,0.14,0.153,0.179,0.223,0.29,0.384,0.51,0.671,0.868,1.105,0.293,0.692,1.092,1.492,1.891,2.291,2.69,3.09,3.49,3.889,4.289,4.688,5.087,5.484,5.878,6.266,6.645,7.011,7.358,7.68,1.081,1.319,1.512,2.553,4.365,18.721,18.88,12.196,7.86,5.927,4.723,4.004,3.431,3.12,2.863,2.731,2.597,2.512,2.421,2.436,2.354,2.403,2.485,2.564,2.68,2.897,3.116,3.485,3.84,4.557,5.65,7.31,11.451,11.296,11.172,5.709,2.715,1.895,1.372,1.121,0.0,10.0,0.9
0.04,0.0,0.38,-1.685,-0.114,-0.994,-3.806,10.846,0.0,0.0,0.0,10.0,-3.53,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,10.689,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.319,8.336,8.066,7.787,7.497,7.195,6.879,6.546,6.192,5.86,5.542,5.24,4.973,4.739,4.527,4.33,4.14,3.951,3.761,3.567,0.124,0.13,0.135,0.138,0.139,0.139,0.138,0.135,0.131,0.13,0.135,0.148,0.174,0.218,0.285,0.379,0.505,0.666,0.864,1.1,0.293,0.692,1.092,1.492,1.891,2.291,2.69,3.09,3.49,3.889,4.289,4.688,5.087,5.484,5.878,6.266,6.645,7.011,7.358,7.68,1.118,1.339,1.507,2.556,4.349,18.714,18.845,12.156,7.8,5.927,4.707,4.003,3.407,3.104,2.836,2.73,2.602,2.498,2.411,2.437,2.354,2.395,2.443,2.608,2.697,2.891,3.133,3.466,3.852,4.575,5.636,7.273,11.418,11.243,11.179,5.672,2.657,1.938,1.391,1.123,0.0,10.0,0.9
0.06,0.0,0.571,-1.685,-0.114,-0.994,-3.807,10.837,0.0,0.0,0.0,10.0,-3.53,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,10.689,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.319,8.336,8.066,7.787,7.497,7.195,6.879,6.546,6.192,5.86,5.542,5.24,4.973,4.739,4.527,4.33,4.14,3.951,3.761,3.567,0.116,0.122,0.126,0.129,0.131,0.131,0.129,0.126,0.122,0.122,0.126,0.14,0.166,0.209,0.276,0.371,0.497,0.657,0.855,1.092,0.293,0.692,1.092,1.492,1.891,2.291,2.69,3.09,3.49,3.889,4.289,4.688,5.087,5.484,5.878,6.266,6.645,7.011,7.358,7.68,1.146,1.371,1.666,2.572,4.56,18.686,18.892,12.187,7.79,5.879,4.724,4.009,3.427,3.112,2.849,2.711,2.548,2.486,2.43,2.396,2.359,2.387,2.459,2.571,2.673,2.84,3.106,3.373,3.843,4.571,5.544,7.26,11.452,11.199,11.203,5.681,2.673,1.979,1.422,1.174,0.0,10.0,0.9
0.08,0.0,0.761,-1.685,-0.114,-0.994,-3.809,10.825,0.0,0.0,0.0,10.0,-3.53,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,10.689,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.319,8.336,8.066,7.787,7.497,7.195,6.879,6.546,6.192,5.86,5.542,5.24,4.973,4.739,4.527,4.33,4.14,3.951,3.761,3.567,0.103,0.109,0.114,0.117,0.118,0.118,0.117,0.114,0.11,0.109,0.114,0.127,0.153,0.197,0.264,0.358,0.484,0.645,0.843,1.08,0.293,0.692,1.092,1.492,1.891,2.291,2.69,3.09,3.49,3.889,4.289,4.688,5.087,5.484,5.878,6.266,6.645,7.011,7.358,7.68,1.138,1.406,1.644,2.638,4.597,18.711,18.862,12.057,7.744,5.849,4.723,3.97,3.367,3.088,2.806,2.683,2.566,2.442,2.421,2.375,2.361,2.388,2.436,2.542,2.684,2.874,3.073,3.385,3.87,4.554,5.546,7.237,11.423,11.234,11.177,5.963,2.711,2.047,1.459,1.208,0.0,10.0,0.9
0.1,0.0,0.951,-1.685,-0.114,-0.994,-3.811,10.809,0.0,0.0,-0.3199999928474426,11.116000175476074,-3.53,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,10.689,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.319,8.336,8.066,7.787,7.497,7.195,6.879,6.546,6.192,5.86,5.542,5.24,4.973,4.739,4.527,4.33,4.14,3.951,3.761,3.567,0.087,0.093,0.098,0.101,0.102,0.102,0.101,0.098,0.094,0.093,0.098,0.111,0.137,0.181,0.248,0.342,0.468,0.629,0.827,1.063,0.293,0.692,1.092,1.492,1.891,2.291,2.69,3.09,3.49,3.889,4.289,4.688,5.087,5.484,5.878,6.266,6.645,7.011,7.358,7.68,1.174,1.396,1.71,2.681,4.87,18.781,18.883,11.865,7.759,5.783,4.729,3.9,3.391,3.071,2.84,2.661,2.535,2.432,2.372,2.401,2.341,2.36,2.44,2.516,2.65,2.845,3.07,3.332,3.819,4.528,5.511,7.21,11.404,11.232,11.173,5.973,2.68,2.003,1.467,1.205,-0.32,11.116,0.9
0.12,-0.047,1.141,-1.686,-0.115,-0.993,-3.813,10.789,-0.006,-0.064,-0.12399999797344208,5.942999839782715,-3.53,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,10.689,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.319,8.336,8.066,7.787,7.497,7.195,6.879,6.546,6.192,5.86,5.542,5.24,4.973,4.739,4.527,4.33,4.14,3.951,3.761,3.567,0.067,0.072,0.077,0.079,0.081,0.08,0.078,0.075,0.071,0.07,0.074,0.087,0.112,0.156,0.222,0.316,0.442,0.602,0.8,1.036,0.293,0.692,1.092,1.492,1.891,2.291,2.69,3.09,3.49,3.889,4.289,4.688,5.087,5.484,5.878,6.266,6.646,7.012,7.359,7.681,1.217,1.422,1.741,2.664,4.921,18.78,18.857,11.878,7.751,5.798,4.685,3.869,3.367,3.065,2.808,2.666,2.545,2.452,2.365,2.335,2.312,2.369,2.394,2.536,2.612,2.811,3.033,3.333,3.787,4.399,5.436,7.193,11.426,11.251,11.206,6.378,2.818,2.017,1.608,1.324,-0.124,5.943,0.9
0.14,-0.218,1.331,-1.687,-0.116,-0.993,-3.816,10.765,-0.019,-0.128,0.10700000077486038,0.6899999976158142,-3.53,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,10.689,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.319,8.336,8.066,7.787,7.497,7.195,6.879,6.546,6.192,5.86,5.542,5.24,4.973,4.739,4.527,4.33,4.14,3.951,3.761,3.567,0.043,0.048,0.051,0.053,0.053,0.052,0.05,0.045,0.041,0.039,0.042,0.055,0.079,0.122,0.188,0.282,0.406,0.566,0.763,0.999,0.293,0.693,1.092,1.492,1.892,2.291,2.691,3.09,3.49,3.89,4.289,4.688,5.087,5.485,5.879,6.267,6.647,7.013,7.36,7.683,1.233,1.443,1.765,2.757,4.949,18.677,18.836,11.906,7.746,5.661,4.619,3.87,3.366,3.043,2.79,2.595,2.493,2.392,2.377,2.326,2.296,2.291,2.397,2.474,2.604,2.76,2.982,3.285,3.754,4.371,5.389,6.953,11.456,11.232,11.191,6.773,2.843,2.188,1.689,1.349,0.107,0.69,0.9
0.16,-0.426,1.141,-1.695,-0.124,-0.992,-3.82,10.74,-0.032,-0.064,0.48899999260902405,11.251999855041504,-3.53,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,10.689,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.319,8.336,8.066,7.787,7.497,7.195,6.879,6.546,6.192,5.86,5.542,5.24,4.973,4.739,4.527,4.33,4.14,3.951,3.761,3.567,0.015,0.016,0.017,0.016,0.013,0.009,0.003,-0.004,-0.012,-0.017,-0.017,-0.008,0.014,0.054,0.117,0.207,0.329,0.486,0.68,0.913,0.294,0.694,1.093,1.493,1.892,2.292,2.692,3.091,3.491,3.89,4.29,4.689,5.088,5.486,5.88,6.27,6.65,7.018,7.367,7.691,1.235,1.449,1.81,2.768,4.939,18.596,18.818,12.154,7.751,5.812,4.668,3.824,3.354,3.046,2.798,2.607,2.445,2.402,2.311,2.343,2.26,2.289,2.38,2.427,2.57,2.79,2.945,3.234,3.71,4.306,5.196,6.718,11.493,11.203,11.15,6.987,3.648,2.433,1.713,1.449,0.489,11.252,0.9
0.18,-0.185,1.331,-1.702,-0.13,-0.991,-3.823,10.716,-0.028,0.0,-0.023000000044703484,6.859000205993652,-3.53,-3.133,-2.737,-2.34,-1.943,-1.546,-1.149,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,10.689,10.637,10.588,10.539,10.492,10.447,10.403,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.319,8.336,8.066,7.787,7.497,7.195,6.879,6.546,6.192,5.86,5.542,5.24,4.973,4.739,4.527,4.33,4.14,3.951,3.761,3.567,-0.011,-0.012,-0.014,-0.018,-0.023,-0.03,-0.038,-0.048,-0.058,-0.066,-0.068,-0.061,-0.042,-0.005,0.055,0.143,0.263,0.417,0.609,0.84,0.295,0.694,1.094,1.494,1.893,2.293,2.692,3.092,3.491,3.891,4.29,4.69,5.089,5.487,5.882,6.272,6.653,7.021,7.372,7.697,1.311,1.471,1.903,2.804,4.938,18.252,18.818,12.473,7.758,5.841,4.613,3.829,3.305,3.021,2.775,2.605,2.47,2.347,2.345,2.283,2.268,2.317,2.316,2.437,2.513,2.722,2.967,3.182,3.612,4.241,5.089,6.613,11.462,11.218,11.156,7.15,3.659,2.4,1.795,1.453,-0.023,6.859,0.9
