# This is F1TENTH simulation from 08.01.2024 at time 16:36:16
# Done with git-revision: unknown
# Starting position :,"[-12.118222818978317, 12.258007899463522, -1.7020095960497565]"
# Saving: 0.02 s
# Speedfactor 1.0
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,-1.163,0.397,-0.918,-18.499,12.781,0.0,0.0,0.0,10.0,-18.139,-17.744,-17.345,-16.945,-16.547,-16.15,-15.754,-15.359,-14.965,-14.571,-14.178,-13.784,-13.391,-12.998,-12.604,-12.211,-11.817,-11.424,-11.03,-10.636,12.744,12.802,12.824,12.818,12.789,12.745,12.689,12.627,12.562,12.493,12.423,12.353,12.283,12.212,12.142,12.072,12.003,11.933,11.864,11.796,5.516,5.788,6.099,6.447,6.781,7.09,7.376,7.644,7.894,8.13,8.353,8.564,8.765,8.956,9.138,9.312,9.478,9.638,9.791,9.939,0.177,0.281,0.419,0.584,0.768,0.966,1.175,1.388,1.605,1.824,2.044,2.265,2.486,2.706,2.927,3.147,3.367,3.587,3.807,4.026,0.316,0.702,1.077,1.441,1.795,2.142,2.483,2.821,3.156,3.491,3.824,4.157,4.49,4.824,5.157,5.49,5.824,6.157,6.491,6.825,3.965,3.924,4.04,4.105,4.218,4.489,4.807,5.231,5.875,6.003,5.603,5.293,2.314,2.09,2.059,2.067,2.038,2.079,2.153,2.279,2.443,2.625,2.916,3.261,3.768,4.585,5.959,8.507,15.002,25.954,10.77,4.541,3.044,2.303,1.85,1.538,1.344,1.239,1.135,1.044,0.0,10.0,0.9
0.02,0.0,0.19,-1.163,0.397,-0.918,-18.499,12.781,0.0,0.0,0.0,10.0,-18.139,-17.744,-17.345,-16.945,-16.547,-16.15,-15.754,-15.359,-14.965,-14.571,-14.178,-13.784,-13.391,-12.998,-12.604,-12.211,-11.817,-11.424,-11.03,-10.636,12.744,12.802,12.824,12.818,12.789,12.745,12.689,12.627,12.562,12.493,12.423,12.353,12.283,12.212,12.142,12.072,12.003,11.933,11.864,11.796,5.516,5.788,6.099,6.447,6.781,7.09,7.376,7.644,7.894,8.13,8.353,8.564,8.765,8.956,9.138,9.312,9.478,9.638,9.791,9.939,0.176,0.28,0.418,0.582,0.767,0.966,1.174,1.387,1.604,1.823,2.043,2.264,2.485,2.705,2.926,3.146,3.366,3.586,3.806,4.025,0.316,0.702,1.077,1.441,1.795,2.142,2.483,2.821,3.156,3.491,3.824,4.157,4.49,4.824,5.157,5.49,5.824,6.157,6.491,6.825,3.949,3.913,4.045,4.104,4.297,4.495,4.815,5.237,5.877,5.99,5.592,5.288,2.318,2.088,2.058,2.08,2.032,2.109,2.165,2.302,2.443,2.636,2.897,3.23,3.763,4.575,5.952,8.512,14.988,25.975,10.791,4.562,3.057,2.327,1.842,1.535,1.358,1.238,1.139,1.035,0.0,10.0,0.9
0.04,0.0,0.38,-1.163,0.397,-0.918,-18.497,12.776,0.0,0.0,0.0,10.0,-18.139,-17.744,-17.345,-16.945,-16.547,-16.15,-15.754,-15.359,-14.965,-14.571,-14.178,-13.784,-13.391,-12.998,-12.604,-12.211,-11.817,-11.424,-11.03,-10.636,12.744,12.802,12.824,12.818,12.789,12.745,12.689,12.627,12.562,12.493,12.423,12.353,12.283,12.212,12.142,12.072,12.003,11.933,11.864,11.796,5.516,5.788,6.099,6.447,6.781,7.09,7.376,7.644,7.894,8.13,8.353,8.564,8.765,8.956,9.138,9.312,9.478,9.638,9.791,9.939,0.172,0.275,0.413,0.578,0.762,0.961,1.169,1.382,1.599,1.818,2.038,2.259,2.48,2.701,2.921,3.142,3.362,3.582,3.801,4.02,0.316,0.702,1.077,1.441,1.795,2.142,2.483,2.821,3.156,3.491,3.824,4.157,4.49,4.824,5.157,5.49,5.824,6.157,6.491,6.825,3.975,3.933,4.039,4.091,4.254,4.509,4.844,5.23,5.875,5.99,5.594,5.287,2.306,2.037,2.04,2.08,2.087,2.095,2.154,2.303,2.443,2.658,2.888,3.223,3.78,4.569,5.972,8.491,14.989,25.979,10.786,4.537,3.033,2.352,1.857,1.561,1.377,1.281,1.138,1.038,0.0,10.0,0.9
0.06,0.0,0.571,-1.163,0.397,-0.918,-18.494,12.768,0.0,0.0,0.0,10.0,-18.139,-17.744,-17.345,-16.945,-16.547,-16.15,-15.754,-15.359,-14.965,-14.571,-14.178,-13.784,-13.391,-12.998,-12.604,-12.211,-11.817,-11.424,-11.03,-10.636,12.744,12.802,12.824,12.818,12.789,12.745,12.689,12.627,12.562,12.493,12.423,12.353,12.283,12.212,12.142,12.072,12.003,11.933,11.864,11.796,5.516,5.788,6.099,6.447,6.781,7.09,7.376,7.644,7.894,8.13,8.353,8.564,8.765,8.956,9.138,9.312,9.478,9.638,9.791,9.939,0.163,0.267,0.405,0.569,0.754,0.952,1.16,1.374,1.591,1.81,2.03,2.251,2.472,2.692,2.913,3.133,3.353,3.573,3.793,4.012,0.316,0.702,1.077,1.441,1.795,2.142,2.483,2.821,3.156,3.491,3.824,4.157,4.49,4.824,5.157,5.49,5.824,6.157,6.491,6.825,3.954,3.915,4.049,4.107,4.268,4.502,4.845,5.24,5.864,5.96,5.612,5.327,2.326,2.051,2.046,2.02,2.083,2.084,2.164,2.312,2.419,2.621,2.904,3.205,3.726,4.544,5.796,8.451,14.959,25.969,10.808,4.528,3.128,2.36,1.882,1.551,1.392,1.291,1.148,1.039,0.0,10.0,0.9
0.08,0.0,0.761,-1.163,0.397,-0.918,-18.489,12.757,0.0,0.0,0.0,10.0,-18.139,-17.744,-17.345,-16.945,-16.547,-16.15,-15.754,-15.359,-14.965,-14.571,-14.178,-13.784,-13.391,-12.998,-12.604,-12.211,-11.817,-11.424,-11.03,-10.636,12.744,12.802,12.824,12.818,12.789,12.745,12.689,12.627,12.562,12.493,12.423,12.353,12.283,12.212,12.142,12.072,12.003,11.933,11.864,11.796,5.516,5.788,6.099,6.447,6.781,7.09,7.376,7.644,7.894,8.13,8.353,8.564,8.765,8.956,9.138,9.312,9.478,9.638,9.791,9.939,0.151,0.254,0.392,0.557,0.741,0.94,1.148,1.362,1.578,1.797,2.018,2.238,2.459,2.68,2.9,3.121,3.341,3.561,3.78,3.999,0.316,0.702,1.077,1.441,1.795,2.142,2.483,2.821,3.156,3.491,3.824,4.157,4.49,4.824,5.157,5.49,5.824,6.157,6.491,6.825,3.953,3.939,4.036,4.141,4.255,4.483,4.837,5.25,5.869,5.957,5.608,5.339,2.304,2.066,2.001,2.042,2.099,2.088,2.155,2.238,2.398,2.629,2.861,3.181,3.691,4.519,5.793,8.311,14.733,25.956,11.159,4.545,3.17,2.4,1.851,1.566,1.393,1.306,1.132,1.034,0.0,10.0,0.9
0.1,0.0,0.951,-1.163,0.397,-0.918,-18.482,12.742,0.0,0.0,-0.20200000703334808,6.698999881744385,-18.139,-17.744,-17.345,-16.945,-16.547,-16.15,-15.754,-15.359,-14.965,-14.571,-14.178,-13.784,-13.391,-12.998,-12.604,-12.211,-11.817,-11.424,-11.03,-10.636,12.744,12.802,12.824,12.818,12.789,12.745,12.689,12.627,12.562,12.493,12.423,12.353,12.283,12.212,12.142,12.072,12.003,11.933,11.864,11.796,5.516,5.788,6.099,6.447,6.781,7.09,7.376,7.644,7.894,8.13,8.353,8.564,8.765,8.956,9.138,9.312,9.478,9.638,9.791,9.939,0.134,0.238,0.376,0.541,0.725,0.924,1.132,1.345,1.562,1.781,2.001,2.222,2.443,2.664,2.884,3.104,3.325,3.544,3.764,3.983,0.316,0.702,1.077,1.441,1.795,2.142,2.483,2.821,3.156,3.491,3.824,4.157,4.49,4.824,5.157,5.49,5.824,6.157,6.491,6.825,3.97,3.935,4.032,4.164,4.308,4.51,4.864,5.264,5.879,5.95,5.578,5.289,2.308,2.073,1.993,2.024,2.033,2.035,2.158,2.253,2.378,2.587,2.815,3.155,3.687,4.489,5.768,8.268,14.69,25.972,11.14,5.012,3.234,2.388,1.921,1.605,1.448,1.291,1.169,1.071,-0.202,6.699,0.9
0.12,-0.047,1.141,-1.163,0.396,-0.918,-18.474,12.724,-0.006,-0.064,0.45100000500679016,1.0140000581741333,-18.139,-17.744,-17.345,-16.945,-16.547,-16.15,-15.754,-15.359,-14.965,-14.571,-14.178,-13.784,-13.391,-12.998,-12.604,-12.211,-11.817,-11.424,-11.03,-10.636,12.744,12.802,12.824,12.818,12.789,12.745,12.689,12.627,12.562,12.493,12.423,12.353,12.283,12.212,12.142,12.072,12.003,11.933,11.864,11.796,5.516,5.788,6.099,6.447,6.781,7.09,7.376,7.644,7.894,8.13,8.353,8.564,8.765,8.956,9.138,9.312,9.478,9.638,9.791,9.939,0.114,0.217,0.355,0.519,0.704,0.902,1.11,1.323,1.539,1.758,1.978,2.198,2.419,2.639,2.859,3.079,3.299,3.519,3.738,3.957,0.316,0.702,1.077,1.441,1.796,2.143,2.484,2.822,3.158,3.492,3.826,4.159,4.492,4.826,5.159,5.493,5.827,6.161,6.495,6.829,3.981,3.999,4.048,4.141,4.268,4.509,4.875,5.327,5.913,5.915,5.603,5.281,5.0,2.041,2.021,1.987,2.046,2.065,2.115,2.237,2.37,2.575,2.817,3.153,3.632,4.446,5.709,8.169,14.598,25.999,11.814,5.238,3.237,2.425,2.008,1.666,1.477,1.288,1.19,1.09,0.451,1.014,0.9
0.14,-0.112,1.097,-1.166,0.394,-0.919,-18.466,12.703,-0.014,0.0,-0.3659999966621399,3.4709999561309814,-18.139,-17.744,-17.345,-16.945,-16.547,-16.15,-15.754,-15.359,-14.965,-14.571,-14.178,-13.784,-13.391,-12.998,-12.604,-12.211,-11.817,-11.424,-11.03,-10.636,12.744,12.802,12.824,12.818,12.789,12.745,12.689,12.627,12.562,12.493,12.423,12.353,12.283,12.212,12.142,12.072,12.003,11.933,11.864,11.796,5.516,5.788,6.099,6.447,6.781,7.09,7.376,7.644,7.894,8.13,8.353,8.564,8.765,8.956,9.138,9.312,9.478,9.638,9.791,9.939,0.091,0.193,0.33,0.493,0.676,0.874,1.08,1.293,1.508,1.726,1.945,2.165,2.384,2.604,2.823,3.042,3.261,3.48,3.698,3.916,0.316,0.703,1.078,1.443,1.798,2.145,2.487,2.826,3.162,3.497,3.831,4.165,4.499,4.833,5.167,5.501,5.836,6.17,6.505,6.84,3.986,4.001,4.049,4.167,4.367,4.499,4.813,5.351,5.891,5.875,5.578,5.246,2.194,2.026,1.956,1.97,2.035,2.004,2.127,2.2,2.341,2.509,2.807,3.101,3.624,4.385,5.658,8.07,14.075,25.994,12.143,5.159,3.307,2.493,2.033,1.725,1.529,1.316,1.225,1.135,-0.366,3.471,0.9
0.16,-0.094,1.288,-1.168,0.392,-0.92,-18.457,12.682,-0.011,-0.064,0.03999999910593033,2.617000102996826,-18.139,-17.744,-17.345,-16.945,-16.547,-16.15,-15.754,-15.359,-14.965,-14.571,-14.178,-13.784,-13.391,-12.998,-12.604,-12.211,-11.817,-11.424,-11.03,-10.636,12.744,12.802,12.824,12.818,12.789,12.745,12.689,12.627,12.562,12.493,12.423,12.353,12.283,12.212,12.142,12.072,12.003,11.933,11.864,11.796,5.516,5.788,6.099,6.447,6.781,7.09,7.376,7.644,7.894,8.13,8.353,8.564,8.765,8.956,9.138,9.312,9.478,9.638,9.791,9.939,0.067,0.169,0.305,0.468,0.65,0.847,1.054,1.265,1.48,1.698,1.916,2.136,2.355,2.574,2.792,3.011,3.229,3.448,3.665,3.883,0.317,0.703,1.079,1.444,1.799,2.147,2.489,2.828,3.165,3.5,3.835,4.169,4.503,4.837,5.172,5.506,5.841,6.176,6.511,6.846,3.964,4.049,4.063,4.162,4.331,4.512,4.833,5.34,5.926,5.885,5.549,5.225,2.146,1.999,1.978,1.979,1.966,2.009,2.052,2.218,2.321,2.507,2.769,3.1,3.591,4.41,5.452,7.859,13.979,25.933,12.841,5.541,3.514,2.584,2.074,1.787,1.576,1.337,1.285,1.118,0.04,2.617,0.9
0.18,-0.135,1.411,-1.17,0.39,-0.921,-18.447,12.657,-0.015,0.0,0.1509999930858612,3.566999912261963,-18.139,-17.744,-17.345,-16.945,-16.547,-16.15,-15.754,-15.359,-14.965,-14.571,-14.178,-13.784,-13.391,-12.998,-12.604,-12.211,-11.817,-11.424,-11.03,-10.636,12.744,12.802,12.824,12.818,12.789,12.745,12.689,12.627,12.562,12.493,12.423,12.353,12.283,12.212,12.142,12.072,12.003,11.933,11.864,11.796,5.516,5.788,6.099,6.447,6.781,7.09,7.376,7.644,7.894,8.13,8.353,8.564,8.765,8.956,9.138,9.312,9.478,9.638,9.791,9.939,0.04,0.141,0.276,0.438,0.619,0.815,1.021,1.231,1.446,1.662,1.88,2.098,2.316,2.534,2.752,2.97,3.187,3.404,3.621,3.838,0.317,0.704,1.08,1.445,1.801,2.149,2.492,2.832,3.169,3.505,3.84,4.175,4.51,4.845,5.18,5.515,5.85,6.185,6.521,6.857,4.034,4.038,4.058,4.157,4.352,4.56,4.925,5.34,5.898,5.862,5.507,5.182,2.124,2.026,1.954,1.957,1.971,1.985,2.072,2.184,2.3,2.416,2.696,3.044,3.522,4.306,5.42,7.579,13.221,25.896,13.123,5.525,3.536,2.515,2.088,1.813,1.583,1.361,1.306,1.154,0.151,3.567,0.9
