# This is F1TENTH simulation from 08.01.2024 at time 14:50:52
# Done with git-revision: unknown
# Starting position :,"[-1.5126697492030021, 0.6480263527035145, -0.36715272921037256]"
# Saving: 0.02 s
# Speedfactor 1.1
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,-1.249,0.316,-0.949,-16.168,8.182,0.0,0.0,0.0,10.0,-16.254,-16.303,-16.465,-16.723,-17.052,-17.419,-17.805,-18.199,-18.596,-18.992,-19.384,-19.768,-20.133,-20.462,-20.73,-20.91,-20.962,-20.874,-20.675,-20.398,7.593,7.198,6.834,6.53,6.304,6.147,6.043,5.975,5.924,5.87,5.793,5.68,5.519,5.292,4.996,4.641,4.247,3.859,3.513,3.226,4.264,4.231,4.391,4.4,4.631,4.997,5.482,6.01,6.481,6.161,5.619,5.128,4.733,4.456,4.16,3.931,3.903,4.043,4.299,4.594,0.532,0.891,1.185,1.392,1.503,1.535,1.512,1.451,1.374,1.301,1.25,1.235,1.273,1.384,1.58,1.86,2.218,2.614,3.004,3.364,-0.267,-0.439,-0.708,-1.049,-1.432,-1.83,-2.229,-2.624,-3.017,-3.41,-3.806,-4.206,-4.604,-4.987,-5.335,-5.618,-5.792,-5.831,-5.752,-5.58,7.024,6.957,6.961,3.364,2.199,1.633,1.436,1.38,9.047,8.681,4.714,3.804,3.297,2.982,2.692,2.462,2.298,2.169,2.162,2.071,1.958,1.855,1.824,1.774,1.699,1.712,1.758,1.787,1.82,1.908,2.05,2.212,2.461,2.737,3.189,3.572,3.061,2.815,2.442,2.284,0.0,10.0,0.9
0.02,0.0,0.19,-1.249,0.316,-0.949,-16.168,8.181,0.0,0.0,0.0,10.0,-16.254,-16.303,-16.465,-16.723,-17.052,-17.419,-17.805,-18.199,-18.596,-18.992,-19.384,-19.768,-20.133,-20.462,-20.73,-20.91,-20.962,-20.874,-20.675,-20.398,7.593,7.198,6.834,6.53,6.304,6.147,6.043,5.975,5.924,5.87,5.793,5.68,5.519,5.292,4.996,4.641,4.247,3.859,3.513,3.226,4.264,4.231,4.391,4.4,4.631,4.997,5.482,6.01,6.481,6.161,5.619,5.128,4.733,4.456,4.16,3.931,3.903,4.043,4.299,4.594,0.531,0.89,1.184,1.391,1.502,1.534,1.511,1.45,1.373,1.3,1.249,1.234,1.272,1.383,1.579,1.859,2.216,2.613,3.004,3.364,-0.267,-0.439,-0.708,-1.049,-1.432,-1.83,-2.229,-2.624,-3.017,-3.41,-3.806,-4.206,-4.604,-4.987,-5.335,-5.618,-5.792,-5.831,-5.752,-5.58,7.008,6.946,6.995,3.363,2.234,1.639,1.444,1.386,9.049,8.668,4.702,3.799,3.301,2.98,2.692,2.475,2.292,2.199,2.174,2.094,1.958,1.867,1.805,1.742,1.694,1.702,1.751,1.791,1.806,1.929,2.079,2.233,2.474,2.76,3.18,3.569,3.075,2.814,2.446,2.275,0.0,10.0,0.9
0.04,0.0,0.38,-1.249,0.316,-0.949,-16.167,8.177,0.0,0.0,0.0,10.0,-16.254,-16.303,-16.465,-16.723,-17.052,-17.419,-17.805,-18.199,-18.596,-18.992,-19.384,-19.768,-20.133,-20.462,-20.73,-20.91,-20.962,-20.874,-20.675,-20.398,7.593,7.198,6.834,6.53,6.304,6.147,6.043,5.975,5.924,5.87,5.793,5.68,5.519,5.292,4.996,4.641,4.247,3.859,3.513,3.226,4.264,4.231,4.391,4.4,4.631,4.997,5.482,6.01,6.481,6.161,5.619,5.128,4.733,4.456,4.16,3.931,3.903,4.043,4.299,4.594,0.526,0.886,1.18,1.386,1.497,1.53,1.506,1.446,1.369,1.295,1.244,1.229,1.267,1.379,1.574,1.855,2.212,2.608,2.999,3.359,-0.267,-0.439,-0.708,-1.049,-1.432,-1.83,-2.229,-2.624,-3.017,-3.41,-3.806,-4.206,-4.604,-4.987,-5.335,-5.618,-5.792,-5.831,-5.752,-5.58,7.045,6.967,6.779,3.336,2.191,1.653,1.458,1.328,9.031,8.68,4.653,3.798,3.289,2.979,2.673,2.476,2.297,2.201,2.163,2.106,1.957,1.859,1.763,1.786,1.711,1.696,1.768,1.772,1.818,1.927,2.02,2.208,2.45,2.735,3.196,3.575,3.055,2.807,2.445,2.277,0.0,10.0,0.9
0.06,0.0,0.571,-1.249,0.316,-0.949,-16.164,8.168,0.0,0.0,0.0,10.0,-16.254,-16.303,-16.465,-16.723,-17.052,-17.419,-17.805,-18.199,-18.596,-18.992,-19.384,-19.768,-20.133,-20.462,-20.73,-20.91,-20.962,-20.874,-20.675,-20.398,7.593,7.198,6.834,6.53,6.304,6.147,6.043,5.975,5.924,5.87,5.793,5.68,5.519,5.292,4.996,4.641,4.247,3.859,3.513,3.226,4.264,4.231,4.391,4.4,4.631,4.997,5.482,6.01,6.481,6.161,5.619,5.128,4.733,4.456,4.16,3.931,3.903,4.043,4.299,4.594,0.517,0.877,1.171,1.378,1.488,1.521,1.497,1.437,1.36,1.287,1.235,1.221,1.259,1.37,1.566,1.846,2.203,2.599,2.99,3.35,-0.267,-0.439,-0.708,-1.049,-1.432,-1.83,-2.229,-2.624,-3.017,-3.41,-3.806,-4.206,-4.604,-4.987,-5.335,-5.618,-5.792,-5.831,-5.752,-5.58,7.024,6.948,6.782,3.352,2.168,1.586,1.459,1.303,9.02,8.674,4.67,3.798,3.319,2.922,2.587,2.416,2.28,2.189,2.125,2.115,1.912,1.867,1.779,1.699,1.695,1.695,1.741,1.729,1.808,1.924,2.028,2.198,2.38,2.696,3.205,3.586,3.071,2.717,2.449,2.278,0.0,10.0,0.9
0.08,0.0,0.761,-1.249,0.316,-0.949,-16.16,8.157,0.0,0.0,0.0,10.0,-16.254,-16.303,-16.465,-16.723,-17.052,-17.419,-17.805,-18.199,-18.596,-18.992,-19.384,-19.768,-20.133,-20.462,-20.73,-20.91,-20.962,-20.874,-20.675,-20.398,7.593,7.198,6.834,6.53,6.304,6.147,6.043,5.975,5.924,5.87,5.793,5.68,5.519,5.292,4.996,4.641,4.247,3.859,3.513,3.226,4.264,4.231,4.391,4.4,4.631,4.997,5.482,6.01,6.481,6.161,5.619,5.128,4.733,4.456,4.16,3.931,3.903,4.043,4.299,4.594,0.505,0.865,1.159,1.365,1.476,1.509,1.485,1.425,1.348,1.274,1.223,1.208,1.246,1.358,1.553,1.834,2.191,2.587,2.978,3.338,-0.267,-0.439,-0.708,-1.049,-1.432,-1.83,-2.229,-2.624,-3.017,-3.41,-3.806,-4.206,-4.604,-4.987,-5.335,-5.618,-5.792,-5.831,-5.752,-5.58,7.052,6.957,6.749,3.368,2.156,1.57,1.452,1.29,9.006,8.652,4.672,3.837,3.234,2.871,2.66,2.463,2.307,2.154,2.14,2.056,1.939,1.827,1.781,1.745,1.661,1.693,1.71,1.716,1.811,1.911,1.991,2.182,2.386,2.71,3.12,3.716,3.231,2.709,2.459,2.29,0.0,10.0,0.9
0.1,0.0,0.951,-1.249,0.316,-0.949,-16.155,8.141,0.0,0.0,0.08399999886751175,0.8759999871253967,-16.254,-16.303,-16.465,-16.723,-17.052,-17.419,-17.805,-18.199,-18.596,-18.992,-19.384,-19.768,-20.133,-20.462,-20.73,-20.91,-20.962,-20.874,-20.675,-20.398,7.593,7.198,6.834,6.53,6.304,6.147,6.043,5.975,5.924,5.87,5.793,5.68,5.519,5.292,4.996,4.641,4.247,3.859,3.513,3.226,4.264,4.231,4.391,4.4,4.631,4.997,5.482,6.01,6.481,6.161,5.619,5.128,4.733,4.456,4.16,3.931,3.903,4.043,4.299,4.594,0.489,0.848,1.142,1.349,1.46,1.492,1.469,1.408,1.332,1.258,1.207,1.192,1.23,1.342,1.537,1.818,2.175,2.571,2.962,3.322,-0.267,-0.439,-0.708,-1.049,-1.432,-1.83,-2.229,-2.624,-3.017,-3.41,-3.806,-4.206,-4.604,-4.987,-5.335,-5.618,-5.792,-5.831,-5.752,-5.58,7.066,6.95,6.462,3.1,2.217,1.576,1.465,1.292,8.977,8.64,4.573,3.759,3.247,2.865,2.556,2.395,2.256,2.166,2.095,2.032,1.883,1.851,1.735,1.67,1.674,1.683,1.663,1.717,1.769,1.856,2.012,2.18,2.404,2.707,3.137,3.801,3.23,2.735,2.496,2.277,0.084,0.876,0.9
0.12,0.182,0.925,-1.248,0.317,-0.948,-16.149,8.123,0.0,0.064,0.16099999845027924,6.491000175476074,-16.254,-16.303,-16.465,-16.723,-17.052,-17.419,-17.805,-18.199,-18.596,-18.992,-19.384,-19.768,-20.133,-20.462,-20.73,-20.91,-20.962,-20.874,-20.675,-20.398,7.593,7.198,6.834,6.53,6.304,6.147,6.043,5.975,5.924,5.87,5.793,5.68,5.519,5.292,4.996,4.641,4.247,3.859,3.513,3.226,4.264,4.231,4.391,4.4,4.631,4.997,5.482,6.01,6.481,6.161,5.619,5.128,4.733,4.456,4.16,3.931,3.903,4.043,4.299,4.594,0.47,0.829,1.123,1.329,1.44,1.472,1.448,1.387,1.31,1.236,1.185,1.17,1.207,1.318,1.513,1.794,2.15,2.547,2.938,3.298,-0.268,-0.44,-0.709,-1.05,-1.433,-1.832,-2.23,-2.626,-3.018,-3.411,-3.807,-4.207,-4.605,-4.988,-5.336,-5.619,-5.794,-5.834,-5.755,-5.583,7.033,7.009,6.483,3.05,2.086,1.615,1.481,1.238,9.018,8.653,4.578,3.674,3.205,2.833,2.578,2.374,2.276,2.161,2.079,2.036,1.864,1.804,1.724,1.664,1.639,1.655,1.654,1.724,1.759,1.858,1.987,2.174,2.305,2.706,3.079,3.667,3.09,2.752,2.561,2.326,0.161,6.491,0.9
0.14,0.13,1.115,-1.243,0.322,-0.947,-16.143,8.105,0.019,0.128,-0.07500000298023224,9.074999809265137,-16.254,-16.303,-16.465,-16.723,-17.052,-17.419,-17.805,-18.199,-18.596,-18.992,-19.384,-19.768,-20.133,-20.462,-20.73,-20.91,-20.962,-20.874,-20.675,-20.398,7.593,7.198,6.834,6.53,6.304,6.147,6.043,5.975,5.924,5.87,5.793,5.68,5.519,5.292,4.996,4.641,4.247,3.859,3.513,3.226,4.264,4.231,4.391,4.4,4.631,4.997,5.482,6.01,6.481,6.161,5.619,5.128,4.733,4.456,4.16,3.931,3.903,4.043,4.299,4.594,0.449,0.808,1.1,1.305,1.414,1.444,1.418,1.355,1.276,1.201,1.147,1.13,1.166,1.275,1.469,1.748,2.104,2.5,2.891,3.252,-0.27,-0.443,-0.714,-1.056,-1.44,-1.838,-2.237,-2.632,-3.024,-3.417,-3.813,-4.212,-4.61,-4.994,-5.343,-5.628,-5.804,-5.846,-5.769,-5.598,7.058,6.967,6.175,2.964,1.894,1.502,1.462,1.176,8.952,8.618,4.423,3.672,3.187,2.807,2.532,2.371,2.244,2.12,2.069,2.02,1.826,1.753,1.705,1.632,1.604,1.627,1.63,1.682,1.742,1.828,1.952,2.144,2.311,2.732,3.119,3.627,3.094,2.756,2.526,2.412,-0.075,9.075,0.9
0.16,0.278,1.306,-1.239,0.325,-0.946,-16.135,8.083,0.032,0.064,-0.45399999618530273,-0.6890000104904175,-16.254,-16.303,-16.465,-16.723,-17.052,-17.419,-17.805,-18.199,-18.596,-18.992,-19.384,-19.768,-20.133,-20.462,-20.73,-20.91,-20.962,-20.874,-20.675,-20.398,7.593,7.198,6.834,6.53,6.304,6.147,6.043,5.975,5.924,5.87,5.793,5.68,5.519,5.292,4.996,4.641,4.247,3.859,3.513,3.226,4.264,4.231,4.391,4.4,4.631,4.997,5.482,6.01,6.481,6.161,5.619,5.128,4.733,4.456,4.16,3.931,3.903,4.043,4.299,4.594,0.425,0.782,1.074,1.277,1.384,1.413,1.385,1.321,1.24,1.163,1.108,1.09,1.124,1.231,1.423,1.701,2.056,2.452,2.844,3.205,-0.272,-0.447,-0.719,-1.062,-1.446,-1.845,-2.244,-2.638,-3.03,-3.422,-3.818,-4.217,-4.616,-5.0,-5.35,-5.635,-5.813,-5.856,-5.781,-5.612,7.031,6.978,5.578,2.789,1.86,1.435,1.428,1.167,8.936,8.573,4.397,3.616,3.132,2.753,2.52,2.325,2.163,2.083,2.044,2.01,1.836,1.731,1.718,1.633,1.59,1.663,1.624,1.674,1.746,1.802,1.912,2.103,2.316,2.664,3.081,3.666,3.141,2.788,2.635,2.331,-0.454,-0.689,0.9
0.18,0.109,1.115,-1.234,0.331,-0.944,-16.126,8.06,0.02,0.0,-0.3479999899864197,0.05000000074505806,-16.254,-16.303,-16.465,-16.723,-17.052,-17.419,-17.805,-18.199,-18.596,-18.992,-19.384,-19.768,-20.133,-20.462,-20.73,-20.91,-20.962,-20.874,-20.675,-20.398,7.593,7.198,6.834,6.53,6.304,6.147,6.043,5.975,5.924,5.87,5.793,5.68,5.519,5.292,4.996,4.641,4.247,3.859,3.513,3.226,4.264,4.231,4.391,4.4,4.631,4.997,5.482,6.01,6.481,6.161,5.619,5.128,4.733,4.456,4.16,3.931,3.903,4.043,4.299,4.594,0.398,0.755,1.045,1.246,1.351,1.378,1.348,1.282,1.199,1.12,1.062,1.042,1.074,1.179,1.369,1.645,2.0,2.395,2.787,3.15,-0.275,-0.452,-0.726,-1.07,-1.454,-1.853,-2.252,-2.646,-3.037,-3.429,-3.825,-4.224,-4.622,-5.007,-5.358,-5.645,-5.825,-5.87,-5.797,-5.63,7.065,7.023,5.23,2.56,1.81,1.462,1.332,8.769,8.904,5.458,4.251,3.473,3.032,2.72,2.443,2.253,2.13,2.057,2.019,1.925,1.787,1.688,1.683,1.602,1.563,1.63,1.624,1.674,1.728,1.799,1.954,2.073,2.304,2.632,3.065,3.644,3.118,2.771,2.655,2.428,-0.348,0.05,0.9
