# This is F1TENTH simulation from 08.01.2024 at time 16:06:09
# Done with git-revision: unknown
# Starting position :,"[1.010959151508195, 10.20542299009568, -1.6974848956471866]"
# Saving: 0.02 s
# Speedfactor 0.8
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,1.857,-0.282,0.959,-8.983,7.322,0.0,0.0,0.0,10.0,-9.151,-9.536,-9.917,-10.294,-10.666,-11.033,-11.396,-11.755,-12.109,-12.46,-12.806,-13.148,-13.486,-13.819,-14.149,-14.476,-14.802,-15.131,-15.464,-15.804,7.146,7.039,6.919,6.785,6.639,6.482,6.315,6.139,5.955,5.763,5.563,5.356,5.142,4.923,4.698,4.468,4.237,4.009,3.788,3.579,6.58,6.754,6.92,7.077,7.226,7.369,7.506,7.637,7.763,7.883,7.999,8.111,8.218,7.976,7.71,7.374,6.975,6.626,6.321,6.052,-0.122,-0.116,-0.124,-0.146,-0.181,-0.228,-0.286,-0.353,-0.43,-0.516,-0.61,-0.712,-0.822,-0.938,-1.062,-1.19,-1.319,-1.445,-1.563,-1.668,0.211,0.611,1.01,1.409,1.807,2.204,2.6,2.993,3.386,3.776,4.164,4.55,4.935,5.317,5.697,6.076,6.454,6.833,7.215,7.6,3.765,7.956,7.989,8.166,6.269,4.521,3.549,2.985,2.601,2.298,2.076,1.952,1.871,1.749,1.713,1.721,1.701,1.685,1.72,1.781,1.855,1.927,2.055,2.217,2.468,2.914,3.497,4.066,4.185,4.386,4.666,4.991,5.5,6.053,6.819,14.343,13.316,11.561,1.499,1.313,0.0,10.0,0.9
0.02,0.0,0.19,1.857,-0.282,0.959,-8.983,7.323,0.0,0.0,0.0,10.0,-9.151,-9.536,-9.917,-10.294,-10.666,-11.033,-11.396,-11.755,-12.109,-12.46,-12.806,-13.148,-13.486,-13.819,-14.149,-14.476,-14.802,-15.131,-15.464,-15.804,7.146,7.039,6.919,6.785,6.639,6.482,6.315,6.139,5.955,5.763,5.563,5.356,5.142,4.923,4.698,4.468,4.237,4.009,3.788,3.579,6.58,6.754,6.92,7.077,7.226,7.369,7.506,7.637,7.763,7.883,7.999,8.111,8.218,7.976,7.71,7.374,6.975,6.626,6.321,6.052,-0.123,-0.117,-0.125,-0.147,-0.182,-0.229,-0.287,-0.354,-0.431,-0.517,-0.611,-0.713,-0.823,-0.939,-1.062,-1.191,-1.32,-1.446,-1.564,-1.669,0.211,0.611,1.01,1.409,1.807,2.204,2.6,2.993,3.386,3.776,4.164,4.55,4.935,5.317,5.697,6.076,6.454,6.833,7.215,7.6,3.749,7.945,7.992,8.165,6.312,4.527,3.556,2.991,2.603,2.285,2.065,1.947,1.874,1.747,1.712,1.734,1.695,1.716,1.732,1.804,1.855,1.939,2.037,2.185,2.463,2.904,3.49,4.075,4.17,4.408,4.696,5.012,5.512,6.077,6.811,14.34,13.331,11.586,1.503,1.304,0.0,10.0,0.9
0.04,0.0,0.38,1.857,-0.282,0.959,-8.984,7.328,0.0,0.0,0.0,10.0,-9.151,-9.536,-9.917,-10.294,-10.666,-11.033,-11.396,-11.755,-12.109,-12.46,-12.806,-13.148,-13.486,-13.819,-14.149,-14.476,-14.802,-15.131,-15.464,-15.804,7.146,7.039,6.919,6.785,6.639,6.482,6.315,6.139,5.955,5.763,5.563,5.356,5.142,4.923,4.698,4.468,4.237,4.009,3.788,3.579,6.58,6.754,6.92,7.077,7.226,7.369,7.506,7.637,7.763,7.883,7.999,8.111,8.218,7.976,7.71,7.374,6.975,6.626,6.321,6.052,-0.128,-0.121,-0.13,-0.152,-0.187,-0.234,-0.291,-0.359,-0.436,-0.522,-0.616,-0.718,-0.828,-0.944,-1.067,-1.196,-1.325,-1.451,-1.569,-1.674,0.211,0.611,1.01,1.409,1.807,2.204,2.6,2.993,3.386,3.776,4.164,4.55,4.935,5.317,5.697,6.076,6.454,6.833,7.215,7.6,3.789,7.966,7.986,8.168,6.27,4.491,3.571,2.983,2.601,2.285,2.074,1.946,1.863,1.746,1.693,1.734,1.7,1.702,1.722,1.805,1.855,1.931,2.045,2.279,2.48,2.898,3.483,4.056,4.182,4.406,4.637,5.011,5.482,6.005,6.821,14.365,13.311,11.603,1.502,1.306,0.0,10.0,0.9
0.06,0.0,0.571,1.857,-0.282,0.959,-8.987,7.336,0.0,0.0,0.0,10.0,-9.151,-9.536,-9.917,-10.294,-10.666,-11.033,-11.396,-11.755,-12.109,-12.46,-12.806,-13.148,-13.486,-13.819,-14.149,-14.476,-14.802,-15.131,-15.464,-15.804,7.146,7.039,6.919,6.785,6.639,6.482,6.315,6.139,5.955,5.763,5.563,5.356,5.142,4.923,4.698,4.468,4.237,4.009,3.788,3.579,6.58,6.754,6.92,7.077,7.226,7.369,7.506,7.637,7.763,7.883,7.999,8.111,8.218,7.976,7.71,7.374,6.975,6.626,6.321,6.052,-0.136,-0.13,-0.138,-0.16,-0.195,-0.242,-0.3,-0.368,-0.445,-0.53,-0.624,-0.727,-0.836,-0.953,-1.076,-1.204,-1.334,-1.46,-1.577,-1.683,0.211,0.611,1.01,1.409,1.807,2.204,2.6,2.993,3.386,3.776,4.164,4.55,4.935,5.317,5.697,6.076,6.454,6.833,7.215,7.6,3.764,7.968,8.001,8.151,6.275,4.468,3.58,3.004,2.54,2.255,2.091,1.962,1.885,1.755,1.699,1.724,1.646,1.69,1.731,1.814,1.809,1.874,2.061,2.242,2.463,2.898,3.468,4.063,4.202,4.361,4.644,4.955,5.492,6.022,6.83,14.373,13.337,11.613,1.512,1.308,0.0,10.0,0.9
0.08,0.0,0.761,1.857,-0.282,0.959,-8.99,7.348,0.0,0.0,0.0,10.0,-9.151,-9.536,-9.917,-10.294,-10.666,-11.033,-11.396,-11.755,-12.109,-12.46,-12.806,-13.148,-13.486,-13.819,-14.149,-14.476,-14.802,-15.131,-15.464,-15.804,7.146,7.039,6.919,6.785,6.639,6.482,6.315,6.139,5.955,5.763,5.563,5.356,5.142,4.923,4.698,4.468,4.237,4.009,3.788,3.579,6.58,6.754,6.92,7.077,7.226,7.369,7.506,7.637,7.763,7.883,7.999,8.111,8.218,7.976,7.71,7.374,6.975,6.626,6.321,6.052,-0.149,-0.142,-0.15,-0.172,-0.208,-0.255,-0.312,-0.38,-0.457,-0.543,-0.637,-0.739,-0.848,-0.965,-1.088,-1.217,-1.346,-1.472,-1.59,-1.695,0.211,0.611,1.01,1.409,1.807,2.204,2.6,2.993,3.386,3.776,4.164,4.55,4.935,5.317,5.697,6.076,6.454,6.833,7.215,7.6,3.806,7.976,7.996,8.174,6.151,4.412,3.575,2.966,2.533,2.247,2.09,1.931,1.825,1.728,1.706,1.699,1.664,1.695,1.673,1.742,1.811,1.875,2.038,2.263,2.455,2.891,3.434,4.071,4.18,4.398,4.633,4.949,5.429,6.024,6.794,14.395,13.315,11.673,1.498,1.355,0.0,10.0,0.9
0.1,0.0,0.951,1.857,-0.282,0.959,-8.995,7.363,0.0,0.0,-0.1550000011920929,4.239999771118164,-9.151,-9.536,-9.917,-10.294,-10.666,-11.033,-11.396,-11.755,-12.109,-12.46,-12.806,-13.148,-13.486,-13.819,-14.149,-14.476,-14.802,-15.131,-15.464,-15.804,7.146,7.039,6.919,6.785,6.639,6.482,6.315,6.139,5.955,5.763,5.563,5.356,5.142,4.923,4.698,4.468,4.237,4.009,3.788,3.579,6.58,6.754,6.92,7.077,7.226,7.369,7.506,7.637,7.763,7.883,7.999,8.111,8.218,7.976,7.71,7.374,6.975,6.626,6.321,6.052,-0.165,-0.158,-0.167,-0.189,-0.224,-0.271,-0.328,-0.396,-0.473,-0.559,-0.653,-0.755,-0.865,-0.981,-1.104,-1.233,-1.362,-1.488,-1.606,-1.711,0.211,0.611,1.01,1.409,1.807,2.204,2.6,2.993,3.386,3.776,4.164,4.55,4.935,5.317,5.697,6.076,6.454,6.833,7.215,7.6,3.855,8.003,8.013,8.19,6.094,4.428,3.56,2.96,2.497,2.242,2.039,1.91,1.841,1.684,1.699,1.683,1.648,1.649,1.678,1.756,1.792,1.85,2.042,2.138,2.417,2.819,3.404,4.065,4.146,4.349,4.62,4.95,5.459,5.99,6.81,14.4,13.34,11.66,1.906,1.337,-0.155,4.24,0.9
0.12,-0.047,1.141,1.856,-0.281,0.96,-9.0,7.383,-0.006,-0.064,-0.2750000059604645,0.6010000109672546,-9.151,-9.536,-9.917,-10.294,-10.666,-11.033,-11.396,-11.755,-12.109,-12.46,-12.806,-13.148,-13.486,-13.819,-14.149,-14.476,-14.802,-15.131,-15.464,-15.804,7.146,7.039,6.919,6.785,6.639,6.482,6.315,6.139,5.955,5.763,5.563,5.356,5.142,4.923,4.698,4.468,4.237,4.009,3.788,3.579,6.58,6.754,6.92,7.077,7.226,7.369,7.506,7.637,7.763,7.883,7.999,8.111,8.218,7.976,7.71,7.374,6.975,6.626,6.321,6.052,-0.185,-0.179,-0.188,-0.21,-0.245,-0.293,-0.351,-0.419,-0.496,-0.582,-0.677,-0.779,-0.889,-1.006,-1.13,-1.258,-1.388,-1.514,-1.632,-1.738,0.211,0.611,1.01,1.409,1.807,2.204,2.599,2.993,3.385,3.775,4.164,4.55,4.934,5.316,5.696,6.074,6.452,6.832,7.213,7.599,3.916,8.003,8.012,8.177,6.075,4.435,3.463,2.914,2.494,2.227,2.014,1.908,1.777,1.696,1.666,1.638,1.607,1.671,1.624,1.737,1.764,1.86,1.994,2.157,2.397,2.817,3.392,4.065,4.112,4.329,4.61,4.937,5.405,6.003,6.764,14.389,13.423,11.708,2.309,1.406,-0.275,0.601,0.9
0.14,-0.367,0.961,1.853,-0.278,0.961,-9.006,7.404,-0.03,-0.128,-0.18299999833106995,3.127000093460083,-9.151,-9.536,-9.917,-10.294,-10.666,-11.033,-11.396,-11.755,-12.109,-12.46,-12.806,-13.148,-13.486,-13.819,-14.149,-14.476,-14.802,-15.131,-15.464,-15.804,7.146,7.039,6.919,6.785,6.639,6.482,6.315,6.139,5.955,5.763,5.563,5.356,5.142,4.923,4.698,4.468,4.237,4.009,3.788,3.579,6.58,6.754,6.92,7.077,7.226,7.369,7.506,7.637,7.763,7.883,7.999,8.111,8.218,7.976,7.71,7.374,6.975,6.626,6.321,6.052,-0.208,-0.203,-0.213,-0.236,-0.273,-0.322,-0.381,-0.45,-0.529,-0.616,-0.712,-0.816,-0.926,-1.045,-1.169,-1.299,-1.43,-1.558,-1.677,-1.784,0.211,0.61,1.01,1.409,1.807,2.203,2.598,2.992,3.384,3.774,4.162,4.548,4.931,5.313,5.693,6.071,6.448,6.827,7.208,7.593,3.975,8.032,8.014,8.163,6.032,4.428,3.446,2.911,2.432,2.166,1.999,1.859,1.779,1.638,1.662,1.626,1.597,1.661,1.636,1.693,1.748,1.834,1.947,2.097,2.335,2.762,3.346,4.054,4.141,4.309,4.543,4.857,5.408,5.906,6.77,14.463,13.452,11.824,2.72,1.453,-0.183,3.127,0.9
0.16,-0.336,1.152,1.844,-0.27,0.963,-9.011,7.423,-0.048,-0.192,0.2720000147819519,8.437000274658203,-9.536,-9.917,-10.294,-10.666,-11.033,-11.396,-11.755,-12.109,-12.46,-12.806,-13.148,-13.486,-13.819,-14.149,-14.476,-14.802,-15.131,-15.464,-15.804,-16.153,7.039,6.919,6.785,6.639,6.482,6.315,6.139,5.955,5.763,5.563,5.356,5.142,4.923,4.698,4.468,4.237,4.009,3.788,3.579,3.384,6.754,6.92,7.077,7.226,7.369,7.506,7.637,7.763,7.883,7.999,8.111,8.218,7.976,7.71,7.374,6.975,6.626,6.321,6.052,5.811,-0.228,-0.242,-0.269,-0.309,-0.361,-0.424,-0.496,-0.578,-0.669,-0.768,-0.875,-0.99,-1.111,-1.239,-1.372,-1.507,-1.637,-1.76,-1.87,-1.964,0.609,1.008,1.407,1.804,2.2,2.595,2.988,3.379,3.768,4.155,4.54,4.923,5.304,5.683,6.059,6.436,6.813,7.194,7.578,7.966,3.918,8.02,8.047,8.162,6.324,4.429,3.498,2.886,2.447,2.169,1.984,1.857,1.762,1.655,1.623,1.639,1.578,1.617,1.618,1.719,1.72,1.786,1.96,2.048,2.308,2.681,3.171,3.92,4.067,4.269,4.505,4.83,5.356,5.976,6.633,14.591,13.554,11.929,3.531,1.435,0.272,8.437,0.9
0.18,-0.506,1.342,1.835,-0.262,0.965,-9.017,7.447,-0.058,-0.128,-0.11100000143051147,0.5680000185966492,-9.536,-9.917,-10.294,-10.666,-11.033,-11.396,-11.755,-12.109,-12.46,-12.806,-13.148,-13.486,-13.819,-14.149,-14.476,-14.802,-15.131,-15.464,-15.804,-16.153,7.039,6.919,6.785,6.639,6.482,6.315,6.139,5.955,5.763,5.563,5.356,5.142,4.923,4.698,4.468,4.237,4.009,3.788,3.579,3.384,6.754,6.92,7.077,7.226,7.369,7.506,7.637,7.763,7.883,7.999,8.111,8.218,7.976,7.71,7.374,6.975,6.626,6.321,6.052,5.811,-0.257,-0.274,-0.304,-0.348,-0.403,-0.469,-0.545,-0.631,-0.725,-0.827,-0.937,-1.055,-1.179,-1.31,-1.447,-1.584,-1.718,-1.844,-1.958,-2.055,0.608,1.007,1.406,1.803,2.198,2.593,2.985,3.375,3.764,4.15,4.534,4.916,5.296,5.673,6.049,6.424,6.8,7.18,7.563,7.951,3.877,8.084,8.015,8.198,6.322,4.44,3.493,2.879,2.419,2.153,1.922,1.833,1.762,1.678,1.61,1.587,1.553,1.603,1.604,1.655,1.728,1.764,1.888,2.062,2.247,2.611,3.118,3.816,4.098,4.217,4.469,4.802,5.228,5.837,6.591,14.707,13.64,12.06,5.077,1.492,-0.111,0.568,0.9
