# This is F1TENTH simulation from 08.01.2024 at time 16:51:31
# Done with git-revision: unknown
# Starting position :,"[1.9158272706886599, 5.4419102160917445, 2.2043528166721016]"
# Saving: 0.02 s
# Speedfactor 1.2
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,-1.65,-0.079,-0.997,-1.092,10.499,0.0,0.0,0.0,10.0,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,4.16,4.305,4.373,4.344,4.2,3.94,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,8.23,7.859,7.466,7.068,6.698,6.395,11.222,10.615,10.045,9.501,8.982,8.525,8.123,7.76,7.422,7.097,6.774,6.447,6.115,5.77,5.407,5.052,4.704,4.407,4.301,4.543,0.111,0.122,0.134,0.153,0.18,0.22,0.277,0.357,0.465,0.604,0.777,0.987,1.234,1.521,1.845,2.204,2.59,2.989,3.37,3.692,0.35,0.75,1.149,1.548,1.947,2.345,2.74,3.132,3.516,3.891,4.251,4.591,4.904,5.182,5.415,5.59,5.688,5.692,5.577,5.342,1.064,1.247,1.719,2.491,5.343,21.469,21.636,10.729,7.258,5.567,4.621,3.943,3.487,3.129,2.961,2.763,2.631,2.527,2.477,2.425,2.464,2.524,2.586,2.729,2.828,3.058,3.276,3.704,4.211,4.993,9.133,8.764,8.533,8.422,8.442,4.014,2.193,1.613,1.196,1.011,0.0,10.0,0.9
0.02,0.0,0.19,-1.65,-0.079,-0.997,-1.092,10.499,0.0,0.0,0.0,10.0,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,4.16,4.305,4.373,4.344,4.2,3.94,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,8.23,7.859,7.466,7.068,6.698,6.395,11.222,10.615,10.045,9.501,8.982,8.525,8.123,7.76,7.422,7.097,6.774,6.447,6.115,5.77,5.407,5.052,4.704,4.407,4.301,4.543,0.11,0.121,0.134,0.152,0.179,0.219,0.276,0.356,0.464,0.603,0.776,0.986,1.234,1.52,1.844,2.203,2.589,2.988,3.369,3.69,0.35,0.75,1.149,1.548,1.947,2.345,2.74,3.132,3.516,3.891,4.251,4.591,4.904,5.182,5.415,5.59,5.688,5.692,5.577,5.342,1.048,1.237,1.721,2.489,5.364,21.51,21.619,10.712,7.248,5.554,4.609,3.938,3.491,3.126,2.961,2.777,2.625,2.557,2.491,2.448,2.463,2.535,2.567,2.697,2.823,3.048,3.269,3.708,4.196,5.015,9.15,8.785,8.545,8.445,8.433,4.012,2.207,1.608,1.2,1.002,0.0,10.0,0.9
0.04,0.0,0.38,-1.65,-0.079,-0.997,-1.093,10.494,0.0,0.0,0.0,10.0,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,4.16,4.305,4.373,4.344,4.2,3.94,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,8.23,7.859,7.466,7.068,6.698,6.395,11.222,10.615,10.045,9.501,8.982,8.525,8.123,7.76,7.422,7.097,6.774,6.447,6.115,5.77,5.407,5.052,4.704,4.407,4.301,4.543,0.106,0.116,0.129,0.147,0.174,0.214,0.271,0.352,0.46,0.598,0.772,0.981,1.229,1.515,1.839,2.198,2.585,2.983,3.364,3.686,0.35,0.75,1.149,1.548,1.947,2.345,2.74,3.132,3.516,3.891,4.251,4.591,4.904,5.182,5.415,5.59,5.688,5.692,5.577,5.342,1.085,1.257,1.716,2.671,5.323,21.537,21.638,10.698,7.282,5.56,4.588,3.937,3.467,3.126,2.942,2.777,2.63,2.543,2.431,2.449,2.463,2.527,2.576,2.741,2.84,3.042,3.286,3.689,4.208,5.022,9.131,8.802,8.56,8.402,8.449,4.039,2.187,1.639,1.248,1.004,0.0,10.0,0.9
0.06,0.0,0.571,-1.65,-0.079,-0.997,-1.093,10.485,0.0,0.0,0.0,10.0,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,4.16,4.305,4.373,4.344,4.2,3.94,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,8.23,7.859,7.466,7.068,6.698,6.395,11.222,10.615,10.045,9.501,8.982,8.525,8.123,7.76,7.422,7.097,6.774,6.447,6.115,5.77,5.407,5.052,4.704,4.407,4.301,4.543,0.097,0.107,0.12,0.139,0.166,0.205,0.263,0.343,0.451,0.59,0.763,0.973,1.22,1.507,1.831,2.19,2.576,2.974,3.355,3.677,0.35,0.75,1.149,1.548,1.947,2.345,2.74,3.132,3.516,3.891,4.251,4.591,4.904,5.182,5.415,5.59,5.688,5.692,5.577,5.342,1.118,1.239,1.776,2.684,5.39,21.485,21.676,10.714,7.251,5.589,4.624,3.947,3.487,3.136,2.908,2.756,2.627,2.558,2.44,2.458,2.468,2.52,2.591,2.654,2.825,2.992,3.259,3.692,4.189,4.998,9.132,8.803,8.584,8.436,8.46,3.993,2.203,1.649,1.258,1.005,0.0,10.0,0.9
0.08,0.0,0.761,-1.65,-0.079,-0.997,-1.094,10.473,0.0,0.0,0.0,10.0,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,4.16,4.305,4.373,4.344,4.2,3.94,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,8.23,7.859,7.466,7.068,6.698,6.395,11.222,10.615,10.045,9.501,8.982,8.525,8.123,7.76,7.422,7.097,6.774,6.447,6.115,5.77,5.407,5.052,4.704,4.407,4.301,4.543,0.085,0.095,0.108,0.126,0.153,0.193,0.25,0.331,0.439,0.578,0.751,0.96,1.208,1.494,1.818,2.177,2.564,2.962,3.343,3.665,0.35,0.75,1.149,1.548,1.947,2.345,2.74,3.132,3.516,3.891,4.251,4.591,4.904,5.182,5.415,5.59,5.688,5.692,5.577,5.342,1.109,1.309,1.782,2.744,5.427,21.495,21.642,10.546,7.268,5.543,4.631,3.907,3.455,3.108,2.915,2.779,2.644,2.514,2.432,2.435,2.46,2.47,2.568,2.675,2.787,3.029,3.269,3.684,4.217,4.966,9.132,8.793,8.569,8.451,8.428,4.006,2.202,1.667,1.295,1.017,0.0,10.0,0.9
0.1,0.0,0.951,-1.65,-0.079,-0.997,-1.096,10.457,0.0,0.0,0.1770000010728836,2.4260001182556152,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,4.16,4.305,4.373,4.344,4.2,3.94,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,8.23,7.859,7.466,7.068,6.698,6.395,11.222,10.615,10.045,9.501,8.982,8.525,8.123,7.76,7.422,7.097,6.774,6.447,6.115,5.77,5.407,5.052,4.704,4.407,4.301,4.543,0.069,0.079,0.092,0.11,0.137,0.177,0.234,0.315,0.422,0.561,0.734,0.944,1.192,1.478,1.802,2.161,2.548,2.946,3.327,3.649,0.35,0.75,1.149,1.548,1.947,2.345,2.74,3.132,3.516,3.891,4.251,4.591,4.904,5.182,5.415,5.59,5.688,5.692,5.577,5.342,1.145,1.418,1.794,2.764,5.741,21.524,21.662,10.402,7.228,5.471,4.584,3.895,3.472,3.088,2.9,2.701,2.616,2.502,2.422,2.391,2.392,2.478,2.558,2.653,2.789,3.008,3.21,3.612,4.188,4.845,9.153,8.797,8.538,8.422,8.449,4.042,2.303,1.674,1.339,1.037,0.177,2.426,0.9
0.12,0.058,1.088,-1.649,-0.078,-0.997,-1.097,10.437,0.006,0.064,0.04899999871850014,8.152999877929688,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,4.16,4.305,4.373,4.344,4.2,3.94,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,8.23,7.859,7.466,7.068,6.698,6.395,11.222,10.615,10.045,9.501,8.982,8.525,8.123,7.76,7.422,7.097,6.774,6.447,6.115,5.77,5.407,5.052,4.704,4.407,4.301,4.543,0.049,0.06,0.073,0.092,0.119,0.159,0.217,0.298,0.406,0.545,0.719,0.929,1.176,1.463,1.788,2.147,2.533,2.932,3.312,3.634,0.35,0.75,1.149,1.548,1.947,2.345,2.74,3.131,3.516,3.89,4.25,4.59,4.903,5.181,5.414,5.588,5.686,5.689,5.574,5.339,1.188,1.453,1.861,2.821,6.07,21.49,21.636,10.331,7.144,5.396,4.522,3.852,3.408,3.097,2.904,2.705,2.578,2.524,2.367,2.372,2.413,2.487,2.539,2.572,2.782,2.977,3.235,3.591,4.105,4.83,9.143,8.807,8.546,8.435,8.437,4.084,2.436,1.693,1.353,1.053,0.049,8.153,0.9
0.14,0.1,1.278,-1.647,-0.077,-0.997,-1.099,10.415,0.013,0.064,-0.4519999921321869,11.267999649047852,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,4.16,4.305,4.373,4.344,4.2,3.94,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,8.23,7.859,7.466,7.068,6.698,6.395,11.222,10.615,10.045,9.501,8.982,8.525,8.123,7.76,7.422,7.097,6.774,6.447,6.115,5.77,5.407,5.052,4.704,4.407,4.301,4.543,0.027,0.038,0.052,0.072,0.1,0.141,0.2,0.281,0.39,0.53,0.704,0.914,1.163,1.45,1.775,2.134,2.521,2.92,3.3,3.621,0.35,0.75,1.149,1.548,1.947,2.344,2.739,3.13,3.515,3.889,4.249,4.588,4.901,5.178,5.41,5.584,5.681,5.683,5.568,5.332,1.203,1.486,2.035,3.059,6.366,21.507,21.656,10.112,6.938,5.331,4.446,3.761,3.357,3.09,2.86,2.64,2.568,2.457,2.38,2.378,2.351,2.409,2.495,2.562,2.721,2.922,3.183,3.484,4.124,4.833,9.137,8.782,8.55,8.434,8.441,4.073,2.615,1.774,1.34,1.129,-0.452,11.268,0.9
0.16,0.136,1.468,-1.645,-0.074,-0.997,-1.1,10.388,0.015,0.0,-0.3089999854564667,6.348999977111816,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,4.16,4.305,4.373,4.344,4.2,3.94,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,8.23,7.859,7.466,7.068,6.698,6.395,11.222,10.615,10.045,9.501,8.982,8.525,8.123,7.76,7.422,7.097,6.774,6.447,6.115,5.77,5.407,5.052,4.704,4.407,4.301,4.543,0.002,0.014,0.029,0.05,0.079,0.121,0.18,0.263,0.373,0.514,0.689,0.9,1.15,1.438,1.763,2.123,2.51,2.908,3.288,3.609,0.35,0.749,1.148,1.548,1.946,2.343,2.738,3.129,3.514,3.887,4.246,4.585,4.897,5.174,5.405,5.577,5.674,5.675,5.558,5.322,1.247,1.536,2.118,3.13,6.759,21.504,21.697,9.921,6.963,5.303,4.357,3.765,3.318,3.046,2.814,2.649,2.487,2.423,2.308,2.348,2.366,2.407,2.464,2.521,2.66,2.961,3.191,3.474,4.003,4.803,9.157,8.796,8.576,8.443,8.408,4.232,2.571,1.866,1.385,1.148,-0.309,6.349,0.9
0.18,0.002,1.659,-1.643,-0.072,-0.997,-1.102,10.358,0.006,-0.064,-0.25600001215934753,11.253999710083008,-0.752,-0.354,0.043,0.439,0.835,1.228,1.617,2.001,2.376,2.738,3.084,3.406,3.699,3.953,4.16,4.305,4.373,4.344,4.2,3.94,10.361,10.319,10.274,10.224,10.165,10.094,10.006,9.895,9.756,9.588,9.387,9.151,8.879,8.572,8.23,7.859,7.466,7.068,6.698,6.395,11.222,10.615,10.045,9.501,8.982,8.525,8.123,7.76,7.422,7.097,6.774,6.447,6.115,5.77,5.407,5.052,4.704,4.407,4.301,4.543,-0.028,-0.015,0.001,0.023,0.053,0.095,0.156,0.239,0.35,0.492,0.668,0.88,1.13,1.418,1.744,2.104,2.492,2.89,3.27,3.59,0.349,0.749,1.148,1.547,1.946,2.343,2.738,3.128,3.512,3.886,4.244,4.583,4.894,5.17,5.401,5.572,5.668,5.668,5.551,5.314,1.316,1.635,2.154,3.237,7.403,21.537,17.807,9.752,6.784,5.193,4.281,3.737,3.254,2.969,2.76,2.562,2.479,2.421,2.34,2.302,2.336,2.396,2.466,2.513,2.715,2.927,3.138,3.476,3.962,4.731,9.129,8.73,8.539,8.403,8.438,4.213,2.615,1.958,1.454,1.241,-0.256,11.254,0.9
