# This is F1TENTH simulation from 10.01.2024 at time 14:55:36
# Done with git-revision: unknown
# Starting position :,""[0.0, 0.0, 0.0]""
# Saving: 0.04 s
# Speedfactor 0.5
# Controller: Random input
#
# Data:
time,angular_control,translational_control,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,experiment_index,D_pose_x,D_pose_y,D_pose_theta,D_pose_theta_sin,D_pose_theta_cos,D_linear_vel_x,D_angular_vel_z,D_slip_angle,D_steering_angle,D_car_pose_x,D_car_pose_y
3.88,0.029895592,3.1863542,-0.7616025,3.1897979,-6.2769365,0.99998045,0.006248736,-25.810205,-35.693504,0.22638671,-0.06033048,9,3.0134678,1.0584831,-1.1988878,-1.1982254,0.036229193,-0.2222538,15.078542,-2.4206574,1.5037678,3.020023,1.039632
3.92,0.029895592,3.1863542,-0.310952,3.1873155,-6.302127,0.9998206,-0.018940445,-25.68538,-35.66741,0.1549825,-0.024240054,9,3.120613,0.65231323,-0.62975883,-0.6297295,-0.0039964914,-0.062060356,11.266263,-1.7851051,0.90226066,3.1076982,0.71130204
3.96,0.029895592,3.1863542,-0.049800105,3.1866226,-6.311463,0.99960023,-0.028273804,-25.558811,-35.652313,0.102175124,-0.0025857966,9,3.1642437,0.3774643,-0.23339987,-0.23333398,-0.0055089593,-0.01732111,6.5287976,-1.3201846,0.54135644,3.1523063,0.4667786
4.0,0.029895592,1.8407611,0.09232481,3.186429,-6.3117557,0.9995919,-0.028566463,-25.43161,-35.644264,0.06466048,0.010406758,9,3.180027,0.20122528,-0.0073194504,-0.00731647,-0.00020861626,-0.004839897,3.5531228,-0.93786603,0.32481387,3.172981,0.29198527
4.04,0.029895592,1.8407611,-0.12824374,2.8260288,-6.311897,0.99958783,-0.028707549,-25.307817,-35.640507,0.044686485,0.01820229,9,3.0948162,0.09393692,-0.003528595,-0.0035271514,-0.000101327896,-9.010005,-5.514214,-0.49934992,0.19488831,3.090844,0.18274279
4.08,-0.24895695,1.8407611,-0.045563314,2.4656286,-6.3163285,0.9994508,-0.03313715,-25.198391,-35.639107,0.036638577,0.022879612,9,2.7356625,0.034999847,-0.11079311,-0.11074003,-0.003425777,-9.010005,2.0670106,-0.20119771,0.11693304,2.733,0.12563267
4.12,-0.24895695,1.8407611,-0.30287194,2.1052284,-6.317145,0.99942344,-0.033953037,-25.10337,-35.639008,0.017184008,-0.08585501,9,2.3755074,0.0024795532,-0.02040863,-0.020397175,-0.0006839633,-9.010005,-6.432716,-0.48636422,-2.7183654,2.3740535,0.08313381
4.16,-0.24895695,1.8407611,-0.7784838,1.9146004,-6.334608,0.99867815,-0.05140011,-25.021101,-35.641186,-0.0066673523,-0.15109578,9,2.0567417,-0.054454803,-0.43658018,-0.43617684,-0.018632412,-4.7657013,-11.890297,-0.59628403,-1.6310192,2.056822,0.051333927
4.2,-0.24895695,1.8407611,-0.94793856,1.861377,-6.367207,0.99647224,-0.083922915,-24.945242,-35.646523,-0.023810321,-0.19024023,9,1.8964767,-0.13341904,-0.8149743,-0.8130701,-0.055147707,-1.3305843,-4.2363687,-0.42857423,-0.9786114,1.9009835,0.026209489
4.24,-0.24895695,1.8407611,-1.0779313,1.8465171,-6.4064565,0.99241173,-0.1229592,-24.871483,-35.655483,-0.03668169,-0.21372691,9,1.843977,-0.2240181,-0.9812355,-0.975907,-0.10151267,-0.37149787,-3.249818,-0.3217842,-0.58716685,1.8575295,0.0044157356
