# This is F1TENTH simulation from 10.01.2024 at time 14:55:36
# Done with git-revision: unknown
# Starting position :,"[0.0, 0.0, 0.0]"
# Saving: 0.04 s
# Speedfactor 0.5
# Controller: Random input
#
# Data:
time,angular_control,translational_control,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,experiment_index,D_pose_x,D_pose_y,D_pose_theta,D_pose_theta_sin,D_pose_theta_cos,D_linear_vel_x,D_angular_vel_z,D_slip_angle,D_steering_angle,D_car_pose_x,D_car_pose_y
1.68,0.09804401,5.0224285,-0.71404386,3.0138988,-0.89613974,0.62462914,-0.7809215,45.85875,-19.531958,0.011303822,-0.23858467,2,1.8245697,-2.0484924,-0.4132405,-0.26077777,-0.32056123,9.010005,-9.7078,-1.0553211,-0.09972453,2.7393913,0.14529765
1.72,0.09804401,5.0224285,-0.87805635,3.374299,-0.9285054,0.5990314,-0.8007256,45.936306,-19.628906,0.0058907904,-0.110584654,2,1.9389153,-2.4237156,-0.809142,-0.4951015,-0.6399438,9.010005,-4.100312,-0.13532577,3.2000003,3.1022022,0.100657225
1.76,0.09804401,5.0224285,-0.55266833,3.6712918,-0.96107787,0.57263666,-0.81980926,46.018932,-19.739363,0.01768033,-0.027133193,2,2.0656586,-2.7614117,-0.8143112,-0.47709197,-0.6598681,7.4248195,8.134701,0.2947385,2.0862865,3.4467027,0.112160444
1.8,0.09804401,5.0224285,-0.11618814,3.9147668,-0.97873837,0.5580699,-0.82979393,46.106167,-19.860508,0.023897536,0.022937689,2,2.1808624,-3.0286312,-0.44151247,-0.2496168,-0.36416948,6.086874,10.912004,0.15543015,1.251772,3.7302134,0.11947858
1.84,0.09804401,5.0224285,0.24991688,4.114367,-0.97940016,0.5575206,-0.8301631,46.1976,-19.990082,0.02031123,0.052980218,2,2.285862,-3.2393456,-0.01654476,-0.009229779,-0.01373142,4.9900055,9.152625,-0.089657634,0.7510632,3.9636004,0.0916363
1.88,0.09804401,5.0224285,0.5085287,4.2779994,-0.96648115,0.5681987,-0.8228914,46.293087,-20.12613,0.009844895,0.07100573,2,2.3871422,-3.401184,0.32297522,0.18179268,0.26695132,4.09081,6.465296,-0.26165837,0.45063785,4.155176,0.031810522
1.92,-0.049508415,5.0224285,0.6776186,4.412145,-0.9441717,0.586414,-0.8100115,46.39273,-20.266891,-0.003782515,0.08182104,2,2.4910927,-3.5190582,0.55773556,0.3219977,0.45538247,3.3536434,4.2272477,-0.34068525,0.2703827,4.3112893,-0.045811176
1.96,-0.049508415,5.0224285,0.66944134,4.522118,-0.9157705,0.60917974,-0.79303217,46.496796,-20.41079,-0.019813202,0.029289262,2,2.6016235,-3.5974503,0.7100314,0.42448342,0.5691439,2.7493238,-0.20443201,-0.40076718,-1.3132944,4.4377503,-0.1283226
2.0,-0.049508415,3.6007047,0.3376857,4.6122737,-0.89211696,0.6277656,-0.77840245,46.605053,-20.556826,-0.032741617,-0.002229808,2,2.7064323,-3.6509037,0.5913377,0.36574304,0.46464652,2.25389,-8.293891,-0.3232104,-0.78797674,4.5408773,-0.18521833
2.04,-0.049508415,3.6007047,0.2572689,4.2518735,-0.87893075,0.63797486,-0.7700572,46.7142,-20.701073,-0.038836665,-0.02114125,2,2.728653,-3.6061764,0.3296554,0.20863116,0.25523156,-9.010005,-2.0104198,-0.1523762,-0.47278604,4.517774,-0.19943094
2.08,-0.049508415,3.6007047,0.06893309,3.8914733,-0.87054753,0.6444079,-0.76468194,46.815548,-20.83314,-0.041007992,-0.032488115,2,2.533722,-3.3016682,0.20958036,0.13438165,0.16082674,-9.010005,-4.7083955,-0.05428316,-0.28367165,4.1574764,-0.19012976
2.12,-0.049508415,3.6007047,-0.17717458,3.6818871,-0.87059397,0.64437246,-0.76471186,46.909817,-20.954365,-0.034475736,-0.039296232,2,2.35672,-3.030634,-0.0011608005,-0.0007480383,-0.0008866191,-5.2396536,-6.152692,0.16330639,-0.17020293,3.836167,-0.15064526
2.16,-0.17948359,3.6007047,-0.36324337,3.6233706,-0.8799451,0.63719344,-0.7707039,47.000565,-21.069618,-0.02136217,-0.043381102,2,2.2686958,-2.8813362,-0.23377836,-0.14980137,-0.17947555,-1.4629126,-4.6517196,0.32783914,-0.102121755,3.6662552,-0.08747578
2.2,-0.17948359,3.6007047,-0.5601188,3.6070328,-0.8954576,0.6251617,-0.7804953,47.090397,-21.183146,-0.009913508,-0.0978221,2,2.2458076,-2.8381824,-0.38781315,-0.24478436,-0.30079335,-0.4084468,-4.9218855,0.28621656,-1.361025,3.619181,-0.02148068
2.24,-0.17948359,3.6007047,-0.94074667,3.6024714,-0.92184424,0.6043518,-0.7967175,47.179043,-21.296926,-0.00013747299,-0.1304867,2,2.2161484,-2.8445244,-0.65966547,-0.40555596,-0.5202472,-0.11403561,-9.515697,0.24440087,-0.8166149,3.6056156,0.04655075
2.28,-0.17948359,3.6007047,-1.2416745,3.6011977,-0.9628386,0.5711923,-0.8208163,47.265415,-21.412254,0.014573192,-0.15008545,2,2.1593094,-2.8831959,-1.0248586,-0.60246885,-0.82898736,-0.0318408,-7.5231967,0.36776662,-0.4899688,3.599955,0.12553692
2.32,-0.17948359,3.6007047,-1.4353089,3.6008425,-1.0147305,0.5278489,-0.8493383,47.348427,-21.529966,0.031114724,-0.1618447,2,2.0752907,-2.9428005,-1.2972966,-0.71305037,-1.0835856,-0.008881092,-4.84086,0.41353828,-0.29398128,3.5948732,0.20926976
2.36,-0.17948359,3.6007047,-1.5481447,3.6007433,-1.0734618,0.4770847,-0.8788573,47.426968,-21.65069,0.04644074,-0.16890025,2,1.96352,-3.018093,-1.4682829,-0.73797554,-1.2691051,-0.0024795532,-2.820894,0.3831504,-0.17638877,3.5892386,0.2857679
2.4,0.16319516,5.793523,-1.6097698,3.6007156,-1.1361183,0.4211184,-0.90700567,47.499977,-21.774832,0.059085347,-0.17313358,2,1.8252373,-3.1035423,-1.566413,-0.7037088,-1.3991572,-0.0006914139,-1.5406281,0.3161152,-0.10583326,3.5835714,0.34854174
2.44,0.16319516,5.793523,-0.564921,3.9611158,-1.1891212,0.37247553,-0.928042,47.568146,-21.905767,0.06433183,-0.045133576,2,1.704216,-3.2733917,-1.3250738,-0.5259082,-1.2160718,9.010005,26.12122,0.13116206,3.2,3.6726236,0.36232567
2.48,0.16319516,5.793523,0.15373921,4.291316,-1.2038486,0.35876805,-0.93342674,47.636795,-22.052217,0.053455308,0.03819792,2,1.7162323,-3.661251,-0.36818385,-0.13461858,-0.34268722,8.255005,17.966505,-0.27191302,2.0832875,4.033239,0.28843725
2.52,0.16319516,5.793523,0.6197802,4.5620136,-1.1925279,0.3693119,-0.9293055,47.707466,-22.211613,0.0334251,0.088196814,2,1.766777,-3.9848804,0.28301775,0.1030311,0.26359633,6.76744,11.651024,-0.5007552,1.2499723,4.3556633,0.17021191
2.56,0.16319516,5.793523,0.9337946,4.7839317,-1.1641542,0.39552754,-0.9184541,47.781445,-22.38085,0.009314306,0.11819616,2,1.8494606,-4.2309284,0.70934296,0.27128458,0.65539104,5.5479527,7.850361,-0.60276985,0.7499836,4.6174264,0.025195956
2.6,0.16319516,5.793523,1.1495137,4.9658604,-1.1242582,0.43184575,-0.9019475,47.860054,-22.557308,-0.015950233,0.13619575,2,1.9652367,-4.411459,0.9974003,0.4126653,0.9079553,4.548216,5.3929777,-0.6316135,0.44998974,4.827584,-0.1325295
2.64,-0.103526235,5.793523,1.301999,5.1150055,-1.0764172,0.47448522,-0.88026345,47.944557,-22.738714,-0.040671613,0.14699551,2,2.1125793,-4.5351505,1.1960238,0.54210126,1.0659866,3.7286282,3.8121312,-0.6180345,0.26999414,4.994515,-0.2922355
2.68,-0.103526235,5.793523,1.2074332,5.237274,-1.0229201,0.52087545,-0.8536327,48.0361,-22.923054,-0.06681141,0.046786815,2,2.2885323,-4.608488,1.3374269,0.665769,1.1597558,3.056717,-2.3641436,-0.653495,-2.5052176,5.1259966,-0.44688237
