# This is F1TENTH simulation from 04.01.2024 at time 18:13:03
# Done with git-revision: unknown
# Starting position :,"[3.62, 6.26, 0.378]"
# Saving: 0.02 s
# Speedfactor 0.9
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,imu_a_x,imu_a_y,imu_a_z,imu_ang_x,imu_ang_y,imu_ang_z,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,-0.969,0.566,-0.824,-20.207,-1.678,0.0,0.0,0.0,10.0,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,-17.5,-17.103,-16.705,-16.306,-15.908,-15.509,-15.111,-14.712,-14.315,-13.918,-13.525,-13.137,-12.757,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,-2.205,-2.164,-2.127,-2.092,-2.059,-2.027,-1.994,-1.959,-1.918,-1.865,-1.794,-1.698,-1.574,3.086,3.29,3.585,3.923,4.313,4.755,5.158,5.518,5.843,6.141,6.416,6.672,6.91,7.134,6.842,6.401,6.015,5.66,5.328,5.014,0.1,0.485,0.828,1.123,1.371,1.585,1.779,1.967,2.158,2.353,2.551,2.75,2.949,3.147,3.344,3.535,3.716,3.88,4.022,4.134,0.005,0.106,0.309,0.579,0.892,1.229,1.579,1.932,2.283,2.632,2.98,3.326,3.673,4.02,4.369,4.719,5.076,5.441,5.814,6.198,2.242,2.248,2.26,2.273,2.403,2.481,2.566,2.253,1.969,1.798,1.697,1.563,1.505,1.46,1.416,1.401,1.458,1.422,1.458,1.543,1.63,1.713,1.922,2.129,2.404,2.853,3.609,4.956,7.596,10.0,10.0,7.334,1.28,0.746,0.708,0.712,0.707,5.779,6.516,7.537,-0.0,0.0,-9.81,0.0,0.0,-48.428,0.0,10.0,0.9
0.02,0.0,0.006,-0.969,0.566,-0.824,-20.207,-1.678,0.0,0.0,0.0,10.0,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,-17.5,-17.103,-16.705,-16.306,-15.908,-15.509,-15.111,-14.712,-14.315,-13.918,-13.525,-13.137,-12.757,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,-2.205,-2.164,-2.127,-2.092,-2.059,-2.027,-1.994,-1.959,-1.918,-1.865,-1.794,-1.698,-1.574,3.086,3.29,3.585,3.923,4.313,4.755,5.158,5.518,5.843,6.141,6.416,6.672,6.91,7.134,6.842,6.401,6.015,5.66,5.328,5.014,0.1,0.485,0.828,1.123,1.371,1.585,1.779,1.967,2.158,2.353,2.551,2.75,2.949,3.147,3.344,3.535,3.716,3.88,4.022,4.134,0.005,0.106,0.309,0.579,0.892,1.229,1.579,1.932,2.283,2.632,2.98,3.326,3.673,4.02,4.369,4.719,5.076,5.441,5.814,6.198,2.226,2.238,2.262,2.271,2.437,2.487,2.573,2.259,1.971,1.785,1.685,1.558,1.509,1.458,1.416,1.415,1.452,1.452,1.47,1.567,1.629,1.725,1.904,2.098,2.398,2.843,3.602,4.96,7.581,10.0,10.0,7.355,1.292,0.77,0.7,0.71,0.721,5.778,6.52,7.528,0.024,-0.0,-9.81,0.0,0.0,0.0,0.0,10.0,0.9
0.04,0.0,0.014,-0.969,0.566,-0.824,-20.206,-1.678,0.0,0.0,0.0,10.0,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,-17.5,-17.103,-16.705,-16.306,-15.908,-15.509,-15.111,-14.712,-14.315,-13.918,-13.525,-13.137,-12.757,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,-2.205,-2.164,-2.127,-2.092,-2.059,-2.027,-1.994,-1.959,-1.918,-1.865,-1.794,-1.698,-1.574,3.086,3.29,3.585,3.923,4.313,4.755,5.158,5.518,5.843,6.141,6.416,6.672,6.91,7.134,6.842,6.401,6.015,5.66,5.328,5.014,0.1,0.485,0.828,1.122,1.371,1.585,1.779,1.967,2.158,2.353,2.551,2.749,2.948,3.147,3.344,3.535,3.716,3.88,4.022,4.134,0.005,0.106,0.309,0.579,0.892,1.229,1.579,1.932,2.283,2.632,2.98,3.326,3.673,4.02,4.369,4.719,5.076,5.441,5.814,6.198,2.263,2.258,2.257,2.253,2.394,2.502,2.588,2.251,1.969,1.785,1.687,1.557,1.498,1.457,1.397,1.415,1.457,1.438,1.459,1.568,1.629,1.717,1.912,2.141,2.416,2.837,3.619,4.941,7.593,10.0,10.0,7.331,1.269,0.745,0.716,0.715,0.701,5.771,6.519,7.58,0.371,-0.0,-9.81,0.0,0.0,0.0,0.0,10.0,0.9
0.06,0.0,0.022,-0.969,0.566,-0.824,-20.206,-1.678,0.0,0.0,0.0,10.0,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,-17.5,-17.103,-16.705,-16.306,-15.908,-15.509,-15.111,-14.712,-14.315,-13.918,-13.525,-13.137,-12.757,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,-2.205,-2.164,-2.127,-2.092,-2.059,-2.027,-1.994,-1.959,-1.918,-1.865,-1.794,-1.698,-1.574,3.086,3.29,3.585,3.923,4.313,4.755,5.158,5.518,5.843,6.141,6.416,6.672,6.91,7.134,6.842,6.401,6.015,5.66,5.328,5.014,0.099,0.484,0.828,1.122,1.371,1.584,1.778,1.967,2.158,2.353,2.55,2.749,2.948,3.146,3.343,3.535,3.716,3.88,4.021,4.133,0.005,0.106,0.309,0.579,0.892,1.229,1.579,1.932,2.283,2.632,2.98,3.326,3.673,4.02,4.369,4.719,5.076,5.441,5.814,6.198,2.242,2.24,2.267,2.269,2.41,2.484,2.589,2.247,1.958,1.805,1.705,1.574,1.517,1.466,1.402,1.404,1.453,1.427,1.469,1.577,1.634,1.71,1.928,2.105,2.399,2.836,3.593,4.949,7.584,10.0,10.0,7.325,1.294,0.753,0.725,0.705,0.717,5.781,6.529,7.582,0.428,0.0,-9.81,0.0,0.0,0.0,0.0,10.0,0.9
0.08,0.0,0.03,-0.969,0.566,-0.824,-20.206,-1.679,0.0,0.0,0.0,10.0,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,-17.5,-17.103,-16.705,-16.306,-15.908,-15.509,-15.111,-14.712,-14.315,-13.918,-13.525,-13.137,-12.757,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,-2.205,-2.164,-2.127,-2.092,-2.059,-2.027,-1.994,-1.959,-1.918,-1.865,-1.794,-1.698,-1.574,3.086,3.29,3.585,3.923,4.313,4.755,5.158,5.518,5.843,6.141,6.416,6.672,6.91,7.134,6.842,6.401,6.015,5.66,5.328,5.014,0.099,0.484,0.828,1.122,1.37,1.584,1.778,1.966,2.158,2.352,2.55,2.748,2.948,3.146,3.343,3.534,3.715,3.879,4.021,4.133,0.005,0.106,0.309,0.579,0.892,1.229,1.579,1.932,2.283,2.632,2.98,3.326,3.673,4.02,4.369,4.719,5.076,5.441,5.814,6.198,2.233,2.26,2.252,2.32,2.393,2.47,2.579,2.259,1.97,1.797,1.704,1.583,1.507,1.438,1.409,1.427,1.471,1.432,1.461,1.554,1.636,1.71,1.904,2.125,2.349,2.859,3.602,4.96,7.611,10.0,10.0,7.304,1.27,0.767,0.698,0.693,0.719,5.813,6.515,7.579,0.388,-0.0,-9.81,0.0,0.0,0.0,0.0,10.0,0.9
0.1,0.0,0.036,-0.969,0.566,-0.824,-20.206,-1.679,0.0,0.0,0.707,2.914,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,-17.5,-17.103,-16.705,-16.306,-15.908,-15.509,-15.111,-14.712,-14.315,-13.918,-13.525,-13.137,-12.757,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,-2.205,-2.164,-2.127,-2.092,-2.059,-2.027,-1.994,-1.959,-1.918,-1.865,-1.794,-1.698,-1.574,3.086,3.29,3.585,3.923,4.313,4.755,5.158,5.518,5.843,6.141,6.416,6.672,6.91,7.134,6.842,6.401,6.015,5.66,5.328,5.014,0.098,0.483,0.827,1.121,1.37,1.583,1.777,1.966,2.157,2.352,2.549,2.748,2.947,3.145,3.342,3.534,3.715,3.879,4.02,4.132,0.005,0.106,0.309,0.579,0.892,1.229,1.579,1.932,2.283,2.632,2.98,3.326,3.673,4.02,4.369,4.719,5.076,5.441,5.814,6.198,2.249,2.251,2.248,2.332,2.446,2.496,2.592,2.261,1.945,1.827,1.704,1.57,1.522,1.445,1.401,1.409,1.455,1.429,1.463,1.568,1.616,1.718,1.909,2.1,2.362,2.836,3.589,4.945,7.62,10.0,10.0,7.343,1.284,0.756,0.718,0.701,0.724,5.797,6.502,7.558,0.352,-0.0,-9.81,0.0,0.0,0.0,0.707,2.914,0.9
0.12,0.0,0.226,-0.969,0.566,-0.824,-20.205,-1.681,0.0,0.0,0.705,2.87,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,-17.5,-17.103,-16.705,-16.306,-15.908,-15.509,-15.111,-14.712,-14.315,-13.918,-13.525,-13.137,-12.757,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,-2.205,-2.164,-2.127,-2.092,-2.059,-2.027,-1.994,-1.959,-1.918,-1.865,-1.794,-1.698,-1.574,3.086,3.29,3.585,3.923,4.313,4.755,5.158,5.518,5.843,6.141,6.416,6.672,6.91,7.134,6.842,6.401,6.015,5.66,5.328,5.014,0.096,0.482,0.825,1.119,1.368,1.582,1.776,1.964,2.155,2.35,2.548,2.746,2.945,3.144,3.34,3.532,3.713,3.877,4.019,4.131,0.005,0.106,0.309,0.579,0.892,1.229,1.579,1.932,2.283,2.632,2.98,3.326,3.673,4.02,4.369,4.719,5.076,5.441,5.814,6.198,2.243,2.265,2.25,2.302,2.412,2.491,2.581,2.263,1.975,1.842,1.747,1.568,1.508,1.457,1.419,1.413,1.464,1.451,1.456,1.549,1.637,1.727,1.911,2.119,2.374,2.834,3.607,4.945,7.586,10.0,10.0,7.568,1.267,0.767,0.721,0.715,0.703,5.795,6.523,7.577,2.621,0.0,-9.81,0.0,0.0,0.0,0.705,2.87,0.9
0.14,0.0,0.417,-0.969,0.566,-0.824,-20.202,-1.685,0.0,0.0,0.705,2.84,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,-17.5,-17.103,-16.705,-16.306,-15.908,-15.509,-15.111,-14.712,-14.315,-13.918,-13.525,-13.137,-12.757,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,-2.205,-2.164,-2.127,-2.092,-2.059,-2.027,-1.994,-1.959,-1.918,-1.865,-1.794,-1.698,-1.574,3.086,3.29,3.585,3.923,4.313,4.755,5.158,5.518,5.843,6.141,6.416,6.672,6.91,7.134,6.842,6.401,6.015,5.66,5.328,5.014,0.091,0.476,0.82,1.114,1.362,1.576,1.77,1.958,2.15,2.345,2.542,2.741,2.94,3.138,3.335,3.527,3.708,3.872,4.013,4.125,0.005,0.106,0.309,0.579,0.892,1.229,1.579,1.932,2.283,2.632,2.98,3.326,3.673,4.02,4.369,4.719,5.076,5.441,5.814,6.198,2.194,2.231,2.265,2.283,2.392,2.486,2.613,2.282,1.95,1.791,1.686,1.576,1.519,1.461,1.425,1.41,1.413,1.402,1.48,1.517,1.604,1.711,1.884,2.076,2.346,2.814,3.588,4.904,7.629,10.0,10.0,7.332,1.307,0.773,0.713,0.723,0.734,5.802,6.514,7.567,9.51,-0.0,-9.81,0.0,0.0,0.0,0.705,2.84,0.9
0.16,0.0,0.607,-0.969,0.566,-0.824,-20.196,-1.693,0.0,0.0,0.704,2.833,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,-17.5,-17.103,-16.705,-16.306,-15.908,-15.509,-15.111,-14.712,-14.315,-13.918,-13.525,-13.137,-12.757,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,-2.205,-2.164,-2.127,-2.092,-2.059,-2.027,-1.994,-1.959,-1.918,-1.865,-1.794,-1.698,-1.574,3.086,3.29,3.585,3.923,4.313,4.755,5.158,5.518,5.843,6.141,6.416,6.672,6.91,7.134,6.842,6.401,6.015,5.66,5.328,5.014,0.082,0.467,0.81,1.104,1.353,1.567,1.761,1.949,2.14,2.335,2.533,2.732,2.93,3.129,3.326,3.517,3.698,3.862,4.004,4.116,0.005,0.106,0.309,0.579,0.892,1.229,1.579,1.932,2.283,2.632,2.98,3.326,3.673,4.02,4.369,4.719,5.076,5.441,5.814,6.198,2.237,2.228,2.277,2.272,2.412,2.49,2.59,2.223,1.976,1.803,1.69,1.58,1.515,1.478,1.436,1.419,1.394,1.406,1.455,1.543,1.614,1.709,1.897,2.078,2.369,2.843,3.532,4.913,7.617,10.0,10.0,7.826,1.311,0.773,0.712,0.742,0.731,5.793,6.502,7.535,9.51,-0.0,-9.81,0.0,0.0,0.0,0.704,2.833,0.9
0.18,0.0,0.797,-0.969,0.566,-0.824,-20.189,-1.704,0.0,0.0,0.705,2.84,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,-17.5,-17.103,-16.705,-16.306,-15.908,-15.509,-15.111,-14.712,-14.315,-13.918,-13.525,-13.137,-12.757,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,-2.205,-2.164,-2.127,-2.092,-2.059,-2.027,-1.994,-1.959,-1.918,-1.865,-1.794,-1.698,-1.574,3.086,3.29,3.585,3.923,4.313,4.755,5.158,5.518,5.843,6.141,6.416,6.672,6.91,7.134,6.842,6.401,6.015,5.66,5.328,5.014,0.068,0.454,0.797,1.091,1.34,1.554,1.748,1.936,2.127,2.322,2.52,2.718,2.918,3.116,3.312,3.504,3.685,3.849,3.991,4.103,0.005,0.106,0.309,0.579,0.892,1.229,1.579,1.932,2.283,2.632,2.98,3.326,3.673,4.02,4.369,4.719,5.076,5.441,5.814,6.198,2.263,2.251,2.255,2.332,2.433,2.484,2.585,2.209,1.957,1.767,1.618,1.505,1.465,1.451,1.38,1.368,1.419,1.401,1.441,1.529,1.593,1.737,1.875,2.087,2.321,2.81,3.535,4.86,7.587,10.0,10.0,8.09,1.458,0.811,0.728,0.72,0.729,5.74,6.483,7.568,9.51,-0.0,-9.81,0.0,0.0,0.0,0.705,2.84,0.9
