# This is F1TENTH simulation from 12.02.2024 at time 18:36:13
# Done with git-revision: unknown
# Starting position :,"[3.62, 6.26, 0.378]"
# Saving: 0.02 s
# Speedfactor 1.0
# Controller: Recorder-Node
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015
0.647,-0.004,-0.0,-0.007,1.0,-0.007,-16.813,-2.132,0.0,0.024,0.0,0.0,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-11.103,-11.231,-11.469,-11.775,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,0.462,0.838,1.158,1.414,7.165,7.447,7.709,7.956,7.595,7.1,6.665,6.264,5.89,5.537,5.203,4.881,4.565,4.262,3.989,3.788,3.719,3.726,3.911,4.252,2.852,4.312,4.296,1.921,4.807,4.721,2.259,4.332,4.379,4.598,4.759,3.079,2.695,2.398,2.806,2.841,3.326,4.065,3.517,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,10.868,10.937,11.549,11.412,11.867
0.697,-0.001,-0.0,-0.007,1.0,-0.007,-16.813,-2.132,0.0,0.024,0.0,0.0,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-11.103,-11.231,-11.469,-11.775,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,0.462,0.838,1.158,1.414,7.165,7.447,7.709,7.956,7.595,7.1,6.665,6.264,5.89,5.537,5.203,4.881,4.565,4.262,3.989,3.788,3.719,3.726,3.911,4.252,2.877,4.337,4.276,1.922,4.817,4.72,2.269,4.389,4.365,4.598,4.762,3.078,2.702,2.391,2.798,2.838,3.317,4.083,3.513,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,10.871,10.941,11.562,11.412,11.858
0.747,-0.003,-0.0,-0.007,1.0,-0.007,-16.813,-2.132,0.0,0.024,0.0,0.0,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-11.103,-11.231,-11.469,-11.775,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,0.462,0.838,1.158,1.414,7.165,7.447,7.709,7.956,7.595,7.1,6.665,6.264,5.89,5.537,5.203,4.881,4.565,4.262,3.989,3.788,3.719,3.726,3.911,4.252,2.861,4.322,4.282,1.927,4.724,4.722,2.254,4.374,4.398,4.595,4.765,3.083,2.697,2.391,2.803,2.838,3.317,4.064,3.597,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,10.87,10.951,11.552,11.388,11.863
0.797,-0.0,-0.0,-0.007,1.0,-0.007,-16.813,-2.132,0.0,0.024,0.0,0.0,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-11.103,-11.231,-11.469,-11.775,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,0.462,0.838,1.158,1.414,7.165,7.447,7.709,7.956,7.595,7.1,6.665,6.264,5.89,5.537,5.203,4.881,4.565,4.262,3.989,3.788,3.719,3.726,3.911,4.252,2.873,4.301,4.29,1.911,4.816,4.724,2.262,4.375,4.381,4.596,4.761,3.089,2.687,2.387,2.799,2.837,3.316,4.057,3.512,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,10.883,10.945,11.55,11.389,11.864
0.847,0.0,-0.0,-0.007,1.0,-0.007,-16.813,-2.132,0.0,0.024,0.0,0.0,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-11.103,-11.231,-11.469,-11.775,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,0.462,0.838,1.158,1.414,7.165,7.447,7.709,7.956,7.595,7.1,6.665,6.264,5.89,5.537,5.203,4.881,4.565,4.262,3.989,3.788,3.719,3.726,3.911,4.252,2.86,4.314,4.285,1.921,4.794,4.716,2.264,4.381,4.367,4.603,4.756,3.077,2.683,2.396,2.803,2.832,3.333,4.069,3.528,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,10.865,10.945,11.565,11.404,11.869
0.898,-0.001,-0.0,-0.007,1.0,-0.007,-16.813,-2.132,0.0,0.024,0.0,0.0,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-11.103,-11.231,-11.469,-11.775,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,0.462,0.838,1.158,1.414,7.165,7.447,7.709,7.956,7.595,7.1,6.665,6.264,5.89,5.537,5.203,4.881,4.565,4.262,3.989,3.788,3.719,3.726,3.911,4.252,2.855,4.3,4.298,1.933,4.818,4.726,2.26,4.39,4.385,4.592,4.769,3.089,2.691,2.398,2.799,2.833,3.316,4.07,3.497,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,10.87,10.96,11.562,11.405,11.878
0.948,0.001,-0.0,-0.007,1.0,-0.007,-16.813,-2.132,0.0,0.024,0.0,0.0,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-11.103,-11.231,-11.469,-11.775,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,0.462,0.838,1.158,1.414,7.165,7.447,7.709,7.956,7.595,7.1,6.665,6.264,5.89,5.537,5.203,4.881,4.565,4.262,3.989,3.788,3.719,3.726,3.911,4.252,2.856,4.312,4.288,1.917,4.819,4.726,2.265,4.379,4.37,4.587,4.751,3.075,2.691,2.392,2.808,2.832,3.319,4.069,3.493,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,10.877,10.938,11.573,11.406,11.863
0.998,0.001,-0.0,-0.007,1.0,-0.007,-16.813,-2.132,0.0,0.024,0.0,0.0,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-11.103,-11.231,-11.469,-11.775,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,0.462,0.838,1.158,1.414,7.165,7.447,7.709,7.956,7.595,7.1,6.665,6.264,5.89,5.537,5.203,4.881,4.565,4.262,3.989,3.788,3.719,3.726,3.911,4.252,2.857,4.32,4.295,1.913,4.759,4.726,2.259,4.357,4.385,4.593,4.762,3.073,2.713,2.391,2.804,2.823,3.322,4.066,3.605,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,10.88,10.952,11.556,11.394,11.873
1.048,-0.0,-0.0,-0.007,1.0,-0.007,-16.813,-2.132,0.0,0.024,0.0,0.0,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-11.103,-11.231,-11.469,-11.775,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,0.462,0.838,1.158,1.414,7.165,7.447,7.709,7.956,7.595,7.1,6.665,6.264,5.89,5.537,5.203,4.881,4.565,4.262,3.989,3.788,3.719,3.726,3.911,4.252,2.865,4.32,4.28,1.934,4.785,4.725,2.267,4.369,4.372,4.595,4.766,3.082,2.714,2.399,2.797,2.827,3.324,4.071,3.569,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,10.876,10.96,11.562,11.397,11.848
1.099,0.001,-0.0,-0.007,1.0,-0.007,-16.813,-2.132,0.0,0.024,0.0,0.0,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-11.103,-11.231,-11.469,-11.775,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,0.462,0.838,1.158,1.414,7.165,7.447,7.709,7.956,7.595,7.1,6.665,6.264,5.89,5.537,5.203,4.881,4.565,4.262,3.989,3.788,3.719,3.726,3.911,4.252,2.851,4.317,4.283,1.925,4.807,4.727,2.262,4.376,4.381,4.593,4.75,3.08,2.702,2.393,2.806,2.831,3.327,4.071,3.62,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,10.882,10.952,11.551,11.399,11.848
