# This is F1TENTH simulation from 12.02.2024 at time 18:45:04
# Done with git-revision: unknown
# Starting position :,"[3.62, 6.26, 0.378]"
# Saving: 0.02 s
# Speedfactor 1.0
# Controller: Recorder-Node
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015
0.668,-0.0,-0.0,0.227,0.974,0.225,-18.21,-2.514,0.0,0.024,0.0,0.0,-17.863,-17.466,-17.068,-16.67,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-2.246,-2.204,-2.165,-2.129,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,4.626,4.942,5.228,5.49,5.732,5.957,6.168,6.365,6.076,5.68,5.332,5.011,4.712,4.429,4.162,3.905,3.652,3.41,3.192,3.03,1.798,2.383,3.752,4.588,4.402,2.177,1.592,1.82,2.328,1.981,2.471,2.148,3.644,3.199,3.55,3.784,5.033,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,6.419,65.533,65.533,11.032,7.923,11.281,11.607,10.588,8.576,7.269
0.717,-0.002,-0.0,0.227,0.974,0.225,-18.21,-2.514,0.0,0.024,0.0,0.0,-17.863,-17.466,-17.068,-16.67,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-2.246,-2.204,-2.165,-2.129,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,4.626,4.942,5.228,5.49,5.732,5.957,6.168,6.365,6.076,5.68,5.332,5.011,4.712,4.429,4.162,3.905,3.652,3.41,3.192,3.03,1.802,2.373,3.741,4.582,4.504,2.185,1.598,1.818,2.323,1.98,2.46,2.151,3.635,3.192,3.552,3.788,5.039,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,6.431,65.533,65.533,7.95,7.975,11.277,11.631,10.625,8.56,7.253
0.768,-0.0,-0.0,0.227,0.974,0.225,-18.21,-2.514,0.0,0.024,0.0,0.0,-17.863,-17.466,-17.068,-16.67,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-2.246,-2.204,-2.165,-2.129,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,4.626,4.942,5.228,5.49,5.732,5.957,6.168,6.365,6.076,5.68,5.332,5.011,4.712,4.429,4.162,3.905,3.652,3.41,3.192,3.03,1.802,2.391,3.754,4.582,4.473,2.183,1.594,1.825,2.325,1.975,2.466,2.143,3.633,3.2,3.542,3.785,5.053,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,6.473,65.533,65.533,11.01,7.963,11.273,11.609,10.605,8.546,7.269
0.818,-0.001,-0.0,0.227,0.974,0.225,-18.21,-2.514,0.0,0.024,0.0,0.0,-17.863,-17.466,-17.068,-16.67,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-2.246,-2.204,-2.165,-2.129,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,4.626,4.942,5.228,5.49,5.732,5.957,6.168,6.365,6.076,5.68,5.332,5.011,4.712,4.429,4.162,3.905,3.652,3.41,3.192,3.03,1.796,2.391,3.739,4.578,4.432,2.185,1.592,1.821,2.325,1.975,2.467,2.148,3.636,3.202,3.543,3.787,5.038,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,6.442,65.533,65.533,11.038,7.948,11.281,11.641,10.604,8.566,7.251
0.869,-0.0,-0.0,0.227,0.974,0.225,-18.21,-2.514,0.0,0.024,0.0,0.0,-17.863,-17.466,-17.068,-16.67,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-2.246,-2.204,-2.165,-2.129,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,4.626,4.942,5.228,5.49,5.732,5.957,6.168,6.365,6.076,5.68,5.332,5.011,4.712,4.429,4.162,3.905,3.652,3.41,3.192,3.03,1.81,2.382,3.757,4.58,4.48,2.171,1.586,1.822,2.333,1.981,2.467,2.144,3.638,3.201,3.539,3.801,5.045,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,6.386,65.533,65.533,10.997,7.953,11.281,11.641,10.599,8.576,7.246
0.923,0.001,-0.0,0.227,0.974,0.225,-18.21,-2.514,0.0,0.024,0.0,0.0,-17.863,-17.466,-17.068,-16.67,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-2.246,-2.204,-2.165,-2.129,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,4.626,4.942,5.228,5.49,5.732,5.957,6.168,6.365,6.076,5.68,5.332,5.011,4.712,4.429,4.162,3.905,3.652,3.41,3.192,3.03,1.8,2.378,3.761,4.588,4.483,2.186,1.593,1.829,2.324,1.981,2.465,2.145,3.635,3.195,3.543,3.784,5.042,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,6.442,65.533,65.533,11.01,7.959,11.286,11.621,10.6,8.578,7.252
0.975,0.002,-0.0,0.227,0.974,0.225,-18.21,-2.514,0.0,0.024,0.0,0.0,-17.863,-17.466,-17.068,-16.67,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-2.246,-2.204,-2.165,-2.129,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,4.626,4.942,5.228,5.49,5.732,5.957,6.168,6.365,6.076,5.68,5.332,5.011,4.712,4.429,4.162,3.905,3.652,3.41,3.192,3.03,1.808,2.398,3.755,4.565,4.482,2.182,1.594,1.816,2.323,1.986,2.475,2.145,3.642,3.2,3.55,3.785,5.04,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,6.41,65.533,65.533,11.036,7.945,11.287,11.632,10.622,8.566,7.244
1.02,0.002,-0.0,0.227,0.974,0.225,-18.21,-2.514,0.0,0.024,0.0,0.0,-17.863,-17.466,-17.068,-16.67,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-2.246,-2.204,-2.165,-2.129,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,4.626,4.942,5.228,5.49,5.732,5.957,6.168,6.365,6.076,5.68,5.332,5.011,4.712,4.429,4.162,3.905,3.652,3.41,3.192,3.03,1.789,2.386,3.75,4.575,4.482,2.174,1.592,1.817,2.331,1.978,2.461,2.148,3.628,3.194,3.553,3.772,5.031,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,6.467,65.533,65.533,11.037,7.954,11.28,11.612,10.601,8.559,7.251
1.07,-0.001,-0.0,0.227,0.974,0.225,-18.21,-2.514,0.0,0.024,0.0,0.0,-17.863,-17.466,-17.068,-16.67,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-2.246,-2.204,-2.165,-2.129,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,4.626,4.942,5.228,5.49,5.732,5.957,6.168,6.365,6.076,5.68,5.332,5.011,4.712,4.429,4.162,3.905,3.652,3.41,3.192,3.03,1.797,2.389,3.739,4.573,4.423,2.181,1.596,1.817,2.327,1.975,2.462,2.14,3.641,3.197,3.544,3.778,5.051,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,6.414,65.533,65.533,11.037,7.94,11.28,11.639,10.583,8.569,7.261
1.12,-0.003,-0.0,0.227,0.974,0.225,-18.21,-2.514,0.0,0.024,0.0,0.0,-17.863,-17.466,-17.068,-16.67,-16.271,-15.873,-15.475,-15.076,-14.678,-14.281,-13.885,-13.491,-13.103,-12.724,-12.359,-12.014,-11.701,-11.432,-11.226,-11.107,-2.246,-2.204,-2.165,-2.129,-2.094,-2.061,-2.027,-1.992,-1.956,-1.913,-1.859,-1.787,-1.691,-1.565,-1.404,-1.201,-0.954,-0.659,-0.317,0.064,4.626,4.942,5.228,5.49,5.732,5.957,6.168,6.365,6.076,5.68,5.332,5.011,4.712,4.429,4.162,3.905,3.652,3.41,3.192,3.03,1.801,2.389,3.746,4.567,4.433,2.179,1.591,1.819,2.317,1.979,2.475,2.14,3.629,3.199,3.536,3.792,5.034,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,6.465,65.533,65.533,7.985,7.925,11.28,11.629,10.605,8.59,7.259
