s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,-20.143933,-1.611051,-2.610730,0.946040,3.500811,0.358254
0.099895,-20.089570,-1.694594,-2.519832,0.878091,3.511019,1.127887
0.199790,-20.027863,-1.773346,-2.435081,0.817080,3.542964,1.694994
0.299685,-19.960148,-1.846569,-2.356338,0.762844,3.590437,2.116165
0.399580,-19.886848,-1.914607,-2.282397,0.716964,3.648839,2.402855
0.499475,-19.809028,-1.977096,-2.213047,0.673001,3.714040,2.663228
0.599370,-19.727064,-2.034297,-2.147810,0.632938,3.784994,2.877033
0.699265,-19.641745,-2.086143,-2.086493,0.595634,3.860179,3.066861
0.799160,-19.553414,-2.132863,-2.028707,0.561369,3.938745,3.231116
0.899055,-19.462658,-2.174534,-1.974319,0.527975,4.019858,3.405845
0.998950,-19.369797,-2.211375,-1.923160,0.496452,4.103622,3.574785
1.098845,-19.275240,-2.243560,-1.875105,0.465830,4.189739,3.755000
1.198740,-19.179284,-2.271312,-1.830050,0.436460,4.278332,3.940229
1.298635,-19.082200,-2.294858,-1.787889,0.407634,4.369364,4.143906
1.398530,-18.984257,-2.314427,-1.748582,0.379567,4.463099,4.362300
1.498425,-18.885615,-2.330274,-1.712047,0.351807,4.559693,4.605277
1.598320,-18.786510,-2.342640,-1.678279,0.324471,4.659495,4.871519
1.698215,-18.687018,-2.351792,-1.647226,0.297116,4.762790,5.172474
1.798110,-18.587339,-2.357985,-1.618910,0.269956,4.870070,5.505618
1.898005,-18.487486,-2.361489,-1.593286,0.242964,4.981721,5.874277
1.997900,-18.387621,-2.362568,-1.570366,0.216038,5.098153,6.284445
2.097795,-18.287712,-2.361491,-1.550113,0.189345,5.219841,6.302266
2.197690,-18.187883,-2.358526,-1.532536,0.162647,5.339089,6.235676
2.297585,-18.088076,-2.353937,-1.517615,0.136021,5.454511,6.171118
2.397480,-17.988377,-2.347995,-1.505361,0.109347,5.566383,6.108448
2.497375,-17.888713,-2.340961,-1.495765,0.082750,5.674947,6.047538
2.597270,-17.789145,-2.333107,-1.488830,0.056107,5.780421,5.988274
2.697165,-17.689593,-2.324686,-1.484341,0.034018,5.882998,5.930556
2.797060,-17.590096,-2.315928,-1.482034,0.012168,5.982853,5.874291
2.896955,-17.490595,-2.307025,-1.481153,0.006405,6.080144,5.819397
2.996850,-17.391108,-2.298058,-1.480752,0.001625,6.175015,5.765797
3.096745,-17.291618,-2.289070,-1.480659,0.000420,6.267596,5.713425
3.196640,-17.192129,-2.280077,-1.480667,-0.000573,6.358006,5.662216
3.296535,-17.092639,-2.271091,-1.480772,-0.001528,6.446355,5.612114
3.396430,-16.993148,-2.262119,-1.480972,-0.002481,6.532744,5.563065
3.496325,-16.893654,-2.253171,-1.481247,-0.002997,6.617264,5.515021
3.596220,-16.794158,-2.244253,-1.481571,-0.003490,6.700003,5.467937
