# This is F1TENTH simulation from 09.12.2023 at time 12:55:06
# Done with git-revision: unknown
# Starting position :,"[3.62, 6.26, 0.378]"
# Saving: 0.02 s
# Speedfactor 1.0
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,0.378,0.929,0.369,3.62,6.26,0.0,0.0,0.0,10.0,4.006,4.267,4.433,4.489,4.445,4.317,4.118,3.865,3.571,3.244,2.895,2.53,2.153,1.768,1.377,0.984,0.589,0.192,-0.205,-0.602,6.294,6.596,6.957,7.352,7.749,8.127,8.474,8.783,9.053,9.284,9.479,9.641,9.773,9.881,9.968,10.04,10.1,10.152,10.199,10.244,3.986,3.901,3.827,3.983,4.212,4.414,4.659,4.911,5.178,5.458,5.745,6.044,6.358,6.689,7.005,7.297,7.57,7.825,8.065,8.292,0.371,0.725,1.013,1.21,1.317,1.337,1.28,1.159,0.985,0.767,0.514,0.234,-0.067,-0.385,-0.716,-1.055,-1.4,-1.749,-2.101,-2.454,-0.111,0.073,0.348,0.695,1.079,1.478,1.874,2.254,2.614,2.949,3.259,3.544,3.807,4.049,4.274,4.486,4.688,4.883,5.073,5.261,2.73,2.884,3.06,3.393,3.696,6.824,5.638,4.908,4.381,3.928,3.667,3.464,3.328,3.212,3.172,3.122,3.136,3.179,3.263,3.428,3.627,3.918,4.321,4.815,4.831,4.579,4.321,4.171,4.095,0.78,0.685,0.701,0.748,0.735,0.818,0.843,0.946,1.053,1.225,1.464,10.0,0.0,1.2
0.02,0.0,0.19,0.378,0.929,0.369,3.621,6.26,0.0,0.0,-0.032,3.421,4.006,4.267,4.433,4.489,4.445,4.317,4.118,3.865,3.571,3.244,2.895,2.53,2.153,1.768,1.377,0.984,0.589,0.192,-0.205,-0.602,6.294,6.596,6.957,7.352,7.749,8.127,8.474,8.783,9.053,9.284,9.479,9.641,9.773,9.881,9.968,10.04,10.1,10.152,10.199,10.244,3.986,3.901,3.827,3.983,4.212,4.414,4.659,4.911,5.178,5.458,5.745,6.044,6.358,6.689,7.005,7.297,7.57,7.825,8.065,8.292,0.37,0.724,1.012,1.21,1.316,1.336,1.279,1.158,0.984,0.766,0.514,0.234,-0.068,-0.386,-0.717,-1.056,-1.401,-1.75,-2.102,-2.455,-0.111,0.073,0.348,0.695,1.079,1.478,1.874,2.254,2.614,2.949,3.259,3.544,3.807,4.049,4.274,4.486,4.688,4.883,5.073,5.261,2.714,2.874,3.063,3.391,3.73,6.78,5.646,4.914,4.383,3.929,3.655,3.442,3.332,3.21,3.171,3.136,3.13,3.209,3.275,3.452,3.627,3.929,4.301,4.784,4.826,4.569,4.293,4.175,4.081,0.802,0.715,0.723,0.761,0.759,0.81,0.84,0.911,1.052,1.229,1.455,3.421,-0.032,1.2
0.04,0.0,0.38,0.378,0.93,0.369,3.625,6.262,0.0,0.0,-0.044,3.743,4.006,4.267,4.433,4.489,4.445,4.317,4.118,3.865,3.571,3.244,2.895,2.53,2.153,1.768,1.377,0.984,0.589,0.192,-0.205,-0.602,6.294,6.596,6.957,7.352,7.749,8.127,8.474,8.783,9.053,9.284,9.479,9.641,9.773,9.881,9.968,10.04,10.1,10.152,10.199,10.244,3.986,3.901,3.827,3.983,4.212,4.414,4.659,4.911,5.178,5.458,5.745,6.044,6.358,6.689,7.005,7.297,7.57,7.825,8.065,8.292,0.366,0.719,1.008,1.205,1.311,1.331,1.274,1.153,0.978,0.76,0.508,0.228,-0.074,-0.392,-0.723,-1.062,-1.407,-1.756,-2.108,-2.461,-0.111,0.073,0.348,0.695,1.08,1.478,1.874,2.254,2.614,2.949,3.259,3.544,3.807,4.049,4.274,4.485,4.687,4.882,5.072,5.26,2.751,2.873,3.069,3.394,3.677,6.926,5.661,4.906,4.43,3.929,3.658,3.441,3.32,3.209,3.152,3.137,3.135,3.195,3.264,3.436,3.581,3.917,4.259,4.808,4.843,4.512,4.31,4.15,4.096,0.8,0.706,0.698,0.738,0.734,0.826,0.846,0.891,1.045,1.227,1.458,3.743,-0.044,1.2
0.06,-0.092,0.571,0.377,0.93,0.368,3.633,6.265,0.0,-0.064,0.071,4.435,4.006,4.267,4.433,4.489,4.445,4.317,4.118,3.865,3.571,3.244,2.895,2.53,2.153,1.768,1.377,0.984,0.589,0.192,-0.205,-0.602,6.294,6.596,6.957,7.352,7.749,8.127,8.474,8.783,9.053,9.284,9.479,9.641,9.773,9.881,9.968,10.04,10.1,10.152,10.199,10.244,3.986,3.901,3.827,3.983,4.212,4.414,4.659,4.911,5.178,5.458,5.745,6.044,6.358,6.689,7.005,7.297,7.57,7.825,8.065,8.292,0.357,0.711,0.999,1.196,1.302,1.321,1.265,1.143,0.968,0.75,0.498,0.218,-0.084,-0.402,-0.733,-1.073,-1.418,-1.767,-2.119,-2.472,-0.11,0.074,0.349,0.696,1.08,1.479,1.874,2.255,2.614,2.949,3.259,3.544,3.807,4.049,4.273,4.485,4.687,4.881,5.071,5.259,2.757,2.865,3.13,3.421,3.738,6.819,5.633,4.909,4.381,3.931,3.686,3.443,3.346,3.206,3.162,3.145,3.149,3.174,3.299,3.444,3.588,3.88,4.276,4.75,4.85,4.549,4.262,4.15,4.057,0.767,0.713,0.642,0.712,0.742,0.814,0.853,0.906,1.055,1.232,1.412,4.435,0.071,1.2
0.08,0.0,0.761,0.376,0.93,0.367,3.645,6.27,0.0,0.0,-0.022,4.214,4.006,4.267,4.433,4.489,4.445,4.317,4.118,3.865,3.571,3.244,2.895,2.53,2.153,1.768,1.377,0.984,0.589,0.192,-0.205,-0.602,6.294,6.596,6.957,7.352,7.749,8.127,8.474,8.783,9.053,9.284,9.479,9.641,9.773,9.881,9.968,10.04,10.1,10.152,10.199,10.244,3.986,3.901,3.827,3.983,4.212,4.414,4.659,4.911,5.178,5.458,5.745,6.044,6.358,6.689,7.005,7.297,7.57,7.825,8.065,8.292,0.345,0.698,0.986,1.182,1.287,1.306,1.249,1.127,0.952,0.733,0.48,0.199,-0.103,-0.422,-0.753,-1.093,-1.438,-1.788,-2.14,-2.494,-0.11,0.075,0.351,0.698,1.083,1.481,1.877,2.257,2.616,2.951,3.26,3.545,3.806,4.048,4.272,4.483,4.684,4.878,5.068,5.254,2.74,2.885,3.115,3.422,3.721,6.778,5.623,4.906,4.392,3.924,3.686,3.452,3.307,3.2,3.168,3.118,3.167,3.18,3.256,3.373,3.601,3.874,4.253,4.769,4.81,4.571,4.257,4.155,4.075,0.768,0.652,0.651,0.639,0.728,0.738,0.84,0.889,1.072,1.219,1.41,4.214,-0.022,1.2
0.1,0.0,0.951,0.375,0.931,0.366,3.66,6.276,0.0,0.0,-0.039,3.933,4.006,4.267,4.433,4.489,4.445,4.317,4.118,3.865,3.571,3.244,2.895,2.53,2.153,1.768,1.377,0.984,0.589,0.192,-0.205,-0.602,6.294,6.596,6.957,7.352,7.749,8.127,8.474,8.783,9.053,9.284,9.479,9.641,9.773,9.881,9.968,10.04,10.1,10.152,10.199,10.244,3.986,3.901,3.827,3.983,4.212,4.414,4.659,4.911,5.178,5.458,5.745,6.044,6.358,6.689,7.005,7.297,7.57,7.825,8.065,8.292,0.329,0.682,0.969,1.165,1.27,1.289,1.231,1.109,0.933,0.714,0.461,0.18,-0.122,-0.441,-0.773,-1.113,-1.458,-1.808,-2.161,-2.514,-0.11,0.076,0.351,0.698,1.084,1.482,1.878,2.258,2.617,2.951,3.26,3.545,3.806,4.048,4.272,4.482,4.683,4.877,5.066,5.252,2.761,2.918,3.111,3.397,3.803,6.775,5.666,4.91,4.332,3.925,3.653,3.439,3.336,3.161,3.111,3.089,3.133,3.167,3.269,3.403,3.526,3.883,4.158,4.722,4.82,4.544,4.263,4.115,4.078,0.762,0.656,0.66,0.653,0.716,0.757,0.852,0.894,1.027,1.185,1.416,3.933,-0.039,1.2
0.12,-0.032,1.141,0.374,0.931,0.365,3.678,6.283,-0.008,-0.064,0.111,3.973,4.006,4.267,4.433,4.489,4.445,4.317,4.118,3.865,3.571,3.244,2.895,2.53,2.153,1.768,1.377,0.984,0.589,0.192,-0.205,-0.602,6.294,6.596,6.957,7.352,7.749,8.127,8.474,8.783,9.053,9.284,9.479,9.641,9.773,9.881,9.968,10.04,10.1,10.152,10.199,10.244,3.986,3.901,3.827,3.983,4.212,4.414,4.659,4.911,5.178,5.458,5.745,6.044,6.358,6.689,7.005,7.297,7.57,7.825,8.065,8.292,0.309,0.662,0.949,1.145,1.249,1.268,1.21,1.087,0.911,0.692,0.438,0.157,-0.146,-0.465,-0.797,-1.137,-1.483,-1.833,-2.185,-2.539,-0.109,0.076,0.352,0.7,1.085,1.484,1.879,2.259,2.618,2.952,3.261,3.545,3.806,4.047,4.271,4.481,4.682,4.875,5.064,5.25,2.775,2.932,3.122,3.374,8.671,6.761,5.621,4.874,4.362,3.958,3.618,3.421,3.296,3.174,3.107,3.106,3.092,3.143,3.211,3.368,3.539,3.827,4.148,4.71,4.837,4.536,4.279,4.144,4.018,0.763,0.653,0.665,0.635,0.706,0.76,0.825,0.873,1.025,1.106,1.406,3.973,0.111,1.2
0.14,-0.094,1.331,0.372,0.932,0.363,3.701,6.291,-0.016,0.0,0.101,3.76,4.006,4.267,4.433,4.489,4.445,4.317,4.118,3.865,3.571,3.244,2.895,2.53,2.153,1.768,1.377,0.984,0.589,0.192,-0.205,-0.602,6.294,6.596,6.957,7.352,7.749,8.127,8.474,8.783,9.053,9.284,9.479,9.641,9.773,9.881,9.968,10.04,10.1,10.152,10.199,10.244,3.986,3.901,3.827,3.983,4.212,4.414,4.659,4.911,5.178,5.458,5.745,6.044,6.358,6.689,7.005,7.297,7.57,7.825,8.065,8.292,0.286,0.638,0.924,1.12,1.223,1.241,1.182,1.058,0.882,0.662,0.407,0.126,-0.178,-0.497,-0.829,-1.17,-1.516,-1.867,-2.22,-2.574,-0.108,0.078,0.354,0.702,1.088,1.486,1.882,2.261,2.62,2.954,3.262,3.546,3.806,4.046,4.269,4.479,4.679,4.871,5.059,5.245,2.841,2.93,3.125,3.424,8.703,6.757,5.613,4.891,4.309,3.899,3.614,3.442,3.245,3.144,3.111,3.041,3.083,3.13,3.201,3.355,3.506,3.795,4.129,4.629,4.831,4.525,4.277,4.116,4.035,0.861,0.761,0.641,0.664,0.651,0.74,0.8,0.869,0.986,1.084,1.303,3.76,0.101,1.2
0.16,0.036,1.522,0.37,0.932,0.362,3.726,6.301,-0.003,0.064,0.108,3.964,4.006,4.267,4.433,4.489,4.445,4.317,4.118,3.865,3.571,3.244,2.895,2.53,2.153,1.768,1.377,0.984,0.589,0.192,-0.205,-0.602,6.294,6.596,6.957,7.352,7.749,8.127,8.474,8.783,9.053,9.284,9.479,9.641,9.773,9.881,9.968,10.04,10.1,10.152,10.199,10.244,3.986,3.901,3.827,3.983,4.212,4.414,4.659,4.911,5.178,5.458,5.745,6.044,6.358,6.689,7.005,7.297,7.57,7.825,8.065,8.292,0.258,0.61,0.896,1.091,1.194,1.211,1.152,1.027,0.85,0.63,0.375,0.093,-0.211,-0.531,-0.863,-1.204,-1.551,-1.902,-2.255,-2.609,-0.108,0.079,0.356,0.704,1.09,1.489,1.884,2.263,2.621,2.955,3.263,3.546,3.806,4.046,4.268,4.477,4.677,4.869,5.056,5.242,2.824,2.969,3.188,3.406,8.698,6.78,5.604,4.864,4.273,3.88,3.591,3.419,3.243,3.16,3.103,3.034,3.048,3.09,3.155,3.325,3.487,3.74,4.079,4.606,4.822,4.536,4.235,4.107,3.979,4.035,0.755,0.653,0.668,0.65,0.689,0.769,0.866,0.935,1.064,1.285,3.964,0.108,1.2
0.18,0.26,1.712,0.372,0.932,0.363,3.756,6.313,0.015,0.128,0.139,3.918,4.267,4.433,4.489,4.445,4.317,4.118,3.865,3.571,3.244,2.895,2.53,2.153,1.768,1.377,0.984,0.589,0.192,-0.205,-0.602,-1.0,6.596,6.957,7.352,7.749,8.127,8.474,8.783,9.053,9.284,9.479,9.641,9.773,9.881,9.968,10.04,10.1,10.152,10.199,10.244,10.288,3.901,3.827,3.983,4.212,4.414,4.659,4.911,5.178,5.458,5.745,6.044,6.358,6.689,7.005,7.297,7.57,7.825,8.065,8.292,8.506,0.579,0.866,1.061,1.164,1.182,1.123,1.0,0.823,0.604,0.349,0.068,-0.236,-0.555,-0.887,-1.228,-1.574,-1.924,-2.277,-2.632,-2.986,0.078,0.355,0.702,1.088,1.486,1.882,2.262,2.62,2.954,3.262,3.546,3.807,4.047,4.27,4.48,4.679,4.872,5.06,5.246,5.432,2.862,2.981,3.193,3.479,8.652,6.648,5.507,4.755,4.188,3.833,3.499,3.347,3.172,3.104,3.048,2.986,3.033,3.074,3.176,3.263,3.487,3.735,4.035,4.623,4.817,4.48,4.229,4.096,3.973,4.008,0.77,0.695,0.646,0.64,0.707,0.75,0.829,0.908,1.081,1.256,3.918,0.139,1.2
