# This is F1TENTH simulation from 07.12.2023 at time 21:22:01
# Done with git-revision: unknown
# Starting position :,"[0.0, 0.0, 0.0]"
# Saving: 0.02 s
# Speedfactor 0.8
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_X_20,WYPT_X_21,WYPT_X_22,WYPT_X_23,WYPT_X_24,WYPT_X_25,WYPT_X_26,WYPT_X_27,WYPT_X_28,WYPT_X_29,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_Y_20,WYPT_Y_21,WYPT_Y_22,WYPT_Y_23,WYPT_Y_24,WYPT_Y_25,WYPT_Y_26,WYPT_Y_27,WYPT_Y_28,WYPT_Y_29,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_VX_20,WYPT_VX_21,WYPT_VX_22,WYPT_VX_23,WYPT_VX_24,WYPT_VX_25,WYPT_VX_26,WYPT_VX_27,WYPT_VX_28,WYPT_VX_29,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_X_20,WYPT_REL_X_21,WYPT_REL_X_22,WYPT_REL_X_23,WYPT_REL_X_24,WYPT_REL_X_25,WYPT_REL_X_26,WYPT_REL_X_27,WYPT_REL_X_28,WYPT_REL_X_29,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,WYPT_REL_Y_20,WYPT_REL_Y_21,WYPT_REL_Y_22,WYPT_REL_Y_23,WYPT_REL_Y_24,WYPT_REL_Y_25,WYPT_REL_Y_26,WYPT_REL_Y_27,WYPT_REL_Y_28,WYPT_REL_Y_29,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,4.118,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,8.474,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,3.727,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.94,3.318,3.68,4.006,4.267,4.433,4.489,4.445,4.317,4.118,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.332,3.71,4.104,4.499,4.852,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.958,7.352,7.749,8.127,8.474,1.827,1.695,1.673,1.561,1.596,1.504,1.493,1.496,1.533,1.553,1.661,1.799,2.052,2.245,2.659,3.378,3.773,3.679,3.631,3.672,3.709,3.862,4.032,4.224,4.552,4.873,4.684,1.658,1.567,1.534,1.539,1.596,1.632,1.701,1.793,1.956,2.174,2.449,2.749,3.107,10.0,0.0,0.66
0.02,0.0,0.19,0.0,1.0,0.0,0.001,0.0,0.0,0.0,0.184,3.616,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,4.118,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,8.474,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,3.727,0.405,0.802,1.181,1.354,1.64,1.806,1.851,1.798,1.671,1.501,1.322,1.156,1.025,0.963,1.012,1.197,1.48,1.815,2.179,2.558,2.94,3.317,3.678,4.005,4.266,4.432,4.488,4.444,4.316,4.118,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.332,3.71,4.104,4.499,4.852,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.958,7.352,7.749,8.127,8.474,1.811,1.684,1.676,1.56,1.63,1.51,1.5,1.502,1.535,1.539,1.649,1.794,2.055,2.243,2.659,3.392,3.767,3.71,3.643,3.695,3.709,3.873,4.013,4.192,4.547,4.863,4.677,1.663,1.553,1.556,1.568,1.618,1.645,1.725,1.785,1.954,2.187,2.449,2.753,3.098,3.616,0.184,0.66
0.04,0.055,0.38,0.0,1.0,0.0,0.006,0.0,0.0,0.064,0.15,3.593,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,4.118,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,8.474,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,3.727,0.401,0.798,1.176,1.35,1.636,1.802,1.847,1.794,1.667,1.497,1.318,1.152,1.021,0.96,1.009,1.194,1.477,1.812,2.176,2.554,2.936,3.314,3.676,4.002,4.263,4.43,4.485,4.442,4.313,4.115,0.174,0.216,0.341,0.44,0.717,1.078,1.474,1.87,2.249,2.611,2.969,3.332,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.643,5.761,5.894,6.064,6.293,6.594,6.956,7.351,7.748,8.126,8.473,1.848,1.704,1.7,1.542,1.587,1.524,1.515,1.494,1.532,1.539,1.652,1.793,2.044,2.242,2.64,3.413,3.775,3.696,3.632,3.706,3.709,3.829,4.022,4.236,4.566,4.857,4.694,4.542,1.523,1.554,1.559,1.593,1.622,1.7,1.8,1.959,2.147,2.412,2.761,3.13,3.593,0.15,0.66
0.06,0.185,0.571,0.002,1.0,0.002,0.014,0.0,0.0,0.128,0.108,3.673,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,4.118,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,8.474,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,3.727,0.392,0.79,1.169,1.342,1.629,1.796,1.841,1.789,1.663,1.494,1.316,1.151,1.021,0.96,1.01,1.196,1.479,1.815,2.179,2.558,2.94,3.318,3.68,4.007,4.268,4.436,4.492,4.45,4.322,4.124,0.173,0.214,0.338,0.437,0.713,1.074,1.47,1.866,2.245,2.608,2.966,3.33,3.708,4.102,4.497,4.849,5.129,5.346,5.51,5.638,5.755,5.887,6.056,6.285,6.585,6.947,7.342,7.738,8.117,8.464,1.827,1.686,1.71,1.558,1.603,1.507,1.516,1.49,1.501,1.559,1.669,1.81,2.074,2.251,2.645,3.42,3.771,3.702,3.642,3.715,3.715,3.823,4.03,4.199,4.557,4.84,4.617,4.513,1.514,1.55,1.567,1.587,1.646,1.708,1.809,1.95,2.162,2.462,2.771,3.131,3.673,0.108,0.66
0.08,0.259,0.761,0.007,1.0,0.007,0.027,0.0,0.0,0.128,0.092,3.647,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,4.118,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,8.474,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,3.727,0.381,0.778,1.158,1.332,1.619,1.788,1.835,1.785,1.66,1.493,1.316,1.152,1.024,0.964,1.016,1.203,1.488,1.824,2.19,2.569,2.952,3.33,3.693,4.021,4.284,4.452,4.51,4.47,4.344,4.147,0.171,0.21,0.333,0.432,0.706,1.067,1.463,1.859,2.238,2.602,2.96,3.325,3.703,4.098,4.493,4.844,5.123,5.338,5.501,5.627,5.743,5.873,6.04,6.268,6.568,6.928,7.323,7.72,8.099,8.447,1.868,1.706,1.595,1.559,1.586,1.492,1.456,1.502,1.512,1.602,1.662,1.819,2.022,2.274,2.652,3.442,3.758,3.668,3.634,3.654,3.727,3.824,3.982,4.242,4.515,4.81,4.591,1.613,1.571,1.55,1.555,1.596,1.623,1.722,1.783,1.937,2.114,2.48,2.748,3.128,3.647,0.092,0.66
0.1,0.165,0.951,0.012,1.0,0.012,0.043,0.0,0.0,0.064,0.1,3.632,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,4.118,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,8.474,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,3.727,0.366,0.763,1.143,1.318,1.607,1.777,1.827,1.778,1.656,1.491,1.316,1.154,1.028,0.971,1.025,1.214,1.5,1.837,2.203,2.583,2.967,3.346,3.709,4.039,4.303,4.474,4.534,4.495,4.372,4.177,0.169,0.206,0.327,0.425,0.698,1.057,1.453,1.849,2.229,2.593,2.953,3.319,3.698,4.093,4.487,4.837,5.114,5.328,5.489,5.613,5.727,5.855,6.02,6.246,6.544,6.904,7.298,7.695,8.075,8.424,1.884,1.703,1.591,1.583,1.63,1.519,1.47,1.504,1.488,1.645,1.662,1.856,2.087,2.288,2.766,3.555,3.711,3.625,3.599,3.668,3.658,3.832,3.953,4.195,4.52,4.81,4.58,1.598,1.579,1.545,1.56,1.575,1.647,1.71,1.802,1.925,2.12,2.387,2.735,3.115,3.632,0.1,0.66
0.12,0.176,1.141,0.017,1.0,0.017,0.063,0.0,0.013,0.128,0.134,3.585,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,4.118,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,8.474,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,3.727,0.346,0.744,1.125,1.3,1.59,1.762,1.814,1.767,1.646,1.483,1.31,1.15,1.025,0.97,1.025,1.216,1.504,1.842,2.209,2.589,2.973,3.353,3.717,4.047,4.313,4.486,4.548,4.511,4.389,4.196,0.168,0.203,0.322,0.419,0.69,1.049,1.444,1.841,2.222,2.587,2.947,3.313,3.693,4.088,4.482,4.832,5.108,5.32,5.479,5.601,5.713,5.839,6.003,6.227,6.524,6.883,7.277,7.675,8.055,8.405,1.875,1.715,1.59,1.6,1.594,1.512,1.455,1.524,1.515,1.619,1.673,1.852,2.059,2.297,2.781,3.6,3.688,3.644,3.588,3.61,3.692,3.806,3.947,4.212,4.502,4.776,4.59,4.511,1.493,1.563,1.575,1.578,1.578,1.687,1.78,1.886,2.137,2.374,2.766,3.17,3.585,0.134,0.66
0.14,0.336,1.331,0.021,1.0,0.021,0.087,0.001,0.029,0.128,0.186,3.669,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,4.118,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,8.474,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,3.727,0.323,0.721,1.102,1.278,1.569,1.743,1.796,1.751,1.632,1.47,1.298,1.14,1.016,0.963,1.02,1.212,1.501,1.84,2.208,2.589,2.973,3.353,3.718,4.05,4.317,4.491,4.554,4.519,4.399,4.208,0.166,0.199,0.317,0.413,0.683,1.041,1.436,1.833,2.214,2.58,2.941,3.308,3.688,4.084,4.478,4.826,5.101,5.312,5.469,5.59,5.7,5.825,5.987,6.21,6.506,6.864,7.258,7.655,8.036,8.387,1.841,1.709,1.593,1.599,1.582,1.496,1.438,1.535,1.495,1.604,1.65,1.857,2.075,2.289,2.823,3.701,3.661,3.605,3.575,3.58,3.676,3.738,3.95,4.193,4.459,4.762,4.61,4.472,1.514,1.512,1.532,1.513,1.606,1.632,1.761,1.905,2.121,2.396,2.763,3.169,3.669,0.186,0.66
0.16,0.434,1.522,0.028,1.0,0.028,0.114,0.003,0.036,0.192,0.187,3.659,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,4.118,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,8.474,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,3.727,0.297,0.695,1.077,1.253,1.546,1.722,1.778,1.736,1.619,1.46,1.291,1.135,1.015,0.964,1.024,1.218,1.509,1.85,2.218,2.6,2.985,3.366,3.732,4.065,4.334,4.511,4.577,4.545,4.427,4.238,0.163,0.194,0.308,0.403,0.672,1.028,1.423,1.82,2.202,2.569,2.932,3.3,3.68,4.076,4.47,4.817,5.09,5.298,5.453,5.571,5.679,5.801,5.96,6.181,6.475,6.832,7.225,7.623,8.004,8.356,1.783,1.726,1.605,1.596,1.589,1.498,1.445,1.524,1.569,1.616,1.724,1.921,2.089,2.426,2.875,3.745,3.641,3.578,3.55,3.572,3.667,3.755,3.958,4.157,4.503,4.763,4.583,4.473,1.501,1.506,1.526,1.503,1.58,1.631,1.758,1.922,2.147,2.411,2.797,3.165,3.659,0.187,0.66
0.18,0.56,1.712,0.037,0.999,0.037,0.145,0.005,0.042,0.192,0.22,3.703,0.406,0.803,1.182,1.355,1.641,1.807,1.852,1.799,1.672,1.502,1.323,1.157,1.026,0.964,1.013,1.198,1.481,1.816,2.18,2.558,2.941,3.318,3.679,4.006,4.267,4.433,4.489,4.445,4.317,4.118,0.174,0.216,0.341,0.441,0.717,1.079,1.475,1.87,2.249,2.611,2.969,3.333,3.71,4.104,4.499,4.851,5.132,5.35,5.515,5.644,5.762,5.895,6.064,6.294,6.596,6.957,7.352,7.749,8.127,8.474,3.619,3.387,3.304,2.879,2.813,2.848,3.068,3.316,3.637,4.062,4.181,3.648,3.215,2.916,2.806,2.769,3.1,3.463,3.826,4.228,4.256,3.777,3.428,3.189,3.121,3.062,3.186,3.369,3.531,3.727,0.267,0.665,1.048,1.225,1.522,1.701,1.76,1.722,1.609,1.454,1.288,1.135,1.019,0.972,1.036,1.233,1.527,1.87,2.239,2.622,3.009,3.391,3.758,4.093,4.365,4.545,4.615,4.587,4.473,4.287,0.159,0.186,0.297,0.39,0.656,1.011,1.405,1.802,2.186,2.554,2.918,3.287,3.67,4.066,4.459,4.804,5.074,5.279,5.43,5.545,5.649,5.767,5.923,6.14,6.432,6.787,7.18,7.578,7.96,8.314,1.813,1.758,1.585,1.598,1.56,1.461,1.439,1.49,1.601,1.591,1.731,1.937,2.092,2.422,2.965,3.683,3.599,3.535,3.555,3.519,3.627,3.737,3.903,4.156,4.45,4.677,4.552,4.403,1.504,1.453,1.468,1.493,1.565,1.646,1.755,1.872,2.078,2.357,2.751,3.181,3.703,0.22,0.66
