# This is F1TENTH simulation from 18.12.2023 at time 14:11:50
# Done with git-revision: unknown
#
# Saving: 0.02 s
#
# Controller: Recorder-Node
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015
0.659,-1.953,3.46,1.102,0.452,0.892,-10.753,-0.394,0.0,0.203,3.026,0.255,-11.118,-11.102,-11.217,-11.448,-11.751,-12.094,-12.459,-12.832,-13.205,-13.569,-13.913,-14.215,-14.442,-14.55,-14.515,-14.353,-14.103,-13.792,-13.443,-13.07,0.041,0.439,0.819,1.144,1.404,1.608,1.772,1.916,2.06,2.223,2.427,2.688,3.016,3.399,3.795,4.159,4.469,4.72,4.915,5.058,3.026,2.928,2.929,3.08,3.353,3.71,4.122,4.493,4.141,3.691,3.325,3.04,2.9,2.849,2.865,3.033,3.266,3.517,3.779,4.06,3.267,3.479,3.719,4.05,4.455,5.11,6.073,65.533,65.533,65.533,65.533,65.533,65.533,4.45,10.844,65.533,65.533,65.533,65.533,65.533,11.384,3.811,10.342,10.021,9.775,9.791,9.865,10.018,10.262,10.806,65.533,12.32,13.589,1.334,14.083,13.224,12.595,12.178,11.895,11.795
0.699,-1.87,3.396,1.174,0.386,0.922,-10.703,-0.28,0.0,0.24,3.026,0.241,-11.118,-11.102,-11.217,-11.448,-11.751,-12.094,-12.459,-12.832,-13.205,-13.569,-13.913,-14.215,-14.442,-14.55,-14.515,-14.353,-14.103,-13.792,-13.443,-13.07,0.041,0.439,0.819,1.144,1.404,1.608,1.772,1.916,2.06,2.223,2.427,2.688,3.016,3.399,3.795,4.159,4.469,4.72,4.915,5.058,3.026,2.928,2.929,3.08,3.353,3.71,4.122,4.493,4.141,3.691,3.325,3.04,2.9,2.849,2.865,3.033,3.266,3.517,3.779,4.06,3.59,3.83,4.155,4.585,5.173,6.124,65.533,65.533,65.533,65.533,65.533,65.533,4.365,65.533,65.533,65.533,65.533,65.533,65.533,11.463,3.698,10.285,9.94,9.667,9.647,9.682,9.859,10.151,10.572,11.18,12.026,13.266,14.795,1.297,13.422,12.77,12.303,11.993,11.855,11.859
0.748,-1.9,3.349,1.223,0.341,0.94,-10.68,-0.223,0.0,0.24,2.928,0.231,-11.102,-11.217,-11.448,-11.751,-12.094,-12.459,-12.832,-13.205,-13.569,-13.913,-14.215,-14.442,-14.55,-14.515,-14.353,-14.103,-13.792,-13.443,-13.07,-12.684,0.439,0.819,1.144,1.404,1.608,1.772,1.916,2.06,2.223,2.427,2.688,3.016,3.399,3.795,4.159,4.469,4.72,4.915,5.058,5.159,2.928,2.929,3.08,3.353,3.71,4.122,4.493,4.141,3.691,3.325,3.04,2.9,2.849,2.865,3.033,3.266,3.517,3.779,4.06,4.369,3.912,4.242,4.667,5.282,6.154,5.736,65.533,65.533,65.533,65.533,65.533,4.292,65.533,65.533,7.827,8.394,65.533,65.533,65.533,65.533,3.723,9.807,9.611,9.523,9.542,9.67,9.934,10.303,10.879,11.655,7.881,14.189,14.569,1.278,12.917,12.417,12.086,11.923,11.897,12.024
0.781,-1.917,3.279,1.31,0.258,0.966,-10.636,-0.073,0.0,0.224,2.928,0.214,-11.102,-11.217,-11.448,-11.751,-12.094,-12.459,-12.832,-13.205,-13.569,-13.913,-14.215,-14.442,-14.55,-14.515,-14.353,-14.103,-13.792,-13.443,-13.07,-12.684,0.439,0.819,1.144,1.404,1.608,1.772,1.916,2.06,2.223,2.427,2.688,3.016,3.399,3.795,4.159,4.469,4.72,4.915,5.058,5.159,2.928,2.929,3.08,3.353,3.71,4.122,4.493,4.141,3.691,3.325,3.04,2.9,2.849,2.865,3.033,3.266,3.517,3.779,4.06,4.369,4.119,4.469,4.988,5.706,6.811,65.533,11.542,65.533,18.197,65.533,65.533,65.533,65.533,65.533,65.533,14.903,4.961,11.992,11.113,3.448,10.005,9.704,9.448,9.49,9.518,9.684,9.945,10.453,11.08,11.952,13.162,65.533,13.731,1.234,12.695,12.267,11.972,11.891,11.946,12.099
0.824,-1.857,3.221,1.38,0.189,0.982,-10.624,0.042,0.0,0.214,2.992,0.264,-11.103,-11.094,-11.094,-11.102,-11.118,-11.142,-11.176,-11.217,-11.265,-11.321,-11.382,-11.448,-11.518,-11.592,-11.67,-11.751,-11.834,-11.919,-12.006,-12.094,0.14,0.239,0.339,0.439,0.537,0.634,0.728,0.819,0.907,0.99,1.069,1.144,1.215,1.282,1.345,1.404,1.46,1.512,1.561,1.608,2.992,2.963,2.942,2.928,2.921,2.92,2.919,2.929,2.95,2.983,3.027,3.08,3.139,3.205,3.277,3.353,3.435,3.522,3.614,3.71,4.557,5.073,5.776,6.806,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,4.861,12.017,11.09,3.317,9.938,9.596,9.343,9.342,9.367,9.513,9.793,10.203,10.79,11.607,7.762,14.27,14.424,13.511,12.852,12.367,12.082,11.929,11.95,12.106,65.533
0.861,-1.921,3.224,1.451,0.119,0.993,-10.612,0.155,0.0,0.195,2.928,0.248,-11.102,-11.217,-11.448,-11.751,-12.094,-12.459,-12.832,-13.205,-13.569,-13.913,-14.215,-14.442,-14.55,-14.515,-14.353,-14.103,-13.792,-13.443,-13.07,-12.684,0.439,0.819,1.144,1.404,1.608,1.772,1.916,2.06,2.223,2.427,2.688,3.016,3.399,3.795,4.159,4.469,4.72,4.915,5.058,5.159,2.928,2.929,3.08,3.353,3.71,4.122,4.493,4.141,3.691,3.325,3.04,2.9,2.849,2.865,3.033,3.266,3.517,3.779,4.06,4.369,4.833,5.431,6.259,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,8.63,12.595,11.538,10.655,3.254,9.722,9.456,9.268,9.259,9.357,9.534,9.792,10.327,10.999,4.303,13.135,14.908,13.643,13.205,12.624,12.235,12.013,11.915,11.984,12.2,65.533
0.905,-1.702,3.162,1.52,0.051,0.999,-10.611,0.263,0.0,0.233,2.928,0.233,-11.217,-11.448,-11.751,-12.094,-12.459,-12.832,-13.205,-13.569,-13.913,-14.215,-14.442,-14.55,-14.515,-14.353,-14.103,-13.792,-13.443,-13.07,-12.684,-12.29,0.819,1.144,1.404,1.608,1.772,1.916,2.06,2.223,2.427,2.688,3.016,3.399,3.795,4.159,4.469,4.72,4.915,5.058,5.159,5.227,2.929,3.08,3.353,3.71,4.122,4.493,4.141,3.691,3.325,3.04,2.9,2.849,2.865,3.033,3.266,3.517,3.779,4.06,4.369,4.704,5.476,6.288,65.533,65.533,65.533,65.533,18.138,65.533,18.286,65.533,65.533,65.533,65.533,8.427,12.727,11.581,10.718,3.082,9.654,9.371,9.113,9.147,9.204,9.361,9.636,10.04,10.684,11.516,7.621,65.533,65.533,13.395,12.75,12.305,1.213,11.912,8.906,12.135,65.533,9.21
0.941,-1.934,3.097,1.568,0.003,1.0,-10.624,0.362,0.0,0.215,2.929,0.22,-11.217,-11.448,-11.751,-12.094,-12.459,-12.832,-13.205,-13.569,-13.913,-14.215,-14.442,-14.55,-14.515,-14.353,-14.103,-13.792,-13.443,-13.07,-12.684,-12.29,0.819,1.144,1.404,1.608,1.772,1.916,2.06,2.223,2.427,2.688,3.016,3.399,3.795,4.159,4.469,4.72,4.915,5.058,5.159,5.227,2.929,3.08,3.353,3.71,4.122,4.493,4.141,3.691,3.325,3.04,2.9,2.849,2.865,3.033,3.266,3.517,3.779,4.06,4.369,4.704,6.265,7.387,65.533,65.533,65.533,18.208,65.533,65.533,65.533,65.533,65.533,65.533,8.444,12.913,11.672,10.743,2.97,9.628,9.284,9.011,9.006,9.026,9.161,9.402,9.788,10.335,11.132,65.533,65.533,65.533,13.553,12.842,12.386,12.098,1.15,11.938,12.078,12.372,65.533,8.296
0.98,-1.743,2.956,1.635,-0.064,0.998,-10.639,0.451,0.0,0.215,2.929,0.205,-11.217,-11.448,-11.751,-12.094,-12.459,-12.832,-13.205,-13.569,-13.913,-14.215,-14.442,-14.55,-14.515,-14.353,-14.103,-13.792,-13.443,-13.07,-12.684,-12.29,0.819,1.144,1.404,1.608,1.772,1.916,2.06,2.223,2.427,2.688,3.016,3.399,3.795,4.159,4.469,4.72,4.915,5.058,5.159,5.227,2.929,3.08,3.353,3.71,4.122,4.493,4.141,3.691,3.325,3.04,2.9,2.849,2.865,3.033,3.266,3.517,3.779,4.06,4.369,4.704,6.737,65.533,13.323,65.533,18.385,65.533,4.171,65.533,6.763,65.533,65.533,65.533,4.594,12.293,11.19,3.007,3.171,9.4,9.147,8.938,8.958,8.999,9.181,9.485,9.917,10.553,11.399,7.495,65.533,65.533,13.275,12.66,12.278,12.015,1.149,11.96,12.165,65.533,9.251,7.876
1.02,-1.781,2.928,1.721,-0.15,0.989,-10.66,0.602,0.0,0.202,2.929,0.246,-11.217,-11.448,-11.751,-12.094,-12.459,-12.832,-13.205,-13.569,-13.913,-14.215,-14.442,-14.55,-14.515,-14.353,-14.103,-13.792,-13.443,-13.07,-12.684,-12.29,0.819,1.144,1.404,1.608,1.772,1.916,2.06,2.223,2.427,2.688,3.016,3.399,3.795,4.159,4.469,4.72,4.915,5.058,5.159,5.227,2.929,3.08,3.353,3.71,4.122,4.493,4.141,3.691,3.325,3.04,2.9,2.849,2.865,3.033,3.266,3.517,3.779,4.06,4.369,4.704,6.737,65.533,13.323,65.533,18.385,65.533,4.171,65.533,6.763,65.533,65.533,65.533,4.594,12.293,11.19,3.007,3.171,9.4,9.147,8.938,8.958,8.999,9.181,9.485,9.917,10.553,11.399,7.495,65.533,65.533,13.275,12.66,12.278,12.015,1.149,11.96,12.165,65.533,9.251,7.876
1.059,-1.781,2.928,1.789,-0.216,0.976,-10.683,0.718,0.0,0.185,2.929,0.231,-11.217,-11.448,-11.751,-12.094,-12.459,-12.832,-13.205,-13.569,-13.913,-14.215,-14.442,-14.55,-14.515,-14.353,-14.103,-13.792,-13.443,-13.07,-12.684,-12.29,0.819,1.144,1.404,1.608,1.772,1.916,2.06,2.223,2.427,2.688,3.016,3.399,3.795,4.159,4.469,4.72,4.915,5.058,5.159,5.227,2.929,3.08,3.353,3.71,4.122,4.493,4.141,3.691,3.325,3.04,2.9,2.849,2.865,3.033,3.266,3.517,3.779,4.06,4.369,4.704,6.02,65.533,65.533,65.533,18.184,4.212,65.533,65.533,65.533,65.533,65.533,4.503,12.407,11.259,2.898,3.076,9.357,9.021,8.779,8.778,8.835,8.997,9.238,65.533,65.533,65.533,3.949,65.533,65.533,65.533,12.745,12.275,12.027,11.885,11.903,12.097,12.363,65.533,8.337,7.316
1.104,-1.792,2.901,1.842,-0.268,0.963,-10.728,0.831,0.0,0.213,3.08,0.216,-11.448,-11.751,-12.094,-12.459,-12.832,-13.205,-13.569,-13.913,-14.215,-14.442,-14.55,-14.515,-14.353,-14.103,-13.792,-13.443,-13.07,-12.684,-12.29,-11.893,1.144,1.404,1.608,1.772,1.916,2.06,2.223,2.427,2.688,3.016,3.399,3.795,4.159,4.469,4.72,4.915,5.058,5.159,5.227,5.274,3.08,3.353,3.71,4.122,4.493,4.141,3.691,3.325,3.04,2.9,2.849,2.865,3.033,3.266,3.517,3.779,4.06,4.369,4.704,5.012,65.533,65.533,65.533,18.29,4.221,18.272,65.533,65.533,65.533,65.533,4.467,12.575,11.31,2.788,2.999,9.291,8.962,8.632,8.601,8.558,65.533,65.533,65.533,65.533,65.533,65.533,65.533,6.48,65.533,65.533,65.533,12.007,11.849,11.857,11.983,1.161,65.533,9.438,7.377,6.541
1.139,-1.728,2.873,1.906,-0.329,0.944,-10.763,0.934,0.0,0.197,3.08,0.203,-11.448,-11.751,-12.094,-12.459,-12.832,-13.205,-13.569,-13.913,-14.215,-14.442,-14.55,-14.515,-14.353,-14.103,-13.792,-13.443,-13.07,-12.684,-12.29,-11.893,1.144,1.404,1.608,1.772,1.916,2.06,2.223,2.427,2.688,3.016,3.399,3.795,4.159,4.469,4.72,4.915,5.058,5.159,5.227,5.274,3.08,3.353,3.71,4.122,4.493,4.141,3.691,3.325,3.04,2.9,2.849,2.865,3.033,3.266,3.517,3.779,4.06,4.369,4.704,5.012,65.533,18.396,18.394,4.285,18.256,65.533,65.533,65.533,65.533,8.163,12.76,11.44,2.695,2.885,9.295,8.933,8.696,8.579,8.562,8.663,8.849,9.086,65.533,65.533,65.533,7.176,65.533,65.533,65.533,65.533,65.533,11.829,11.792,11.893,12.117,1.112,65.533,8.473,10.637,5.839
1.182,-1.511,2.849,1.982,-0.4,0.917,-10.823,1.037,0.0,0.197,3.08,0.235,-11.448,-11.751,-12.094,-12.459,-12.832,-13.205,-13.569,-13.913,-14.215,-14.442,-14.55,-14.515,-14.353,-14.103,-13.792,-13.443,-13.07,-12.684,-12.29,-11.893,1.144,1.404,1.608,1.772,1.916,2.06,2.223,2.427,2.688,3.016,3.399,3.795,4.159,4.469,4.72,4.915,5.058,5.159,5.227,5.274,3.08,3.353,3.71,4.122,4.493,4.141,3.691,3.325,3.04,2.9,2.849,2.865,3.033,3.266,3.517,3.779,4.06,4.369,4.704,5.012,65.533,65.533,18.325,65.533,65.533,65.533,65.533,65.533,65.533,65.533,65.533,11.022,2.627,9.539,9.089,8.755,8.486,5.325,5.285,65.533,65.533,65.533,65.533,65.533,65.533,7.199,65.533,65.533,12.766,12.282,11.951,11.823,11.809,8.839,12.229,1.123,9.42,7.305,6.504,5.712
