# This is F1TENTH simulation from 18.12.2023 at time 18:46:51
# Done with git-revision: unknown
# Starting position :,"[3.62, 6.26, 0.378]"
# Saving: 0.02 s
# Speedfactor 0.8
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,-1.041,0.505,-0.863,-18.547,3.05,0.0,0.0,-0.18,3.057,-18.539,-18.509,-18.601,-18.779,-19.012,-19.275,-19.549,-19.818,-20.062,-20.259,-20.373,-20.362,-20.207,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,2.486,2.089,1.701,1.344,1.019,0.718,0.427,0.13,-0.186,-0.533,-0.915,-1.313,-1.678,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,3.057,3.048,3.168,3.443,3.815,4.224,4.397,3.862,3.42,3.061,2.849,2.731,2.726,2.743,2.925,3.186,3.488,3.833,4.227,4.585,0.491,0.848,1.137,1.355,1.517,1.644,1.757,1.877,2.026,2.226,2.498,2.847,3.241,3.34,3.716,4.045,4.318,4.544,4.733,4.901,-0.278,-0.453,-0.728,-1.062,-1.427,-1.806,-2.19,-2.572,-2.942,-3.288,-3.579,-3.771,-3.821,-3.809,-3.68,-3.454,-3.163,-2.833,-2.481,-2.118,4.428,4.361,4.354,3.506,2.059,1.518,1.144,0.998,0.964,0.955,7.132,6.979,6.561,4.196,3.988,3.846,3.754,3.711,3.72,3.73,3.886,3.708,3.162,2.803,2.564,2.337,2.17,2.11,2.057,1.936,1.973,1.968,2.005,2.041,2.103,2.257,2.363,2.624,2.91,2.867,-0.18,3.057,1.3
0.02,0.0,0.006,-1.041,0.505,-0.863,-18.547,3.05,0.0,0.0,-0.18,3.057,-18.539,-18.509,-18.601,-18.779,-19.012,-19.275,-19.549,-19.818,-20.062,-20.259,-20.373,-20.362,-20.207,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,2.486,2.089,1.701,1.344,1.019,0.718,0.427,0.13,-0.186,-0.533,-0.915,-1.313,-1.678,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,3.057,3.048,3.168,3.443,3.815,4.224,4.397,3.862,3.42,3.061,2.849,2.731,2.726,2.743,2.925,3.186,3.488,3.833,4.227,4.585,0.491,0.848,1.137,1.355,1.517,1.644,1.757,1.877,2.026,2.226,2.498,2.847,3.241,3.34,3.716,4.045,4.318,4.544,4.733,4.901,-0.278,-0.453,-0.728,-1.062,-1.427,-1.806,-2.19,-2.572,-2.942,-3.288,-3.579,-3.771,-3.821,-3.809,-3.68,-3.454,-3.163,-2.833,-2.481,-2.118,4.412,4.35,4.357,3.504,2.094,1.524,1.152,1.004,0.966,0.941,7.12,6.974,6.565,4.194,3.987,3.86,3.747,3.741,3.731,3.753,3.886,3.72,3.143,2.771,2.559,2.327,2.163,2.115,2.043,1.957,2.002,1.989,2.017,2.065,2.095,2.254,2.378,2.624,2.914,2.858,-0.18,3.057,1.3
0.04,0.0,0.014,-1.041,0.505,-0.863,-18.547,3.049,0.0,0.0,-0.18,3.057,-18.539,-18.509,-18.601,-18.779,-19.012,-19.275,-19.549,-19.818,-20.062,-20.259,-20.373,-20.362,-20.207,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,2.486,2.089,1.701,1.344,1.019,0.718,0.427,0.13,-0.186,-0.533,-0.915,-1.313,-1.678,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,3.057,3.048,3.168,3.443,3.815,4.224,4.397,3.862,3.42,3.061,2.849,2.731,2.726,2.743,2.925,3.186,3.488,3.833,4.227,4.585,0.491,0.848,1.137,1.354,1.517,1.644,1.757,1.877,2.026,2.226,2.498,2.846,3.24,3.34,3.716,4.044,4.318,4.544,4.732,4.9,-0.278,-0.453,-0.728,-1.062,-1.427,-1.806,-2.19,-2.572,-2.942,-3.288,-3.579,-3.771,-3.821,-3.809,-3.68,-3.454,-3.163,-2.833,-2.481,-2.118,4.448,4.37,4.352,3.486,2.051,1.538,1.167,0.996,0.963,0.941,7.123,6.973,6.553,4.193,3.968,3.86,3.753,3.727,3.721,3.754,3.886,3.712,3.151,2.815,2.576,2.32,2.18,2.096,2.055,1.955,1.993,1.964,1.994,2.04,2.11,2.259,2.358,2.616,2.913,2.86,-0.18,3.057,1.3
0.06,0.0,0.022,-1.041,0.505,-0.863,-18.547,3.049,0.0,0.0,-0.18,3.057,-18.539,-18.509,-18.601,-18.779,-19.012,-19.275,-19.549,-19.818,-20.062,-20.259,-20.373,-20.362,-20.207,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,2.486,2.089,1.701,1.344,1.019,0.718,0.427,0.13,-0.186,-0.533,-0.915,-1.313,-1.678,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,3.057,3.048,3.168,3.443,3.815,4.224,4.397,3.862,3.42,3.061,2.849,2.731,2.726,2.743,2.925,3.186,3.488,3.833,4.227,4.585,0.49,0.848,1.136,1.354,1.517,1.644,1.756,1.876,2.025,2.226,2.497,2.846,3.24,3.339,3.716,4.044,4.318,4.543,4.732,4.9,-0.278,-0.453,-0.728,-1.062,-1.427,-1.806,-2.19,-2.572,-2.942,-3.288,-3.579,-3.771,-3.821,-3.809,-3.68,-3.454,-3.163,-2.833,-2.481,-2.118,4.427,4.352,4.362,3.502,2.067,1.521,1.168,0.992,0.953,0.961,7.133,6.989,6.573,4.202,3.974,3.85,3.749,3.716,3.73,3.763,3.891,3.704,3.167,2.778,2.56,2.32,2.153,2.103,2.045,1.952,2.001,1.959,2.019,2.048,2.119,2.25,2.374,2.626,2.923,2.861,-0.18,3.057,1.3
0.08,0.0,0.03,-1.041,0.505,-0.863,-18.547,3.049,0.0,0.0,-0.18,3.057,-18.539,-18.509,-18.601,-18.779,-19.012,-19.275,-19.549,-19.818,-20.062,-20.259,-20.373,-20.362,-20.207,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,2.486,2.089,1.701,1.344,1.019,0.718,0.427,0.13,-0.186,-0.533,-0.915,-1.313,-1.678,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,3.057,3.048,3.168,3.443,3.815,4.224,4.397,3.862,3.42,3.061,2.849,2.731,2.726,2.743,2.925,3.186,3.488,3.833,4.227,4.585,0.49,0.847,1.136,1.354,1.516,1.643,1.756,1.876,2.025,2.225,2.497,2.846,3.24,3.339,3.716,4.044,4.317,4.543,4.732,4.9,-0.278,-0.453,-0.728,-1.062,-1.427,-1.806,-2.19,-2.572,-2.942,-3.288,-3.579,-3.771,-3.821,-3.809,-3.68,-3.454,-3.163,-2.833,-2.481,-2.118,4.418,4.372,4.347,3.503,2.05,1.506,1.158,1.004,0.964,0.954,7.132,6.999,6.563,4.174,3.98,3.872,3.767,3.721,3.722,3.741,3.892,3.704,3.144,2.799,2.551,2.342,2.163,2.115,2.073,1.952,1.989,1.968,1.996,2.062,2.093,2.237,2.376,2.644,2.909,2.859,-0.18,3.057,1.3
0.1,-0.024,0.22,-1.041,0.505,-0.863,-18.546,3.047,0.0,-0.064,-0.18,3.057,-18.539,-18.509,-18.601,-18.779,-19.012,-19.275,-19.549,-19.818,-20.062,-20.259,-20.373,-20.362,-20.207,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,2.486,2.089,1.701,1.344,1.019,0.718,0.427,0.13,-0.186,-0.533,-0.915,-1.313,-1.678,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,3.057,3.048,3.168,3.443,3.815,4.224,4.397,3.862,3.42,3.061,2.849,2.731,2.726,2.743,2.925,3.186,3.488,3.833,4.227,4.585,0.488,0.846,1.134,1.352,1.515,1.642,1.755,1.874,2.024,2.224,2.496,2.845,3.238,3.338,3.714,4.043,4.316,4.541,4.73,4.898,-0.278,-0.453,-0.728,-1.062,-1.427,-1.806,-2.19,-2.571,-2.942,-3.287,-3.579,-3.77,-3.821,-3.809,-3.68,-3.453,-3.162,-2.832,-2.48,-2.117,4.435,4.397,4.343,3.515,2.102,1.532,1.171,1.006,0.94,0.947,7.132,6.97,6.566,4.181,3.972,3.854,3.75,3.718,3.708,3.755,3.872,3.712,3.148,2.774,2.564,2.319,2.15,2.1,2.081,1.947,1.994,1.977,2.009,2.05,2.112,2.246,2.381,2.628,2.896,2.846,-0.18,3.057,1.3
0.12,-0.123,0.41,-1.042,0.504,-0.864,-18.543,3.043,0.0,-0.128,-0.18,3.057,-18.539,-18.509,-18.601,-18.779,-19.012,-19.275,-19.549,-19.818,-20.062,-20.259,-20.373,-20.362,-20.207,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,2.486,2.089,1.701,1.344,1.019,0.718,0.427,0.13,-0.186,-0.533,-0.915,-1.313,-1.678,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,3.057,3.048,3.168,3.443,3.815,4.224,4.397,3.862,3.42,3.061,2.849,2.731,2.726,2.743,2.925,3.186,3.488,3.833,4.227,4.585,0.483,0.841,1.13,1.348,1.512,1.639,1.752,1.873,2.022,2.223,2.495,2.844,3.238,3.337,3.714,4.042,4.315,4.54,4.728,4.896,-0.278,-0.452,-0.726,-1.06,-1.425,-1.804,-2.188,-2.569,-2.939,-3.284,-3.576,-3.767,-3.817,-3.804,-3.675,-3.448,-3.157,-2.826,-2.474,-2.111,4.428,4.412,4.345,3.485,2.069,1.528,1.159,1.008,0.969,0.962,7.156,6.983,6.565,4.191,3.95,3.846,3.748,3.74,3.701,3.736,3.856,3.722,3.15,2.793,2.555,2.319,2.217,2.1,2.047,1.968,1.991,1.932,1.992,2.061,2.115,2.26,2.36,2.626,2.917,2.865,-0.18,3.057,1.3
0.14,-0.297,0.6,-1.046,0.501,-0.866,-18.539,3.035,0.0,-0.192,-0.179,3.057,-18.539,-18.509,-18.601,-18.779,-19.012,-19.275,-19.549,-19.818,-20.062,-20.259,-20.373,-20.362,-20.207,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,2.486,2.089,1.701,1.344,1.019,0.718,0.427,0.13,-0.186,-0.533,-0.915,-1.313,-1.678,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,3.057,3.048,3.168,3.443,3.815,4.224,4.397,3.862,3.42,3.061,2.849,2.731,2.726,2.743,2.925,3.186,3.488,3.833,4.227,4.585,0.475,0.834,1.124,1.344,1.508,1.637,1.752,1.874,2.025,2.227,2.501,2.85,3.245,3.344,3.72,4.047,4.319,4.542,4.729,4.895,-0.276,-0.448,-0.722,-1.055,-1.419,-1.797,-2.18,-2.561,-2.931,-3.275,-3.566,-3.755,-3.803,-3.791,-3.66,-3.431,-3.139,-2.808,-2.455,-2.091,4.464,4.411,4.347,3.534,2.087,1.462,1.143,1.019,0.949,0.951,7.078,7.001,6.564,4.183,3.963,3.794,3.738,3.68,3.717,3.741,3.84,3.693,3.154,2.783,2.543,2.323,2.221,2.094,2.069,1.967,1.962,1.967,1.974,2.056,2.096,2.256,2.385,2.594,2.857,2.911,-0.179,3.057,1.3
0.16,-0.408,0.79,-1.053,0.495,-0.869,-18.532,3.024,0.0,-0.192,-0.177,3.057,-18.539,-18.509,-18.601,-18.779,-19.012,-19.275,-19.549,-19.818,-20.062,-20.259,-20.373,-20.362,-20.207,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,2.486,2.089,1.701,1.344,1.019,0.718,0.427,0.13,-0.186,-0.533,-0.915,-1.313,-1.678,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,3.057,3.048,3.168,3.443,3.815,4.224,4.397,3.862,3.42,3.061,2.849,2.731,2.726,2.743,2.925,3.186,3.488,3.833,4.227,4.585,0.464,0.824,1.116,1.338,1.505,1.637,1.754,1.879,2.032,2.237,2.512,2.864,3.258,3.357,3.732,4.057,4.328,4.549,4.733,4.897,-0.272,-0.443,-0.714,-1.046,-1.408,-1.786,-2.168,-2.548,-2.917,-3.26,-3.548,-3.735,-3.781,-3.768,-3.634,-3.403,-3.109,-2.776,-2.422,-2.057,4.463,4.418,4.371,3.537,2.07,1.459,1.114,0.973,0.939,0.927,6.996,6.998,6.541,4.212,4.004,3.816,3.708,3.684,3.651,3.732,3.84,3.705,3.177,2.795,2.559,2.372,2.229,2.071,2.02,1.975,1.969,1.992,1.992,2.02,2.058,2.238,2.328,2.561,2.837,2.913,-0.177,3.057,1.3
0.18,-0.519,0.981,-1.062,0.487,-0.873,-18.524,3.009,0.0,-0.192,-0.174,3.057,-18.539,-18.509,-18.601,-18.779,-19.012,-19.275,-19.549,-19.818,-20.062,-20.259,-20.373,-20.362,-20.207,-20.146,-19.845,-19.483,-19.094,-18.695,-18.296,-17.898,2.486,2.089,1.701,1.344,1.019,0.718,0.427,0.13,-0.186,-0.533,-0.915,-1.313,-1.678,-1.757,-2.017,-2.186,-2.275,-2.303,-2.288,-2.249,3.057,3.048,3.168,3.443,3.815,4.224,4.397,3.862,3.42,3.061,2.849,2.731,2.726,2.743,2.925,3.186,3.488,3.833,4.227,4.585,0.45,0.811,1.106,1.33,1.501,1.636,1.757,1.885,2.042,2.25,2.527,2.88,3.275,3.374,3.748,4.071,4.338,4.557,4.738,4.898,-0.268,-0.435,-0.704,-1.034,-1.395,-1.771,-2.153,-2.531,-2.899,-3.24,-3.526,-3.71,-3.752,-3.738,-3.601,-3.367,-3.07,-2.736,-2.379,-2.013,4.496,4.421,4.352,3.853,2.071,1.48,1.109,0.959,0.92,0.91,6.923,7.007,6.587,4.187,4.017,3.802,3.698,3.679,3.732,3.778,3.827,3.833,3.215,2.879,2.566,2.36,2.258,2.057,2.023,1.972,1.981,1.982,1.968,2.008,2.086,2.167,2.376,2.555,2.788,2.919,-0.174,3.057,1.3
