# This is F1TENTH simulation from 25.10.2024 at time 14:17:18
# Done with git-revision: unknown
# Starting position :,"[3.62, 6.26, 0.378]"
# Timestep: 0.02 s
# Speedfactor 0.65
# Controller: Blank-MPPI-1
# 2-laptime: 19.01 s
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,imu_dd_x,imu_dd_y,imu_dd_yaw,v_y,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,-0.144,0.99,-0.143,2.026,-2.465,0.0,0.0,-1.324,3.041,2.524,2.923,3.318,3.713,4.109,4.505,4.897,5.282,5.649,5.982,6.271,6.513,6.708,6.857,6.963,7.03,7.059,7.055,7.02,6.957,-2.497,-2.468,-2.414,-2.352,-2.299,-2.244,-2.169,-2.063,-1.904,-1.685,-1.41,-1.092,-0.744,-0.373,0.012,0.406,0.804,1.204,1.602,1.996,3.041,3.349,3.65,3.917,4.149,3.82,3.541,3.294,3.246,3.217,3.284,3.386,3.508,3.639,3.777,3.92,4.068,4.222,4.37,4.497,0.497,0.888,1.271,1.653,2.038,2.421,2.799,3.165,3.504,3.803,4.049,4.243,4.386,4.481,4.531,4.54,4.512,4.45,4.36,4.24,0.039,0.125,0.236,0.353,0.463,0.574,0.705,0.865,1.074,1.339,1.653,2.002,2.375,2.763,3.159,3.558,3.957,4.352,4.741,5.122,2.394,2.683,2.778,2.973,3.852,3.185,3.069,3.147,3.187,3.228,4.221,3.475,3.674,3.99,4.447,8.151,9.857,11.237,4.772,5.303,5.769,5.734,5.735,6.003,6.39,6.708,7.096,7.573,8.258,8.799,9.609,9.992,9.935,9.532,10.126,11.035,9.131,8.714,8.064,7.285,5897.119,-5372.413,-359.66,0.0,-1.324,3.041,0.65
0.02,0.0,0.006,-0.144,0.99,-0.143,2.026,-2.465,0.0,0.0,0.049,3.041,2.524,2.923,3.318,3.713,4.109,4.505,4.897,5.282,5.649,5.982,6.271,6.513,6.708,6.857,6.963,7.03,7.059,7.055,7.02,6.957,-2.497,-2.468,-2.414,-2.352,-2.299,-2.244,-2.169,-2.063,-1.904,-1.685,-1.41,-1.092,-0.744,-0.373,0.012,0.406,0.804,1.204,1.602,1.996,3.041,3.349,3.65,3.917,4.149,3.82,3.541,3.294,3.246,3.217,3.284,3.386,3.508,3.639,3.777,3.92,4.068,4.222,4.37,4.497,0.497,0.888,1.271,1.653,2.038,2.421,2.799,3.165,3.504,3.803,4.049,4.243,4.386,4.481,4.531,4.54,4.512,4.45,4.36,4.24,0.039,0.125,0.236,0.353,0.463,0.574,0.705,0.865,1.074,1.339,1.653,2.002,2.375,2.763,3.159,3.558,3.957,4.352,4.741,5.122,2.378,2.672,2.78,2.972,3.886,3.191,3.077,3.153,3.189,3.215,4.21,3.47,3.677,3.988,4.447,8.164,9.851,11.267,4.784,5.327,5.769,5.745,5.716,5.971,6.385,6.698,7.089,7.578,8.243,8.82,9.638,10.014,9.947,9.556,10.118,11.032,9.146,8.713,8.068,7.276,-5897.096,5372.412,359.66,0.0,0.049,3.041,0.65
0.04,0.0,0.014,-0.144,0.99,-0.143,2.027,-2.465,0.0,0.0,0.049,3.041,2.524,2.923,3.318,3.713,4.109,4.505,4.897,5.282,5.649,5.982,6.271,6.513,6.708,6.857,6.963,7.03,7.059,7.055,7.02,6.957,-2.497,-2.468,-2.414,-2.352,-2.299,-2.244,-2.169,-2.063,-1.904,-1.685,-1.41,-1.092,-0.744,-0.373,0.012,0.406,0.804,1.204,1.602,1.996,3.041,3.349,3.65,3.917,4.149,3.82,3.541,3.294,3.246,3.217,3.284,3.386,3.508,3.639,3.777,3.92,4.068,4.222,4.37,4.497,0.497,0.887,1.271,1.653,2.037,2.421,2.799,3.165,3.504,3.803,4.049,4.243,4.386,4.481,4.531,4.54,4.512,4.45,4.359,4.24,0.039,0.125,0.236,0.353,0.463,0.574,0.705,0.865,1.074,1.339,1.653,2.002,2.375,2.763,3.159,3.558,3.957,4.352,4.741,5.122,2.415,2.692,2.775,2.953,3.843,3.205,3.092,3.145,3.187,3.215,4.212,3.469,3.666,3.987,4.428,8.164,9.856,11.253,4.773,5.328,5.769,5.737,5.724,6.015,6.402,6.692,7.105,7.559,8.255,8.818,9.629,9.989,9.924,9.531,10.133,11.037,9.126,8.706,8.067,7.278,0.372,0.0,0.0,0.0,0.049,3.041,0.65
0.06,0.0,0.022,-0.144,0.99,-0.143,2.027,-2.465,0.0,0.0,0.049,3.041,2.524,2.923,3.318,3.713,4.109,4.505,4.897,5.282,5.649,5.982,6.271,6.513,6.708,6.857,6.963,7.03,7.059,7.055,7.02,6.957,-2.497,-2.468,-2.414,-2.352,-2.299,-2.244,-2.169,-2.063,-1.904,-1.685,-1.41,-1.092,-0.744,-0.373,0.012,0.406,0.804,1.204,1.602,1.996,3.041,3.349,3.65,3.917,4.149,3.82,3.541,3.294,3.246,3.217,3.284,3.386,3.508,3.639,3.777,3.92,4.068,4.222,4.37,4.497,0.497,0.887,1.271,1.653,2.037,2.421,2.798,3.164,3.504,3.802,4.049,4.243,4.386,4.48,4.53,4.539,4.511,4.45,4.359,4.24,0.039,0.125,0.236,0.353,0.463,0.574,0.705,0.865,1.074,1.339,1.653,2.002,2.375,2.763,3.159,3.558,3.957,4.352,4.741,5.122,2.393,2.674,2.785,2.969,3.859,3.188,3.093,3.141,3.176,3.235,4.23,3.485,3.686,3.996,4.433,8.154,9.853,11.242,4.783,5.337,5.774,5.73,5.74,5.979,6.386,6.691,7.079,7.566,8.246,8.814,9.637,9.984,9.949,9.539,10.142,11.028,9.141,8.716,8.076,7.279,0.428,-0.0,0.0,0.0,0.049,3.041,0.65
0.08,-0.025,0.213,-0.144,0.99,-0.143,2.028,-2.465,0.0,-0.064,0.049,3.041,2.524,2.923,3.318,3.713,4.109,4.505,4.897,5.282,5.649,5.982,6.271,6.513,6.708,6.857,6.963,7.03,7.059,7.055,7.02,6.957,-2.497,-2.468,-2.414,-2.352,-2.299,-2.244,-2.169,-2.063,-1.904,-1.685,-1.41,-1.092,-0.744,-0.373,0.012,0.406,0.804,1.204,1.602,1.996,3.041,3.349,3.65,3.917,4.149,3.82,3.541,3.294,3.246,3.217,3.284,3.386,3.508,3.639,3.777,3.92,4.068,4.222,4.37,4.497,0.495,0.886,1.269,1.651,2.036,2.42,2.797,3.163,3.502,3.801,4.047,4.241,4.384,4.479,4.529,4.538,4.509,4.448,4.357,4.238,0.039,0.125,0.236,0.354,0.463,0.574,0.705,0.865,1.074,1.34,1.654,2.002,2.375,2.763,3.16,3.559,3.957,4.352,4.741,5.122,2.385,2.694,2.77,2.97,3.842,3.173,3.083,3.153,3.188,3.228,4.229,3.495,3.676,3.969,4.44,8.176,9.87,11.247,4.775,5.314,5.775,5.73,5.717,5.999,6.377,6.714,7.089,7.578,8.274,8.815,9.614,9.961,9.926,9.554,10.116,11.024,9.134,8.733,8.063,7.277,2.673,0.001,-0.306,0.0,0.049,3.041,0.65
0.1,-0.043,0.403,-0.145,0.99,-0.144,2.033,-2.466,0.0,-0.042,0.049,3.041,2.524,2.923,3.318,3.713,4.109,4.505,4.897,5.282,5.649,5.982,6.271,6.513,6.708,6.857,6.963,7.03,7.059,7.055,7.02,6.957,-2.497,-2.468,-2.414,-2.352,-2.299,-2.244,-2.169,-2.063,-1.904,-1.685,-1.41,-1.092,-0.744,-0.373,0.012,0.406,0.804,1.204,1.602,1.996,3.041,3.349,3.65,3.917,4.149,3.82,3.541,3.294,3.246,3.217,3.284,3.386,3.508,3.639,3.777,3.92,4.068,4.222,4.37,4.497,0.49,0.88,1.264,1.646,2.03,2.414,2.791,3.157,3.496,3.794,4.04,4.234,4.376,4.471,4.52,4.529,4.5,4.439,4.347,4.227,0.04,0.126,0.237,0.355,0.465,0.576,0.708,0.868,1.078,1.343,1.657,2.007,2.38,2.768,3.164,3.563,3.962,4.356,4.745,5.126,2.395,2.688,2.779,2.966,3.885,3.224,3.091,3.151,3.158,3.215,4.224,3.476,3.686,3.97,4.424,8.185,9.822,11.239,4.772,5.281,5.738,5.741,5.726,5.972,6.41,6.683,7.065,7.576,8.273,8.791,9.621,9.965,9.933,9.58,10.164,11.026,9.139,8.759,8.068,7.271,9.51,0.005,-2.124,0.0,0.049,3.041,0.65
0.12,-0.037,0.593,-0.146,0.989,-0.146,2.042,-2.467,-0.001,-0.025,0.05,3.041,2.524,2.923,3.318,3.713,4.109,4.505,4.897,5.282,5.649,5.982,6.271,6.513,6.708,6.857,6.963,7.03,7.059,7.055,7.02,6.957,-2.497,-2.468,-2.414,-2.352,-2.299,-2.244,-2.169,-2.063,-1.904,-1.685,-1.41,-1.092,-0.744,-0.373,0.012,0.406,0.804,1.204,1.602,1.996,3.041,3.349,3.65,3.917,4.149,3.82,3.541,3.294,3.246,3.217,3.284,3.386,3.508,3.639,3.777,3.92,4.068,4.222,4.37,4.497,0.481,0.871,1.255,1.636,2.021,2.404,2.781,3.147,3.486,3.784,4.03,4.223,4.365,4.459,4.508,4.516,4.487,4.425,4.333,4.213,0.04,0.127,0.239,0.357,0.467,0.579,0.711,0.872,1.082,1.347,1.662,2.011,2.384,2.773,3.169,3.568,3.967,4.361,4.75,5.131,2.389,2.703,2.781,2.947,3.855,3.197,3.079,3.153,3.188,3.23,4.237,3.474,3.672,3.982,4.442,8.148,9.837,11.245,4.773,5.244,5.759,5.742,5.728,5.992,6.354,6.682,7.083,7.525,8.235,8.807,9.629,9.97,9.915,9.591,10.141,11.04,9.178,8.761,8.067,7.325,9.51,-0.006,-0.305,-0.001,0.05,3.041,0.65
0.14,-0.013,0.783,-0.147,0.989,-0.146,2.055,-2.469,-0.001,-0.011,0.051,3.041,2.524,2.923,3.318,3.713,4.109,4.505,4.897,5.282,5.649,5.982,6.271,6.513,6.708,6.857,6.963,7.03,7.059,7.055,7.02,6.957,-2.497,-2.468,-2.414,-2.352,-2.299,-2.244,-2.169,-2.063,-1.904,-1.685,-1.41,-1.092,-0.744,-0.373,0.012,0.406,0.804,1.204,1.602,1.996,3.041,3.349,3.65,3.917,4.149,3.82,3.541,3.294,3.246,3.217,3.284,3.386,3.508,3.639,3.777,3.92,4.068,4.222,4.37,4.497,0.468,0.858,1.242,1.623,2.007,2.391,2.768,3.133,3.472,3.77,4.016,4.208,4.35,4.444,4.492,4.5,4.471,4.408,4.316,4.196,0.041,0.128,0.24,0.358,0.469,0.581,0.713,0.874,1.085,1.35,1.665,2.015,2.388,2.776,3.173,3.572,3.97,4.365,4.754,5.135,2.455,2.723,2.834,4.986,3.904,3.181,3.062,3.164,3.167,3.219,4.164,3.475,3.671,3.974,4.437,8.122,9.807,11.246,4.735,5.244,5.643,5.714,5.731,5.947,6.344,6.677,7.013,7.519,8.219,8.749,9.631,9.946,9.943,9.586,10.171,11.035,9.209,8.767,8.089,7.337,9.51,-0.021,0.601,-0.001,0.051,3.041,0.65
0.16,0.008,0.973,-0.147,0.989,-0.147,2.071,-2.472,-0.0,0.001,0.051,3.041,2.524,2.923,3.318,3.713,4.109,4.505,4.897,5.282,5.649,5.982,6.271,6.513,6.708,6.857,6.963,7.03,7.059,7.055,7.02,6.957,-2.497,-2.468,-2.414,-2.352,-2.299,-2.244,-2.169,-2.063,-1.904,-1.685,-1.41,-1.092,-0.744,-0.373,0.012,0.406,0.804,1.204,1.602,1.996,3.041,3.349,3.65,3.917,4.149,3.82,3.541,3.294,3.246,3.217,3.284,3.386,3.508,3.639,3.777,3.92,4.068,4.222,4.37,4.497,0.452,0.842,1.225,1.607,1.99,2.374,2.751,3.116,3.455,3.753,3.998,4.191,4.333,4.426,4.475,4.482,4.453,4.39,4.298,4.177,0.041,0.128,0.24,0.359,0.47,0.582,0.714,0.876,1.086,1.352,1.667,2.016,2.39,2.778,3.174,3.574,3.972,4.367,4.755,5.136,2.498,2.771,2.845,4.948,3.812,3.185,3.072,3.116,3.143,3.231,4.107,3.479,3.669,4.041,4.46,8.133,9.77,11.224,4.71,5.248,5.631,5.67,5.704,5.901,6.281,6.683,7.007,7.525,8.206,8.743,9.584,9.956,9.992,9.583,10.125,10.978,9.197,8.815,8.137,7.351,9.51,-0.022,1.199,-0.0,0.051,3.041,0.65
0.18,0.024,1.162,-0.147,0.989,-0.147,2.092,-2.475,0.001,0.01,0.051,3.041,2.524,2.923,3.318,3.713,4.109,4.505,4.897,5.282,5.649,5.982,6.271,6.513,6.708,6.857,6.963,7.03,7.059,7.055,7.02,6.957,-2.497,-2.468,-2.414,-2.352,-2.299,-2.244,-2.169,-2.063,-1.904,-1.685,-1.41,-1.092,-0.744,-0.373,0.012,0.406,0.804,1.204,1.602,1.996,3.041,3.349,3.65,3.917,4.149,3.82,3.541,3.294,3.246,3.217,3.284,3.386,3.508,3.639,3.777,3.92,4.068,4.222,4.37,4.497,0.431,0.821,1.205,1.586,1.97,2.354,2.731,3.096,3.435,3.733,3.978,4.171,4.313,4.406,4.455,4.462,4.433,4.371,4.278,4.158,0.041,0.128,0.24,0.359,0.469,0.582,0.714,0.875,1.085,1.351,1.666,2.015,2.389,2.777,3.174,3.573,3.971,4.366,4.754,5.135,2.546,2.76,2.798,5.063,3.812,3.192,3.089,3.124,3.146,3.187,4.048,3.427,3.641,4.01,4.425,8.106,9.808,11.194,4.748,5.26,5.637,5.678,5.672,5.899,6.245,6.641,7.014,7.484,8.177,8.735,9.581,9.897,9.94,9.59,10.15,10.981,9.18,8.829,8.177,7.415,9.51,-0.006,1.467,0.001,0.051,3.041,0.65
