# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.000000,2.026386,-2.464949,-0.143864,0.277284,4.021254,6.965466
0.099896,2.125240,-2.477830,-0.114835,0.304108,4.190721,6.591316
0.199793,2.224807,-2.487745,-0.083321,0.324750,4.345001,5.796042
0.299689,2.324244,-2.494397,-0.049921,0.346139,4.476276,4.986931
0.399586,2.424335,-2.497619,-0.014041,0.364951,4.586218,4.242523
0.499482,2.524157,-2.497281,0.020024,0.317871,4.677716,4.960059
0.599379,2.624066,-2.493767,0.049535,0.273302,4.782469,5.660614
0.699275,2.723735,-2.487527,0.074869,0.234099,4.899282,6.288142
0.799172,2.823294,-2.478952,0.096322,0.196149,5.025862,6.410351
0.899068,2.922619,-2.468424,0.114362,0.165114,5.151702,6.340266
0.998965,3.021791,-2.456255,0.129309,0.132374,5.273213,6.272476
1.098861,3.120782,-2.442793,0.140268,0.087037,5.390730,6.206805
1.198758,3.219643,-2.428472,0.146724,0.044946,5.504548,6.143100
1.298654,3.318446,-2.413683,0.150018,0.020986,5.614926,6.081224
1.398551,3.417194,-2.398691,0.150994,0.006550,5.722096,6.021057
1.498447,3.515920,-2.383579,0.153371,0.041036,5.826263,5.962490
1.598344,3.614626,-2.368057,0.158917,0.044816,5.927614,5.905426
1.698240,3.713276,-2.352253,0.156486,-0.093460,6.026315,5.849778
1.798137,3.812056,-2.337370,0.140662,-0.185467,6.122517,4.902819
1.898033,3.911066,-2.324099,0.127669,-0.074542,6.201997,5.750541
1.997930,4.010168,-2.311568,0.125567,0.015729,6.293940,5.698510
2.097826,4.109281,-2.298966,0.127489,0.022747,6.383745,-5.672154
2.197723,4.208349,-2.286140,0.130176,0.035527,6.294358,-9.533235
2.297619,4.307385,-2.272939,0.135410,0.069273,6.141195,-8.442339
2.397516,4.406292,-2.259059,0.144010,0.102614,6.002296,-7.479819
2.497412,4.505087,-2.244160,0.155866,0.134760,5.876490,-6.636189
2.597309,4.603649,-2.227938,0.170922,0.165391,5.762575,-6.014472
2.697205,4.701959,-2.210088,0.188719,0.190881,5.657352,-5.844688
2.797102,4.799890,-2.190372,0.208894,0.203468,5.553188,-5.807193
2.896998,4.897466,-2.168688,0.228095,0.180854,5.447721,-6.735289
2.996895,4.994480,-2.145277,0.245322,0.177599,5.322781,-6.214886
3.096791,5.091090,-2.120108,0.265069,0.217415,5.204835,-4.863069
3.196688,5.187158,-2.092838,0.288987,0.277116,5.110646,-2.181014
3.296584,5.282434,-2.062882,0.322097,0.386181,5.067835,-0.584024
3.396481,5.376609,-2.029233,0.365452,0.450391,5.056309,-0.526965
3.496377,5.469123,-1.991466,0.409374,0.429358,5.045888,-1.133713
3.596274,5.559836,-1.949805,0.451489,0.419173,5.023393,-1.503883
3.696170,5.648723,-1.904384,0.493286,0.417057,4.993396,-1.552996
3.796067,5.735695,-1.855273,0.534932,0.428132,4.962230,-0.483136
3.895963,5.820494,-1.802456,0.579917,0.473421,4.952495,-0.094745
3.995860,5.902746,-1.745661,0.629082,0.489631,4.950583,-0.094745
4.095756,5.982074,-1.684990,0.676121,0.452146,4.948671,0.832576
4.195653,6.058588,-1.620790,0.719640,0.426736,4.965449,1.383228
4.295549,6.132290,-1.553379,0.761970,0.421017,4.993200,1.406789
4.395446,6.203115,-1.482905,0.803706,0.411538,5.021266,1.526380
4.495342,6.270968,-1.409601,0.844012,0.395636,5.051542,1.805487
4.595239,6.335882,-1.333660,0.882828,0.382553,5.087121,1.999950
4.695135,6.397834,-1.255306,0.920543,0.372628,5.126244,2.106363
4.795032,6.456833,-1.174692,0.957283,0.362574,5.167128,2.216339
4.894928,6.512871,-1.092000,0.992973,0.352062,5.209800,2.339396
4.994825,6.565970,-1.007382,1.027651,0.342389,5.254466,2.440095
5.094721,6.616141,-0.921003,1.061405,0.333451,5.300654,2.522441
5.194618,6.663407,-0.832998,1.094286,0.324812,5.347980,2.599521
5.294514,6.707794,-0.743507,1.126306,0.316315,5.396319,2.676265
5.394411,6.749330,-0.652658,1.157498,0.308206,5.445637,2.745516
5.494307,6.788050,-0.560572,1.187894,0.300384,5.495771,2.810591
5.594204,6.823989,-0.467368,1.217523,0.292820,5.546623,2.872453
5.694100,6.857187,-0.373149,1.246403,0.285403,5.598118,2.934617
5.793997,6.887685,-0.278027,1.274554,0.278201,5.650243,2.994945
5.893893,6.915528,-0.182088,1.301990,0.271116,5.702948,3.056609
5.993790,6.940762,-0.085437,1.328729,0.264246,5.756240,3.116297
6.093686,6.963438,0.011854,1.354791,0.257537,5.810070,3.175855
6.193583,6.983601,0.109688,1.380190,0.251052,5.864420,3.233004
6.293479,7.001306,0.208006,1.404956,0.244774,5.919236,3.288328
6.393376,7.016601,0.306717,1.429099,0.238611,5.974474,3.344943
6.493272,7.029539,0.405776,1.452631,0.232503,6.030144,3.405021
6.593169,7.040172,0.505097,1.475555,0.226457,6.086291,3.468153
6.693065,7.048557,0.604645,1.497875,0.220405,6.142951,3.536957
6.792962,7.054748,0.704342,1.519594,0.214454,6.200203,3.607252
6.892858,7.058801,0.804160,1.540724,0.208575,6.258052,3.680140
6.992755,7.060774,0.904030,1.561267,0.202700,6.316524,3.758354
7.092651,7.060725,1.003930,1.581220,0.196764,6.375686,3.844535
7.192548,7.058712,1.103800,1.600600,0.191836,6.435642,3.894534
7.292444,7.054784,1.203621,1.619590,0.188349,6.495813,3.889402
