# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.000000,2.002562,-2.469760,3.129091,-0.502695,3.935803,-3.965114
0.099746,1.902948,-2.465938,3.076604,-0.550474,3.833998,-3.686314
0.199491,1.803605,-2.456646,3.019242,-0.599225,3.736865,-3.040304
0.299237,1.705062,-2.441406,2.955804,-0.674620,3.654811,-2.310809
0.398982,1.607742,-2.419565,2.884509,-0.755161,3.591192,-1.975201
0.498728,1.512311,-2.390500,2.806595,-0.805682,3.535905,-1.536893
0.598474,1.419588,-2.353887,2.723513,-0.861777,3.492281,-1.207710
0.698219,1.330168,-2.309374,2.635198,-0.906601,3.457614,-0.619911
0.797965,1.245401,-2.257116,2.542075,-0.965718,3.439685,-0.500253
0.897710,1.165730,-2.196766,2.444343,-0.984100,3.425147,-0.301023
0.997456,1.092701,-2.129202,2.345394,-1.006213,3.416370,-0.238483
1.097201,1.026533,-2.054381,2.244273,-1.015696,3.409400,-0.127540
1.196947,0.968496,-1.973557,2.142628,-1.027480,3.405667,-0.120745
1.296693,0.918869,-1.886976,2.039872,-1.030198,3.402128,-0.044711
1.396438,0.878477,-1.795958,1.936933,-1.037563,3.400817,-0.044711
1.496184,0.847607,-1.701212,1.835374,-0.995036,3.399506,0.456058
1.595929,0.826258,-1.603790,1.738464,-0.948082,3.412861,0.912076
1.695675,0.814199,-1.504962,1.646938,-0.889951,3.439414,1.426535
1.795421,0.810945,-1.405148,1.560714,-0.837728,3.480539,1.804811
1.895166,0.816006,-1.305715,1.480103,-0.781748,3.531883,2.200094
1.994912,0.828843,-1.206659,1.404568,-0.731551,3.593479,2.503497
2.094657,0.848811,-1.109096,1.334045,-0.685109,3.662311,2.759111
2.194403,0.875472,-1.012853,1.267756,-0.643045,3.736701,2.967226
2.294148,0.908164,-0.918754,1.205768,-0.601770,3.815085,3.185043
2.393894,0.946533,-0.826575,1.147605,-0.563735,3.897469,3.377990
2.493640,0.989938,-0.736869,1.093300,-0.526362,3.982981,3.588393
2.593385,1.038069,-0.649428,1.042518,-0.491579,4.071854,3.785534
2.693131,1.090354,-0.564565,0.995291,-0.456018,4.163553,4.027834
2.792876,1.146512,-0.482070,0.951520,-0.421337,4.258954,4.287373
2.892622,1.206045,-0.402067,0.911139,-0.388805,4.358209,4.541611
2.992368,1.268659,-0.324405,0.873887,-0.358333,4.460941,4.792240
3.092113,1.333989,-0.249049,0.839726,-0.326427,4.566837,5.111409
3.191859,1.401748,-0.175848,0.808791,-0.293759,4.677145,5.489251
3.291604,1.471592,-0.104698,0.781064,-0.262584,4.792780,5.879445
3.391350,1.543330,-0.035348,0.756397,-0.231904,4.913618,6.307666
3.491095,1.616675,0.032372,0.735449,-0.186487,5.040036,6.402463
3.590841,1.691171,0.098627,0.719144,-0.140767,5.165191,6.332746
3.690587,1.766693,0.163878,0.706298,-0.119482,5.286069,6.265297
3.790332,1.842883,0.228136,0.695330,-0.100425,5.402999,6.199943
3.890078,1.919778,0.291679,0.686135,-0.084480,5.516270,6.136533
3.989823,1.997193,0.354561,0.678461,-0.069469,5.626137,6.074934
4.089569,2.075149,0.417017,0.673051,-0.035995,5.732827,6.015027
4.189315,2.153136,0.479041,0.671309,0.001142,5.836545,1.252590
4.289060,2.231306,0.541208,0.672830,0.027607,5.857912,-10.438552
4.388806,2.309094,0.603423,0.676808,0.052309,5.677388,-9.663189
4.488551,2.386744,0.666199,0.683431,0.080976,5.504999,-8.946454
4.588297,2.463713,0.729461,0.692984,0.110932,5.340438,-8.277273
4.688042,2.540171,0.793736,0.705627,0.142417,5.183535,-7.674626
4.787788,2.615490,0.858901,0.721407,0.174573,5.033688,-7.136075
4.887534,2.689872,0.925556,0.740471,0.207255,4.890238,-6.657171
4.987279,2.762650,0.993539,0.762759,0.240417,4.752513,-6.199000
5.087025,2.833966,1.063435,0.788518,0.275579,4.620578,-5.802100
5.186770,2.903171,1.135096,0.817726,0.310810,4.493581,-5.395620
5.286516,2.970264,1.209032,0.850672,0.349357,4.372172,-5.025820
5.386262,3.034617,1.285114,0.887454,0.388897,4.255971,-4.729322
5.486007,3.096045,1.363728,0.928183,0.427323,4.143649,-4.450692
5.585753,3.154015,1.444809,0.972654,0.467527,4.035090,-3.961303
5.685498,3.208130,1.528512,1.022027,0.522769,3.935951,-3.587791
5.785244,3.257876,1.615035,1.076828,0.573183,3.843953,-3.250072
5.884989,3.302577,1.704229,1.136426,0.623215,3.758672,-2.820202
5.984735,3.341624,1.795986,1.201485,0.680592,3.683071,-2.524812
6.084481,3.374352,1.890138,1.271833,0.729304,3.614047,-2.277407
6.184226,3.400160,1.986417,1.346702,0.775071,3.550635,-1.805261
6.283972,3.418452,2.084453,1.426978,0.836302,3.499554,-1.432580
6.383717,3.428515,2.183755,1.513489,0.887349,3.458481,-1.170195
6.483463,3.429755,2.283478,1.603899,0.927308,3.424565,-0.652696
6.583209,3.421781,2.382765,1.698896,0.982298,3.405501,-0.044799
6.682954,3.404136,2.480849,1.799585,1.035509,3.404189,-0.044799
6.782700,3.376587,2.576442,1.902451,0.999198,3.402876,0.384957
6.882445,3.339555,2.669123,1.998071,0.918897,3.414141,1.243948
6.982191,3.294230,2.757959,2.085485,0.824831,3.450292,2.134760
7.081936,3.241701,2.842835,2.162873,0.728092,3.511464,2.974677
7.181682,3.183166,2.923613,2.231705,0.656836,3.594969,3.461224
7.281428,3.119465,3.000382,2.294130,0.594981,3.689754,3.847123
7.381173,3.051344,3.073224,2.350080,0.522627,3.792328,4.428112
7.480919,2.979493,3.142440,2.398395,0.446503,3.907061,5.125061
7.580664,2.904634,3.208387,2.439102,0.367588,4.035781,5.949928
7.680410,2.827424,3.271531,2.471687,0.285861,4.180250,6.878130
7.780156,2.748428,3.332452,2.496469,0.214394,4.341268,6.789483
7.879901,2.668160,3.391660,2.514556,0.148307,4.494558,6.704905
7.979647,2.587019,3.449680,2.525940,0.078636,4.640972,6.623952
8.079392,2.505438,3.507055,2.530200,0.006753,4.781218,-7.800660
8.179138,2.423820,3.564378,2.527120,-0.070330,4.615613,-9.149963
8.278883,2.342601,3.622276,2.516121,-0.150183,4.413450,-8.204334
8.378629,2.262300,3.681342,2.497604,-0.216605,4.223962,-7.579034
8.478375,2.183240,3.742165,2.473089,-0.274594,4.041027,-6.629182
8.578120,2.105951,3.805094,2.441919,-0.361743,3.873943,-5.596153
8.677866,2.030903,3.870843,2.400662,-0.464871,3.727071,-4.124507
8.777611,1.958953,3.940066,2.347935,-0.606509,3.615004,-2.171905
8.877357,1.891395,4.013459,2.278785,-0.781714,3.554571,-1.229772
8.977103,1.829835,4.091708,2.194598,-0.873158,3.519893,-1.164898
9.076848,1.775225,4.175089,2.106313,-0.895111,3.486726,-1.137179
9.176594,1.728125,4.263257,2.016504,-0.901314,3.454042,-0.870611
9.276339,1.689231,4.355221,1.924507,-0.950506,3.428808,-0.239519
9.376085,1.659247,4.450500,1.825878,-1.008267,3.421833,-0.138041
9.475830,1.639024,4.547962,1.724713,-1.019322,3.417807,-0.115531
9.575576,1.628764,4.646958,1.623544,-1.013730,3.414434,-0.149789
9.675322,1.628554,4.746665,1.522110,-1.022934,3.410055,-0.044919
9.775067,1.638494,4.845790,1.419432,-1.032745,3.408741,-0.044919
9.874813,1.658569,4.943409,1.316587,-1.029079,3.407426,0.006942
9.974558,1.688490,5.038358,1.214669,-1.016345,3.407629,0.153378
10.074304,1.727957,5.129989,1.113616,-1.010456,3.412116,0.190719
10.174050,1.776393,5.217108,1.013555,-0.988539,3.417687,0.408133
10.273795,1.833231,5.299106,0.916193,-0.964810,3.429578,0.606429
10.373541,1.897643,5.375233,0.821828,-0.914447,3.447170,1.087709
10.473286,1.968749,5.445195,0.733772,-0.852505,3.478501,1.637943
10.573032,2.045543,5.508852,0.651440,-0.797278,3.525156,2.044404
10.672777,2.127138,5.566194,0.574584,-0.744600,3.582536,2.393772
10.772523,2.212772,5.617320,0.502636,-0.699018,3.648575,2.643134
10.872269,2.301755,5.662350,0.435019,-0.657346,3.720132,2.849232
10.972014,2.393507,5.701455,0.371424,-0.617363,3.795758,3.049477
11.071760,2.487485,5.734836,0.311812,-0.578344,3.875064,3.257472
11.171505,2.583241,5.762742,0.255950,-0.541974,3.958025,3.448898
11.271251,2.680356,5.785431,0.203658,-0.506789,4.044006,3.648757
11.370997,2.778498,5.803183,0.154809,-0.472713,4.133023,3.859136
11.470742,2.877368,5.816290,0.109343,-0.439091,4.225132,4.092452
11.570488,2.976717,5.825052,0.067046,-0.411253,4.320665,4.250498
11.670233,3.076343,5.829731,0.027216,-0.387445,4.417702,4.363141
11.769979,3.176078,5.830552,-0.010568,-0.375103,4.515141,4.274156
11.869724,3.275775,5.827638,-0.047817,-0.371864,4.608595,4.019827
11.969470,3.375295,5.821030,-0.084695,-0.366480,4.694792,3.837190
12.069216,3.474509,5.810789,-0.120895,-0.359444,4.775621,3.714163
12.168961,3.573294,5.796998,-0.156399,-0.352122,4.852577,3.617379
12.268707,3.671532,5.779747,-0.191141,-0.344585,4.926371,3.543391
12.368452,3.769123,5.759129,-0.225153,-0.337323,4.997600,3.478459
12.468198,3.865961,5.735240,-0.258445,-0.330277,5.066550,3.422587
12.567944,3.961964,5.708174,-0.291049,-0.323357,5.133489,3.376803
12.667689,4.057041,5.678026,-0.322959,-0.316527,5.198687,3.340958
12.767435,4.151120,5.644891,-0.354200,-0.309809,5.262399,3.313465
12.867180,4.244128,5.608866,-0.384765,-0.303087,5.324833,3.296717
12.966926,4.336009,5.570044,-0.414677,-0.296774,5.386234,3.277978
13.066671,4.426698,5.528520,-0.443985,-0.290939,5.446599,3.254488
13.166417,4.516144,5.484382,-0.472712,-0.284729,5.505877,3.251340
13.266163,4.604298,5.437724,-0.500772,-0.277932,5.564467,3.274621
