# This is F1TENTH simulation from 19.12.2023 at time 16:33:08
# Done with git-revision: unknown
# Starting position :,"[3.62, 6.26, 0.378]"
# Saving: 0.02 s
# Speedfactor 0.8
# Controller: Blank-MPPI-1
#
# Data:
time,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,angular_control_calculated,translational_control_calculated,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_X_15,WYPT_X_16,WYPT_X_17,WYPT_X_18,WYPT_X_19,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_Y_15,WYPT_Y_16,WYPT_Y_17,WYPT_Y_18,WYPT_Y_19,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_VX_15,WYPT_VX_16,WYPT_VX_17,WYPT_VX_18,WYPT_VX_19,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_X_15,WYPT_REL_X_16,WYPT_REL_X_17,WYPT_REL_X_18,WYPT_REL_X_19,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,WYPT_REL_Y_15,WYPT_REL_Y_16,WYPT_REL_Y_17,WYPT_REL_Y_18,WYPT_REL_Y_19,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,translational_control_applied,angular_control_applied,mu
0.0,0.0,0.0,2.4,-0.737,0.675,8.093,-9.379,0.0,0.0,-0.057,5.462,7.809,7.559,7.323,7.093,6.864,6.628,6.379,6.111,5.82,5.502,5.158,4.791,4.409,4.016,3.619,3.219,2.82,2.422,2.027,1.635,-9.117,-8.805,-8.482,-8.155,-7.827,-7.504,-7.191,-6.895,-6.621,-6.378,-6.175,-6.017,-5.901,-5.824,-5.781,-5.769,-5.784,-5.824,-5.886,-5.967,5.462,5.705,5.932,6.144,5.948,5.598,5.322,5.112,4.964,4.881,4.863,4.881,4.971,5.103,5.264,5.44,5.625,5.815,6.01,6.207,0.386,0.782,1.174,1.564,1.954,2.346,2.741,3.139,3.539,3.937,4.328,4.706,5.066,5.407,5.73,6.033,6.317,6.584,6.833,7.066,-0.001,-0.063,-0.141,-0.228,-0.315,-0.394,-0.456,-0.494,-0.499,-0.463,-0.381,-0.25,-0.076,0.132,0.368,0.629,0.91,1.208,1.52,1.845,3.114,3.187,3.366,3.437,3.53,3.594,3.655,3.734,3.919,4.105,4.232,4.441,4.706,4.969,5.208,5.454,5.724,6.211,6.819,7.722,8.726,3.826,3.389,2.786,2.413,2.108,1.898,1.755,1.661,1.619,1.624,1.639,1.637,1.724,1.836,2.094,2.305,2.567,3.012,3.699,-0.057,5.462,1.3
0.02,0.0,0.006,2.4,-0.737,0.675,8.093,-9.379,0.0,0.0,-0.057,5.462,7.809,7.559,7.323,7.093,6.864,6.628,6.379,6.111,5.82,5.502,5.158,4.791,4.409,4.016,3.619,3.219,2.82,2.422,2.027,1.635,-9.117,-8.805,-8.482,-8.155,-7.827,-7.504,-7.191,-6.895,-6.621,-6.378,-6.175,-6.017,-5.901,-5.824,-5.781,-5.769,-5.784,-5.824,-5.886,-5.967,5.462,5.705,5.932,6.144,5.948,5.598,5.322,5.112,4.964,4.881,4.863,4.881,4.971,5.103,5.264,5.44,5.625,5.815,6.01,6.207,0.386,0.782,1.174,1.564,1.954,2.346,2.741,3.139,3.539,3.937,4.328,4.706,5.066,5.407,5.73,6.033,6.317,6.584,6.833,7.066,-0.001,-0.063,-0.141,-0.228,-0.315,-0.394,-0.456,-0.494,-0.499,-0.463,-0.381,-0.25,-0.076,0.132,0.368,0.629,0.91,1.208,1.52,1.845,3.097,3.177,3.369,3.436,3.565,3.599,3.663,3.74,3.921,4.091,4.221,4.436,4.71,4.967,5.207,5.468,5.718,6.241,6.831,7.745,8.725,3.838,3.371,2.755,2.408,2.098,1.891,1.759,1.646,1.64,1.653,1.661,1.649,1.748,1.828,2.091,2.32,2.566,3.016,3.69,-0.057,5.462,1.3
0.04,0.0,0.014,2.4,-0.737,0.675,8.093,-9.379,0.0,0.0,-0.057,5.462,7.809,7.559,7.323,7.093,6.864,6.628,6.379,6.111,5.82,5.502,5.158,4.791,4.409,4.016,3.619,3.219,2.82,2.422,2.027,1.635,-9.117,-8.805,-8.482,-8.155,-7.827,-7.504,-7.191,-6.895,-6.621,-6.378,-6.175,-6.017,-5.901,-5.824,-5.781,-5.769,-5.784,-5.824,-5.886,-5.967,5.462,5.705,5.932,6.144,5.948,5.598,5.322,5.112,4.964,4.881,4.863,4.881,4.971,5.103,5.264,5.44,5.625,5.815,6.01,6.207,0.386,0.781,1.174,1.564,1.954,2.346,2.741,3.139,3.539,3.937,4.328,4.706,5.066,5.407,5.729,6.032,6.317,6.584,6.833,7.066,-0.001,-0.063,-0.141,-0.228,-0.315,-0.394,-0.456,-0.494,-0.499,-0.463,-0.381,-0.25,-0.076,0.132,0.368,0.629,0.91,1.208,1.52,1.845,3.134,3.197,3.364,3.418,3.522,3.614,3.678,3.732,3.918,4.091,4.223,4.435,4.698,4.966,5.188,5.468,5.723,6.227,6.82,7.747,8.725,3.83,3.379,2.798,2.425,2.092,1.908,1.74,1.658,1.638,1.644,1.636,1.626,1.723,1.843,2.097,2.3,2.559,3.014,3.692,-0.057,5.462,1.3
0.06,0.0,0.022,2.4,-0.737,0.675,8.093,-9.379,0.0,0.0,-0.057,5.462,7.809,7.559,7.323,7.093,6.864,6.628,6.379,6.111,5.82,5.502,5.158,4.791,4.409,4.016,3.619,3.219,2.82,2.422,2.027,1.635,-9.117,-8.805,-8.482,-8.155,-7.827,-7.504,-7.191,-6.895,-6.621,-6.378,-6.175,-6.017,-5.901,-5.824,-5.781,-5.769,-5.784,-5.824,-5.886,-5.967,5.462,5.705,5.932,6.144,5.948,5.598,5.322,5.112,4.964,4.881,4.863,4.881,4.971,5.103,5.264,5.44,5.625,5.815,6.01,6.207,0.386,0.781,1.173,1.564,1.954,2.346,2.741,3.139,3.539,3.937,4.328,4.705,5.066,5.407,5.729,6.032,6.317,6.583,6.833,7.066,-0.001,-0.063,-0.141,-0.228,-0.315,-0.394,-0.456,-0.494,-0.499,-0.463,-0.381,-0.25,-0.076,0.132,0.368,0.629,0.91,1.208,1.52,1.845,3.113,3.179,3.373,3.434,3.538,3.596,3.679,3.727,3.908,4.111,4.241,4.452,4.718,4.975,5.193,5.458,5.72,6.216,6.83,7.756,8.73,3.822,3.395,2.762,2.409,2.091,1.882,1.748,1.649,1.635,1.651,1.631,1.65,1.731,1.852,2.087,2.315,2.569,3.024,3.693,-0.057,5.462,1.3
0.08,0.0,0.03,2.4,-0.737,0.675,8.092,-9.378,0.0,0.0,-0.057,5.462,7.809,7.559,7.323,7.093,6.864,6.628,6.379,6.111,5.82,5.502,5.158,4.791,4.409,4.016,3.619,3.219,2.82,2.422,2.027,1.635,-9.117,-8.805,-8.482,-8.155,-7.827,-7.504,-7.191,-6.895,-6.621,-6.378,-6.175,-6.017,-5.901,-5.824,-5.781,-5.769,-5.784,-5.824,-5.886,-5.967,5.462,5.705,5.932,6.144,5.948,5.598,5.322,5.112,4.964,4.881,4.863,4.881,4.971,5.103,5.264,5.44,5.625,5.815,6.01,6.207,0.386,0.78,1.173,1.563,1.953,2.345,2.74,3.138,3.538,3.936,4.327,4.705,5.065,5.406,5.728,6.032,6.316,6.583,6.832,7.065,-0.001,-0.063,-0.141,-0.228,-0.315,-0.394,-0.456,-0.494,-0.499,-0.463,-0.381,-0.25,-0.076,0.132,0.368,0.629,0.91,1.208,1.52,1.845,3.104,3.198,3.358,3.435,3.521,3.582,3.669,3.739,3.919,4.111,4.24,4.462,4.708,4.947,5.2,5.48,5.737,6.221,6.822,7.733,8.732,3.823,3.372,2.782,2.4,2.114,1.891,1.759,1.677,1.635,1.64,1.639,1.627,1.745,1.826,2.074,2.318,2.586,3.011,3.691,-0.057,5.462,1.3
0.1,-0.024,0.22,2.4,-0.737,0.675,8.091,-9.377,0.0,-0.064,-0.057,5.462,7.809,7.559,7.323,7.093,6.864,6.628,6.379,6.111,5.82,5.502,5.158,4.791,4.409,4.016,3.619,3.219,2.82,2.422,2.027,1.635,-9.117,-8.805,-8.482,-8.155,-7.827,-7.504,-7.191,-6.895,-6.621,-6.378,-6.175,-6.017,-5.901,-5.824,-5.781,-5.769,-5.784,-5.824,-5.886,-5.967,5.462,5.705,5.932,6.144,5.948,5.598,5.322,5.112,4.964,4.881,4.863,4.881,4.971,5.103,5.264,5.44,5.625,5.815,6.01,6.207,0.384,0.779,1.171,1.562,1.952,2.344,2.739,3.137,3.537,3.935,4.326,4.703,5.064,5.405,5.727,6.03,6.314,6.581,6.83,7.064,-0.001,-0.063,-0.141,-0.228,-0.314,-0.393,-0.456,-0.494,-0.498,-0.463,-0.38,-0.249,-0.076,0.132,0.369,0.63,0.911,1.209,1.521,1.846,3.121,3.24,3.354,3.447,3.573,3.617,3.682,3.741,3.895,4.104,4.24,4.448,4.723,4.892,5.204,5.462,5.717,6.218,6.824,7.697,8.712,3.83,3.408,2.757,2.413,2.091,1.879,1.745,1.685,1.63,1.645,1.648,1.641,1.733,1.845,2.083,2.323,2.57,2.998,3.677,-0.057,5.462,1.3
0.12,-0.061,0.41,2.399,-0.737,0.676,8.087,-9.374,0.0,-0.064,-0.057,5.462,7.809,7.559,7.323,7.093,6.864,6.628,6.379,6.111,5.82,5.502,5.158,4.791,4.409,4.016,3.619,3.219,2.82,2.422,2.027,1.635,-9.117,-8.805,-8.482,-8.155,-7.827,-7.504,-7.191,-6.895,-6.621,-6.378,-6.175,-6.017,-5.901,-5.824,-5.781,-5.769,-5.784,-5.824,-5.886,-5.967,5.462,5.705,5.932,6.144,5.948,5.598,5.322,5.112,4.964,4.881,4.863,4.881,4.971,5.103,5.264,5.44,5.625,5.815,6.01,6.207,0.379,0.774,1.166,1.556,1.947,2.339,2.734,3.132,3.532,3.93,4.321,4.698,5.058,5.399,5.721,6.024,6.308,6.575,6.824,7.057,-0.001,-0.063,-0.14,-0.226,-0.313,-0.392,-0.454,-0.491,-0.496,-0.46,-0.377,-0.246,-0.072,0.136,0.373,0.634,0.915,1.214,1.526,1.851,3.114,3.254,3.356,3.467,3.54,3.562,3.67,3.743,3.925,4.119,4.253,4.446,4.709,4.954,5.208,5.471,5.726,6.24,6.822,7.678,8.734,3.84,3.411,2.776,2.404,2.089,1.896,1.723,1.651,1.651,1.642,1.603,1.624,1.744,1.848,2.047,2.302,2.568,3.018,3.725,-0.057,5.462,1.3
0.14,-0.098,0.6,2.398,-0.736,0.677,8.08,-9.368,0.0,-0.064,-0.056,5.462,7.809,7.559,7.323,7.093,6.864,6.628,6.379,6.111,5.82,5.502,5.158,4.791,4.409,4.016,3.619,3.219,2.82,2.422,2.027,1.635,-9.117,-8.805,-8.482,-8.155,-7.827,-7.504,-7.191,-6.895,-6.621,-6.378,-6.175,-6.017,-5.901,-5.824,-5.781,-5.769,-5.784,-5.824,-5.886,-5.967,5.462,5.705,5.932,6.144,5.948,5.598,5.322,5.112,4.964,4.881,4.863,4.881,4.971,5.103,5.264,5.44,5.625,5.815,6.01,6.207,0.37,0.765,1.157,1.548,1.938,2.33,2.725,3.123,3.523,3.921,4.312,4.689,5.049,5.39,5.712,6.014,6.298,6.564,6.813,7.045,-0.0,-0.062,-0.139,-0.224,-0.31,-0.389,-0.45,-0.487,-0.491,-0.455,-0.372,-0.24,-0.066,0.143,0.38,0.642,0.923,1.222,1.535,1.86,3.1,3.254,3.359,3.487,3.558,3.546,3.654,3.765,3.891,4.108,4.23,4.447,4.658,4.943,5.203,5.456,5.716,6.179,6.785,7.655,8.647,3.811,3.403,2.775,2.392,2.059,1.894,1.767,1.652,1.65,1.67,1.579,1.652,1.689,1.849,2.055,2.349,2.549,2.945,3.692,-0.056,5.462,1.3
0.16,-0.135,0.79,2.396,-0.735,0.678,8.071,-9.359,0.0,-0.064,-0.055,5.462,7.809,7.559,7.323,7.093,6.864,6.628,6.379,6.111,5.82,5.502,5.158,4.791,4.409,4.016,3.619,3.219,2.82,2.422,2.027,1.635,-9.117,-8.805,-8.482,-8.155,-7.827,-7.504,-7.191,-6.895,-6.621,-6.378,-6.175,-6.017,-5.901,-5.824,-5.781,-5.769,-5.784,-5.824,-5.886,-5.967,5.462,5.705,5.932,6.144,5.948,5.598,5.322,5.112,4.964,4.881,4.863,4.881,4.971,5.103,5.264,5.44,5.625,5.815,6.01,6.207,0.356,0.752,1.144,1.535,1.926,2.318,2.713,3.111,3.511,3.909,4.3,4.677,5.036,5.377,5.698,6.0,6.283,6.549,6.797,7.029,0.0,-0.06,-0.137,-0.222,-0.307,-0.384,-0.445,-0.482,-0.485,-0.448,-0.364,-0.231,-0.056,0.153,0.391,0.653,0.935,1.234,1.548,1.873,3.125,3.223,3.374,3.447,3.549,3.558,3.683,3.737,3.92,4.11,4.225,4.429,4.662,4.927,5.23,5.437,5.68,6.198,6.753,7.682,8.685,3.813,3.42,2.784,2.398,2.162,1.91,1.772,1.661,1.616,1.665,1.613,1.628,1.71,1.849,2.048,2.368,2.538,2.975,3.667,-0.055,5.462,1.3
0.18,-0.171,0.981,2.394,-0.733,0.68,8.059,-9.347,0.0,-0.064,-0.054,5.462,7.809,7.559,7.323,7.093,6.864,6.628,6.379,6.111,5.82,5.502,5.158,4.791,4.409,4.016,3.619,3.219,2.82,2.422,2.027,1.635,-9.117,-8.805,-8.482,-8.155,-7.827,-7.504,-7.191,-6.895,-6.621,-6.378,-6.175,-6.017,-5.901,-5.824,-5.781,-5.769,-5.784,-5.824,-5.886,-5.967,5.462,5.705,5.932,6.144,5.948,5.598,5.322,5.112,4.964,4.881,4.863,4.881,4.971,5.103,5.264,5.44,5.625,5.815,6.01,6.207,0.34,0.735,1.128,1.519,1.91,2.302,2.697,3.096,3.495,3.893,4.284,4.66,5.02,5.36,5.68,5.982,6.264,6.529,6.777,7.008,0.001,-0.058,-0.134,-0.218,-0.302,-0.379,-0.439,-0.474,-0.476,-0.438,-0.354,-0.22,-0.044,0.166,0.405,0.667,0.95,1.25,1.564,1.89,3.155,3.28,3.358,3.463,3.525,3.589,3.633,3.719,3.923,4.081,4.173,4.4,4.681,4.915,5.176,5.441,5.699,6.15,6.757,7.602,8.644,3.837,3.369,2.756,2.385,2.122,1.919,1.744,1.619,1.618,1.704,1.559,1.609,1.653,1.87,1.998,2.322,2.564,2.983,3.673,-0.054,5.462,1.3
