epoch;loss;lr;mu;step
0;0.0006329460884444416;0.01;0.89000756;2
0;0.0005177271086722612;0.01;0.8802669;3
0;0.0004514881584327668;0.01;0.87052953;4
0;0.0001691962534096092;0.01;0.86165184;5
0;0.0002558981941547245;0.01;0.85303485;6
0;5.609469735645689e-05;0.01;0.84543633;7
0;2.364626425332972e-06;0.01;0.83878607;8
0;0.0012220735661685467;0.01;0.83138067;9
0;0.0005994225502945483;0.01;0.82348126;10
0;0.0004989742301404476;0.01;0.81517893;11
0;0.0007254727534018457;0.01;0.80635554;12
0;0.004991332069039345;0.01;0.7992795;13
0;0.0012570639373734593;0.01;0.79190737;14
0;7.43915734346956e-05;0.01;0.785188;15
0;0.0015799381071701646;0.01;0.77792966;16
0;0.00014531023043673486;0.01;0.77119195;17
0;0.0013974999310448766;0.01;0.7638578;18
0;0.00022087569232098758;0.01;0.75698155;19
0;0.0003195923054590821;0.01;0.75036085;20
0;0.00011910067405551672;0.01;0.7442088;21
0;0.00010792123066494241;0.01;0.738482;22
0;6.0771824792027473e-05;0.01;0.7331792;23
0;2.9239237164802034e-07;0.01;0.7283505;24
0;0.0010958875063806772;0.01;0.72253865;25
0;7.019274198682979e-05;0.01;0.717141;26
0;0.0002720625197980553;0.01;0.71178305;27
0;0.0013849925016984344;0.01;0.70509666;28
0;0.00039305409882217646;0.01;0.69838864;29
0;0.00027062022127211094;0.01;0.6917972;30
0;0.0002059563557850197;0.01;0.6854022;31
0;1.654673724260647e-05;0.01;0.67953956;32
0;0.0005621627205982804;0.01;0.67302305;33
0;0.00017888948787003756;0.01;0.66664845;34
0;4.951345545123331e-05;0.01;0.660701;35
0;3.093671693932265e-05;0.01;0.65519;36
0;0.00011263290070928633;0.01;0.64979124;37
0;0.00013842229964211583;0.01;0.6443451;38
0;8.248220547102392e-05;0.01;0.63902926;39
0;3.417302195884986e-06;0.01;0.63417214;40
0;3.7234503906802274e-06;0.01;0.62972957;41
0;3.099620880675502e-05;0.01;0.6254766;42
0;0.00011450497549958527;0.01;0.62071705;43
0;1.6020612747524865e-05;0.01;0.61622775;44
0;2.1814908905071206e-05;0.01;0.61186314;45
0;3.3662523492239416e-05;0.01;0.60730475;46
0;1.143524241342675e-05;0.01;0.6028274;47
0;3.2283201107929926e-06;0.01;0.59851;48
0;2.323333063714017e-07;0.01;0.5946196;49
0;1.4781048776058014e-06;0.01;0.5911448;50
0;5.49694050278049e-06;0.01;0.5881274;51
0;6.233458407223225e-05;0.01;0.5866107;52
0;2.6897549105342478e-05;0.01;0.5856911;53
0;4.870742850471288e-05;0.01;0.58563685;54
0;3.611215504406573e-07;0.01;0.5855934;55
0;2.7789830880919908e-08;0.01;0.5855544;56
0;1.3582362612396537e-07;0.01;0.5855212;57
0;9.464663889957592e-06;0.01;0.58564687;58
0;1.8634964362718165e-06;0.01;0.5857916;59
0;2.0659599613281898e-05;0.01;0.58627206;60
0;1.8604630895424634e-05;0.01;0.5870373;61
0;6.225994638953125e-06;0.01;0.58784974;62
0;1.7870314650281216e-07;0.01;0.5885906;63
0;1.4951344837754732e-06;0.01;0.58929574;64
0;5.2283403420005925e-06;0.01;0.5900576;65
0;8.185485057765618e-06;0.01;0.590956;66
0;9.810270967136603e-06;0.01;0.59204507;67
0;7.732478479738347e-06;0.01;0.59328026;68
0;2.8553122533026e-08;0.01;0.5944015;69
0;2.4267339995276416e-06;0.01;0.59553003;70
0;1.7212281022693787e-07;0.01;0.59656334;71
0;9.872605488681074e-08;0.01;0.5975076;72
0;6.777617613806797e-07;0.01;0.59843534;73
0;4.877937609393257e-09;0.01;0.5992771;74
0;1.7795040996304579e-09;0.01;0.6000406;75
0;6.163655696944659e-11;0.01;0.6007322;76
