epoch;loss;lr;val_loss
0;0.03533701226115227;0.001;0.004282719921320677
1;0.002592814154922962;0.001;0.0018030806677415967
2;0.001581851509399712;0.001;0.0012386752059683204
3;0.00110344379208982;0.001;0.0010371444514021277
4;0.0008545851451344788;0.001;0.0006505339406430721
5;0.0006774155190214515;0.001;0.0006139264442026615
6;0.0005539288395084441;0.001;0.0004929951392114162
7;0.0004714487004093826;0.001;0.000422841461841017
8;0.00041370801045559347;0.001;0.0003579952463041991
9;0.00037495989818125963;0.001;0.000313624826958403
10;0.00033518116106279194;0.001;0.0003013754903804511
11;0.00030770772718824446;0.001;0.00029996183002367616
12;0.00017401305376552045;0.00031600002;0.0001673095248406753
13;0.00016477619647048414;0.00031600002;0.00015260043437592685
14;0.00015782008995302022;0.00031600002;0.0001389952376484871
15;0.0001515032781753689;0.00031600002;0.00012856144167017192
16;0.0001461549400119111;0.00031600002;0.00013396951544564217
17;0.00011699489550665021;9.9856006e-05;0.0001054400418070145
18;0.00011537137470440939;9.9856006e-05;0.00011353438458172604
19;0.00010650405602063984;3.1554497e-05;0.00010478799231350422
20;0.00010369154915679246;1e-05;0.00010331716475775465
21;0.00010333380487281829;1e-05;0.00010230179759673774
22;0.00010310302604921162;1e-05;0.0001035604000207968
23;0.00010295269021298736;1e-05;0.0001030501225613989
24;0.00010272474173689261;1e-05;0.00010317054693587124
