# This is F1TENTH simulation from 23.05.2023 at time 09:51:48
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
time,translational_control,angular_control,translational_control_calculated,angular_control_calculated,pose_x,pose_y,pose_theta,linear_vel_x,linear_vel_y,angular_vel_z,pose_theta_cos,pose_theta_sin,slip_angle,steering_angle,LIDAR_0000,LIDAR_0001,LIDAR_0002,LIDAR_0003,LIDAR_0004,LIDAR_0005,LIDAR_0006,LIDAR_0007,LIDAR_0008,LIDAR_0009,LIDAR_0010,LIDAR_0011,LIDAR_0012,LIDAR_0013,LIDAR_0014,LIDAR_0015,LIDAR_0016,LIDAR_0017,LIDAR_0018,LIDAR_0019,LIDAR_0020,LIDAR_0021,LIDAR_0022,LIDAR_0023,LIDAR_0024,LIDAR_0025,LIDAR_0026,LIDAR_0027,LIDAR_0028,LIDAR_0029,LIDAR_0030,LIDAR_0031,LIDAR_0032,LIDAR_0033,LIDAR_0034,LIDAR_0035,LIDAR_0036,LIDAR_0037,LIDAR_0038,LIDAR_0039,LIDAR_0040,LIDAR_0041,LIDAR_0042,LIDAR_0043,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,mu
0.0,9.693,0.487,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.686,1.554,1.446,1.322,1.198,1.164,1.102,1.099,1.027,1.112,1.111,1.134,1.202,1.316,1.618,1.884,2.27,3.004,4.074,6.267,14.6,14.428,14.063,7.994,6.064,4.761,3.74,3.327,2.854,2.626,2.404,2.225,2.199,2.104,2.046,2.022,2.0,2.013,2.015,2.057,2.084,2.203,2.324,2.562,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.376,3.774,4.172,4.57,4.968,5.366,5.764,0.89,0.916,0.933,0.939,0.938,0.928,0.912,0.891,0.865,0.836,0.804,0.769,0.733,0.698,0.662,1.049
0.04,4.583,-0.068,4.576,-0.384,0.006,0.0,0.001,0.377,0.0,0.11,1.0,0.001,0.0,0.128,1.7,1.562,1.425,1.348,1.2,1.16,1.09,1.052,1.061,1.111,1.087,1.148,1.202,1.286,1.64,1.925,2.255,3.009,4.048,6.278,14.544,14.394,14.054,7.958,6.066,4.754,3.74,3.274,2.861,2.636,2.39,2.251,2.201,2.089,2.046,2.004,1.996,2.038,2.011,2.046,2.073,2.203,2.326,2.544,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.178,0.577,0.976,1.376,1.775,2.174,2.574,2.972,3.371,3.769,4.167,4.565,4.963,5.361,5.759,0.89,0.916,0.931,0.938,0.935,0.925,0.909,0.887,0.861,0.831,0.798,0.763,0.727,0.691,0.655,1.049
0.08,3.722,0.928,4.149,1.066,0.026,0.0,0.006,0.758,0.0,-0.0,1.0,0.006,0.0,0.0,1.654,1.497,1.396,1.357,1.196,1.153,1.11,1.052,1.055,1.099,1.104,1.161,1.194,1.348,1.653,1.919,2.372,3.041,4.236,6.445,14.549,14.372,13.953,7.665,6.002,4.663,3.698,3.249,2.835,2.579,2.335,2.257,2.21,2.096,2.057,2.007,1.991,2.031,1.99,2.052,2.087,2.211,2.308,2.544,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.162,0.56,0.96,1.359,1.758,2.158,2.557,2.956,3.354,3.752,4.15,4.548,4.946,5.343,5.741,0.889,0.913,0.927,0.931,0.927,0.916,0.897,0.874,0.846,0.814,0.779,0.742,0.704,0.666,0.628,1.049
0.12,4.223,0.732,4.417,0.753,0.062,0.0,0.011,1.138,0.0,0.114,1.0,0.011,0.022,0.128,1.637,1.506,1.41,1.326,1.251,1.161,1.101,1.035,1.038,1.062,1.091,1.147,1.258,1.36,1.614,1.929,2.429,3.083,4.333,6.541,14.541,14.251,13.786,7.586,5.828,4.623,3.689,3.248,2.833,2.597,2.343,2.226,2.202,2.095,2.037,2.002,2.004,2.031,2.007,2.066,2.11,2.236,2.344,2.548,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.131,0.529,0.929,1.328,1.728,2.127,2.526,2.924,3.323,3.721,4.118,4.516,4.913,5.311,5.708,0.888,0.91,0.922,0.924,0.918,0.904,0.884,0.858,0.828,0.794,0.757,0.718,0.678,0.637,0.597,1.049
0.16,7.573,0.836,8.0,1.066,0.114,0.003,0.026,1.519,0.0,0.699,1.0,0.026,0.062,0.256,1.652,1.485,1.387,1.249,1.205,1.16,1.051,1.054,1.052,1.101,1.111,1.139,1.242,1.444,1.673,1.976,2.512,3.17,4.625,6.891,14.469,14.216,13.484,7.126,5.516,4.465,3.601,3.164,2.758,2.555,2.369,2.241,2.152,2.102,2.036,2.014,2.016,2.037,2.018,2.074,2.095,2.237,2.343,2.599,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.491,0.89,1.29,1.689,2.088,2.487,2.885,3.283,3.68,4.077,4.474,4.871,5.268,5.665,6.062,0.901,0.907,0.904,0.892,0.872,0.846,0.815,0.779,0.739,0.696,0.652,0.606,0.56,0.514,0.47,1.049
0.2,-0.373,-0.901,-0.465,-0.457,0.18,0.011,0.063,1.899,0.0,1.368,0.998,0.063,0.094,0.384,1.603,1.437,1.389,1.253,1.165,1.109,1.052,1.039,1.1,1.107,1.154,1.195,1.344,1.558,1.843,2.197,2.806,3.571,5.462,8.806,14.304,13.999,11.831,6.557,5.108,4.126,3.399,2.985,2.736,2.434,2.28,2.177,2.143,2.048,1.993,1.987,1.998,2.006,2.006,2.089,2.135,2.292,2.403,2.718,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.458,0.858,1.257,1.655,2.053,2.45,2.847,3.243,3.639,4.034,4.429,4.824,5.219,5.614,6.009,0.879,0.87,0.851,0.824,0.79,0.749,0.703,0.652,0.597,0.54,0.48,0.42,0.359,0.298,0.239,1.049
0.24,8.136,-0.412,8.0,-0.766,0.249,0.024,0.141,1.519,0.0,1.697,0.99,0.14,0.088,0.256,1.505,1.391,1.259,1.201,1.094,1.114,1.093,1.097,1.101,1.159,1.203,1.403,1.58,1.756,2.105,2.66,3.268,5.038,7.576,14.327,13.998,13.252,6.771,5.381,4.381,3.489,3.103,2.707,2.529,2.29,2.134,2.104,2.054,2.015,1.996,1.943,2.001,2.029,2.079,2.16,2.246,2.391,2.565,2.858,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.455,0.852,1.249,1.644,2.038,2.431,2.823,3.214,3.604,3.994,4.383,4.772,5.161,5.55,5.939,0.837,0.797,0.748,0.69,0.625,0.553,0.476,0.395,0.31,0.222,0.132,0.041,-0.05,-0.141,-0.231,1.049
0.28,7.329,-0.919,7.457,-1.066,0.313,0.041,0.188,1.899,0.0,0.902,0.982,0.187,0.076,0.128,1.494,1.348,1.269,1.156,1.099,1.109,1.093,1.107,1.15,1.194,1.305,1.502,1.728,1.955,2.408,2.956,4.031,5.869,10.136,14.177,13.843,8.875,6.219,4.752,3.907,3.312,2.906,2.584,2.356,2.192,2.058,2.056,1.999,1.96,1.937,1.939,2.0,1.987,2.055,2.137,2.3,2.435,2.688,3.016,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.427,0.823,1.216,1.608,1.999,2.388,2.776,3.163,3.549,3.934,4.318,4.702,5.086,5.471,5.855,0.81,0.752,0.684,0.607,0.524,0.434,0.338,0.238,0.135,0.029,-0.079,-0.188,-0.298,-0.407,-0.515,1.049
0.32,3.749,0.12,3.834,-0.169,0.392,0.062,0.218,2.279,0.0,0.475,0.976,0.216,0.036,0.0,1.448,1.299,1.237,1.151,1.101,1.099,1.087,1.147,1.15,1.272,1.467,1.661,1.813,2.15,2.63,3.138,4.755,6.499,14.27,13.953,13.632,7.599,5.665,4.471,3.602,3.072,2.743,2.571,2.312,2.108,1.996,1.973,1.997,1.951,1.949,1.946,1.996,2.04,2.068,2.171,2.298,2.516,2.748,3.073,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.37,0.763,1.155,1.544,1.932,2.318,2.703,3.087,3.469,3.851,4.232,4.613,4.994,5.374,5.755,0.793,0.723,0.643,0.554,0.459,0.357,0.25,0.139,0.024,-0.094,-0.214,-0.335,-0.456,-0.577,-0.696,1.049
0.36,7.933,-0.04,8.0,-0.172,0.484,0.085,0.232,2.54,0.0,0.473,0.973,0.23,0.021,0.128,1.466,1.298,1.204,1.159,1.15,1.149,1.149,1.156,1.256,1.429,1.5,1.683,1.902,2.262,2.729,3.375,4.997,7.362,14.113,13.84,13.171,7.145,5.451,4.285,3.46,2.995,2.697,2.44,2.254,2.102,1.999,1.985,1.936,1.906,1.903,1.903,1.95,2.052,2.087,2.218,2.31,2.563,2.742,3.118,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,6.56,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,0.596,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,5.629,0.678,1.069,1.457,1.843,2.228,2.611,2.993,3.374,3.754,4.134,4.512,4.891,5.27,5.65,6.03,0.71,0.624,0.531,0.43,0.322,0.21,0.093,-0.028,-0.151,-0.276,-0.402,-0.529,-0.655,-0.78,-0.903,1.049
