# This is F1TENTH simulation from 23.05.2023 at time 10:05:38
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
# This is F1TENTH simulation from 23.05.2023 at time 10:05:38
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
# This is F1TENTH simulation from 23.05.2023 at time 10:05:38
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
time,translational_control,angular_control,translational_control_calculated,angular_control_calculated,pose_x,pose_y,pose_theta,linear_vel_x,linear_vel_y,angular_vel_z,pose_theta_cos,pose_theta_sin,slip_angle,steering_angle,LIDAR_0000,LIDAR_0001,LIDAR_0002,LIDAR_0003,LIDAR_0004,LIDAR_0005,LIDAR_0006,LIDAR_0007,LIDAR_0008,LIDAR_0009,LIDAR_0010,LIDAR_0011,LIDAR_0012,LIDAR_0013,LIDAR_0014,LIDAR_0015,LIDAR_0016,LIDAR_0017,LIDAR_0018,LIDAR_0019,LIDAR_0020,LIDAR_0021,LIDAR_0022,LIDAR_0023,LIDAR_0024,LIDAR_0025,LIDAR_0026,LIDAR_0027,LIDAR_0028,LIDAR_0029,LIDAR_0030,LIDAR_0031,LIDAR_0032,LIDAR_0033,LIDAR_0034,LIDAR_0035,LIDAR_0036,LIDAR_0037,LIDAR_0038,LIDAR_0039,LIDAR_0040,LIDAR_0041,LIDAR_0042,LIDAR_0043,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,mu
0.0,10.281,0.385,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.686,1.554,1.446,1.322,1.198,1.164,1.102,1.099,1.027,1.112,1.111,1.134,1.202,1.316,1.618,1.884,2.27,3.004,4.074,6.267,14.6,14.428,14.063,7.994,6.064,4.761,3.74,3.327,2.854,2.626,2.404,2.225,2.199,2.104,2.046,2.022,2.0,2.013,2.015,2.057,2.084,2.203,2.324,2.562,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.376,3.774,4.172,4.57,4.968,5.366,5.764,0.89,0.916,0.933,0.939,0.938,0.928,0.912,0.891,0.865,0.836,0.804,0.769,0.733,0.698,0.662,1.049
0.04,7.615,-0.604,8.0,-1.066,0.006,0.0,0.001,0.38,0.0,0.111,1.0,0.001,0.0,0.128,1.7,1.562,1.425,1.348,1.2,1.16,1.09,1.052,1.061,1.111,1.087,1.148,1.202,1.286,1.64,1.925,2.255,3.009,4.048,6.278,14.544,14.394,14.054,7.958,6.066,4.754,3.74,3.274,2.861,2.636,2.39,2.251,2.201,2.089,2.046,2.004,1.996,2.038,2.011,2.046,2.073,2.203,2.326,2.544,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.178,0.577,0.976,1.376,1.775,2.174,2.574,2.972,3.371,3.769,4.167,4.565,4.963,5.361,5.759,0.89,0.916,0.931,0.938,0.935,0.925,0.909,0.887,0.861,0.831,0.798,0.763,0.727,0.69,0.654,1.049
0.08,7.724,1.095,8.0,1.03,0.027,0.0,0.006,0.761,0.0,-0.001,1.0,0.006,0.0,0.0,1.654,1.497,1.396,1.357,1.196,1.153,1.11,1.052,1.055,1.099,1.104,1.161,1.194,1.348,1.653,1.919,2.372,3.041,4.236,6.445,14.549,14.379,13.953,7.665,6.002,4.663,3.698,3.249,2.835,2.579,2.335,2.257,2.21,2.096,2.057,2.007,1.991,2.031,1.99,2.052,2.087,2.211,2.308,2.544,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.162,0.56,0.96,1.359,1.758,2.158,2.557,2.956,3.354,3.752,4.15,4.548,4.945,5.343,5.741,0.889,0.913,0.927,0.931,0.927,0.915,0.897,0.874,0.846,0.814,0.779,0.742,0.704,0.666,0.628,1.049
0.12,7.161,0.092,7.591,-0.306,0.063,0.0,0.011,1.141,0.0,0.115,1.0,0.011,0.022,0.128,1.637,1.506,1.41,1.326,1.251,1.161,1.101,1.035,1.038,1.062,1.091,1.147,1.258,1.36,1.614,1.929,2.429,3.083,4.333,6.541,14.536,14.251,13.786,7.586,5.828,4.623,3.689,3.248,2.833,2.597,2.343,2.226,2.202,2.095,2.037,2.002,2.004,2.031,2.007,2.066,2.11,2.236,2.344,2.548,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.13,0.529,0.928,1.328,1.727,2.126,2.525,2.924,3.322,3.72,4.118,4.516,4.913,5.31,5.708,0.888,0.91,0.922,0.924,0.918,0.904,0.884,0.858,0.827,0.793,0.756,0.718,0.677,0.637,0.597,1.049
0.16,7.793,0.74,8.0,0.325,0.114,0.003,0.021,1.522,0.0,0.339,1.0,0.021,0.033,0.064,1.652,1.485,1.387,1.249,1.205,1.16,1.051,1.054,1.052,1.101,1.111,1.139,1.242,1.444,1.673,1.926,2.532,3.165,4.574,6.804,14.485,14.22,13.55,7.28,5.659,4.515,3.601,3.163,2.808,2.555,2.369,2.241,2.202,2.102,2.036,2.014,2.016,2.037,2.018,2.074,2.095,2.237,2.369,2.599,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.487,0.886,1.286,1.685,2.084,2.483,2.881,3.279,3.677,4.074,4.471,4.868,5.265,5.662,6.059,0.904,0.911,0.909,0.899,0.881,0.857,0.827,0.793,0.755,0.714,0.671,0.627,0.583,0.539,0.496,1.049
0.2,8.33,0.805,8.0,1.066,0.181,0.007,0.036,1.902,0.0,0.583,0.999,0.036,0.039,0.192,1.616,1.487,1.389,1.253,1.165,1.13,1.052,1.039,1.05,1.107,1.154,1.195,1.315,1.564,1.768,2.039,2.627,3.249,5.068,7.685,14.37,14.084,13.07,6.749,5.328,4.36,3.54,3.121,2.735,2.484,2.328,2.15,2.113,2.098,1.993,1.987,1.998,2.006,2.017,2.043,2.085,2.248,2.38,2.618,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.434,0.833,1.232,1.632,2.03,2.428,2.826,3.224,3.621,4.018,4.414,4.81,5.207,5.603,5.999,0.895,0.897,0.889,0.873,0.849,0.819,0.783,0.743,0.699,0.653,0.604,0.554,0.504,0.454,0.406,1.049
0.24,5.572,-1.319,5.632,-1.066,0.262,0.014,0.068,2.282,0.0,1.204,0.998,0.068,0.059,0.32,1.609,1.488,1.295,1.201,1.165,1.114,1.043,1.047,1.101,1.109,1.153,1.245,1.462,1.577,1.82,2.237,2.865,3.568,5.54,9.105,14.2,13.916,9.373,6.448,4.965,4.051,3.403,2.964,2.638,2.436,2.262,2.135,2.054,2.065,1.996,1.993,2.001,1.993,2.051,2.1,2.148,2.297,2.437,2.721,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.38,0.78,1.178,1.577,1.975,2.372,2.768,3.164,3.56,3.955,4.349,4.744,5.138,5.533,5.928,0.878,0.867,0.847,0.818,0.782,0.739,0.691,0.638,0.581,0.522,0.46,0.398,0.335,0.272,0.211,1.049
0.28,7.873,-0.7,8.0,-1.066,0.358,0.029,0.123,2.663,0.0,1.381,0.992,0.122,0.056,0.192,1.537,1.404,1.261,1.206,1.099,1.109,1.093,1.107,1.1,1.144,1.259,1.406,1.531,1.761,2.135,2.663,3.176,4.817,6.618,14.234,13.948,13.458,7.233,5.673,4.412,3.606,3.082,2.773,2.541,2.316,2.135,2.077,2.049,2.01,1.987,1.939,2.0,1.987,2.027,2.127,2.201,2.343,2.55,2.834,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.331,0.729,1.126,1.522,1.917,2.312,2.705,3.097,3.489,3.88,4.271,4.662,5.052,5.442,5.833,0.854,0.821,0.779,0.728,0.67,0.605,0.536,0.461,0.383,0.302,0.219,0.135,0.051,-0.033,-0.116,1.049
0.32,7.952,0.08,8.0,0.077,0.468,0.05,0.172,3.043,0.0,0.911,0.985,0.171,0.029,0.064,1.448,1.327,1.187,1.151,1.101,1.099,1.087,1.097,1.15,1.251,1.426,1.546,1.69,1.941,2.36,2.888,3.926,5.542,9.025,14.022,13.777,11.459,6.315,4.969,4.018,3.242,2.939,2.636,2.402,2.185,2.07,2.0,2.033,1.951,1.949,1.946,1.946,1.99,2.046,2.136,2.253,2.467,2.651,2.964,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,6.56,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,0.596,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,5.629,0.656,1.051,1.444,1.836,2.226,2.616,3.004,3.392,3.778,4.164,4.55,4.936,5.322,5.708,6.095,0.782,0.72,0.65,0.573,0.489,0.4,0.306,0.209,0.109,0.007,-0.096,-0.2,-0.303,-0.405,-0.504,1.049
0.36,8.229,-1.023,8.0,-0.599,0.593,0.076,0.202,3.424,0.0,0.623,0.98,0.2,0.013,0.064,1.404,1.248,1.204,1.159,1.15,1.149,1.149,1.206,1.306,1.429,1.541,1.652,1.864,2.18,2.585,3.191,4.59,6.234,14.027,13.81,13.605,7.943,5.943,4.435,3.685,3.136,2.797,2.445,2.302,2.138,2.015,1.949,1.901,1.956,1.903,1.953,1.95,2.002,2.122,2.154,2.241,2.468,2.688,3.013,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,6.56,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,0.596,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,5.629,0.552,0.944,1.335,1.725,2.113,2.499,2.884,3.269,3.652,4.035,4.418,4.801,5.183,5.566,5.95,0.762,0.688,0.606,0.517,0.422,0.321,0.216,0.107,-0.005,-0.118,-0.233,-0.348,-0.462,-0.576,-0.687,1.049
