# This is F1TENTH simulation from 23.05.2023 at time 10:17:47
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
# This is F1TENTH simulation from 23.05.2023 at time 10:17:47
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
# This is F1TENTH simulation from 23.05.2023 at time 10:17:47
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
# This is F1TENTH simulation from 23.05.2023 at time 10:17:47
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
# This is F1TENTH simulation from 23.05.2023 at time 10:17:47
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
time,translational_control,angular_control,translational_control_calculated,angular_control_calculated,pose_x,pose_y,pose_theta,linear_vel_x,linear_vel_y,angular_vel_z,pose_theta_cos,pose_theta_sin,slip_angle,steering_angle,LIDAR_0000,LIDAR_0001,LIDAR_0002,LIDAR_0003,LIDAR_0004,LIDAR_0005,LIDAR_0006,LIDAR_0007,LIDAR_0008,LIDAR_0009,LIDAR_0010,LIDAR_0011,LIDAR_0012,LIDAR_0013,LIDAR_0014,LIDAR_0015,LIDAR_0016,LIDAR_0017,LIDAR_0018,LIDAR_0019,LIDAR_0020,LIDAR_0021,LIDAR_0022,LIDAR_0023,LIDAR_0024,LIDAR_0025,LIDAR_0026,LIDAR_0027,LIDAR_0028,LIDAR_0029,LIDAR_0030,LIDAR_0031,LIDAR_0032,LIDAR_0033,LIDAR_0034,LIDAR_0035,LIDAR_0036,LIDAR_0037,LIDAR_0038,LIDAR_0039,LIDAR_0040,LIDAR_0041,LIDAR_0042,LIDAR_0043,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,mu
0.0,9.948,-0.045,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.686,1.554,1.446,1.322,1.198,1.164,1.102,1.099,1.027,1.112,1.111,1.134,1.202,1.316,1.618,1.884,2.27,3.004,4.074,6.267,14.6,14.428,14.063,7.994,6.064,4.761,3.74,3.327,2.854,2.626,2.404,2.225,2.199,2.104,2.046,2.022,2.0,2.013,2.015,2.057,2.084,2.203,2.324,2.562,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.376,3.774,4.172,4.57,4.968,5.366,5.764,0.89,0.916,0.933,0.939,0.938,0.928,0.912,0.891,0.865,0.836,0.804,0.769,0.733,0.698,0.662,1.049
0.04,8.47,0.971,8.0,1.066,0.006,-0.0,-0.001,0.38,0.0,-0.055,1.0,-0.001,0.0,-0.064,1.7,1.562,1.425,1.348,1.2,1.16,1.09,1.102,1.061,1.111,1.087,1.148,1.202,1.286,1.64,1.875,2.255,3.009,4.041,6.278,14.541,14.393,14.054,8.171,6.066,4.754,3.782,3.324,2.861,2.636,2.39,2.251,2.201,2.089,2.046,2.004,1.996,2.038,2.011,2.046,2.073,2.203,2.328,2.544,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.177,0.575,0.974,1.374,1.773,2.172,2.572,2.97,3.369,3.768,4.166,4.564,4.962,5.359,5.757,0.89,0.917,0.933,0.94,0.939,0.93,0.914,0.893,0.868,0.839,0.806,0.772,0.737,0.701,0.666,1.049
0.08,8.153,0.963,8.0,1.066,0.027,-0.0,-0.001,0.76,0.0,0.129,1.0,-0.001,0.0,0.064,1.704,1.547,1.446,1.357,1.196,1.153,1.11,1.052,1.055,1.099,1.104,1.161,1.194,1.348,1.641,1.919,2.259,2.986,4.047,6.296,14.551,14.375,14.044,8.157,6.063,4.76,3.757,3.299,2.885,2.629,2.385,2.278,2.21,2.096,2.057,2.007,1.991,2.031,1.99,2.052,2.087,2.211,2.332,2.544,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.155,0.554,0.953,1.352,1.752,2.151,2.55,2.949,3.348,3.746,4.144,4.542,4.94,5.338,5.736,0.89,0.917,0.934,0.941,0.94,0.931,0.916,0.895,0.87,0.841,0.809,0.775,0.74,0.704,0.669,1.049
0.12,8.404,0.894,8.0,1.066,0.063,0.0,0.011,1.141,0.0,0.191,1.0,0.011,0.036,0.192,1.637,1.506,1.41,1.326,1.251,1.161,1.101,1.035,1.038,1.062,1.091,1.147,1.208,1.36,1.614,1.929,2.429,3.083,4.333,6.541,14.536,14.251,13.786,7.586,5.828,4.623,3.689,3.248,2.833,2.597,2.343,2.226,2.202,2.095,2.037,2.002,2.004,2.031,2.007,2.066,2.11,2.236,2.344,2.548,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.13,0.529,0.928,1.328,1.727,2.126,2.525,2.924,3.322,3.72,4.118,4.515,4.913,5.31,5.708,0.889,0.911,0.922,0.925,0.918,0.905,0.885,0.859,0.829,0.795,0.758,0.719,0.679,0.639,0.599,1.049
0.16,3.972,-1.047,3.56,-0.885,0.114,0.004,0.032,1.521,0.0,0.93,0.999,0.032,0.085,0.32,1.652,1.485,1.387,1.249,1.194,1.16,1.051,1.054,1.052,1.101,1.111,1.139,1.242,1.444,1.673,2.076,2.531,3.224,5.007,6.876,14.451,14.169,13.409,6.889,5.479,4.415,3.601,3.114,2.778,2.505,2.369,2.22,2.152,2.102,2.036,2.014,2.016,2.037,2.018,2.074,2.095,2.237,2.349,2.599,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.496,0.896,1.295,1.694,2.093,2.492,2.89,3.287,3.684,4.081,4.478,4.875,5.271,5.668,6.064,0.897,0.901,0.895,0.88,0.858,0.83,0.796,0.758,0.715,0.67,0.623,0.575,0.526,0.478,0.431,1.049
0.2,4.205,-0.663,3.789,-1.066,0.18,0.013,0.075,1.902,0.0,1.117,0.997,0.075,0.088,0.192,1.603,1.433,1.339,1.244,1.165,1.109,1.052,1.039,1.1,1.107,1.154,1.195,1.394,1.575,1.865,2.263,2.865,3.678,5.668,9.336,14.268,13.956,9.318,6.452,4.904,3.993,3.318,2.938,2.686,2.387,2.23,2.156,2.093,2.048,1.993,1.987,1.998,2.041,2.006,2.089,2.135,2.29,2.426,2.717,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.468,0.868,1.266,1.664,2.062,2.459,2.855,3.251,3.646,4.04,4.434,4.828,5.222,5.617,6.011,0.871,0.857,0.834,0.802,0.763,0.717,0.666,0.61,0.551,0.489,0.425,0.36,0.294,0.229,0.165,1.049
0.24,4.825,-0.801,5.01,-1.066,0.26,0.027,0.116,2.282,0.0,0.779,0.993,0.115,0.052,0.064,1.559,1.417,1.297,1.201,1.094,1.114,1.093,1.097,1.101,1.159,1.203,1.303,1.53,1.756,2.052,2.493,3.116,4.481,6.526,14.348,14.047,13.717,7.487,5.786,4.528,3.647,3.124,2.802,2.569,2.34,2.172,2.103,2.104,2.015,1.996,1.943,2.001,1.993,2.039,2.093,2.196,2.341,2.531,2.764,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.422,0.82,1.217,1.614,2.01,2.404,2.798,3.191,3.583,3.975,4.366,4.758,5.148,5.54,5.931,0.847,0.817,0.777,0.73,0.674,0.613,0.546,0.474,0.399,0.321,0.241,0.159,0.078,-0.003,-0.083,1.049
0.28,7.55,1.18,8.0,1.052,0.356,0.043,0.139,2.662,0.0,0.2,0.99,0.138,0.017,-0.064,1.565,1.398,1.261,1.156,1.099,1.109,1.093,1.107,1.15,1.144,1.259,1.447,1.678,1.811,2.201,2.731,3.417,5.047,7.645,14.173,13.921,13.05,6.784,5.314,4.321,3.468,3.023,2.691,2.491,2.267,2.135,2.077,2.049,2.01,1.937,1.939,1.95,1.987,2.029,2.128,2.201,2.393,2.569,2.884,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.344,0.742,1.138,1.533,1.928,2.321,2.713,3.104,3.495,3.884,4.274,4.663,5.052,5.441,5.831,0.834,0.795,0.747,0.69,0.625,0.555,0.478,0.398,0.313,0.226,0.137,0.047,-0.044,-0.134,-0.223,1.049
0.32,8.155,1.253,7.979,1.066,0.467,0.059,0.141,3.043,0.0,0.092,0.99,0.14,0.005,0.064,1.548,1.349,1.237,1.151,1.151,1.099,1.087,1.097,1.15,1.222,1.407,1.496,1.682,1.883,2.296,2.765,3.444,5.181,7.738,14.078,13.796,12.95,6.574,5.195,4.262,3.392,2.969,2.674,2.451,2.229,2.106,1.988,1.983,1.951,1.949,1.946,1.946,1.99,2.046,2.088,2.201,2.367,2.56,2.857,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,6.56,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,0.596,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,5.629,0.631,1.028,1.423,1.817,2.21,2.602,2.993,3.383,3.773,4.162,4.551,4.94,5.329,5.718,6.108,0.793,0.743,0.685,0.62,0.548,0.471,0.39,0.305,0.217,0.127,0.036,-0.056,-0.147,-0.237,-0.324,1.049
0.36,5.61,-1.178,5.634,-0.724,0.593,0.078,0.152,3.423,0.0,0.676,0.988,0.152,0.014,0.192,1.49,1.348,1.254,1.209,1.15,1.149,1.149,1.156,1.206,1.362,1.423,1.602,1.755,2.036,2.422,2.863,3.787,5.323,8.431,13.956,13.635,11.911,6.31,4.969,4.083,3.309,2.909,2.59,2.402,2.188,2.06,1.985,1.943,1.933,1.903,1.903,1.95,2.002,2.051,2.105,2.243,2.374,2.589,2.856,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,6.56,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,0.596,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,5.629,0.513,0.908,1.303,1.696,2.088,2.48,2.87,3.259,3.648,4.036,4.424,4.811,5.199,5.587,5.976,0.785,0.731,0.669,0.599,0.523,0.442,0.356,0.266,0.174,0.079,-0.016,-0.112,-0.208,-0.302,-0.394,1.049
