# This is F1TENTH simulation from 23.05.2023 at time 10:22:53
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
# This is F1TENTH simulation from 23.05.2023 at time 10:22:53
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
# This is F1TENTH simulation from 23.05.2023 at time 10:22:53
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
# This is F1TENTH simulation from 23.05.2023 at time 10:22:53
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
# This is F1TENTH simulation from 23.05.2023 at time 10:22:53
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
time,translational_control,angular_control,translational_control_calculated,angular_control_calculated,pose_x,pose_y,pose_theta,linear_vel_x,linear_vel_y,angular_vel_z,pose_theta_cos,pose_theta_sin,slip_angle,steering_angle,LIDAR_0000,LIDAR_0001,LIDAR_0002,LIDAR_0003,LIDAR_0004,LIDAR_0005,LIDAR_0006,LIDAR_0007,LIDAR_0008,LIDAR_0009,LIDAR_0010,LIDAR_0011,LIDAR_0012,LIDAR_0013,LIDAR_0014,LIDAR_0015,LIDAR_0016,LIDAR_0017,LIDAR_0018,LIDAR_0019,LIDAR_0020,LIDAR_0021,LIDAR_0022,LIDAR_0023,LIDAR_0024,LIDAR_0025,LIDAR_0026,LIDAR_0027,LIDAR_0028,LIDAR_0029,LIDAR_0030,LIDAR_0031,LIDAR_0032,LIDAR_0033,LIDAR_0034,LIDAR_0035,LIDAR_0036,LIDAR_0037,LIDAR_0038,LIDAR_0039,LIDAR_0040,LIDAR_0041,LIDAR_0042,LIDAR_0043,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,mu
0.0,10.321,0.273,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.686,1.554,1.446,1.322,1.198,1.164,1.102,1.099,1.027,1.112,1.111,1.134,1.202,1.316,1.618,1.884,2.27,3.004,4.074,6.267,14.6,14.428,14.063,7.994,6.064,4.761,3.74,3.327,2.854,2.626,2.404,2.225,2.199,2.104,2.046,2.022,2.0,2.013,2.015,2.057,2.084,2.203,2.324,2.562,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.376,3.774,4.172,4.57,4.968,5.366,5.764,0.89,0.916,0.933,0.939,0.938,0.928,0.912,0.891,0.865,0.836,0.804,0.769,0.733,0.698,0.662,1.049
0.04,4.216,1.109,3.981,1.066,0.006,0.0,0.001,0.38,0.0,0.111,1.0,0.001,0.0,0.128,1.7,1.562,1.425,1.348,1.2,1.16,1.09,1.052,1.061,1.111,1.087,1.148,1.202,1.286,1.64,1.925,2.255,3.009,4.048,6.278,14.544,14.394,14.054,7.958,6.066,4.754,3.74,3.274,2.861,2.636,2.39,2.251,2.201,2.089,2.046,2.004,1.996,2.038,2.011,2.046,2.073,2.203,2.326,2.544,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.178,0.577,0.976,1.376,1.775,2.174,2.574,2.972,3.371,3.769,4.167,4.565,4.963,5.361,5.759,0.89,0.916,0.931,0.938,0.935,0.925,0.909,0.887,0.861,0.831,0.798,0.763,0.727,0.69,0.654,1.049
0.08,8.232,1.26,8.0,1.066,0.027,0.0,0.013,0.761,0.0,0.526,1.0,0.013,0.0,0.256,1.654,1.497,1.396,1.307,1.196,1.192,1.11,1.052,1.055,1.099,1.104,1.161,1.244,1.398,1.62,1.954,2.402,3.091,4.348,6.561,14.554,14.302,13.818,7.573,5.762,4.613,3.681,3.215,2.865,2.579,2.335,2.257,2.21,2.096,2.057,2.007,1.991,2.031,1.986,2.052,2.087,2.211,2.358,2.544,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.168,0.567,0.966,1.366,1.765,2.164,2.563,2.962,3.36,3.758,4.156,4.553,4.95,5.348,5.745,0.888,0.909,0.92,0.921,0.914,0.9,0.879,0.852,0.822,0.787,0.749,0.71,0.669,0.628,0.587,1.049
0.12,7.993,0.158,8.0,0.026,0.063,0.001,0.047,1.141,0.0,0.41,0.999,0.047,0.081,0.384,1.587,1.491,1.346,1.276,1.222,1.111,1.101,1.035,1.038,1.062,1.091,1.197,1.258,1.49,1.675,2.017,2.652,3.305,5.177,7.965,14.477,14.185,12.452,6.857,5.316,4.24,3.531,3.07,2.786,2.548,2.303,2.205,2.152,2.095,1.987,2.002,2.003,2.031,2.003,2.086,2.156,2.275,2.414,2.648,0.183,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,0.89,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,5.573,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,0.162,0.561,0.96,1.36,1.759,2.157,2.555,2.953,3.35,3.746,4.142,4.538,4.934,5.33,5.725,0.882,0.89,0.888,0.876,0.855,0.827,0.793,0.753,0.708,0.66,0.609,0.556,0.502,0.447,0.393,1.049
0.16,7.66,0.054,8.0,0.44,0.113,0.009,0.083,1.522,0.0,1.127,0.997,0.083,0.118,0.256,1.555,1.466,1.332,1.229,1.144,1.131,1.051,1.054,1.102,1.101,1.161,1.189,1.363,1.578,1.877,2.199,2.884,3.695,5.816,10.145,14.354,14.048,8.907,6.412,4.961,3.939,3.302,2.914,2.652,2.416,2.279,2.17,2.102,2.052,1.986,2.014,2.014,2.025,2.011,2.093,2.145,2.322,2.46,2.667,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.542,0.941,1.339,1.737,2.134,2.531,2.927,3.322,3.716,4.11,4.504,4.898,5.291,5.685,6.078,0.865,0.848,0.822,0.787,0.745,0.696,0.642,0.583,0.521,0.456,0.388,0.32,0.251,0.183,0.116,1.049
0.2,4.174,-0.692,4.63,-0.727,0.179,0.023,0.126,1.902,0.0,0.944,0.992,0.126,0.081,0.128,1.505,1.433,1.269,1.194,1.165,1.109,1.102,1.089,1.1,1.157,1.204,1.295,1.55,1.753,2.05,2.538,3.199,4.73,6.834,14.41,14.149,13.501,7.406,5.642,4.509,3.601,3.147,2.762,2.539,2.299,2.147,2.106,2.043,1.998,1.993,1.937,1.998,1.98,2.05,2.088,2.185,2.379,2.562,2.809,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.512,0.91,1.307,1.703,2.098,2.492,2.885,3.278,3.669,4.06,4.45,4.841,5.231,5.621,6.012,0.836,0.801,0.758,0.706,0.646,0.58,0.509,0.433,0.354,0.272,0.188,0.102,0.016,-0.069,-0.153,1.049
0.24,8.111,0.72,8.0,0.85,0.259,0.04,0.158,2.282,0.0,0.49,0.988,0.157,0.038,0.0,1.505,1.42,1.289,1.201,1.094,1.114,1.093,1.097,1.151,1.159,1.303,1.396,1.622,1.829,2.244,2.808,3.546,5.342,8.444,14.288,13.923,12.034,6.647,5.113,4.155,3.447,3.006,2.628,2.429,2.257,2.084,2.054,2.054,2.015,1.946,1.943,2.001,1.979,2.079,2.11,2.246,2.441,2.615,2.858,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.457,0.853,1.249,1.643,2.036,2.428,2.818,3.208,3.597,3.985,4.372,4.76,5.147,5.534,5.922,0.815,0.768,0.712,0.648,0.576,0.498,0.414,0.326,0.234,0.139,0.043,-0.055,-0.153,-0.251,-0.347,1.049
0.28,8.034,-1.479,8.0,-1.066,0.354,0.058,0.173,2.662,0.0,0.457,0.985,0.172,0.021,0.128,1.535,1.398,1.261,1.156,1.149,1.109,1.093,1.157,1.15,1.244,1.348,1.481,1.747,1.951,2.372,2.916,3.923,5.624,9.159,14.138,13.846,9.238,6.344,4.9,3.984,3.356,2.905,2.61,2.398,2.18,2.048,2.042,1.999,1.96,1.937,1.939,1.95,1.987,2.016,2.171,2.25,2.443,2.655,2.935,0.582,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,0.916,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,5.674,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,0.372,0.768,1.163,1.556,1.948,2.338,2.727,3.116,3.503,3.889,4.276,4.661,5.047,5.433,5.819,0.806,0.754,0.691,0.621,0.543,0.458,0.369,0.275,0.177,0.076,-0.026,-0.13,-0.234,-0.337,-0.439,1.049
0.32,7.847,0.784,8.0,0.512,0.464,0.08,0.194,3.043,0.0,0.409,0.981,0.193,0.013,0.0,1.498,1.36,1.187,1.151,1.151,1.149,1.137,1.147,1.25,1.33,1.472,1.633,1.76,2.099,2.597,3.061,4.318,6.117,10.699,14.033,13.714,8.143,6.06,4.57,3.778,3.192,2.789,2.52,2.302,2.137,2.022,1.95,1.947,1.951,1.899,1.896,1.946,1.99,2.046,2.127,2.249,2.466,2.679,2.964,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,6.56,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,0.596,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,5.629,0.672,1.065,1.456,1.846,2.235,2.622,3.008,3.394,3.778,4.162,4.545,4.929,5.312,5.696,6.081,0.736,0.666,0.587,0.501,0.408,0.31,0.208,0.102,-0.007,-0.117,-0.229,-0.341,-0.453,-0.563,-0.672,1.049
0.36,8.013,-0.638,8.0,-1.066,0.588,0.107,0.207,3.423,0.0,0.413,0.979,0.205,0.008,0.128,1.452,1.298,1.254,1.209,1.15,1.149,1.149,1.227,1.306,1.427,1.562,1.702,1.871,2.276,2.69,3.264,4.753,6.41,14.026,13.798,13.487,7.913,5.688,4.444,3.591,3.036,2.697,2.409,2.252,2.088,1.974,1.902,1.852,1.906,1.903,1.903,1.95,2.002,2.051,2.155,2.261,2.468,2.638,2.992,0.981,1.38,1.78,2.179,2.578,2.977,3.375,3.774,4.172,4.57,4.968,5.366,5.763,6.161,6.56,0.933,0.939,0.937,0.928,0.912,0.891,0.865,0.836,0.803,0.769,0.733,0.697,0.662,0.628,0.596,5.77,5.862,5.951,6.037,6.119,6.198,6.275,6.349,6.42,6.489,6.556,6.436,6.167,5.899,5.629,0.554,0.946,1.336,1.725,2.113,2.499,2.883,3.267,3.65,4.033,4.415,4.797,5.179,5.561,5.944,0.728,0.652,0.568,0.477,0.38,0.277,0.17,0.059,-0.054,-0.17,-0.286,-0.403,-0.52,-0.635,-0.748,1.049
