bin_left,bin_right,count
-26.669170379638672,-25.983919143676758,1
-25.983919143676758,-25.298669815063477,0
-25.298669815063477,-24.613418579101562,0
-24.613418579101562,-23.92816925048828,1
-23.92816925048828,-23.242918014526367,1
-23.242918014526367,-22.557668685913086,1
-22.557668685913086,-21.872417449951172,1
-21.872417449951172,-21.18716812133789,1
-21.18716812133789,-20.501916885375977,0
-20.501916885375977,-19.816667556762695,2
-19.816667556762695,-19.13141632080078,2
-19.13141632080078,-18.4461669921875,0
-18.4461669921875,-17.760915756225586,1
-17.760915756225586,-17.075666427612305,1
-17.075666427612305,-16.39041519165039,1
-16.39041519165039,-15.70516586303711,0
-15.70516586303711,-15.019915580749512,2
-15.019915580749512,-14.334665298461914,0
-14.334665298461914,-13.649415016174316,5
-13.649415016174316,-12.964164733886719,1
-12.964164733886719,-12.278914451599121,5
-12.278914451599121,-11.593664169311523,0
-11.593664169311523,-10.908413887023926,1
-10.908413887023926,-10.223163604736328,2
-10.223163604736328,-9.53791332244873,1
-9.53791332244873,-8.852663040161133,0
-8.852663040161133,-8.167412757873535,0
-8.167412757873535,-7.4821624755859375,0
-7.4821624755859375,-6.79691219329834,0
-6.79691219329834,-6.111661911010742,0
-6.111661911010742,-5.4264116287231445,0
-5.4264116287231445,-4.741161346435547,0
-4.741161346435547,-4.055911064147949,0
-4.055911064147949,-3.3706605434417725,0
-3.3706605434417725,-2.685410261154175,0
-2.685410261154175,-2.000159978866577,0
-2.000159978866577,-1.3149096965789795,14
-1.3149096965789795,-0.6296594142913818,402
-0.6296594142913818,0.05559086054563522,5466
0.05559086054563522,0.7408411502838135,14088
