# This is F1TENTH simulation from 13.10.2023 at time 16:44:17
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
time,translational_control_applied,angular_control_applied,translational_control,angular_control,pose_x,pose_y,pose_theta,linear_vel_x,linear_vel_y,angular_vel_z,pose_theta_cos,pose_theta_sin,slip_angle,steering_angle,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,mu
0.0,10.0,0.0,10.0,0.0,-0.02324,0.05225,0.02264,0.04124,0.0,-0.00671,0.95808,-0.05165,-0.03009,-0.0212,1.45313,1.36069,1.2989,1.19924,1.09224,1.10077,1.03921,1.0427,1.10861,1.14966,1.20124,1.24589,1.41544,1.72961,2.1307,2.70218,3.46397,5.44908,8.86447,14.49048,14.2049,11.62409,6.60937,5.10954,4.07287,3.45562,3.02264,2.73064,2.45189,2.28049,2.19717,2.15116,2.0485,1.98549,1.99768,2.02347,1.95158,2.00267,2.04917,2.19053,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.1249,0.5061,0.8884,1.2714,1.6548,2.0384,2.422,2.8056,3.189,3.5724,3.9555,4.3386,4.7215,5.1042,5.4869,1.1135,1.1568,1.1889,1.2109,1.224,1.2294,1.228,1.2211,1.2095,1.1942,1.1755,1.154,1.1301,1.1044,1.0774,0.9
0.04,4.18503,0.30444,4.18503,0.30444,0.02321,-0.03252,-0.02461,0.35692,0.0,0.06478,0.98098,0.05188,-0.05526,-0.04544,1.45822,1.36886,1.29041,1.18029,1.10609,1.10892,1.03509,1.0228,1.09461,1.14538,1.1932,1.26102,1.49945,1.72534,2.04518,2.71424,3.47447,5.48222,8.88304,14.49974,14.20373,11.61976,6.60638,5.09393,4.08076,3.4302,3.01631,2.73594,2.4541,2.31106,2.21911,2.16718,2.05264,1.97491,1.99302,2.0201,1.95986,2.00004,2.04321,2.19983,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.2074,0.6002,0.9928,1.3851,1.7769,2.168,2.5584,2.9481,3.3372,3.7258,4.1138,4.5014,4.8886,5.2755,5.6621,1.2055,1.208,1.199,1.1797,1.1512,1.1149,1.0717,1.0228,0.9692,0.9118,0.851,0.7873,0.7213,0.6534,0.5842,0.9
0.08,4.64768,0.76711,4.64768,0.76711,0.03359,0.03354,0.05052,0.74822,0.0,0.2643,0.95205,-0.01994,-0.05217,0.12046,1.4371,1.35006,1.30181,1.19794,1.12672,1.10667,1.04704,1.04867,1.11066,1.13604,1.18947,1.24079,1.49817,1.80338,2.16747,2.6998,3.59041,5.54643,9.00837,14.46638,14.19479,9.53487,6.59479,5.01965,4.06781,3.43944,3.00121,2.73503,2.42577,2.25217,2.22642,2.17277,2.06098,2.00935,1.98958,1.98305,1.96617,2.05193,2.05331,2.17995,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.1058,0.4853,0.8656,1.2462,1.627,2.0076,2.3881,2.7684,3.1484,3.5281,3.9076,4.2869,4.6659,5.0447,5.4235,1.1171,1.1476,1.167,1.1763,1.1768,1.1696,1.1557,1.1363,1.1123,1.0846,1.0535,1.0197,0.9835,0.9455,0.9062,0.9
0.12,4.59625,0.86358,4.59625,0.86358,-0.00039,0.02691,-0.05127,1.0658,0.0,0.54881,1.03813,0.06719,0.0147,0.22534,1.42262,1.35239,1.24898,1.19516,1.08474,1.0466,1.04629,1.04878,1.09401,1.15837,1.19285,1.36073,1.57482,1.85087,2.17914,2.82746,3.68282,5.76014,9.4263,14.41887,14.09959,9.16717,6.48715,4.98187,3.94608,3.36151,2.95105,2.71732,2.44731,2.25701,2.19679,2.12871,2.03382,1.99263,1.9977,1.97946,1.97281,2.07089,2.05188,2.18916,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.2552,0.6711,1.0868,1.502,1.9165,2.3301,2.743,3.1551,3.5664,3.9772,4.3873,4.797,5.2061,5.615,6.0235,1.2106,1.2084,1.194,1.1686,1.1336,1.0902,1.0395,0.9829,0.9213,0.8557,0.7864,0.7142,0.6394,0.5627,0.4846,0.9
0.16,4.92857,0.94741,4.92857,0.94741,0.09625,0.02499,0.08115,1.44424,0.0,1.10096,0.99193,0.02144,0.1171,0.40623,1.42901,1.32164,1.20841,1.13815,1.08362,1.07096,1.06163,1.09084,1.10795,1.13582,1.1921,1.38973,1.63244,1.9187,2.37156,3.00461,4.17544,6.33549,14.45062,14.29015,13.96674,8.10865,5.94206,4.7094,3.78948,3.2317,2.85693,2.60683,2.37734,2.20006,2.15559,2.09806,2.0378,1.9843,2.00487,2.00287,1.95313,2.04596,2.10176,2.19553,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.4941,0.8908,1.2874,1.6838,2.0797,2.4752,2.8702,3.2647,3.6587,4.0524,4.4456,4.8386,5.2313,5.6238,6.0161,1.183,1.1862,1.1791,1.1627,1.1383,1.107,1.0699,1.0282,0.9825,0.9333,0.8813,0.8268,0.7705,0.7128,0.6542,0.9
0.2,4.68245,0.84163,4.68245,0.84163,0.16639,0.06366,0.14876,1.85943,0.0,1.66823,0.97302,0.12358,0.08176,0.40754,1.39084,1.26134,1.14643,1.1392,1.11668,1.05888,1.07983,1.09409,1.14727,1.20485,1.35523,1.57717,1.79153,2.16304,2.75047,3.51164,5.36042,8.13769,14.3726,14.05115,12.25812,6.72504,5.17871,4.16561,3.44339,3.03502,2.74168,2.44162,2.27226,2.18581,2.14672,2.03739,1.9888,2.00233,2.00207,2.00808,2.01478,2.05406,2.09918,2.25511,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.535,0.9253,1.3146,1.7026,2.0893,2.4749,2.8594,3.2429,3.6256,4.0076,4.3889,4.7696,5.1498,5.5297,5.9094,1.083,1.0453,0.9972,0.9402,0.8753,0.8036,0.7264,0.6445,0.5589,0.4699,0.3781,0.2839,0.188,0.0907,-0.0075,0.9
0.24,4.77288,0.9515,4.77288,0.9515,0.30419,0.0515,0.1412,2.09921,0.0,2.0419,1.00168,0.23687,0.12628,0.46395,1.31052,1.18281,1.10626,1.10413,1.09966,1.10362,1.11288,1.13648,1.19729,1.31408,1.57148,1.77027,2.09285,2.5669,3.20736,4.90476,6.73132,14.31437,14.06415,13.42278,7.31773,5.55713,4.48527,3.5541,3.09821,2.75753,2.51237,2.29384,2.16079,2.09504,2.06324,1.99234,1.96218,1.94235,1.96391,2.03072,2.01946,2.106,2.2115,2.34669,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.5432,0.9464,1.3472,1.7458,2.1422,2.5366,2.9293,3.3205,3.7103,4.099,4.4867,4.8736,5.2598,5.6454,6.0308,1.1157,1.033,0.9397,0.8371,0.7265,0.609,0.4857,0.3578,0.2259,0.0907,-0.0474,-0.1879,-0.3302,-0.4738,-0.6183,0.9
0.28,4.74686,0.46608,4.74686,0.46608,0.35884,-0.00169,0.30611,2.52921,0.0,2.31341,0.96556,0.2611,0.1363,0.48291,1.26899,1.15118,1.17162,1.1106,1.14342,1.15305,1.15548,1.2923,1.4182,1.56278,1.79683,2.05143,2.64731,3.16433,4.7476,6.43643,14.25703,14.03786,13.71216,7.71374,5.77256,4.49291,3.60504,3.10957,2.75951,2.49599,2.30976,2.16059,2.01513,2.05985,2.01027,1.96437,1.93785,1.93589,1.94634,1.99728,2.06672,2.16653,2.3,2.45783,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.5233,0.9123,1.2988,1.6827,2.0643,2.4437,2.8213,3.1973,3.5718,3.9452,4.3175,4.6889,5.0595,5.4297,5.7995,1.1324,1.0396,0.9366,0.8246,0.7049,0.5785,0.4466,0.3102,0.1701,0.0267,-0.1194,-0.2678,-0.418,-0.5695,-0.7218,0.9
0.32,4.74098,0.42042,4.74098,0.42042,0.45904,0.16399,0.35355,2.88837,0.0,2.53427,0.90247,0.30635,0.10831,0.40334,1.19402,1.15268,1.14144,1.15515,1.18266,1.18882,1.29424,1.522,1.68124,1.79593,2.18961,2.70082,3.14493,4.68868,6.37644,14.21927,14.01365,13.66393,8.07897,5.78689,4.50454,3.61849,3.09567,2.76655,2.45917,2.27131,2.11696,2.01556,1.94394,1.94696,1.90155,1.90121,1.88911,1.95683,1.98772,1.97008,2.12172,2.22377,2.44823,2.64727,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,6.54084,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,0.76442,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,4.67052,0.7889,1.1501,1.5085,1.8642,2.2174,2.5685,2.9178,3.2656,3.612,3.9572,4.3014,4.6449,4.9877,5.3302,5.6726,0.8149,0.6937,0.5641,0.4273,0.2844,0.1362,-0.0161,-0.1718,-0.3306,-0.492,-0.6554,-0.8205,-0.9868,-1.1539,-1.3213,0.9
0.36,4.64221,0.04737,4.64221,0.04737,0.56549,0.11605,0.52539,3.17365,0.0,2.66261,0.86818,0.48086,0.07835,0.44933,1.24541,1.1796,1.19381,1.25462,1.29067,1.49741,1.6101,1.75408,1.96299,2.30966,2.75437,3.34119,4.8025,6.48489,14.06584,13.85413,13.58239,7.89311,5.62687,4.40302,3.50985,3.00382,2.66396,2.35425,2.20646,2.06413,1.91437,1.89948,1.87309,1.85125,1.84868,1.85155,1.87596,1.90387,2.00312,2.07036,2.14167,2.36169,2.54876,2.95022,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,6.54084,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,0.76442,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,4.67052,0.8898,1.2376,1.5809,1.9201,2.2556,2.588,2.9178,3.2454,3.571,3.8949,4.2175,4.5389,4.8595,5.1796,5.4995,0.782,0.5909,0.3919,0.186,-0.0259,-0.2426,-0.4633,-0.6873,-0.9141,-1.1433,-1.3745,-1.6072,-1.841,-2.0756,-2.3104,0.9
