# This is F1TENTH simulation from 13.10.2023 at time 16:48:52
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
time,translational_control_applied,angular_control_applied,translational_control,angular_control,pose_x,pose_y,pose_theta,linear_vel_x,linear_vel_y,angular_vel_z,pose_theta_cos,pose_theta_sin,slip_angle,steering_angle,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,mu
0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.45313,1.36069,1.2989,1.19924,1.09224,1.10077,1.03921,1.0427,1.10861,1.14966,1.20124,1.24589,1.41544,1.72961,2.1307,2.70218,3.46397,5.44908,8.86447,14.49048,14.2049,11.62409,6.60937,5.10954,4.07287,3.45562,3.02264,2.73064,2.45189,2.28049,2.19717,2.15116,2.0485,1.98549,1.99768,2.02347,1.95158,2.00267,2.04917,2.19053,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.1692,0.5684,0.968,1.3678,1.7676,2.1671,2.5663,2.9651,3.3635,3.7616,4.1594,4.5568,4.9539,5.3509,5.7476,1.2041,1.2278,1.2397,1.2411,1.2333,1.2173,1.1944,1.1656,1.1321,1.0947,1.0537,1.0098,0.9635,0.9153,0.8657,0.9
0.04,4.13957,0.43538,4.13957,0.43538,0.00541,0.0,0.0,0.3604,0.0,0.0,1.0,0.0,0.0,0.0,1.45822,1.36886,1.29041,1.18029,1.10609,1.10892,1.03509,1.0228,1.09461,1.14538,1.1932,1.26102,1.49945,1.72534,2.04518,2.71424,3.47447,5.48222,8.88304,14.49974,14.20373,11.61976,6.60638,5.09393,4.08076,3.4302,3.01631,2.73594,2.4541,2.31106,2.21911,2.16718,2.05264,1.97491,1.99302,2.0201,1.95986,2.00004,2.04321,2.19983,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.1638,0.563,0.9626,1.3624,1.7622,2.1617,2.5609,2.9597,3.3581,3.7562,4.1539,4.5514,4.9485,5.3455,5.7422,1.2041,1.2278,1.2397,1.2411,1.2333,1.2173,1.1944,1.1656,1.1321,1.0947,1.0537,1.0098,0.9635,0.9153,0.8657,0.9
0.08,4.41773,0.48255,4.41773,0.48255,0.02523,1e-05,0.00333,0.7208,0.0,0.24542,0.99999,0.00333,0.0,0.128,1.4371,1.35006,1.30181,1.19794,1.12672,1.10667,1.04704,1.04867,1.11066,1.13604,1.18947,1.24079,1.49817,1.80338,2.16747,2.6998,3.59041,5.54643,9.00837,14.46638,14.19479,9.53487,6.59479,5.01965,4.06781,3.43944,3.00121,2.73503,2.42577,2.25217,2.22642,2.17277,2.06098,2.00935,1.98958,1.98305,1.96617,2.05193,2.05331,2.17995,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.148,0.5472,0.9469,1.3467,1.7465,2.1459,2.545,2.9437,3.3421,3.74,4.1376,4.5349,4.9319,5.3286,5.7252,1.2036,1.226,1.2366,1.2366,1.2275,1.2102,1.1859,1.1558,1.121,1.0822,1.0399,0.9947,0.9471,0.8976,0.8467,0.9
0.12,4.58897,0.7639,4.58897,0.7639,0.05942,0.00159,0.01424,1.0812,0.0,0.52976,0.9999,0.01424,0.07347,0.256,1.42262,1.35239,1.24898,1.19516,1.08474,1.0466,1.04629,1.04878,1.09401,1.15837,1.19285,1.36073,1.57482,1.85087,2.17914,2.82746,3.68282,5.76014,9.4263,14.41887,14.09959,9.16717,6.48715,4.98187,3.94608,3.36151,2.95105,2.71732,2.44731,2.25701,2.14679,2.12871,2.03382,1.99263,1.9977,1.97946,1.97281,2.07089,2.05188,2.18916,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.1269,0.5264,0.9261,1.3259,1.7255,2.1248,2.5236,2.922,3.3199,3.7174,4.1145,4.5113,4.9077,5.3039,5.6999,1.2008,1.2188,1.2251,1.2208,1.2072,1.1856,1.157,1.1226,1.0834,1.0402,0.9936,0.9441,0.8922,0.8383,0.7831,0.9
0.16,4.81068,0.8964,4.81068,0.8964,0.10775,0.00709,0.04337,1.4416,0.0,1.09279,0.99906,0.04335,0.11061,0.384,1.42901,1.32164,1.20841,1.13815,1.08362,1.07096,1.06163,1.09084,1.10795,1.13582,1.1921,1.38973,1.63244,1.9187,2.37156,3.05461,4.17544,6.33549,14.44129,14.29015,13.96674,7.95865,5.94206,4.7094,3.73948,3.2317,2.85693,2.60683,2.37734,2.20006,2.15559,2.09806,2.0378,1.9843,2.00487,2.00287,1.95313,2.04596,2.10176,2.19553,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.5131,0.9129,1.3124,1.7114,2.1099,2.5077,2.9049,3.3015,3.6976,4.0932,4.4883,4.8831,5.2775,5.6718,6.0659,1.1996,1.1942,1.1782,1.1531,1.1198,1.0796,1.0336,0.9828,0.9281,0.87,0.8089,0.7454,0.6801,0.6133,0.5457,0.9
0.2,4.75474,0.85023,4.75474,0.85023,0.16975,0.01861,0.0973,1.802,0.0,1.74927,0.99527,0.09715,0.13317,0.448,1.39084,1.26134,1.14643,1.1392,1.11668,1.05888,1.07983,1.09409,1.14727,1.20485,1.35523,1.60646,1.82972,2.16304,2.79851,3.53235,5.40219,8.47275,14.35611,14.07615,12.13266,6.68684,5.17871,4.1673,3.44339,3.03502,2.74168,2.44162,2.27226,2.18581,2.17601,2.03739,1.9888,2.00233,2.00207,2.00808,2.00524,2.05406,2.09918,2.25511,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.5142,0.9131,1.3112,1.7083,2.1044,2.4994,2.8936,3.2869,3.6794,4.0713,4.4626,4.8534,5.2437,5.6338,6.0236,1.1647,1.1378,1.1003,1.0537,0.999,0.9374,0.87,0.798,0.722,0.6426,0.5603,0.4757,0.3891,0.3012,0.2125,0.9
0.24,4.74814,0.84108,4.74814,0.84108,0.24466,0.03835,0.17362,2.1624,0.0,2.1361,0.98497,0.17275,0.12522,0.448,1.31052,1.18281,1.10626,1.10413,1.09966,1.10362,1.11288,1.13648,1.19729,1.41408,1.56779,1.77027,2.09285,2.6669,3.20736,4.94007,6.75203,14.32555,14.10377,13.41101,7.19174,5.51524,4.43527,3.53371,3.14821,2.70753,2.52285,2.29384,2.11079,2.09636,2.06324,1.99234,1.96218,1.94235,1.96391,2.03072,2.01946,2.106,2.2115,2.39669,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.5243,0.92,1.3141,1.7065,2.0972,2.4864,2.8743,3.2609,3.6466,4.0312,4.4151,4.7983,5.1809,5.5631,5.9451,1.1156,1.0583,0.9907,0.9139,0.8291,0.7376,0.6404,0.5386,0.4329,0.3238,0.212,0.0977,-0.0183,-0.1357,-0.2539,0.9
0.28,4.76107,0.77389,4.76107,0.77389,0.33174,0.06769,0.26328,2.5228,0.0,2.39751,0.96554,0.26025,0.10389,0.448,1.26899,1.15118,1.17162,1.1106,1.14342,1.15305,1.20548,1.26301,1.4182,1.61278,1.79683,2.16001,2.66802,3.16433,4.79791,6.58662,14.29554,14.0005,13.67234,7.51717,5.74528,4.45149,3.60504,3.10957,2.72634,2.49599,2.25976,2.16059,2.06513,2.05985,1.96027,1.96437,1.93785,1.93589,1.94634,1.99728,2.06672,2.16653,2.3,2.45783,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.5304,0.9194,1.3058,1.6897,2.0713,2.4508,2.8284,3.2043,3.579,3.9523,4.3246,4.6961,5.0668,5.4369,5.8068,1.0585,0.9661,0.8634,0.7518,0.6324,0.5064,0.3748,0.2388,0.099,-0.0441,-0.1899,-0.3379,-0.4878,-0.6389,-0.7909,0.9
0.32,4.61261,0.41315,4.61261,0.41315,0.42986,0.10858,0.36212,2.8832,0.0,2.5796,0.93515,0.35426,0.07789,0.448,1.19402,1.15268,1.14144,1.15515,1.18266,1.18882,1.36495,1.522,1.68124,1.89593,2.19188,2.68901,3.28463,4.76406,6.44382,14.15565,13.96732,13.62373,7.7472,5.63516,4.45454,3.56849,3.06117,2.71655,2.48846,2.27546,2.07764,1.96556,1.94394,1.94696,1.90155,1.90121,1.88911,1.95683,1.98772,2.02008,2.12172,2.27238,2.44823,2.64645,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.526,0.904,1.2784,1.6494,2.0174,2.3826,2.7453,3.106,3.465,3.8225,4.1786,4.5335,4.8877,5.2411,5.5941,0.9976,0.8671,0.7268,0.5779,0.4214,0.2585,0.0904,-0.0821,-0.2582,-0.4374,-0.6192,-0.8032,-0.9889,-1.1758,-1.3635,0.9
0.36,4.75424,-0.06475,4.75424,-0.06475,0.5368,0.16294,0.46928,3.19484,0.0,2.77967,0.8919,0.45224,0.05081,0.43406,1.24541,1.1796,1.19381,1.25462,1.34067,1.49741,1.6101,1.75408,1.97823,2.35966,2.80316,3.39415,4.92239,6.52259,14.1228,13.89251,13.47818,7.36167,5.50631,4.27373,3.42416,2.95382,2.66396,2.35425,2.20646,2.06413,1.91437,1.90712,1.87309,1.85125,1.84868,1.85155,1.87596,1.95387,1.95312,2.07036,2.15836,2.36169,2.54876,2.95022,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,6.54084,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,0.76442,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,4.67052,0.8716,1.2288,1.5818,1.9309,2.2766,2.6192,2.9595,3.2976,3.6338,3.9684,4.3017,4.6339,4.9653,5.2963,5.627,0.7654,0.5858,0.398,0.2031,0.0021,-0.2039,-0.4139,-0.6274,-0.8438,-1.0627,-1.2836,-1.5061,-1.7297,-1.9541,-2.1788,0.9
