# This is F1TENTH simulation from 13.10.2023 at time 16:55:46
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
time,translational_control_applied,angular_control_applied,translational_control,angular_control,pose_x,pose_y,pose_theta,linear_vel_x,linear_vel_y,angular_vel_z,pose_theta_cos,pose_theta_sin,slip_angle,steering_angle,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,mu
0.0,4.58351,1.26618,4.58351,1.26618,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.45313,1.36069,1.2989,1.19924,1.09224,1.10077,1.03921,1.0427,1.10861,1.14966,1.20124,1.24589,1.41544,1.72961,2.1307,2.70218,3.46397,5.44908,8.86447,14.49048,14.2049,11.62409,6.60937,5.10954,4.07287,3.45562,3.02264,2.73064,2.45189,2.28049,2.19717,2.15116,2.0485,1.98549,1.99768,2.02347,1.95158,2.00267,2.04917,2.19053,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.1692,0.5684,0.968,1.3678,1.7676,2.1671,2.5663,2.9651,3.3635,3.7616,4.1594,4.5568,4.9539,5.3509,5.7476,1.2041,1.2278,1.2397,1.2411,1.2333,1.2173,1.1944,1.1656,1.1321,1.0947,1.0537,1.0098,0.9635,0.9153,0.8657,0.9
0.04,4.58351,1.26616,4.58351,1.26616,0.00248,0.0,0.00056,0.16519,0.0,0.04822,1.0,0.00056,0.0,0.128,1.45822,1.36886,1.29041,1.18029,1.10609,1.10892,1.03509,1.0228,1.09461,1.14538,1.1932,1.26102,1.44945,1.72534,2.12546,2.71424,3.47447,5.48222,8.88304,14.49974,14.20373,11.61976,6.60638,5.09393,4.08076,3.4302,3.01631,2.73594,2.4541,2.31106,2.21911,2.16718,2.05264,1.97491,1.99302,2.0201,1.95986,2.05004,2.04321,2.19983,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.1674,0.5666,0.9662,1.3661,1.7658,2.1653,2.5645,2.9633,3.3617,3.7597,4.1575,4.5549,4.952,5.3489,5.7456,1.204,1.2275,1.2392,1.2404,1.2323,1.2161,1.193,1.164,1.1302,1.0925,1.0514,1.0073,0.9607,0.9123,0.8625,0.9
0.08,4.58351,1.26589,4.58351,1.26589,0.01449,3e-05,0.00749,0.52559,0.0,0.36338,0.99997,0.00749,0.0,0.256,1.4371,1.35006,1.30181,1.19794,1.12672,1.10667,1.04704,1.04867,1.11066,1.13604,1.18947,1.24079,1.49817,1.7275,2.16614,2.7498,3.59041,5.6387,9.1493,14.45996,14.16413,9.4622,6.56983,5.00739,4.01781,3.40799,3.00121,2.73503,2.43728,2.25217,2.22642,2.17277,2.06098,2.00935,1.98958,2.02093,1.96617,2.05193,2.05331,2.17995,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.1638,0.5631,0.9628,1.3626,1.7623,2.1617,2.5607,2.9593,3.3574,3.7552,4.1526,4.5497,4.9465,5.3431,5.7394,1.2028,1.2236,1.2325,1.2309,1.2201,1.2011,1.1752,1.1435,1.107,1.0665,1.0226,0.9757,0.9265,0.8753,0.8227,0.9
0.12,4.58351,1.1185,4.58351,1.1185,0.04092,0.00046,0.03312,0.88599,0.0,0.98905,0.99945,0.03311,0.0,0.384,1.42876,1.3536,1.24898,1.19516,1.08474,1.0466,1.04629,1.04878,1.09401,1.15837,1.19285,1.36073,1.63662,1.86271,2.20875,2.93361,3.80067,6.07462,10.92224,14.36041,14.06718,8.40486,6.1307,4.7422,3.81262,3.29055,2.90105,2.62653,2.40882,2.22772,2.2175,2.07871,2.03382,1.99263,1.9977,2.01734,2.01593,2.06957,2.10188,2.1759,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.1681,0.5678,0.9676,1.3673,1.7666,2.1653,2.5635,2.9612,3.3583,3.7549,4.1511,4.5468,4.9422,5.3373,5.7322,1.1987,1.2092,1.2079,1.196,1.175,1.1458,1.1097,1.0677,1.021,0.9704,0.9163,0.8593,0.7999,0.7385,0.6758,0.9
0.16,4.66996,0.79959,4.66996,0.79959,0.0813,0.00609,0.06789,1.24639,0.0,1.25782,0.9977,0.06784,0.15409,0.448,1.42901,1.35093,1.20841,1.13815,1.08362,1.07096,1.06163,1.09084,1.10795,1.13582,1.2421,1.43973,1.6713,1.9588,2.541,3.18936,4.59376,6.91733,14.48217,14.26006,13.50944,7.27301,5.58223,4.51217,3.62768,3.15649,2.81142,2.56714,2.33946,2.25006,2.15559,2.09806,2.0378,1.9843,2.00487,1.98827,1.99626,2.04464,2.10176,2.23228,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.5688,0.9684,1.3674,1.7657,2.1632,2.5599,2.9558,3.3511,3.7457,4.1397,4.5333,4.9264,5.3191,5.7116,6.1039,1.1858,1.1706,1.1449,1.11,1.067,1.017,0.9612,0.9008,0.8364,0.7686,0.6978,0.6247,0.5497,0.4733,0.396,0.9
0.2,4.66996,0.53842,4.66996,0.53842,0.13484,0.01974,0.12571,1.60679,0.0,1.71897,0.99211,0.12538,0.16106,0.448,1.39084,1.26134,1.14643,1.1392,1.06668,1.10888,1.07983,1.09409,1.14727,1.20485,1.35523,1.60565,1.87114,2.32026,2.90109,3.74769,5.88507,10.19969,14.34302,14.04936,8.79904,6.41908,4.88224,3.90787,3.2977,2.92055,2.65527,2.40531,2.23493,2.16509,2.12601,2.03739,1.9888,2.00233,2.00207,2.03136,1.99836,2.10274,2.14918,2.34043,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.5816,0.9796,1.3764,1.772,2.1664,2.5595,2.9516,3.3427,3.7329,4.1224,4.5112,4.8994,5.2871,5.6745,6.0617,1.1442,1.1059,1.0572,0.9993,0.9333,0.8605,0.782,0.6988,0.6117,0.5212,0.4279,0.3321,0.2345,0.1356,0.0358,0.9
0.24,4.66996,0.36294,4.66996,0.36294,0.20121,0.04092,0.19975,1.96719,0.0,2.05299,0.98012,0.19842,0.14426,0.448,1.31052,1.18281,1.10626,1.10413,1.09966,1.10362,1.16288,1.13648,1.19729,1.36408,1.61302,1.85981,2.23071,2.8098,3.51659,5.26912,8.12834,14.32769,14.00552,12.33295,6.69896,5.18438,4.16421,3.44325,3.01753,2.66582,2.43753,2.2674,2.08621,2.09636,2.06324,1.99234,1.96218,1.94235,2.01391,1.96793,2.06187,2.10462,2.25775,2.38344,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.5954,0.9894,1.3816,1.7718,2.1602,2.5469,2.9321,3.316,3.6987,4.0804,4.4612,4.8413,5.2208,5.5998,5.9785,1.0904,1.0228,0.9449,0.8578,0.7629,0.6613,0.5539,0.442,0.3263,0.2073,0.0854,-0.0388,-0.1648,-0.2921,-0.4203,0.9
0.28,4.66996,0.20034,4.66996,0.20034,0.27969,0.0711,0.28546,2.32759,0.0,2.24635,0.95953,0.28159,0.1179,0.41397,1.25718,1.15118,1.17162,1.1606,1.14342,1.15305,1.20548,1.2923,1.5182,1.61359,1.86428,2.23072,2.76802,3.41433,5.07971,7.56743,14.28378,13.99504,13.23718,6.87354,5.38061,4.32147,3.44646,3.05957,2.64561,2.45243,2.22302,2.12432,2.03133,2.00985,1.96027,1.96437,1.93785,1.93589,1.99634,2.02522,2.10578,2.16522,2.34624,2.50488,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.6027,0.9896,1.3736,1.755,2.1338,2.5104,2.885,3.2578,3.6293,3.9994,4.3684,4.7364,5.1037,5.4704,5.8368,1.0286,0.9275,0.8163,0.6962,0.5683,0.4339,0.294,0.1497,0.0016,-0.1496,-0.3037,-0.4599,-0.618,-0.7773,-0.9374,0.9
0.32,4.66996,0.09866,4.66996,0.09866,0.3694,0.11176,0.37548,2.68799,0.0,2.18339,0.93033,0.36672,0.08335,0.32852,1.19402,1.15268,1.14144,1.15515,1.18266,1.23882,1.34424,1.52406,1.6943,1.92591,2.2635,2.79154,3.39345,4.93399,6.65454,14.27347,13.96711,13.44074,7.23366,5.54154,4.41118,3.49924,2.98756,2.67923,2.43977,2.23305,2.09117,1.97328,2.01773,1.94696,1.90155,1.90121,1.88911,1.95683,1.93772,1.99587,2.12186,2.27238,2.44447,2.66918,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.5944,0.9706,1.343,1.7121,2.0779,2.4409,2.8013,3.1597,3.5163,3.8713,4.225,4.5775,4.9291,5.28,5.6305,0.9653,0.8298,0.6845,0.5306,0.3693,0.2016,0.0286,-0.1487,-0.3296,-0.5135,-0.7001,-0.8888,-1.0792,-1.2709,-1.4633,0.9
0.36,4.75272,0.02807,4.75272,0.02807,0.46964,0.16364,0.4587,3.04514,0.0,1.86497,0.89663,0.44278,0.04695,0.23657,1.24541,1.1796,1.19381,1.25462,1.31138,1.44642,1.54084,1.72629,1.96022,2.30227,2.76266,3.35481,4.8052,6.45712,14.16075,13.94687,13.62725,8.0029,5.68969,4.41483,3.53931,3.01193,2.66396,2.40425,2.20646,2.06946,1.92736,1.91656,1.89063,1.85125,1.84868,1.85155,1.87596,1.90387,1.94642,2.05901,2.14558,2.36169,2.53655,2.87708,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,6.54084,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,0.76442,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,4.67052,0.9233,1.2825,1.6374,1.9886,2.3363,2.6812,3.0236,3.3639,3.7024,4.0393,4.3749,4.7095,5.0432,5.3765,5.7096,0.7442,0.5684,0.3844,0.1932,-0.0042,-0.2065,-0.413,-0.6228,-0.8357,-1.051,-1.2684,-1.4873,-1.7075,-1.9284,-2.1495,0.9
