# This is F1TENTH simulation from 13.10.2023 at time 17:02:45
# Done with git-revision: unknown
#
# Saving: 0.04 s
#
# Controller: Blank-MPPI-1
#
# Data:
time,translational_control_applied,angular_control_applied,translational_control,angular_control,pose_x,pose_y,pose_theta,linear_vel_x,linear_vel_y,angular_vel_z,pose_theta_cos,pose_theta_sin,slip_angle,steering_angle,LIDAR_0040,LIDAR_0065,LIDAR_0090,LIDAR_0115,LIDAR_0140,LIDAR_0165,LIDAR_0190,LIDAR_0215,LIDAR_0240,LIDAR_0265,LIDAR_0290,LIDAR_0315,LIDAR_0340,LIDAR_0365,LIDAR_0390,LIDAR_0415,LIDAR_0440,LIDAR_0465,LIDAR_0490,LIDAR_0515,LIDAR_0540,LIDAR_0565,LIDAR_0590,LIDAR_0615,LIDAR_0640,LIDAR_0665,LIDAR_0690,LIDAR_0715,LIDAR_0740,LIDAR_0765,LIDAR_0790,LIDAR_0815,LIDAR_0840,LIDAR_0865,LIDAR_0890,LIDAR_0915,LIDAR_0940,LIDAR_0965,LIDAR_0990,LIDAR_1015,WYPT_X_00,WYPT_X_01,WYPT_X_02,WYPT_X_03,WYPT_X_04,WYPT_X_05,WYPT_X_06,WYPT_X_07,WYPT_X_08,WYPT_X_09,WYPT_X_10,WYPT_X_11,WYPT_X_12,WYPT_X_13,WYPT_X_14,WYPT_Y_00,WYPT_Y_01,WYPT_Y_02,WYPT_Y_03,WYPT_Y_04,WYPT_Y_05,WYPT_Y_06,WYPT_Y_07,WYPT_Y_08,WYPT_Y_09,WYPT_Y_10,WYPT_Y_11,WYPT_Y_12,WYPT_Y_13,WYPT_Y_14,WYPT_VX_00,WYPT_VX_01,WYPT_VX_02,WYPT_VX_03,WYPT_VX_04,WYPT_VX_05,WYPT_VX_06,WYPT_VX_07,WYPT_VX_08,WYPT_VX_09,WYPT_VX_10,WYPT_VX_11,WYPT_VX_12,WYPT_VX_13,WYPT_VX_14,WYPT_REL_X_00,WYPT_REL_X_01,WYPT_REL_X_02,WYPT_REL_X_03,WYPT_REL_X_04,WYPT_REL_X_05,WYPT_REL_X_06,WYPT_REL_X_07,WYPT_REL_X_08,WYPT_REL_X_09,WYPT_REL_X_10,WYPT_REL_X_11,WYPT_REL_X_12,WYPT_REL_X_13,WYPT_REL_X_14,WYPT_REL_Y_00,WYPT_REL_Y_01,WYPT_REL_Y_02,WYPT_REL_Y_03,WYPT_REL_Y_04,WYPT_REL_Y_05,WYPT_REL_Y_06,WYPT_REL_Y_07,WYPT_REL_Y_08,WYPT_REL_Y_09,WYPT_REL_Y_10,WYPT_REL_Y_11,WYPT_REL_Y_12,WYPT_REL_Y_13,WYPT_REL_Y_14,mu
0.0,4.58351,1.26618,4.58351,1.26618,-0.02342,0.06605,-0.01534,0.00372,0.0,-0.05729,0.98568,-0.01036,0.01281,0.06485,1.45313,1.36069,1.2989,1.19924,1.09224,1.10077,1.03921,1.0427,1.10861,1.14966,1.20124,1.24589,1.41544,1.72961,2.1307,2.70218,3.46397,5.44908,8.86447,14.49048,14.2049,11.62409,6.60937,5.10954,4.07287,3.45562,3.02264,2.73064,2.45189,2.28049,2.19717,2.15116,2.0485,1.98549,1.99768,2.02347,1.95158,2.00267,2.04917,2.19053,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.1781,0.5713,0.9651,1.3592,1.7533,2.1472,2.5409,2.9343,3.3274,3.7202,4.1126,4.5048,4.8968,5.2885,5.6801,1.1237,1.1512,1.1671,1.1727,1.1691,1.1575,1.139,1.1148,1.0859,1.0531,1.0168,0.9777,0.9362,0.8928,0.848,0.9
0.04,4.58351,1.26616,4.58351,1.26616,-0.01052,0.03879,-0.02854,0.16676,0.0,0.11569,1.0591,0.06549,-0.05335,0.06369,1.45822,1.36886,1.29041,1.18029,1.10609,1.10892,1.03509,1.0228,1.09461,1.14538,1.1932,1.26102,1.44945,1.72534,2.12546,2.71424,3.47447,5.48222,8.88304,14.49974,14.20373,11.61976,6.60638,5.09393,4.08076,3.4302,3.01631,2.73594,2.4541,2.31106,2.21911,2.16718,2.05264,1.97491,1.99302,2.0201,1.95986,2.05004,2.04321,2.19983,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.2667,0.691,1.115,1.5386,1.9614,2.3835,2.8048,3.2253,3.6451,4.0642,4.4828,4.9008,5.3184,5.7356,6.1526,1.2224,1.2213,1.2078,1.1831,1.1486,1.1056,1.0551,0.9986,0.937,0.8712,0.8018,0.7293,0.6543,0.5772,0.4987,0.9
0.08,4.58351,1.26589,4.58351,1.26589,-0.02255,0.01999,-0.01503,0.57707,0.0,0.41097,0.93909,0.02876,-0.06381,0.30786,1.4371,1.35006,1.30181,1.19794,1.12672,1.10667,1.04704,1.04867,1.11066,1.13604,1.18947,1.24079,1.49817,1.7275,2.16614,2.7498,3.59041,5.6387,9.1493,14.45996,14.16413,9.4622,6.56983,5.00739,4.01781,3.40799,3.00121,2.73503,2.43728,2.25217,2.22642,2.17277,2.06098,2.00935,1.98958,2.02093,1.96617,2.05193,2.05331,2.17995,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.2142,0.5897,0.9653,1.3408,1.716,2.0907,2.4649,2.8386,3.2118,3.5846,3.9569,4.3289,4.7005,5.0719,5.443,1.1064,1.1172,1.1169,1.1068,1.0879,1.0614,1.0284,0.9899,0.947,0.9004,0.8505,0.7978,0.7429,0.6862,0.6282,0.9
0.12,4.58351,1.1185,4.58351,1.1185,0.0692,-0.04605,0.09074,0.84296,0.0,0.97032,1.03034,-0.01325,-0.04852,0.32617,1.42876,1.3536,1.24898,1.19516,1.08474,1.0466,1.04629,1.04878,1.09401,1.15837,1.19285,1.36073,1.63662,1.86271,2.20875,2.93361,3.80067,6.07462,10.92224,14.36041,14.06718,8.40486,6.1307,4.7422,3.81262,3.29055,2.90105,2.62653,2.40882,2.22772,2.2175,2.07871,2.03382,1.99263,1.9977,2.01734,2.01593,2.06957,2.10188,2.1759,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.0865,0.4974,0.9091,1.321,1.733,2.1448,2.5564,2.9677,3.3787,3.7893,4.1997,4.6098,5.0196,5.4292,5.8386,1.2894,1.3191,1.3367,1.3434,1.3406,1.3295,1.3112,1.2868,1.2576,1.2242,1.1873,1.1474,1.1049,1.0605,1.0147,0.9
0.16,4.58351,0.80102,4.58351,0.80102,0.02221,-0.04842,0.08537,1.29856,0.0,1.23352,0.97873,0.00329,0.08524,0.37971,1.42901,1.35093,1.20841,1.13815,1.08362,1.07096,1.06163,1.09084,1.10795,1.13582,1.2421,1.43973,1.6713,1.9588,2.541,3.18936,4.59376,6.91733,14.48217,14.26006,13.50944,7.27301,5.58223,4.51217,3.62768,3.15649,2.81142,2.56714,2.33946,2.25006,2.15559,2.09806,2.0378,1.9843,2.00487,1.98827,1.99626,2.04464,2.10176,2.23228,0.16925,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,1.20405,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,4.58351,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,0.148,0.5387,0.9299,1.3213,1.7125,2.1035,2.4941,2.8843,3.2741,3.6636,4.0528,4.4416,4.8302,5.2185,5.6067,1.2254,1.2473,1.2576,1.2577,1.2487,1.2318,1.208,1.1786,1.1445,1.1065,1.0651,1.0208,0.9742,0.9257,0.8759,0.9
0.2,4.66996,0.53842,4.66996,0.53842,0.09144,-0.01312,0.08888,1.5477,0.0,1.71207,0.93306,0.06632,0.10895,0.46916,1.39084,1.26134,1.14643,1.1392,1.06668,1.10888,1.07983,1.09409,1.14727,1.20485,1.35523,1.60565,1.87114,2.32026,2.90109,3.74769,5.88507,10.19969,14.34302,14.04936,8.79904,6.41908,4.88224,3.90787,3.2977,2.92055,2.65527,2.40531,2.23493,2.16509,2.12601,2.03739,1.9888,2.00233,2.00207,2.03136,1.99836,2.10274,2.14918,2.34043,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.5273,0.901,1.2741,1.6466,2.0183,2.3893,2.7595,3.129,3.4979,3.8663,4.2343,4.6018,4.9689,5.3358,5.7026,1.1262,1.1108,1.0856,1.0518,1.0104,0.9626,0.9093,0.8516,0.7902,0.7256,0.6583,0.5888,0.5175,0.4449,0.3715,0.9
0.24,4.66996,0.36294,4.66996,0.36294,0.18615,0.09423,0.25514,2.01511,0.0,2.095,0.98437,0.21304,0.09716,0.38701,1.31052,1.18281,1.10626,1.10413,1.09966,1.10362,1.16288,1.13648,1.19729,1.36408,1.61302,1.85981,2.23071,2.8098,3.51659,5.26912,8.12834,14.32769,14.00552,12.33295,6.69896,5.18438,4.16421,3.44325,3.01753,2.66582,2.43753,2.2674,2.08621,2.09636,2.06324,1.99234,1.96218,1.94235,2.01391,1.96793,2.06187,2.10462,2.25775,2.38344,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.6177,1.0137,1.4076,1.7994,2.1893,2.5773,2.9638,3.3488,3.7327,4.1155,4.4974,4.8785,5.2589,5.6389,6.0186,1.0344,0.961,0.8772,0.7843,0.6835,0.5759,0.4626,0.3448,0.2231,0.098,-0.0299,-0.16,-0.2921,-0.4254,-0.5596,0.9
0.28,4.66996,0.20034,4.66996,0.20034,0.21091,0.00844,0.32376,2.34038,0.0,2.31274,0.99786,0.32921,0.16648,0.47068,1.25718,1.15118,1.17162,1.1606,1.14342,1.15305,1.20548,1.2923,1.5182,1.61359,1.86428,2.23072,2.76802,3.41433,5.07971,7.56743,14.28378,13.99504,13.23718,6.87354,5.38061,4.32147,3.44646,3.05957,2.64561,2.45243,2.22302,2.12432,2.03133,2.00985,1.96027,1.96437,1.93785,1.93589,1.99634,2.02522,2.10578,2.16522,2.34624,2.50488,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.7581,1.1608,1.5603,1.9566,2.35,2.7408,3.1293,3.5158,3.9007,4.2841,4.6662,5.0473,5.4275,5.8071,6.1863,1.0991,0.9794,0.8492,0.7097,0.5623,0.408,0.248,0.0834,-0.085,-0.2568,-0.4315,-0.6084,-0.7872,-0.9673,-1.1482,0.9
0.32,4.66996,0.09866,4.66996,0.09866,0.30263,0.17835,0.36697,2.63389,0.0,2.12512,0.87998,0.31709,0.07483,0.33698,1.19402,1.15268,1.14144,1.15515,1.18266,1.23882,1.34424,1.52406,1.6943,1.92591,2.2635,2.79154,3.39345,4.93399,6.65454,14.27347,13.96711,13.44074,7.23366,5.54154,4.41118,3.49924,2.98756,2.67923,2.43977,2.23305,2.09117,1.97328,2.01773,1.94696,1.90155,1.90121,1.88911,1.95683,1.93772,1.99587,2.12186,2.27238,2.44447,2.66918,0.56837,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,1.22778,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,4.66996,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,0.5666,0.9221,1.2744,1.6237,1.9702,2.3142,2.656,2.996,3.3344,3.6714,4.0072,4.342,4.676,5.0094,5.3425,0.8392,0.723,0.5974,0.4638,0.3231,0.1763,0.0245,-0.1313,-0.2905,-0.4526,-0.6173,-0.784,-0.9522,-1.1217,-1.2919,0.9
0.36,4.75272,0.02807,4.75272,0.02807,0.5164,0.19838,0.47502,3.09042,0.0,1.80107,0.89898,0.3898,0.1165,0.22526,1.24541,1.1796,1.19381,1.25462,1.31138,1.44642,1.54084,1.72629,1.96022,2.30227,2.76266,3.35481,4.8052,6.45712,14.16075,13.94687,13.62725,8.0029,5.68969,4.41483,3.53931,3.01193,2.66396,2.40425,2.20646,2.06946,1.92736,1.91656,1.89063,1.85125,1.84868,1.85155,1.87596,1.90387,1.94642,2.05901,2.14558,2.36169,2.53655,2.87708,0.96802,1.36785,1.7676,2.16712,2.5663,2.9651,3.36353,3.76161,4.15935,4.55678,4.95393,5.35086,5.74761,6.14425,6.54084,1.23971,1.24112,1.23328,1.21733,1.1944,1.16563,1.13214,1.09466,1.05371,1.00983,0.96352,0.91531,0.86571,0.81524,0.76442,4.75272,4.83208,4.90827,4.98151,5.05199,5.11988,5.18534,5.24852,5.30954,5.36852,5.42558,5.38201,5.16232,4.92536,4.67052,0.8119,1.1719,1.5282,1.8812,2.2311,2.5784,2.9235,3.2668,3.6084,3.9485,4.2875,4.6256,4.9629,5.2998,5.6365,0.7601,0.6055,0.4426,0.2726,0.0964,-0.085,-0.2704,-0.4592,-0.6511,-0.8455,-1.0419,-1.2399,-1.4392,-1.6392,-1.8394,0.9
