epoch;loss;lr;val_loss
0;0.004617280326783657;0.001;0.0006499761948361993
1;0.00047026274842210114;0.001;0.00039440058753825724
2;0.0003018888528458774;0.001;0.00028542400104925036
3;0.00023000854707788676;0.001;0.0002564750611782074
4;0.00018455171084497124;0.001;0.000261419452726841
5;8.09246557764709e-05;0.00031600002;8.62332308315672e-05
6;7.110025762813166e-05;0.00031600002;7.784951594658196e-05
7;5.211547977523878e-05;9.9856006e-05;5.7656267017591745e-05
8;5.0200309487991035e-05;9.9856006e-05;5.805633190902881e-05
9;4.5087115722708404e-05;3.1554497e-05;5.16693398822099e-05
10;4.350856761448085e-05;1e-05;5.0487367843743414e-05
11;4.330381125328131e-05;1e-05;5.046349178883247e-05
12;4.3123887735418975e-05;1e-05;5.0072041631210595e-05
