s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000000000000000e+00,9.999252250512807860e-02,-1.222883093944562979e-03,1.558567191042931732e+00,-1.158928723697694174e-01,5.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.999641579824557591e-01,-3.604500189180371954e-03,1.546977903805954790e+00,-1.126936297948311072e-01,5.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.999037238601779953e-01,-7.080585943649188654e-03,1.536028465083965511e+00,-1.062951446449544868e-01,5.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,3.998021422293137617e-01,-1.158680468502456574e-02,1.525718874876963893e+00,-9.989665949507786635e-02,5.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,4.996523168965775752e-01,-1.705878960065660560e-02,1.516049133184949937e+00,-9.349817434520235615e-02,5.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,5.994490099835003694e-01,-2.343217558571402542e-02,1.507019240007923422e+00,-8.709968919532462550e-02,5.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000888e-01,6.991887182385200239e-01,-3.064262614053790343e-02,1.498629195345885012e+00,-8.070120404544689485e-02,5.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,7.988695492021239408e-01,-3.862585471082390087e-02,1.490878999198834043e+00,-7.430271889557138465e-02,5.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,8.984910973402300272e-01,-4.731764086598233554e-02,1.483768651566770735e+00,-6.790423374569476422e-02,5.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,9.980543202378553413e-01,-5.665384171203156904e-02,1.477298152449695090e+00,-6.150574859581592335e-02,5.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.097561414923751366e+00,-6.657039893579295986e-02,1.471467501847607551e+00,-5.510726344593930293e-02,5.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000089e+00,1.197015694377093542e+00,-7.700334187709842459e-02,1.466276699760507229e+00,-4.870877829606490295e-02,5.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000178e+00,1.296421464249497557e+00,-8.788878702530672493e-02,1.461725746188394570e+00,-4.231029314618606207e-02,5.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e+00,1.395783899819597718e+00,-9.916293433575579241e-02,1.457814641131270017e+00,-3.591180799630833143e-02,5.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e+00,1.495108923183161131e+00,-1.107620607609469399e-01,1.454543384589132904e+00,-2.951332284643282122e-02,5.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,1.594403080669226647e+00,-1.226225113903456621e-01,1.451911976561983453e+00,-2.311483769655620080e-02,5.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000089e+00,1.693673420462032730e+00,-1.346806885917647967e-01,1.449920417049821664e+00,-1.671635254667847015e-02,5.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000178e+00,1.792927370399545417e+00,-1.468730395464305782e-01,1.448568706052647759e+00,-1.031786739680295995e-02,5.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000044e+00,1.892172615912197875e+00,-1.591360425690725167e-01,1.447856843570461072e+00,-3.919382246927449742e-03,5.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000133e+00,1.991416978060010168e+00,-1.714061926037652173e-01,1.447784829603262269e+00,2.479102902950280907e-03,5.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.090668291622563402e+00,-1.836199862858161058e-01,1.448352664151051128e+00,8.877588052831342225e-03,5.000000000000000000e+00,0.000000000000000000e+00
