s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.000000,-20.167153,-1.546774,0.516822,-0.916131,3.582068,-0.192923
0.099918,-20.212424,-1.457859,0.424887,-0.926823,3.576683,-0.049416
0.199835,-20.249346,-1.364965,0.331502,-0.938763,3.575302,-0.049416
0.299753,-20.277390,-1.269348,0.239673,-0.903791,3.573920,0.406585
0.399670,-20.296781,-1.171173,0.150898,-0.869985,3.585270,0.767383
0.499588,-20.307527,-1.072230,0.066048,-0.834743,3.606592,1.091787
0.599505,-20.310009,-0.971968,-0.015975,-0.801678,3.636714,1.346134
0.699423,-20.304437,-0.872220,-0.095566,-0.797130,3.673512,1.190804
0.799340,-20.290909,-0.773199,-0.176425,-0.814788,3.705760,0.757715
0.899258,-20.269549,-0.675646,-0.253026,-0.715119,3.726134,2.017564
0.999175,-20.241295,-0.579865,-0.318762,-0.604589,3.779848,3.306851
1.099093,-20.207289,-0.486108,-0.376217,-0.548744,3.866274,3.739553
1.199010,-20.168032,-0.393992,-0.428693,-0.499345,3.961738,4.101919
1.298928,-20.124273,-0.304022,-0.475733,-0.442465,4.063875,4.628815
1.398846,-20.076699,-0.216310,-0.517418,-0.394929,4.176132,5.044978
1.498763,-20.025577,-0.130359,-0.555111,-0.357303,4.295142,5.337063
1.598681,-19.971541,-0.046464,-0.588554,-0.312030,4.417553,5.835368
1.698598,-19.914857,0.035785,-0.617588,-0.269827,4.547624,6.339798
1.798516,-19.855939,0.116524,-0.642574,-0.230662,4.684848,6.599660
1.898433,-19.795172,0.195881,-0.663810,-0.194065,4.823551,6.522770
1.998351,-19.732925,0.273987,-0.681328,-0.156632,4.956826,6.448748
2.098268,-19.669432,0.351147,-0.695113,-0.119295,5.085156,6.377344
2.198186,-19.605033,0.427534,-0.705173,-0.082107,5.208956,6.308339
2.298103,-19.539985,0.503419,-0.711530,-0.045094,5.328588,6.241544
2.398021,-19.474636,0.578963,-0.714182,-0.008014,5.444367,6.176796
2.497938,-19.409181,0.654505,-0.713165,0.028400,5.556570,-5.264008
2.597856,-19.343988,0.730178,-0.708504,0.064986,5.461093,-9.238770
2.697774,-19.279222,0.806352,-0.700132,0.102561,5.289358,-8.404803
2.797691,-19.215327,0.883082,-0.687993,0.140577,5.128132,-7.736407
2.897609,-19.152444,0.960785,-0.672162,0.176120,4.975111,-7.143008
2.997526,-19.090991,1.039512,-0.652817,0.212103,4.829524,-6.231155
3.097444,-19.031167,1.119638,-0.628974,0.265147,4.698840,-5.395515
3.197361,-18.973572,1.201203,-0.599756,0.318352,4.582673,-5.204059
3.297279,-18.918467,1.284691,-0.566613,0.344328,4.467766,-5.020034
3.397196,-18.866396,1.369813,-0.530941,0.372051,4.354050,-4.608167
3.497114,-18.817454,1.456971,-0.491662,0.413684,4.246985,-4.238539
3.597031,-18.772199,1.545991,-0.448306,0.455379,4.146067,-3.722756
3.696949,-18.731001,1.637092,-0.400225,0.507166,4.055359,-3.152797
3.796866,-18.694524,1.730040,-0.346790,0.563253,3.976920,-2.609051
3.896784,-18.663301,1.824982,-0.287750,0.617873,3.910820,-2.138959
3.996702,-18.638016,1.921580,-0.223434,0.667146,3.855785,-1.736508
4.096619,-18.619195,2.019761,-0.154634,0.710715,3.810520,-1.116306
4.196537,-18.607412,2.118897,-0.081065,0.765124,3.781135,-0.336394
4.296454,-18.603233,2.218684,-0.001670,0.823529,3.772236,-0.054967
4.396372,-18.607248,2.318380,0.082616,0.843954,3.770779,-0.054967
4.496289,-18.619609,2.417460,0.164992,0.806647,3.769323,0.484403
4.596207,-18.639925,2.515304,0.243708,0.759383,3.782141,1.082040
4.696124,-18.667574,2.611277,0.316176,0.692463,3.810620,1.888738
4.796042,-18.701817,2.705156,0.382421,0.636595,3.859826,2.458246
4.895959,-18.741948,2.796629,0.443639,0.589324,3.922946,2.871110
4.995877,-18.787414,2.885627,0.500081,0.535797,3.995404,3.385234
5.095794,-18.837568,2.972049,0.550607,0.476154,4.079184,4.012592
5.195712,-18.891786,3.055988,0.595626,0.429815,4.176314,4.435909
5.295630,-18.949546,3.137500,0.636718,0.392693,4.281127,4.731845
5.395547,-19.010446,3.216665,0.674148,0.358034,4.390175,5.024865
5.495465,-19.074162,3.293630,0.708327,0.326178,4.503086,5.307439
5.595382,-19.140362,3.368496,0.739024,0.282452,4.619350,5.890431
5.695300,-19.208644,3.441462,0.764583,0.229335,4.745051,6.566305
5.795217,-19.278582,3.512841,0.785069,0.183463,4.881361,6.490679
5.895135,-19.349804,3.582911,0.801353,0.142477,5.012459,6.417809
5.995052,-19.422008,3.651951,0.813559,0.102246,5.138799,6.347458
6.094970,-19.494931,3.720266,0.821805,0.062838,5.260770,6.279423
6.194887,-19.568285,3.788127,0.826080,0.022071,5.378712,6.213526
6.294805,-19.641785,3.855822,0.826194,-0.019780,5.492925,-1.865224
6.394722,-19.715133,3.923643,0.822238,-0.057685,5.458891,-9.534952
6.494640,-19.788099,3.991893,0.814745,-0.092238,5.281484,-8.591090
6.594558,-19.860481,4.060864,0.803601,-0.134090,5.116373,-7.573160
6.694475,-19.931904,4.130776,0.787756,-0.183353,4.966275,-6.871313
6.794393,-20.001926,4.201869,0.767195,-0.224068,4.826050,-6.550860
6.894310,-20.070389,4.274550,0.743381,-0.251761,4.688461,-6.259318
6.994228,-20.137048,4.348977,0.716927,-0.280781,4.553113,-5.796406
7.094145,-20.201650,4.425326,0.686909,-0.320820,4.424083,-4.370273
7.194063,-20.263945,4.503984,0.651197,-0.411891,4.324254,-1.925417
7.293980,-20.322686,4.584831,0.603103,-0.553956,4.279534,-0.519490
7.393898,-20.376610,4.668349,0.542218,-0.634296,4.267388,-0.448494
7.493815,-20.425340,4.755304,0.479773,-0.610233,4.256874,-0.907672
7.593733,-20.468899,4.845462,0.421000,-0.574175,4.235515,-1.391206
7.693650,-20.507186,4.938084,0.362464,-0.604537,4.202568,-0.359485
7.793568,-20.539779,5.032954,0.298322,-0.665645,4.194012,-0.067947
7.893486,-20.565839,5.129087,0.230832,-0.682743,4.192393,-0.067947
7.993403,-20.585335,5.226720,0.163808,-0.657731,4.190774,0.380642
8.093321,-20.598431,5.325769,0.099562,-0.629378,4.199839,0.830433
8.193238,-20.605269,5.425490,0.037715,-0.608807,4.219550,1.091597
8.293156,-20.606032,5.525344,-0.022122,-0.589517,4.245320,1.305619
8.393073,-20.600911,5.625076,-0.080271,-0.576237,4.275938,1.393611
8.492991,-20.590058,5.724383,-0.137222,-0.563570,4.308380,1.467173
8.592908,-20.573648,5.822889,-0.192618,-0.545053,4.342273,1.649955
8.692826,-20.551879,5.920437,-0.246224,-0.527997,4.380074,1.796182
8.792743,-20.525002,6.016592,-0.298961,-0.530030,4.420859,1.565543
8.892661,-20.493031,6.111315,-0.352115,-0.532998,4.456102,1.339585
