# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.000000,3.747948,-12.374392,2.884680,-0.860084,3.628139,0.627486
0.099843,3.652666,-12.345025,2.801381,-0.810361,3.645366,1.179992
0.199686,3.559870,-12.307972,2.722817,-0.761868,3.677543,1.643963
0.299530,3.470326,-12.264078,2.649790,-0.703614,3.721908,2.199569
0.399373,3.383913,-12.213900,2.582052,-0.653799,3.780453,2.600775
0.499216,3.301098,-12.158265,2.518645,-0.617148,3.848527,2.802065
0.599059,3.221776,-12.097565,2.458783,-0.581863,3.920548,2.996947
0.698902,3.146206,-12.032436,2.402229,-0.552132,3.996141,3.121194
0.798746,3.074242,-11.963144,2.348448,-0.524714,4.073378,3.229582
0.898589,3.006087,-11.890268,2.297483,-0.496954,4.151784,3.367206
0.998432,2.941562,-11.814019,2.249159,-0.470812,4.231985,3.498662
1.098275,2.880748,-11.734895,2.203423,-0.445903,4.313737,3.630562
1.198118,2.823469,-11.653073,2.160077,-0.422203,4.396965,3.762673
1.297962,2.769728,-11.568970,2.119107,-0.398856,4.481591,3.911473
1.397805,2.719347,-11.482741,2.080399,-0.376437,4.567902,4.064698
1.497648,2.672265,-11.394721,2.043923,-0.354444,4.655899,4.232775
1.597491,2.628311,-11.305058,2.009598,-0.333117,4.745800,4.410269
1.697334,2.587373,-11.214004,1.977391,-0.312147,4.837695,4.604266
1.797178,2.549287,-11.121707,1.947250,-0.291611,4.931805,4.813197
1.897021,2.513905,-11.028342,1.919188,-0.270515,5.028303,5.062607
1.996864,2.481059,-10.934062,1.893222,-0.249689,5.127842,5.332840
2.096707,2.450568,-10.838977,1.869340,-0.228651,5.230646,5.638414
2.196550,2.422264,-10.743246,1.847556,-0.207841,5.337188,5.969405
2.296394,2.395944,-10.646917,1.827794,-0.187953,5.447713,6.174923
2.396237,2.371446,-10.550146,1.810023,-0.168204,5.559733,6.112176
2.496080,2.348574,-10.452946,1.794064,-0.151431,5.668434,6.051194
2.595923,2.327179,-10.355437,1.779786,-0.134920,5.774036,5.991864
2.695766,2.307109,-10.257625,1.766703,-0.127126,5.876732,5.934084
2.795610,2.288285,-10.159581,1.754400,-0.119403,5.976700,5.877760
2.895453,2.270631,-10.061304,1.742763,-0.113690,6.074097,5.822811
2.995296,2.254096,-9.962847,1.731697,-0.107991,6.169067,5.769160
3.095139,2.238622,-9.864203,1.721200,-0.102266,6.261742,5.716739
3.194982,2.224157,-9.765421,1.711276,-0.096547,6.352241,5.665484
3.294826,2.210644,-9.666490,1.701922,-0.090812,6.440674,5.615338
3.394669,2.198029,-9.567454,1.693142,-0.085081,6.527142,5.566247
3.494512,2.186255,-9.468301,1.684932,-0.079366,6.611739,5.518164
3.594355,2.175269,-9.369071,1.677293,-0.073650,6.694550,5.471042
3.694198,2.165011,-9.269750,1.670227,-0.067890,6.775654,5.424839
3.794042,2.155428,-9.170375,1.663737,-0.062134,6.855126,5.379517
3.893885,2.146460,-9.070929,1.657810,-0.056579,6.933035,5.335039
3.993728,2.138056,-8.971446,1.652439,-0.051027,7.009444,5.291372
4.093571,2.130158,-8.871911,1.647611,-0.045667,7.084414,5.248483
4.193414,2.122714,-8.772351,1.643320,-0.040302,7.158001,5.206344
4.293258,2.115671,-8.672752,1.639565,-0.034919,7.230256,5.164926
4.393101,2.108975,-8.573138,1.636347,-0.029533,7.301231,5.124203
4.492944,2.102573,-8.473496,1.633667,-0.024154,7.370971,5.084150
4.592787,2.096411,-8.373848,1.631524,-0.018772,7.439519,5.044745
4.692630,2.090436,-8.274180,1.629918,-0.013397,7.506917,5.005966
4.792474,2.084594,-8.174511,1.628849,-0.008020,7.573205,4.967791
4.892317,2.078832,-8.074831,1.628316,-0.002651,7.638418,4.930202
4.992160,2.073097,-7.975156,1.628320,0.002720,7.702592,4.893180
5.092003,2.067334,-7.875476,1.628859,0.008080,7.765760,4.856708
5.191846,2.061491,-7.775807,1.629933,0.013442,7.827953,4.820768
5.291690,2.055514,-7.676140,1.631542,0.018791,7.889201,4.785345
5.391533,2.049351,-7.576490,1.633685,0.024142,7.949532,4.750424
5.491376,2.042947,-7.476849,1.636363,0.029481,8.008973,4.715990
5.591219,2.036250,-7.377234,1.639573,0.034822,8.067551,4.682031
5.691062,2.029206,-7.277636,1.643315,0.040151,8.125288,4.648532
5.790906,2.021764,-7.178075,1.647590,0.045483,8.182210,4.615481
5.890749,2.013869,-7.078539,1.652397,0.050806,8.238338,4.582867
5.990592,2.005470,-6.979055,1.657736,0.056134,8.293693,4.550677
6.090435,1.996513,-6.879609,1.663606,0.061454,8.348296,4.518902
6.190278,1.986946,-6.780230,1.670008,0.066783,8.402167,4.487530
6.290122,1.976716,-6.680906,1.676942,0.072119,8.455325,4.456552
6.389965,1.965773,-6.581671,1.684409,0.077466,8.507786,4.425958
6.489808,1.954060,-6.482510,1.692410,0.082798,8.559569,4.395739
6.589651,1.941531,-6.383464,1.700943,0.088149,8.610691,4.365885
6.689494,1.928127,-6.284513,1.710017,0.093598,8.661167,4.336389
6.789338,1.913802,-6.185714,1.719633,0.098785,8.711012,4.210691
6.889181,1.898506,-6.087039,1.729586,0.100557,8.759140,3.988447
6.989024,1.882223,-5.988545,1.739709,0.101494,8.804486,3.832584
7.088867,1.864952,-5.890207,1.749468,0.093973,8.847841,4.227132
7.188710,1.846759,-5.792038,1.758472,0.086358,8.895414,4.199245
7.288554,1.827723,-5.694032,1.766693,0.078325,8.942423,4.171672
7.388397,1.807918,-5.596168,1.774113,0.070286,8.988880,4.144406
7.488240,1.787429,-5.498455,1.780724,0.062155,9.034796,4.117441
7.588083,1.766332,-5.400862,1.786524,0.054033,9.080184,4.090770
7.687926,1.744712,-5.303395,1.791513,0.045901,9.125054,4.064388
7.787770,1.722642,-5.206015,1.795691,0.037876,9.169417,4.038288
7.887613,1.700206,-5.108736,1.799111,0.030653,9.213284,0.509834
7.987456,1.677469,-5.011507,1.801812,0.023442,9.218807,-10.333787
8.087299,1.654509,-4.914351,1.803794,0.016276,9.106201,-10.969381
8.187142,1.631385,-4.817211,1.805062,0.009099,8.985124,-11.576912
8.286986,1.608179,-4.720114,1.805605,0.001787,8.855546,-11.875242
8.386829,1.584951,-4.622999,1.805419,-0.005506,8.720629,-11.345442
8.486672,1.561781,-4.525894,1.804508,-0.012737,8.589752,-10.847825
8.586515,1.538729,-4.428736,1.802876,-0.019954,8.462723,-10.380739
8.686358,1.515876,-4.331557,1.800525,-0.027150,8.339352,-9.942223
8.786202,1.493281,-4.234291,1.797455,-0.034325,8.219456,-9.533022
8.886045,1.471025,-4.136973,1.793673,-0.041440,8.102830,-9.148832
8.985888,1.449166,-4.039539,1.789180,-0.048535,7.989302,-8.790542
9.085731,1.427785,-3.942025,1.783984,-0.055570,7.878680,-8.454187
9.185574,1.406940,-3.844369,1.778084,-0.062586,7.770805,-8.141485
9.285418,1.386711,-3.746610,1.771489,-0.069532,7.665486,-7.848800
9.385261,1.367156,-3.648687,1.764200,-0.076449,7.562564,-7.580715
9.485104,1.348354,-3.550644,1.756229,-0.083237,7.461810,-7.326509
9.584947,1.330363,-3.452422,1.747578,-0.090068,7.363124,-7.070809
9.684790,1.313260,-3.354066,1.738230,-0.097215,7.266612,-6.825852
9.784634,1.297108,-3.255526,1.728165,-0.104451,7.172212,-6.567469
9.884477,1.281990,-3.156845,1.717348,-0.112236,7.080197,-6.324221
9.984320,1.267975,-3.057980,1.705752,-0.120015,6.990446,-6.099429
10.084163,1.255148,-2.958975,1.693387,-0.127702,6.902779,-5.887851
10.184006,1.243583,-2.859794,1.680252,-0.135387,6.817084,-5.691945
10.283850,1.233361,-2.760485,1.666355,-0.143006,6.733204,-5.506946
10.383693,1.224556,-2.661023,1.651694,-0.150647,6.651043,-5.334570
10.483536,1.217249,-2.561456,1.636275,-0.158261,6.570474,-5.171794
10.583379,1.211516,-2.461770,1.620090,-0.165908,6.491409,-5.021454
10.683222,1.207436,-2.362018,1.603147,-0.173513,6.413710,-4.879407
