# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.000000,3.784520,-12.397415,-0.224716,0.845872,3.623181,0.845111
0.099722,3.882664,-12.415594,-0.142222,0.807671,3.646367,1.209815
0.199444,3.981731,-12.425788,-0.063366,0.776626,3.679305,1.434258
0.299166,4.081468,-12.428299,0.012461,0.742735,3.717975,1.679481
0.398888,4.180981,-12.423430,0.084768,0.711561,3.762752,1.870772
0.498610,4.280022,-12.411467,0.155606,0.709359,3.812009,1.635833
0.598332,4.377847,-12.392552,0.226385,0.706042,3.854565,1.452415
0.698054,4.474146,-12.366831,0.295040,0.670468,3.891959,1.785625
0.797776,4.568481,-12.334746,0.360262,0.656099,3.937446,1.768251
0.897498,4.660458,-12.296530,0.428164,0.706554,3.981978,0.735471
0.997220,4.749711,-12.251846,0.500524,0.722392,4.000354,0.377820
1.096942,4.835466,-12.200914,0.570828,0.690306,4.009761,0.838977
1.196664,4.917449,-12.144228,0.638932,0.681013,4.030573,0.873785
1.296386,4.995332,-12.082175,0.706382,0.670340,4.052134,0.929691
1.396107,5.069023,-12.014979,0.771477,0.620387,4.074949,1.634150
1.495829,5.138458,-11.943307,0.829937,0.554924,4.114745,2.539055
1.595551,5.203859,-11.867821,0.883120,0.515302,4.175827,2.947003
1.695273,5.265171,-11.789232,0.932871,0.481898,4.245620,3.243967
1.794995,5.322591,-11.707854,0.979421,0.460826,4.321143,3.323152
1.894717,5.376268,-11.623831,1.025124,0.455772,4.397165,3.112869
1.994439,5.426083,-11.537446,1.070002,0.438803,4.467203,3.166146
2.094161,5.472081,-11.448950,1.112493,0.413732,4.537331,3.402748
2.193883,5.514381,-11.358637,1.152769,0.396452,4.611511,3.486821
2.293605,5.553071,-11.266736,1.191654,0.383371,4.686305,3.495706
2.393327,5.588218,-11.173433,1.229140,0.367407,4.760111,3.587468
2.493049,5.619933,-11.078880,1.264923,0.350349,4.834682,3.720531
2.592771,5.648322,-10.983283,1.299081,0.335066,4.910824,3.826253
2.692493,5.673500,-10.886791,1.331774,0.320622,4.987917,3.926958
2.792215,5.695580,-10.789551,1.363027,0.306051,5.065819,4.046761
2.891937,5.714683,-10.691672,1.392823,0.291579,5.144864,4.179681
2.991659,5.730932,-10.593284,1.421198,0.277505,5.225250,4.317654
3.091381,5.744452,-10.494481,1.448180,0.263665,5.307011,4.465168
3.191103,5.755369,-10.395359,1.473793,0.249995,5.390261,4.624089
3.290825,5.763812,-10.295994,1.498047,0.236470,5.475140,4.795400
3.390547,5.769909,-10.196457,1.520964,0.223155,5.561796,4.977439
3.490269,5.773790,-10.096811,1.542560,0.209976,5.650336,5.172813
3.589991,5.775583,-9.997103,1.562850,0.196953,5.740904,5.381426
3.689713,5.775417,-9.897382,1.581845,0.184027,5.833633,5.605753
3.789435,5.773422,-9.797676,1.599556,0.171140,5.928685,5.848664
3.889157,5.769725,-9.698024,1.615980,0.158281,6.026258,5.849810
3.988878,5.764456,-9.598438,1.631134,0.145715,6.122295,5.795591
4.088600,5.757740,-9.498945,1.645046,0.133319,6.215979,5.742633
4.188322,5.749703,-9.399548,1.657697,0.120022,6.307434,5.690868
4.288044,5.740477,-9.300257,1.668969,0.106050,6.396775,5.640238
4.387766,5.730199,-9.201067,1.678934,0.095002,6.484107,5.590687
4.487488,5.718982,-9.101979,1.687958,0.085993,6.569526,5.542164
4.587210,5.706915,-9.002989,1.696120,0.078197,6.653121,5.494623
4.686932,5.694076,-8.904098,1.703571,0.071239,6.734975,5.448019
4.786654,5.680534,-8.805299,1.710330,0.064325,6.815165,5.402313
4.886376,5.666360,-8.706591,1.716401,0.057434,6.893760,5.357467
4.986098,5.651620,-8.607964,1.721784,0.050533,6.970828,5.313447
5.085820,5.636383,-8.509414,1.726479,0.043624,7.046430,5.270219
5.185542,5.620718,-8.410929,1.730485,0.036716,7.120624,5.227753
5.285264,5.604692,-8.312504,1.733802,0.029807,7.193465,5.186020
5.384986,5.588374,-8.214126,1.736430,0.022906,7.265002,5.144995
5.484708,5.571831,-8.115787,1.738370,0.016009,7.335284,5.104650
5.584430,5.555131,-8.017473,1.739622,0.009068,7.404356,5.064963
5.684152,5.538342,-7.919175,1.740178,0.002099,7.472259,5.025912
5.783874,5.521532,-7.820880,1.740068,-0.003971,7.539035,4.987474
5.883596,5.504761,-7.722579,1.739397,-0.009472,7.604720,4.949630
5.983318,5.488081,-7.624263,1.738293,-0.011247,7.669351,4.912361
6.083040,5.471510,-7.525928,1.737198,-0.010712,7.732961,4.875650
6.182762,5.455044,-7.427575,1.736160,-0.010059,7.795582,4.839478
6.282484,5.438677,-7.329205,1.735193,-0.009334,7.857245,4.803830
6.382206,5.422401,-7.230821,1.734295,-0.008735,7.917979,4.768691
6.481928,5.406212,-7.132422,1.733450,-0.008212,7.977812,4.734045
6.581649,5.390102,-7.034010,1.732657,-0.007676,8.036769,4.699879
6.681371,5.374068,-6.935585,1.731919,-0.007132,8.094876,4.666180
6.781093,5.358104,-6.837149,1.731235,-0.006590,8.152157,4.632934
6.880815,5.342205,-6.738703,1.730605,-0.006051,8.208634,4.600129
6.980537,5.326365,-6.640247,1.730028,-0.005506,8.264330,4.567755
7.080259,5.310580,-6.541782,1.729507,-0.004957,8.319264,4.535799
7.179981,5.294842,-6.443310,1.729040,-0.004406,8.373458,4.504252
7.279703,5.279149,-6.344830,1.728628,-0.003854,8.426929,4.473103
7.379425,5.263493,-6.246345,1.728271,-0.003303,8.479698,4.442341
7.479147,5.247869,-6.147854,1.727969,-0.002753,8.531780,4.411959
7.578869,5.232272,-6.049359,1.727722,-0.002202,8.583193,4.381946
7.678591,5.216698,-5.950861,1.727530,-0.001652,8.633954,4.352294
7.778313,5.201139,-5.852360,1.727393,-0.001102,8.684077,4.322994
7.878035,5.185591,-5.753858,1.727310,-0.000552,8.733578,4.294040
7.977757,5.170049,-5.655354,1.727283,-0.000002,8.782472,4.265422
8.077479,5.154506,-5.556851,1.727310,0.000547,8.830772,4.237134
8.177201,5.138958,-5.458348,1.727392,0.001096,8.878491,4.209168
8.276923,5.123400,-5.359848,1.727528,0.001645,8.925642,4.181517
8.376645,5.107825,-5.261349,1.727720,0.002194,8.972239,4.154175
8.476367,5.092229,-5.162855,1.727966,0.002743,9.018292,4.127135
8.576089,5.076606,-5.064364,1.728267,0.003291,9.063814,4.100391
8.675811,5.060950,-4.965879,1.728622,0.003840,9.108816,4.073937
8.775533,5.045257,-4.867399,1.729033,0.004388,9.153308,4.047767
8.875255,5.029521,-4.768927,1.729498,0.004937,9.197301,4.021875
8.974977,5.013736,-4.670461,1.730017,0.005483,9.240805,3.996257
9.074699,4.997897,-4.572006,1.730591,0.006029,9.283831,3.970906
9.174420,4.981999,-4.473559,1.731220,0.006581,9.326387,3.945818
9.274142,4.966037,-4.375123,1.731904,0.007138,9.368482,3.920987
