s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,-2.880036,-0.325998,-2.160708,1.006175,2.675286,-0.002168,0.612624,1.213773
0.099660,-2.794619,-0.377192,-2.060866,0.999826,2.675205,0.044271,0.581112,1.133556
0.199319,-2.704466,-0.419658,-1.961092,1.003311,2.676854,0.010018,0.555738,1.061383
0.298979,-2.610600,-0.452911,-1.861540,0.996916,2.677227,0.054363,0.537673,0.997441
0.398638,-2.513824,-0.476699,-1.762058,1.000261,2.679250,0.019078,0.517605,0.948260
0.498298,-2.415238,-0.490752,-1.662815,0.993778,2.679959,0.062305,0.481720,0.916815
0.597958,-2.315671,-0.494982,-1.563644,0.997240,2.682275,0.024563,0.454976,0.905196
0.697617,-2.216245,-0.489340,-1.464685,0.991012,2.683188,0.064929,0.439364,0.910529
0.797277,-2.117794,-0.473903,-1.365782,0.994764,2.685598,0.024533,0.436247,0.898358
0.896937,-2.021395,-0.448834,-1.267070,0.988293,2.686508,0.066783,0.445920,0.878516
0.996596,-1.927904,-0.414388,-1.168427,0.992845,2.688985,0.020165,0.467533,0.877220
1.096256,-1.838222,-0.370967,-1.072307,0.936779,2.689732,0.425714,0.490989,0.888541
1.195915,-1.753011,-0.319383,-0.981318,0.891741,2.705460,0.676222,0.514776,0.901410
1.295575,-1.672585,-0.260497,-0.898288,0.772660,2.730256,1.442813,0.547898,0.929502
1.395235,-1.596995,-0.195651,-0.827148,0.656846,2.782423,2.097360,0.589425,0.973897
1.494894,-1.525728,-0.125943,-0.767851,0.531939,2.856557,2.808275,0.638549,1.019755
1.594554,-1.458313,-0.052620,-0.721124,0.406428,2.952908,3.561054,0.694367,1.073296
1.694213,-1.393888,0.023408,-0.686916,0.279762,3.070741,4.431329,0.756262,1.026712
1.793873,-1.331606,0.101205,-0.665385,0.152339,3.211339,5.470032,0.823648,0.951476
1.893533,-1.270552,0.179892,-0.656427,0.027639,3.376830,0.547629,0.896026,0.882267
1.993192,-1.209638,0.258849,-0.659863,-0.096329,3.392954,-4.909330,0.973160,0.819486
2.092852,-1.148097,0.337081,-0.675099,-0.209450,3.245552,-4.013402,1.054461,0.763885
2.192512,-1.084786,0.414197,-0.701569,-0.320673,3.119882,-3.354695,1.068603,0.715853
2.292171,-1.019218,0.489081,-0.738378,-0.418833,3.010815,-2.788505,1.021822,0.676258
2.391831,-0.950420,0.561335,-0.785070,-0.516922,2.917054,-2.370998,0.981339,0.629517
2.491490,-0.878120,0.629853,-0.840854,-0.603470,2.834893,-1.939223,0.946933,0.581763
2.591150,-0.801773,0.693947,-0.905512,-0.694112,2.765880,-1.307848,0.918761,0.542367
2.690810,-0.721106,0.752624,-0.980183,-0.805724,2.718348,-0.475121,0.892372,0.512542
2.790469,-0.636169,0.804522,-1.066511,-0.929875,2.700873,-0.300575,0.877041,0.493152
2.890129,-0.546607,0.848578,-1.161205,-0.961545,2.689759,-0.027947,0.856036,0.484403
2.989789,-0.453571,0.883723,-1.258645,-0.999628,2.688723,-0.027947,0.836277,0.476796
3.089448,-0.357189,0.909632,-1.357058,-0.965380,2.687687,0.227607,0.837894,0.470739
3.189108,-0.259126,0.926097,-1.451256,-0.929971,2.696114,0.442559,0.860515,0.476110
3.288767,-0.159701,0.933576,-1.537851,-0.797738,2.712423,1.337263,0.893298,0.492981
3.388427,-0.060163,0.933138,-1.610191,-0.655936,2.761120,2.191548,0.923006,0.521145
3.488087,0.039224,0.926184,-1.668906,-0.522118,2.839120,2.948210,0.967954,0.560030
3.587746,0.138140,0.914068,-1.714176,-0.386365,2.940788,3.769120,1.024897,0.608554
3.687406,0.236382,0.898157,-1.746522,-0.263874,3.065859,4.590024,0.985005,0.665452
3.787065,0.334436,0.879618,-1.766764,-0.142091,3.211600,5.575429,0.902594,0.729819
3.886725,0.431889,0.859735,-1.775619,-0.036418,3.380187,5.369982,0.825220,0.795545
3.986385,0.529657,0.839416,-1.774064,0.067112,3.534969,-5.266002,0.753037,0.864164
4.086044,0.627211,0.819811,-1.762577,0.163501,3.383251,-4.376370,0.687510,0.938556
4.185704,0.725376,0.801742,-1.741483,0.259016,3.251783,-3.656757,0.629388,1.018447
4.285364,0.823779,0.786242,-1.711012,0.352988,3.137711,-2.997396,0.567956,1.031387
4.385023,0.922742,0.774206,-1.671062,0.448690,3.041018,-2.320583,0.515234,0.995098
4.484683,1.022175,0.766614,-1.621218,0.551749,2.963993,-1.613041,0.473478,0.959123
4.584342,1.121729,0.764505,-1.560955,0.658959,2.909252,-1.009113,0.444926,0.932600
4.684002,1.221387,0.768914,-1.490710,0.749820,2.874476,-0.264463,0.431170,0.907593
4.783662,1.320205,0.780728,-1.411320,0.845796,2.865292,-0.146893,0.419339,0.893582
4.883321,1.417868,0.800729,-1.326010,0.863451,2.860178,-0.031601,0.412882,0.870116
4.982981,1.513330,0.829018,-1.239058,0.883379,2.859077,-0.031601,0.421744,0.866242
5.082640,1.606036,0.865541,-1.152498,0.852627,2.857975,0.183935,0.433913,0.874099
5.182300,1.695284,0.909792,-1.068924,0.825941,2.864382,0.368714,0.449983,0.888822
5.281960,1.780630,0.961214,-0.988930,0.779225,2.877182,0.688904,0.478952,0.918371
5.381619,1.861719,1.019099,-0.913451,0.736588,2.900946,0.929905,0.518856,0.949374
5.481279,1.938356,1.082795,-0.841892,0.699723,2.932718,1.095970,0.567544,0.992886
5.580939,2.010351,1.151661,-0.773874,0.666109,2.969728,1.222697,0.623005,1.036939
5.680598,2.077637,1.225170,-0.709120,0.633498,3.010480,1.340009,0.683636,1.088013
5.780258,2.140135,1.302762,-0.647524,0.603283,3.054518,1.443902,0.748158,1.135180
5.879917,2.197871,1.383990,-0.588784,0.575604,3.101270,1.527119,0.815660,1.193690
5.979577,2.250842,1.468378,-0.532736,0.549659,3.149962,1.599558,0.885407,1.257420
6.079237,2.299122,1.555557,-0.479192,0.524963,3.200169,1.667116,0.956903,1.322828
6.178896,2.342770,1.645130,-0.428058,0.501566,3.251672,1.730207,1.029732,1.274644
6.278556,2.381890,1.736780,-0.379155,0.479947,3.304276,1.799511,1.095095,1.210461
6.378216,2.416582,1.830197,-0.332364,0.459297,3.358112,1.866591,1.158423,1.155335
6.477875,2.446959,1.925097,-0.287515,0.440904,3.413057,1.916432,1.223243,1.097171
6.577535,2.473142,2.021255,-0.244460,0.423262,3.468565,1.966765,1.283767,1.045893
6.677194,2.495240,2.118413,-0.203085,0.407250,3.524622,1.998635,1.342718,0.985271
6.776854,2.513382,2.216414,-0.163268,0.391851,3.580688,2.022891,1.395179,0.934913
6.876514,2.527679,2.315019,-0.124950,0.377332,3.636554,2.045981,1.446028,0.895752
6.976173,2.538262,2.414127,-0.088042,0.363341,3.692198,2.071934,1.496379,0.851174
7.075833,2.545246,2.513516,-0.052502,0.350086,3.747707,2.097148,1.538112,0.819866
7.175492,2.548761,2.613128,-0.018249,0.337288,3.803065,2.151491,1.579434,0.785409
7.275152,2.548925,2.712763,0.014753,0.325178,3.859034,2.204089,1.620145,0.747215
7.374812,2.545859,2.812392,0.046578,0.313459,3.915540,2.257924,1.652911,0.715012
7.474471,2.539685,2.911837,0.077251,0.302258,3.972594,2.310793,1.682900,0.679633
7.574131,2.530515,3.011089,0.106835,0.291395,4.030148,2.352354,1.699186,0.654150
7.673791,2.518470,3.109999,0.135347,0.280923,4.087904,2.383241,1.718277,0.632174
7.773450,2.503656,3.208565,0.162838,0.270746,4.145598,2.417198,1.740178,0.599318
7.873110,2.486193,3.306668,0.189326,0.260930,4.203306,2.452654,1.763247,0.584569
7.972769,2.466180,3.404308,0.214854,0.251367,4.261061,2.484258,1.775432,0.589191
8.072429,2.443731,3.501395,0.239441,0.242109,4.318773,2.488799,1.790629,0.589014
8.172089,2.418943,3.597930,0.263119,0.233150,4.375828,2.497043,1.804366,0.569076
8.271748,2.391920,3.693850,0.285971,0.225485,4.432333,2.488782,1.810528,0.555744
8.371408,2.362746,3.789146,0.308068,0.218093,4.487944,2.483674,1.819908,0.557739
8.471067,2.331506,3.883782,0.329503,0.212078,4.542761,2.498612,1.830624,0.541682
8.570727,2.298275,3.977735,0.350345,0.206389,4.597249,2.523294,1.831496,0.535091
8.670387,2.263112,4.070989,0.370757,0.203237,4.651628,2.497728,1.835733,0.514717
8.770046,2.226072,4.163503,0.390858,0.200341,4.704837,2.470438,1.838668,0.502214
8.869706,2.187184,4.255271,0.410773,0.199299,4.756879,2.401923,1.834689,0.494078
8.969366,2.146488,4.346232,0.430587,0.198366,4.806937,2.315384,1.834139,0.488115
9.069025,2.103993,4.436391,0.450311,0.197426,4.854703,2.233881,1.829013,0.504169
9.168685,2.059743,4.525672,0.469941,0.196590,4.900347,2.154477,1.819567,0.522269
9.268344,2.013740,4.614097,0.489493,0.195722,4.943969,2.080175,1.809296,0.544029
9.368004,1.966036,4.701577,0.508956,0.194960,4.985724,2.007338,1.801112,0.550442
9.467664,1.916623,4.788147,0.528352,0.194217,5.025689,1.942092,1.792812,0.561558
9.567323,1.865566,4.873708,0.547671,0.193571,5.064054,1.879913,1.788105,0.591339
9.666983,1.812842,4.958309,0.566933,0.192888,5.100916,1.821736,1.787023,0.620960
9.766643,1.758530,5.041837,0.586122,0.192313,5.136385,1.763564,1.789580,0.654738
9.866302,1.702597,5.124354,0.605269,0.191839,5.170490,1.705437,1.795768,0.702810
9.965962,1.645129,5.205740,0.624363,0.191474,5.203258,1.647041,1.800115,0.755771
10.065621,1.586083,5.286062,0.643440,0.191271,5.234709,1.586812,1.799232,0.780118
10.165281,1.525555,5.365195,0.662490,0.191145,5.264833,1.521747,1.791741,0.805308
10.264941,1.463490,5.443211,0.681535,0.190942,5.293560,1.456680,1.784963,0.832801
10.364600,1.399994,5.519981,0.700552,0.190826,5.320914,1.392315,1.774042,0.866258
10.464260,1.335005,5.595581,0.719570,0.190709,5.346928,1.331112,1.763913,0.893272
10.563919,1.268638,5.669881,0.738568,0.190690,5.371681,1.270000,1.749755,0.930485
10.663579,1.200823,5.742957,0.757583,0.190780,5.395191,1.208618,1.735425,0.965552
10.763239,1.131679,5.814680,0.776598,0.190962,5.417471,1.147374,1.717999,0.997449
10.862898,1.061134,5.885123,0.795649,0.191241,5.438537,-0.720224,1.699529,1.039684
10.962558,0.989308,5.954162,0.814719,0.191595,5.425323,-1.334271,1.678790,1.090992
11.062218,0.916129,6.021861,0.833838,0.191986,5.400758,-1.382745,1.661873,1.139903
11.161877,0.841715,6.088106,0.852989,0.192459,5.375181,-1.431228,1.648920,1.185741
11.261537,0.765999,6.152950,0.872201,0.192999,5.348580,-1.480279,1.622159,1.219706
11.361196,0.689093,6.216291,0.891460,0.193580,5.320926,-1.530697,1.594381,1.257562
11.460856,0.610938,6.278169,0.910786,0.194166,5.292179,-1.583529,1.566816,1.301748
11.560516,0.531639,6.338493,0.930163,0.194652,5.262274,-1.641863,1.541238,1.352082
11.660175,0.451151,6.397293,0.949570,0.194744,5.231087,-1.708334,1.519854,1.404140
11.759835,0.369566,6.454499,0.968981,0.194852,5.198439,-1.772101,1.502677,1.457344
11.859494,0.286859,6.510128,0.988409,0.194994,5.164354,-1.836116,1.483663,1.512509
11.959154,0.203107,6.564127,1.007825,0.193868,5.128799,-1.935445,1.469247,1.569543
12.058814,0.118313,6.616508,1.026994,0.190807,5.091052,-2.091364,1.459576,1.627701
12.158473,0.032563,6.667251,1.045885,0.189009,5.049947,-2.218301,1.454781,1.690368
12.258133,-0.054138,6.716377,1.064687,0.188263,5.005978,-2.325019,1.454926,1.756556
12.357793,-0.141723,6.763853,1.083512,0.191859,4.959475,-2.242576,1.460015,1.824568
12.457452,-0.230224,6.809658,1.103012,0.199420,4.914204,-2.157252,1.469962,1.896701
12.557112,-0.319608,6.853690,1.123253,0.206963,4.870259,-2.067491,1.474837,1.858647
12.656771,-0.409904,6.895880,1.144270,0.214799,4.827767,-2.005937,1.481715,1.789868
12.756431,-0.501069,6.936123,1.166033,0.221560,4.786179,-1.957098,1.493111,1.725767
12.856091,-0.593115,6.974349,1.188425,0.227802,4.745253,-1.902180,1.503256,1.662742
12.955750,-0.685986,7.010468,1.211426,0.233718,4.705133,-1.851109,1.511069,1.599087
13.055410,-0.779694,7.044422,1.235012,0.239562,4.665760,-1.808336,1.519926,1.529301
13.155069,-0.874162,7.076122,1.259164,0.245129,4.626973,-1.766877,1.523908,1.464830
13.254729,-0.969402,7.105513,1.283875,0.250734,4.588759,-1.731097,1.527206,1.406455
13.354389,-1.065319,7.132507,1.309132,0.256172,4.551008,-1.695315,1.524725,1.346472
13.454048,-1.161923,7.157051,1.334941,0.261710,4.513730,-1.685988,1.510519,1.285321
13.553708,-1.259103,7.179061,1.361292,0.267203,4.476350,-1.685672,1.493549,1.231451
13.653368,-1.356867,7.198481,1.388207,0.272861,4.438662,-1.689433,1.458667,1.179859
13.753027,-1.455090,7.215231,1.415670,0.278388,4.400567,-1.700475,1.427294,1.125763
13.852687,-1.553773,7.229254,1.443704,0.284128,4.361886,-1.711463,1.399617,1.076372
13.952346,-1.652781,7.240475,1.472286,0.289584,4.322606,-1.733430,1.375843,1.028298
14.052006,-1.752101,7.248836,1.501433,0.295288,4.282455,-1.756500,1.356128,0.984302
14.151666,-1.851596,7.254269,1.531138,0.300985,4.241381,-1.782008,1.340623,0.939804
14.251325,-1.951233,7.256717,1.561434,0.306958,4.199300,-1.786429,1.326103,0.899537
14.350985,-2.050876,7.256115,1.592334,0.313274,4.156688,-1.789427,1.312205,0.863462
14.450645,-2.150473,7.252403,1.623885,0.319882,4.113561,-1.792238,1.302676,0.827403
14.550304,-2.249882,7.245519,1.656104,0.326821,4.069909,-1.794399,1.297559,0.797657
14.649964,-2.349030,7.235399,1.689038,0.334018,4.025730,-1.797638,1.296840,0.777177
14.749623,-2.447773,7.221987,1.722672,0.341072,3.980980,-1.792228,1.300457,0.743100
14.849283,-2.546014,7.205225,1.757033,0.348421,3.935857,-1.790003,1.308300,0.724640
14.948943,-2.643605,7.185065,1.792114,0.355692,3.890269,-1.785811,1.320213,0.715817
15.048602,-2.740425,7.161456,1.827944,0.363418,3.844248,-1.778674,1.336003,0.693117
15.148262,-2.836322,7.134359,1.864569,0.371684,3.797857,-1.769385,1.345493,0.687927
15.247921,-2.931153,7.103727,1.902043,0.380463,3.751139,-1.768646,1.332285,0.684892
15.347581,-3.024750,7.069523,1.940425,0.389918,3.703852,-1.778879,1.317733,0.675812
15.447241,-3.116950,7.031707,1.979779,0.399987,3.655675,-1.789493,1.301072,0.685173
15.546900,-3.207566,6.990249,2.020178,0.410896,3.606560,-1.797128,1.279443,0.687987
15.646560,-3.296412,6.945113,2.061698,0.422501,3.556554,-1.804738,1.261264,0.694032
15.746220,-3.383275,6.896279,2.104422,0.435052,3.505618,-1.800423,1.231365,0.718089
15.845879,-3.467942,6.843724,2.148434,0.448358,3.454055,-1.785527,1.198181,0.728548
15.945539,-3.550173,6.787441,2.193822,0.462667,3.402147,-1.769932,1.155645,0.750038
16.045198,-3.629724,6.727425,2.240677,0.477810,3.349899,-1.750540,1.113785,0.787332
16.144858,-3.706326,6.663692,2.289098,0.494109,3.297409,-1.729599,1.075042,0.815193
16.244518,-3.779695,6.596267,2.339195,0.511592,3.244714,-1.721144,1.027008,0.849405
16.344177,-3.849533,6.525188,2.391111,0.530449,3.191412,-1.704284,0.973646,0.890234
16.443837,-3.915517,6.450518,2.444978,0.551294,3.137740,-1.670082,0.920150,0.932647
16.543496,-3.977302,6.372333,2.501089,0.575040,3.084240,-1.635551,0.869841,0.981069
16.643156,-4.034491,6.290758,2.559629,0.600094,3.030930,-1.615739,0.823272,1.035018
16.742816,-4.086713,6.205894,2.620709,0.625714,2.977329,-1.557826,0.781021,1.099898
16.842475,-4.133549,6.117925,2.684531,0.657720,2.924719,-1.417576,0.743750,1.158016
16.942135,-4.174515,6.027074,2.752124,0.699562,2.876010,-1.412566,0.708700,1.224107
17.041795,-4.209046,5.933638,2.823426,0.723300,2.826638,-1.416527,0.669710,1.299071
17.141454,-4.236768,5.837940,2.895986,0.732779,2.776246,-1.436333,0.636906,1.381308
17.241114,-4.257403,5.740486,2.970808,0.784881,2.724198,-1.003868,0.601861,1.438642
17.340773,-4.270354,5.641675,3.053091,0.866963,2.687222,-0.664144,0.570740,1.454272
17.440433,-4.274742,5.542107,-3.140162,0.930873,2.662477,-0.246851,0.547429,1.473085
17.540093,-4.269877,5.442596,-3.044250,0.995843,2.653221,-0.133619,0.532486,1.493731
17.639752,-4.255206,5.344030,-2.943194,1.015518,2.648198,-0.116847,0.526144,1.524550
17.739412,-4.230657,5.247501,-2.841821,1.021258,2.643797,-0.114436,0.528540,1.570169
17.839072,-4.196414,5.153923,-2.739768,1.023295,2.639479,-0.110157,0.539488,1.617413
17.938731,-4.152842,5.064374,-2.637626,1.028779,2.635317,-0.101883,0.558336,1.674360
18.038391,-4.100226,4.979580,-2.534896,1.027345,2.631461,-0.026749,0.581203,1.742914
18.138050,-4.039357,4.900830,-2.431978,1.044411,2.630448,-0.026749,0.596595,1.820791
18.237710,-3.970715,4.828653,-2.333777,0.876591,2.629434,1.162038,0.618032,1.906282
18.337370,-3.896094,4.762760,-2.258612,0.632312,2.673115,2.714647,0.646093,1.867848
18.437029,-3.817517,4.701964,-2.200793,0.562505,2.772476,2.863335,0.681701,1.781393
18.536689,-3.735272,4.645388,-2.146582,0.521884,2.873559,2.831742,0.724649,1.698464
18.636348,-3.650591,4.593417,-2.096428,0.490651,2.970145,2.768706,0.773547,1.618323
18.736008,-3.562935,4.545362,-2.048443,0.470884,3.061636,2.657266,0.823321,1.543165
18.835668,-3.473469,4.501588,-2.004315,0.409899,3.146945,2.994686,0.873594,1.471041
18.935327,-3.382145,4.461444,-1.966630,0.346269,3.240395,3.399318,0.928684,1.399764
19.034987,-3.289496,4.424488,-1.935008,0.288506,3.343308,3.819457,0.984976,1.334798
19.134647,-3.195945,4.390258,-1.909023,0.233521,3.455286,4.269449,1.033018,1.270897
19.234306,-3.101499,4.358137,-1.889640,0.150893,3.576309,2.732241,1.086294,1.202441
19.333966,-3.006771,4.327501,-1.879030,0.061992,3.651653,-6.303373,1.141795,1.139930
19.433625,-2.911752,4.297401,-1.877798,-0.038821,3.475369,-5.571760,1.192027,1.083423
19.533285,-2.816895,4.266949,-1.886788,-0.141654,3.311741,-4.569802,1.248483,1.032195
19.632945,-2.722477,4.235147,-1.906451,-0.254265,3.171243,-3.722191,1.292685,0.970682
19.732604,-2.628858,4.200951,-1.937450,-0.367467,3.052028,-3.116488,1.344981,0.903134
19.832264,-2.536606,4.163392,-1.979064,-0.466741,2.948508,-2.591402,1.404147,0.836168
19.931923,-2.446121,4.121546,-2.030497,-0.564902,2.859578,-1.963877,1.462071,0.764489
20.031583,-2.358218,4.074699,-2.092278,-0.677561,2.790295,-1.274396,1.525443,0.695012
20.131243,-2.273620,4.021990,-2.165650,-0.794293,2.744401,-0.920590,1.578019,0.628190
20.230902,-2.193449,3.962834,-2.248401,-0.862796,2.710764,-0.463691,1.635082,0.564526
20.330562,-2.118658,3.897000,-2.337990,-0.936471,2.693663,-0.319909,1.678333,0.504995
20.430222,-2.050256,3.824497,-2.432983,-0.964627,2.681801,-0.106515,1.728922,0.451159
20.529881,-1.989197,3.745835,-2.530601,-0.996910,2.677840,-0.104193,1.778781,0.405582
20.629541,-1.936156,3.661451,-2.630228,-0.998524,2.673959,-0.084609,1.824800,0.371440
20.729200,-1.891813,3.572301,-2.729939,-1.005193,2.670804,-0.078498,1.833032,0.339811
20.828860,-1.856557,3.479071,-2.830128,-1.004061,2.667873,-0.072967,1.843930,0.310547
20.928520,-1.830828,3.382889,-2.930401,-1.011073,2.665146,-0.067140,1.747044,0.301984
21.028179,-1.814870,3.284499,-3.031167,-1.009811,2.662634,-0.055773,1.653393,0.315834
21.127839,-1.808894,3.185119,-3.132015,-1.016958,2.660546,-0.050903,1.560393,0.341648
21.227499,-1.812991,3.085528,3.049826,-1.015781,2.658639,-0.027304,1.467268,0.371842
21.327158,-1.827124,2.986979,2.948372,-1.023167,2.657615,-0.027304,1.379620,0.415544
21.426818,-1.851100,2.890300,2.849982,-0.946114,2.656591,0.530447,1.299331,0.468042
21.526477,-1.884085,2.796288,2.759621,-0.868720,2.676416,0.988073,1.228313,0.510670
21.626137,-1.925010,2.705548,2.677732,-0.774999,2.712959,1.503181,1.168354,0.560852
21.725797,-1.972903,2.618077,2.605118,-0.681697,2.767627,1.967671,1.110893,0.617264
21.825456,-2.026515,2.534242,2.541580,-0.595531,2.837596,2.362297,1.047689,0.665681
21.925116,-2.085166,2.453519,2.486316,-0.512817,2.919384,2.749613,0.995401,0.709422
22.024775,-2.147728,2.376082,2.439055,-0.436929,3.011786,3.117817,0.952333,0.759448
22.124435,-2.213736,2.301290,2.399159,-0.363380,3.113245,3.538811,0.898710,0.815285
22.224095,-2.282320,2.229036,2.366509,-0.292299,3.224539,3.999171,0.856796,0.859136
22.323754,-2.353030,2.158762,2.340853,-0.222622,3.345857,4.552395,0.827637,0.898512
22.423414,-2.425281,2.090068,2.322296,-0.149640,3.478813,5.249248,0.802730,0.943860
22.523074,-2.498496,2.022507,2.311021,-0.076684,3.626074,6.029798,0.759907,0.979805
22.622733,-2.572293,1.955434,2.307286,0.001942,3.788175,-4.063407,0.724730,1.023603
22.722393,-2.645982,1.888432,2.311419,0.081149,3.679722,-5.083931,0.701059,1.051904
22.822052,-2.719203,1.820756,2.323688,0.165078,3.539355,-4.231654,0.666627,1.088181
22.921712,-2.791231,1.751952,2.344323,0.249220,3.418125,-3.498691,0.630674,1.133491
23.021372,-2.861542,1.681376,2.373191,0.330155,3.314547,-2.853364,0.592076,1.181894
