s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,-2.964759,-0.292791,0.846689,-1.005066,2.681440,-0.027796,0.665908,1.280314
0.099727,-3.036117,-0.223168,0.749821,-0.938331,2.680406,0.462760,0.700281,1.303089
0.199454,-3.100645,-0.147185,0.659262,-0.879904,2.697569,0.802495,0.730906,1.265540
0.299180,-3.158244,-0.065809,0.573193,-0.846712,2.727075,0.904323,0.746244,1.240606
0.398907,-3.208770,0.020135,0.490231,-0.818060,2.759947,0.961380,0.744291,1.231697
0.498634,-3.252113,0.109899,0.409828,-0.795418,2.794469,0.965634,0.736775,1.238939
0.598361,-3.288218,0.202854,0.331425,-0.777533,2.828720,0.939971,0.733095,1.257926
0.698088,-3.316996,0.298286,0.254548,-0.765279,2.861667,0.879557,0.723630,1.259762
0.797814,-3.338423,0.395686,0.178647,-0.757327,2.892157,0.797940,0.704488,1.276951
0.897541,-3.352425,0.494377,0.103260,-0.755659,2.919541,0.679148,0.663693,1.308703
0.997268,-3.358957,0.593891,0.027780,-0.758399,2.942648,0.542537,0.620030,1.345123
1.096995,-3.357947,0.693573,-0.048145,-0.765305,2.960978,0.391562,0.582881,1.384139
1.196722,-3.349334,0.792922,-0.125017,-0.776529,2.974137,0.226511,0.553688,1.430314
1.296448,-3.333061,0.891296,-0.203073,-0.789831,2.981722,-0.014727,0.533852,1.488098
1.396175,-3.309096,0.988068,-0.282753,-0.806173,2.981230,-0.034358,0.518496,1.542519
1.495902,-3.277482,1.082643,-0.362086,-0.785349,2.980080,0.117994,0.501631,1.594559
1.595629,-3.238577,1.174417,-0.439556,-0.766092,2.984026,0.269187,0.496514,1.520587
1.695356,-3.192837,1.262983,-0.512873,-0.704663,2.993009,0.774242,0.495239,1.455336
1.795083,-3.140967,1.348156,-0.580156,-0.644408,3.018696,1.207572,0.497026,1.399937
1.894809,-3.083781,1.429771,-0.641124,-0.579190,3.058330,1.654429,0.507952,1.339682
1.994536,-3.021906,1.508038,-0.695745,-0.515404,3.111810,2.070244,0.517733,1.287849
2.094263,-2.956163,1.582955,-0.743649,-0.445988,3.177465,2.545066,0.541044,1.240456
2.193990,-2.887083,1.654945,-0.784765,-0.378716,3.256364,3.018141,0.576846,1.196323
2.293717,-2.815369,1.724236,-0.819344,-0.314942,3.347519,3.515586,0.613154,1.154749
2.393443,-2.741502,1.791250,-0.847621,-0.252037,3.450664,4.055885,0.647190,1.109274
2.493170,-2.665946,1.856414,-0.869525,-0.187032,3.565956,4.671515,0.678596,1.073533
2.592897,-2.589257,1.920099,-0.884934,-0.121967,3.694292,5.360127,0.700674,1.047954
2.692624,-2.511699,1.982932,-0.893759,-0.054733,3.836260,-3.729031,0.726794,1.013326
2.792351,-2.433934,2.045232,-0.895834,0.013474,3.738064,-6.055535,0.764577,0.981496
2.892077,-2.356113,2.107756,-0.890903,0.085516,3.572859,-5.283635,0.786083,0.946065
2.991804,-2.278982,2.170815,-0.878755,0.158861,3.422204,-4.566425,0.802750,0.913715
3.091531,-2.202725,2.235210,-0.859031,0.236527,3.286440,-3.972420,0.832656,0.882234
3.191258,-2.128138,2.301270,-0.831563,0.315299,3.163602,-3.435649,0.875018,0.836690
3.290985,-2.055572,2.369736,-0.795993,0.397854,3.053379,-2.972148,0.906971,0.797994
3.390711,-1.985852,2.440951,-0.752219,0.481025,2.954711,-2.526900,0.946131,0.766536
3.490438,-1.919588,2.515477,-0.699873,0.568940,2.868156,-2.113473,0.997854,0.732587
3.590165,-1.857682,2.593610,-0.638753,0.656562,2.793704,-1.705756,1.037732,0.691478
3.689892,-1.801019,2.675624,-0.568949,0.744118,2.732135,-1.238793,1.083334,0.656614
3.789619,-1.750582,2.761634,-0.490298,0.835202,2.686537,-0.574475,1.141875,0.628332
3.889345,-1.707507,2.851509,-0.401801,0.941446,2.665126,-0.027437,1.211781,0.595037
3.989072,-1.673035,2.945056,-0.302859,1.018193,2.664099,-0.027437,1.289173,0.564034
4.088799,-1.648161,3.041554,-0.201792,1.011693,2.663072,0.024982,1.359925,0.539637
4.188526,-1.633130,3.140169,-0.100679,1.011573,2.664007,0.020711,1.440366,0.522983
4.288253,-1.628110,3.239729,-0.000188,1.005928,2.664783,0.057094,1.528090,0.507313
4.387980,-1.633092,3.339260,0.100296,1.008559,2.666918,0.026444,1.621100,0.494773
4.487706,-1.648026,3.437751,0.200595,1.004203,2.667907,0.052445,1.700210,0.492160
4.587433,-1.672735,3.534291,0.300423,0.996505,2.669867,0.097322,1.668206,0.499688
4.687160,-1.706869,3.627836,0.399168,0.987091,2.673500,0.145716,1.648297,0.516903
4.786887,-1.750111,3.717736,0.497391,0.978586,2.678930,0.178176,1.635824,0.542863
4.886614,-1.801794,3.802819,0.594125,0.965308,2.685554,0.239447,1.634700,0.566439
4.986340,-1.861585,3.882765,0.689777,0.932567,2.694431,0.432215,1.607101,0.589978
5.086067,-1.928320,3.956632,0.778201,0.845613,2.710381,0.992683,1.560185,0.620167
5.185794,-2.001340,4.024876,0.858957,0.770291,2.746664,1.386953,1.523249,0.656785
5.285521,-2.079133,4.087107,0.931992,0.697248,2.796568,1.723112,1.485166,0.699016
5.385248,-2.161280,4.143920,0.998403,0.632719,2.857355,1.982677,1.451624,0.746511
5.484974,-2.246749,4.195379,1.058222,0.567360,2.925735,2.260799,1.404995,0.798519
5.584701,-2.334934,4.241884,1.111810,0.508521,3.001808,2.500926,1.358833,0.854544
5.684428,-2.425641,4.283980,1.159836,0.452471,3.083775,2.763863,1.308879,0.914357
5.784155,-2.517608,4.321713,1.202188,0.400096,3.171897,3.023667,1.251559,0.977025
5.883882,-2.611769,4.356028,1.239550,0.345167,3.265580,3.354240,1.199246,1.042603
5.983608,-2.706124,4.386778,1.271035,0.289038,3.366457,3.771354,1.146751,1.104384
6.083335,-2.802277,4.415089,1.296750,0.223077,3.476383,4.363987,1.102910,1.167363
6.183062,-2.898041,4.440988,1.315436,0.152833,3.599396,2.204831,1.057863,1.219753
6.282789,-2.995059,4.465666,1.326584,0.068801,3.659975,-6.200998,1.008781,1.267951
6.382516,-3.091505,4.489497,1.329056,-0.020268,3.486919,-5.715763,0.963643,1.320992
6.482242,-3.188365,4.513667,1.321666,-0.128048,3.319424,-4.735396,0.913964,1.379635
6.581969,-3.284690,4.539013,1.303542,-0.237350,3.173969,-3.758338,0.871818,1.443236
6.681696,-3.380484,4.566681,1.273606,-0.363187,3.053599,-2.938066,0.826613,1.498271
6.781423,-3.475167,4.597783,1.231172,-0.484412,2.956088,-2.448079,0.777994,1.560520
6.881150,-3.568083,4.633321,1.178272,-0.576641,2.872313,-2.079112,0.735275,1.628256
6.980876,-3.659078,4.674244,1.116751,-0.658085,2.799195,-1.600769,0.692593,1.696884
7.080603,-3.746879,4.720889,1.046599,-0.752638,2.741572,-1.276264,0.650851,1.772526
7.180330,-3.831676,4.774465,0.966702,-0.824810,2.694747,-1.011470,0.614849,1.853978
7.280057,-3.911577,4.834715,0.881686,-0.886279,2.657051,-0.190635,0.585685,1.940061
