s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,1.218455,-2.996754,1.843187,-0.253725,6.095668,-2.694797
0.099591,1.122227,-3.022321,1.817714,-0.257965,6.051480,-2.672881
0.199183,1.025331,-3.045417,1.791801,-0.262321,6.007330,-2.672351
0.298774,0.927910,-3.065966,1.765505,-0.265915,5.962863,-2.682190
0.398366,0.829932,-3.083937,1.738830,-0.269669,5.917895,-2.690341
0.497957,0.731556,-3.099264,1.711798,-0.273360,5.872445,-2.705523
0.597548,0.632749,-3.111912,1.684376,-0.277219,5.826382,-2.719335
0.697140,0.533682,-3.121824,1.656587,-0.281024,5.779713,-2.740357
0.796731,0.434323,-3.128963,1.628394,-0.285020,5.732298,-2.760347
0.896322,0.334857,-3.133276,1.599810,-0.289212,5.684139,-2.779526
0.995914,0.235251,-3.134724,1.570781,-0.293611,5.635228,-2.797799
1.095505,0.135703,-3.133260,1.541321,-0.298212,5.585564,-2.815777
1.195097,0.036185,-3.128838,1.511374,-0.303050,5.535131,-2.832702
1.294688,-0.063096,-3.121418,1.480951,-0.308141,5.483926,-2.848427
1.394279,-0.162162,-3.110950,1.449989,-0.313486,5.431951,-2.863530
1.493871,-0.260792,-3.097402,1.418497,-0.319182,5.379193,-2.875377
1.593462,-0.359004,-3.080715,1.386403,-0.325164,5.325692,-2.886063
1.693054,-0.456559,-3.060871,1.353728,-0.331299,5.271446,-2.900289
1.792645,-0.553472,-3.037803,1.320403,-0.337757,5.216364,-2.913689
1.892236,-0.649489,-3.011507,1.286444,-0.344511,5.160436,-2.927638
1.991828,-0.744611,-2.981912,1.251770,-0.351630,5.103623,-2.941049
2.091419,-0.838575,-2.949027,1.216388,-0.359237,5.045905,-2.951146
2.191010,-0.931364,-2.912777,1.180203,-0.367265,4.987318,-2.960464
2.290602,-1.022705,-2.873185,1.143219,-0.375782,4.927846,-2.967990
2.390193,-1.112559,-2.830174,1.105337,-0.384788,4.867494,-2.974654
2.489785,-1.200641,-2.783782,1.066556,-0.394377,4.806245,-2.978946
2.589376,-1.286889,-2.733935,1.026765,-0.404547,4.744116,-2.981831
2.688967,-1.371006,-2.680687,0.985959,-0.415305,4.681101,-2.984206
2.788559,-1.452898,-2.623973,0.944020,-0.426753,4.617175,-2.981052
2.888150,-1.532260,-2.563864,0.900928,-0.439048,4.552421,-2.973752
2.987742,-1.608959,-2.500309,0.856541,-0.452214,4.486893,-2.970356
3.087333,-1.682682,-2.433399,0.810838,-0.465963,4.420472,-2.964343
3.186924,-1.753254,-2.363108,0.763696,-0.480678,4.353174,-2.963674
3.286516,-1.820352,-2.289550,0.715077,-0.496046,4.284835,-2.957274
3.386107,-1.883759,-2.212741,0.664846,-0.512720,4.215539,-2.955688
3.485699,-1.943140,-2.132826,0.612965,-0.529337,4.145124,-2.969196
3.585290,-1.998246,-2.049864,0.559370,-0.546966,4.073161,-2.954216
3.684881,-2.048743,-1.964033,0.503847,-0.569149,4.000276,-2.874537
3.784473,-2.094294,-1.875476,0.445883,-0.595290,3.928059,-2.868485
3.884064,-2.134511,-1.784401,0.385396,-0.618439,3.854646,-2.863284
3.983655,-2.169051,-1.691008,0.322714,-0.640361,3.779944,-2.673320
4.083247,-2.197567,-1.595553,0.257164,-0.681899,3.708841,-2.200620
4.182838,-2.219519,-1.498428,0.186442,-0.739711,3.649270,-2.053884
4.282430,-2.234282,-1.399918,0.110534,-0.774400,3.592781,-2.047130
4.382021,-2.241405,-1.300639,0.032354,-0.796555,3.535580,-1.858146
4.481612,-2.240623,-1.201014,-0.048791,-0.839948,3.482846,-1.295501
4.581204,-2.231513,-1.101886,-0.135598,-0.905512,3.445602,-0.968067
4.680795,-2.213487,-1.003818,-0.228623,-0.948433,3.417506,-0.639756
4.780387,-2.186327,-0.908070,-0.324819,-0.987273,3.398812,-0.399637
4.879978,-2.149843,-0.815318,-0.425134,-1.015027,3.387081,-0.253919
4.979569,-2.104279,-0.726910,-0.526914,-1.032262,3.379607,-0.142138
5.079161,-2.049838,-0.643567,-0.630542,-1.044629,3.375416,-0.068652
5.178752,-1.987105,-0.566406,-0.734828,-1.052337,3.373390,-0.043958
5.278343,-1.916684,-0.496249,-0.839765,-1.055316,3.372092,-0.043958
5.377935,-1.839219,-0.433787,-0.944558,-1.048726,3.370793,0.040188
5.477526,-1.755882,-0.379861,-1.048259,-1.040397,3.371980,0.126474
5.577118,-1.667022,-0.334636,-1.151635,-1.032052,3.375714,0.195255
5.676709,-1.574173,-0.298774,-1.251450,-0.962180,3.381469,0.953904
5.776300,-1.478139,-0.271947,-1.344475,-0.909537,3.409448,1.382301
5.875892,-1.380112,-0.253925,-1.432355,-0.845631,3.449589,1.891266
5.975483,-1.281092,-0.244227,-1.512711,-0.768973,3.503766,2.512341
6.075075,-1.181558,-0.242132,-1.585558,-0.694972,3.574463,3.071090
6.174666,-1.082099,-0.246929,-1.651285,-0.625931,3.659030,3.567965
6.274257,-0.983101,-0.257919,-1.710292,-0.558332,3.754887,4.073468
6.373849,-0.884919,-0.274386,-1.762517,-0.490976,3.861417,4.621644
6.473440,-0.787633,-0.295636,-1.808068,-0.423568,3.978830,5.233249
6.573031,-0.691329,-0.320970,-1.846870,-0.355744,4.107732,5.932129
6.672623,-0.596018,-0.349691,-1.879006,-0.289970,4.249122,6.694773
6.772214,-0.501499,-0.381178,-1.904616,-0.224194,4.403240,6.755312
6.871806,-0.407826,-0.414725,-1.923725,-0.159993,4.553468,6.672354
6.971397,-0.314530,-0.449825,-1.936485,-0.096130,4.697136,6.592854
7.070988,-0.221795,-0.485735,-1.942979,-0.034669,4.834901,6.516471
7.170580,-0.128910,-0.522071,-1.943408,0.025866,4.967317,5.147520
7.270171,-0.036255,-0.558048,-1.937946,0.083778,5.069471,-8.729829
7.369763,0.057063,-0.593388,-1.926750,0.140346,4.894967,-7.725235
7.469354,0.150468,-0.627280,-1.910100,0.194517,4.735184,-6.875014
7.568945,0.244932,-0.659501,-1.888037,0.247303,4.588310,-6.165301
7.668537,0.339734,-0.689253,-1.860927,0.298182,4.452478,-5.556601
7.768128,0.435797,-0.716297,-1.828665,0.348105,4.326405,-5.035552
7.867719,0.532346,-0.739899,-1.791634,0.397009,4.208894,-4.573062
7.967311,0.630112,-0.759740,-1.749585,0.445843,4.099258,-4.154696
8.066902,0.728355,-0.775172,-1.702816,0.494923,3.997045,-3.755052
8.166494,0.827492,-0.785772,-1.650960,0.545284,3.902362,-3.363279
8.266085,0.926873,-0.790962,-1.594139,0.597108,3.815563,-2.942384
8.365676,1.026513,-0.790233,-1.531910,0.652114,3.737974,-2.510747
8.465268,1.125828,-0.783042,-1.464190,0.708216,3.670470,-1.991988
8.564859,1.224407,-0.768861,-1.390639,0.769263,3.616017,-1.536267
8.664451,1.321661,-0.747166,-1.311118,0.823292,3.573455,-0.957005
8.764042,1.416742,-0.717587,-1.226302,0.881760,3.546684,-0.699028
8.863633,1.508947,-0.679753,-1.136039,0.912324,3.527000,-0.696464
8.963225,1.597271,-0.633737,-1.044809,0.921625,3.507279,-0.658959
9.062816,1.681001,-0.579807,-0.952114,0.935770,3.488517,-0.636190
9.162408,1.759363,-0.518301,-0.858355,0.947466,3.470308,-0.575760
9.261999,1.831470,-0.449784,-0.763235,0.961604,3.453745,-0.548119
9.361590,1.896807,-0.374557,-0.666894,0.972789,3.437903,-0.485000
9.461182,1.954437,-0.293531,-0.569337,0.986159,3.423824,-0.459429
9.560773,2.003949,-0.207068,-0.470610,0.996086,3.410435,-0.403477
9.660364,2.044571,-0.116302,-0.370803,1.007833,3.398632,-0.370003
9.759956,2.075953,-0.021751,-0.269970,1.017197,3.387772,-0.297995
9.859547,2.097573,0.075345,-0.168011,1.028771,3.379000,-0.242248
9.959139,2.109166,0.174274,-0.065125,1.038024,3.371853,-0.135724
10.058730,2.110478,0.273752,0.038946,1.049881,3.367842,-0.043814
