s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,1.258179,-2.994633,-1.277617,0.250774,6.057808,2.655484
0.099632,1.353226,-2.964643,-1.252733,0.248585,6.101326,2.602228
0.199265,1.447433,-2.932332,-1.228080,0.246488,6.143672,2.550450
0.298897,1.540880,-2.897693,-1.203595,0.244876,6.184895,2.484911
0.398529,1.633398,-2.860808,-1.179282,0.243350,6.224796,2.420859
0.498162,1.725046,-2.821668,-1.155092,0.242130,6.263423,2.349460
0.597794,1.815676,-2.780350,-1.131031,0.241003,6.300685,2.279046
0.697426,1.905331,-2.736848,-1.107068,0.239926,6.336621,2.211089
0.797059,1.993882,-2.691234,-1.083219,0.238924,6.371292,2.144334
0.896691,2.081357,-2.643509,-1.059499,0.237138,6.404737,2.113865
0.996323,2.167650,-2.593747,-1.035962,0.235484,6.437536,2.080912
1.095956,2.252778,-2.541958,-1.012534,0.234744,6.469662,2.012621
1.195588,2.336648,-2.488206,-0.989183,0.234105,6.500582,1.943942
1.295220,2.419261,-2.432500,-0.965869,0.233855,6.530308,1.862415
1.394853,2.500538,-2.374895,-0.942581,0.233700,6.558661,1.780874
1.494485,2.580465,-2.315404,-0.919299,0.233644,6.585659,1.698982
1.594117,2.658974,-2.254077,-0.896020,0.233694,6.611312,1.616375
1.693750,2.736044,-2.190931,-0.872727,0.233881,6.635626,1.531647
1.793382,2.811614,-2.126013,-0.849413,0.234177,6.658584,1.116089
1.893014,2.885655,-2.059344,-0.826060,0.234600,6.675263,-1.716020
1.992647,2.958112,-1.990967,-0.802661,0.235139,6.649601,-1.771219
2.092279,3.028952,-1.920907,-0.779201,0.235805,6.623009,-1.823752
2.191911,3.098123,-1.849206,-0.755670,0.236591,6.595517,-1.873952
2.291544,3.165588,-1.775892,-0.732053,0.237503,6.567148,-1.921607
2.391176,3.231296,-1.701004,-0.708339,0.238542,6.537930,-1.966776
2.490808,3.295209,-1.624574,-0.684516,0.239709,6.507889,-2.009455
2.590441,3.357276,-1.546641,-0.660570,0.241003,6.477052,-2.049669
