# Updated waypoints saved on 2024-12-16 15:24:48
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,4.678056,-6.108995,-0.299611,0.500934,5.579353,0.738450
0.099770,4.773017,-6.135321,-0.250352,0.486732,5.570527,0.982993
0.199541,4.869272,-6.157022,-0.202456,0.473475,5.565787,1.187059
0.299311,4.966515,-6.174154,-0.155843,0.461198,5.564168,1.355002
0.399081,5.064528,-6.186798,-0.110390,0.450079,5.564830,1.486776
0.498851,5.163037,-6.195018,-0.065995,0.440049,5.566956,1.587369
0.598622,5.261848,-6.198888,-0.022556,0.430836,5.569876,1.665781
0.698392,5.360725,-6.198480,0.020008,0.422573,5.573140,1.720470
0.798162,5.459491,-6.193862,0.061792,0.415130,5.576313,1.756042
0.897933,5.557934,-6.185107,0.102867,0.408406,5.579083,1.775992
0.997703,5.655888,-6.172284,0.143309,0.402368,5.581258,1.781752
1.097473,5.753159,-6.155462,0.183176,0.396940,5.582703,1.775781
1.197244,5.849594,-6.134706,0.222537,0.392158,5.583374,1.757450
1.297014,5.945016,-6.110087,0.261445,0.387914,5.583251,1.729830
1.396784,6.039268,-6.081663,0.299962,0.384266,5.582392,1.691480
1.496554,6.132191,-6.049503,0.338137,0.381090,5.580865,1.645917
1.596325,6.223627,-6.013669,0.376024,0.378482,5.578830,1.590489
1.696095,6.313427,-5.974220,0.413676,0.376371,5.576416,1.527289
1.795865,6.401432,-5.931217,0.451143,0.374745,5.573798,1.456668
1.895636,6.487495,-5.884720,0.488463,0.373459,5.571180,1.382802
1.995406,6.571458,-5.834784,0.525682,0.372669,5.568839,1.301149
2.095176,6.653177,-5.781472,0.562836,0.372202,5.566966,1.216768
2.194946,6.732495,-5.724843,0.599969,0.372263,5.565840,1.123718
2.294717,6.809265,-5.664956,0.637132,0.372785,5.565608,1.024159
2.394487,6.883332,-5.601870,0.674369,0.373781,5.566445,0.917969
2.494257,6.954545,-5.535640,0.711740,0.375461,5.568483,-0.910389
2.594028,7.022744,-5.466338,0.749308,0.377688,5.540329,-1.029105
2.693798,7.087777,-5.394019,0.787107,0.380101,5.513522,-1.025530
2.793568,7.149493,-5.318744,0.825166,0.383126,5.490424,-0.968337
2.893338,7.207733,-5.240587,0.863610,0.387665,5.472109,-0.898774
2.993109,7.262328,-5.159618,0.902539,0.392510,5.458834,-0.850480
3.092879,7.313122,-5.075910,0.941898,0.396534,5.450176,-0.751387
3.192649,7.359968,-4.989541,0.981687,0.402127,5.446998,-0.534628
3.292420,7.402702,-4.900608,1.022257,0.411340,5.451375,-0.310046
3.392190,7.441149,-4.809185,1.063772,0.420237,5.463261,-0.118354
3.491960,7.475128,-4.715389,1.106051,0.427421,5.481786,-0.108361
3.591731,7.504499,-4.619320,1.148924,0.428105,5.503205,-0.108361
3.691501,7.529178,-4.521156,1.191188,0.419364,5.526964,0.145794
3.791271,7.549196,-4.421062,1.232564,0.407926,5.557435,0.454174
3.891041,7.564600,-4.319292,1.272465,0.392150,5.595247,0.860616
3.990812,7.575527,-4.216016,1.310856,0.377592,5.641666,1.204599
4.090582,7.582103,-4.111465,1.347836,0.363830,5.694960,1.505701
4.190352,7.584482,-4.005791,1.383477,0.350775,5.753797,1.771755
4.290123,7.582815,-3.899188,1.417855,0.338502,5.816881,2.004678
4.389893,7.577274,-3.791798,1.451041,0.326702,5.883015,2.216936
4.489663,7.568028,-3.683798,1.483057,0.315188,5.951257,2.416559
4.589433,7.555268,-3.575314,1.513949,0.304093,6.020850,2.601310
4.689204,7.539190,-3.466508,1.543747,0.293307,6.091032,2.776256
4.788974,7.519997,-3.357491,1.572487,0.282809,6.161186,2.943270
4.888744,7.497903,-3.248414,1.600186,0.272501,6.230725,3.106618
4.988515,7.473125,-3.139381,1.626872,0.262428,6.299335,3.265679
5.088285,7.445889,-3.030524,1.652557,0.252499,6.366692,3.424283
5.188055,7.416422,-2.921941,1.677263,0.242756,6.432625,3.581705
5.287825,7.384959,-2.813751,1.701000,0.233115,6.497012,3.741418
5.387596,7.351729,-2.706044,1.723785,0.223613,6.559886,3.902724
5.487366,7.316968,-2.598924,1.745623,0.214191,6.621340,4.068299
5.587136,7.280902,-2.492469,1.766531,0.204939,6.681582,4.235327
5.686907,7.243762,-2.386772,1.786522,0.195829,6.740866,4.405347
5.786677,7.205766,-2.281899,1.805611,0.186847,6.799526,4.579291
5.886447,7.167129,-2.177928,1.823809,0.177968,6.857988,4.758614
5.986218,7.128053,-2.074914,1.841126,0.169158,6.916750,4.945168
6.085988,7.088736,-1.972915,1.857565,0.160389,6.976387,5.140652
6.185758,7.049357,-1.871974,1.873132,0.151693,7.037547,5.344236
6.285528,7.010090,-1.772134,1.887835,0.143051,7.100881,5.512253
6.385299,6.971089,-1.673421,1.901679,0.134457,7.166415,5.465281
6.485069,6.932500,-1.575857,1.914666,0.125899,7.231571,5.419223
6.584839,6.894448,-1.479457,1.926802,0.117376,7.297052,5.374040
6.684610,6.857045,-1.384222,1.938089,0.108879,7.363553,5.329695
6.784380,6.820388,-1.290150,1.948528,0.100408,7.431727,5.286155
6.884150,6.784554,-1.197225,1.958125,0.091957,7.502198,5.243390
6.983920,6.749609,-1.105428,1.966878,0.083521,7.575524,5.201369
7.083691,6.715601,-1.014724,1.974791,0.075094,7.652209,5.160065
7.183461,6.682567,-0.925081,1.981863,0.066669,7.732688,5.119452
7.283231,6.650523,-0.836446,1.988094,0.058243,7.817310,5.079506
7.383002,6.619480,-0.748774,1.993485,0.049826,7.906343,5.040204
7.482772,6.589429,-0.661994,1.998037,0.041427,7.999962,5.001524
7.582542,6.560358,-0.576053,2.001749,0.032895,8.098255,4.963446
7.682312,6.532243,-0.490866,2.004591,0.024088,8.201205,4.925950
7.782083,6.505056,-0.406371,2.006565,0.015896,8.308712,4.889019
7.881853,6.478755,-0.322474,2.007808,0.009030,8.420565,4.852634
7.981623,6.453283,-0.239109,2.008409,0.004871,8.536462,4.816779
8.081394,6.428552,-0.156200,2.008983,0.006631,8.656024,4.781439
8.181164,6.404425,-0.073705,2.009743,0.009075,8.778769,4.746598
8.280934,6.380756,0.008417,2.010846,0.013048,8.904154,4.712242
8.380705,6.357387,0.090209,2.012346,0.017030,9.031563,4.678358
8.480475,6.334164,0.171698,2.014245,0.021037,9.160317,4.644933
8.580245,6.310931,0.252930,2.016544,0.025054,9.289693,4.611954
8.680015,6.287543,0.333931,2.019245,0.029096,9.418931,4.579410
8.779786,6.263855,0.414740,2.022350,0.033141,9.547239,4.547289
8.879556,6.239732,0.495381,2.025859,0.037193,9.673816,4.515580
8.979326,6.215045,0.575888,2.029772,0.041246,9.797860,4.484273
9.079097,6.189673,0.656278,2.034089,0.045301,9.918574,4.453358
9.178867,6.163502,0.736578,2.038811,0.049356,10.035189,4.422825
9.278637,6.136429,0.816800,2.043938,0.053410,10.146973,4.392666
9.378407,6.108357,0.896963,2.049469,0.057462,10.253227,0.023646
9.478178,6.079200,0.977070,2.055403,0.061502,10.303219,-7.515016
9.577948,6.048877,1.057132,2.061740,0.065525,10.259362,-7.321399
9.677718,6.017321,1.137144,2.068476,0.069505,10.210268,-7.130857
9.777489,5.984470,1.217108,2.075611,0.073570,10.155499,-6.932932
9.877259,5.950270,1.297014,2.083165,0.077869,10.094841,-6.733413
9.977029,5.914671,1.376849,2.091151,0.082323,10.028099,-6.513741
10.076799,5.877633,1.456596,2.099608,0.087209,9.955402,-6.303371
10.176570,5.839113,1.536231,2.108553,0.092090,9.876610,-6.102673
10.276340,5.799080,1.615724,2.117983,0.096954,9.791679,-5.910435
10.376110,5.757505,1.695048,2.127899,0.101812,9.700664,-5.727711
10.475881,5.714366,1.774164,2.138298,0.106640,9.603696,-5.550636
10.575651,5.669645,1.853035,2.149179,0.111495,9.501080,-5.376936
10.675421,5.623330,1.931621,2.160548,0.116409,9.393145,-5.209981
10.775192,5.575409,2.009873,2.172407,0.121321,9.280300,-5.051971
10.874962,5.525877,2.087746,2.184754,0.126187,9.162983,-4.904305
10.974732,5.474730,2.165190,2.197587,0.130977,9.041675,-4.780101
11.074502,5.421966,2.242151,2.210877,0.135450,8.916739,-4.663239
11.174273,5.367591,2.318577,2.224615,0.139886,8.788778,-4.562407
11.274043,5.311611,2.394417,2.238783,0.144123,8.658316,-4.462906
11.373813,5.254035,2.469610,2.253375,0.148427,8.526097,-4.360813
11.473584,5.194869,2.544102,2.268405,0.152872,8.392935,-4.262524
11.573354,5.134134,2.617834,2.283880,0.157336,8.259571,-4.171507
11.673124,5.071827,2.690748,2.299798,0.161747,8.126677,-4.082136
11.772894,5.007973,2.762773,2.316158,0.166217,7.995005,-3.993616
11.872665,4.942573,2.833860,2.332968,0.170759,7.865290,-3.908805
11.972435,4.875652,2.903931,2.350233,0.175314,7.738188,-3.834895
12.072205,4.807207,2.972933,2.367945,0.179732,7.614224,-3.763446
12.171976,4.737272,3.040787,2.386099,0.184188,7.493982,-3.699735
