s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,4.698549,-5.957875,-1.892159,0.565692,4.493077,0.501911
0.099809,4.794057,-5.986735,-1.836617,0.547670,4.504213,0.810487
0.199618,4.891043,-6.010343,-1.782800,0.530680,4.522137,1.068682
0.299427,4.989104,-6.028776,-1.730703,0.513748,4.545663,1.304526
0.399236,5.088021,-6.042164,-1.680181,0.498767,4.574216,1.483186
0.499045,5.187452,-6.050608,-1.631094,0.485111,4.606466,1.624133
0.598853,5.287195,-6.054231,-1.583309,0.472541,4.641523,1.736408
0.698662,5.386982,-6.053145,-1.536720,0.461275,4.678712,1.817894
0.798471,5.486629,-6.047467,-1.491190,0.451176,4.717333,1.873842
0.898280,5.585908,-6.037309,-1.446628,0.441925,4.756815,1.912954
0.998089,5.684650,-6.022781,-1.402944,0.433552,4.796785,1.935395
1.097898,5.782665,-6.003996,-1.360058,0.425953,4.836888,1.944174
1.197707,5.879799,-5.981060,-1.317887,0.419163,4.876841,1.938859
1.297516,5.975886,-5.954082,-1.276365,0.413001,4.916361,1.924068
1.397325,6.070779,-5.923166,-1.235419,0.407590,4.955269,1.896835
1.497134,6.164337,-5.888416,-1.194984,0.402747,4.993328,1.861780
1.596942,6.256421,-5.849934,-1.155002,0.398535,5.030405,1.817254
1.696751,6.346904,-5.807820,-1.115410,0.394908,5.066333,1.764378
1.796560,6.435656,-5.762173,-1.076151,0.391803,5.100973,1.704713
1.896369,6.522557,-5.713089,-1.037188,0.389034,5.134221,1.643069
1.996178,6.607484,-5.660671,-0.998472,0.386864,5.166063,1.572133
2.095987,6.690325,-5.605011,-0.959947,0.385182,5.196348,1.494907
2.195796,6.770963,-5.546211,-0.921565,0.384060,5.224983,1.409453
2.295605,6.849290,-5.484362,-0.883267,0.383455,5.251837,1.316998
2.395414,6.925193,-5.419560,-0.845005,0.383406,5.276807,1.216525
2.495223,6.998561,-5.351902,-0.806707,0.384113,5.299767,1.102642
2.595031,7.069276,-5.281486,-0.768306,0.385624,5.320492,0.974461
2.694840,7.137231,-5.208400,-0.729725,0.387520,5.338741,0.844668
2.794649,7.202314,-5.132735,-0.690946,0.389743,5.354509,0.714922
2.894458,7.264405,-5.054594,-0.651881,0.393211,5.367819,0.558824
2.994267,7.323365,-4.974100,-0.612451,0.396667,5.378200,0.414570
3.094076,7.379103,-4.891325,-0.572768,0.398388,5.385888,0.331504
3.193885,7.431502,-4.806409,-0.532978,0.399043,5.392028,0.285839
3.293694,7.480496,-4.719441,-0.493068,0.400837,5.397316,0.210606
