# Updated waypoints saved on 2024-12-18 14:22:36
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,4.499906,-6.170842,-1.871207,0.475995,5.334668,1.011306
0.099765,4.601840,-6.197922,-1.824341,0.463835,5.359851,1.195395
0.199531,4.705015,-6.220489,-1.778629,0.452554,5.389397,1.347141
0.299296,4.809108,-6.238592,-1.734015,0.442132,5.422604,1.470494
0.399062,4.913950,-6.252316,-1.690377,0.432724,5.458857,1.564525
0.498827,5.019255,-6.261722,-1.647638,0.424300,5.497534,1.632215
0.598592,5.124871,-6.266888,-1.605691,0.416637,5.538080,1.680827
0.698358,5.230544,-6.267882,-1.564477,0.409792,5.580093,1.710075
0.798123,5.336138,-6.264773,-1.523900,0.403701,5.623170,1.722510
0.897889,5.441428,-6.257633,-1.483904,0.398272,5.666968,1.721198
0.997654,5.546285,-6.246529,-1.444410,0.393497,5.711203,1.706793
1.097420,5.650509,-6.231531,-1.405371,0.389277,5.755598,1.682205
1.197185,5.753975,-6.212701,-1.366716,0.385681,5.799940,1.645836
1.296950,5.856506,-6.190112,-1.328400,0.382586,5.843975,1.601182
1.396716,5.957980,-6.163824,-1.290358,0.380073,5.887512,1.546152
1.496481,6.058238,-6.133906,-1.252549,0.378008,5.930315,1.484554
1.596247,6.157156,-6.100416,-1.214914,0.376515,5.972211,1.413007
1.696012,6.254591,-6.063424,-1.177407,0.375484,6.012955,1.334756
1.795777,6.350420,-6.022987,-1.139975,0.374970,6.052354,1.248298
1.895543,6.444509,-5.979171,-1.102578,0.374819,6.090177,1.158260
1.995308,6.536732,-5.932038,-1.065168,0.375182,6.126267,1.060275
2.095074,6.626967,-5.881651,-1.027710,0.375815,6.160378,0.961667
2.194839,6.715082,-5.828079,-0.990162,0.377012,6.192383,-0.833714
2.294604,6.800962,-5.771382,-0.952469,0.378683,6.190871,-1.092001
2.394370,6.884472,-5.711634,-0.914586,0.380864,6.184013,-1.111828
2.494135,6.965500,-5.648895,-0.876454,0.383631,6.176041,-1.103520
2.593901,7.043902,-5.583245,-0.838018,0.387029,6.167309,-1.077627
2.693666,7.119564,-5.514743,-0.799217,0.390865,6.157975,-1.036239
2.793431,7.192344,-5.443475,-0.760013,0.395199,6.148158,-0.962597
2.893197,7.262119,-5.369508,-0.720324,0.400547,6.138298,-0.862012
2.992962,7.328732,-5.292938,-0.680062,0.406651,6.128739,-0.756863
3.092728,7.392052,-5.213836,-0.639193,0.412687,6.119404,-0.621287
3.192493,7.451929,-5.132305,-0.597706,0.419490,6.110713,-0.400070
3.292259,7.508220,-5.048433,-0.555399,0.428809,6.104146,-0.188579
3.392024,7.560747,-4.962332,-0.512135,0.437154,6.099369,-0.105301
3.491789,7.609362,-4.874114,-0.468358,0.440546,6.093788,-0.105301
3.591555,7.653937,-4.783947,-0.424279,0.440263,6.085662,-0.088267
3.691320,7.694414,-4.691996,-0.380915,0.429189,6.075185,0.220765
3.791086,7.730829,-4.598446,-0.338666,0.416748,6.067826,0.540639
3.890851,7.763227,-4.503548,-0.297850,0.401780,6.063673,0.904685
3.990616,7.791714,-4.407457,-0.258459,0.387663,6.063446,1.220141
4.090382,7.816375,-4.310418,-0.220507,0.373307,6.066093,1.523562
4.190147,7.837328,-4.212559,-0.183952,0.359660,6.071268,1.792111
4.289913,7.854681,-4.114069,-0.148719,0.346802,6.078209,2.027780
4.389678,7.868550,-4.015058,-0.114741,0.334315,6.086222,2.246045
4.489443,7.879042,-3.915691,-0.082005,0.322053,6.094949,2.453667
4.589209,7.886276,-3.816049,-0.050466,0.310253,6.104212,2.645494
4.688974,7.890367,-3.716274,-0.020087,0.298846,6.113829,2.825397
4.788740,7.891429,-3.616428,0.009175,0.287728,6.123831,2.997982
4.888505,7.889577,-3.516629,0.037329,0.276763,6.134548,3.168638
4.988271,7.884925,-3.416921,0.064407,0.266063,6.146727,3.334680
5.088036,7.877588,-3.317400,0.090423,0.255555,6.161506,3.499417
5.187801,7.867676,-3.218099,0.115405,0.245233,6.180617,3.663724
5.287567,7.855305,-3.119091,0.139358,0.235008,6.206379,3.831267
5.387332,7.840582,-3.020399,0.162303,0.224947,6.241653,4.000409
5.487098,7.823620,-2.922078,0.184246,0.214985,6.289433,4.173998
5.586863,7.804525,-2.824139,0.205204,0.205172,6.352385,4.350827
5.686628,7.783406,-2.726623,0.225188,0.195475,6.432053,4.532600
5.786394,7.760363,-2.629529,0.244212,0.185919,6.528137,4.718937
5.886159,7.735506,-2.532887,0.262289,0.176499,6.637912,4.910521
5.985925,7.708929,-2.436689,0.279432,0.167163,6.756149,5.109897
6.085690,7.680736,-2.340950,0.295646,0.157887,6.875730,5.318677
6.185455,7.651019,-2.245654,0.310938,0.148687,6.988872,5.536797
6.285221,7.619879,-2.150809,0.325315,0.139551,7.088743,5.528641
6.384986,7.587405,-2.056393,0.338785,0.130472,7.167555,5.481348
6.484752,7.553693,-1.962401,0.351351,0.121443,7.224031,5.434982
6.584517,7.518829,-1.868807,0.363018,0.112455,7.261128,5.389504
6.684282,7.482908,-1.775599,0.373790,0.103503,7.284408,5.344876
6.784048,7.446012,-1.682747,0.383671,0.094580,7.300270,5.301065
6.883813,7.408230,-1.590229,0.392663,0.085681,7.313979,5.258038
6.983579,7.369645,-1.498015,0.400768,0.076807,7.328197,5.215766
7.083344,7.330343,-1.406075,0.407989,0.067966,7.342449,5.174220
7.183110,7.290406,-1.314377,0.414329,0.059122,7.353713,5.133374
7.282875,7.249916,-1.222884,0.419786,0.050262,7.357838,5.093203
7.382640,7.208955,-1.131564,0.424358,0.041413,7.351312,5.053683
7.482406,7.167599,-1.040372,0.428049,0.032584,7.332691,5.014793
7.582171,7.125934,-0.949280,0.430859,0.023706,7.303302,4.976511
7.681937,7.084034,-0.858238,0.432776,0.014716,7.266966,4.938819
7.781702,7.041986,-0.767215,0.433800,0.006024,7.228957,4.901697
7.881467,6.999860,-0.676159,0.434003,-0.001952,7.194532,4.865127
7.981233,6.957732,-0.585044,0.433453,-0.006976,7.167531,4.829093
8.080998,6.915636,-0.493836,0.432861,-0.004890,7.149439,4.793578
8.180764,6.873560,-0.402540,0.432487,-0.002132,7.139130,4.758569
8.280529,6.831476,-0.311163,0.432494,0.002264,7.133243,4.724049
8.380294,6.789341,-0.219715,0.432938,0.006615,7.127099,4.690005
8.480060,6.747119,-0.128213,0.433810,0.010854,7.115801,4.656425
8.579825,6.704764,-0.036664,0.435104,0.015105,7.095344,4.623295
8.679591,6.662241,0.054916,0.436825,0.019390,7.063451,4.590603
8.779356,6.619506,0.146518,0.438973,0.023677,7.020100,4.558338
8.879122,6.576521,0.238125,0.441550,0.027973,6.967602,4.526490
8.978887,6.533241,0.329732,0.444555,0.032270,6.910359,4.495047
9.078652,6.489631,0.421316,0.447989,0.036574,6.854251,4.463999
9.178418,6.445646,0.512873,0.451852,0.040872,6.805795,4.433337
9.278183,6.401252,0.604381,0.456144,0.045159,6.771180,4.403051
9.377949,6.356404,0.695833,0.460863,0.049447,6.755319,4.373133
9.477714,6.311065,0.787207,0.466010,0.053744,6.761087,-2.070361
9.577479,6.265195,0.878492,0.471586,0.058016,6.714941,-7.749367
9.677245,6.218759,0.969665,0.477583,0.062219,6.622738,-7.534898
9.777010,6.171715,1.060717,0.484001,0.066455,6.546820,-7.323388
9.876776,6.124032,1.151617,0.490847,0.070790,6.478597,-7.111471
9.976541,6.075667,1.242355,0.498128,0.075273,6.406610,-6.878317
10.076306,6.026587,1.332900,0.505883,0.080209,6.319234,-6.652659
10.176072,5.976746,1.423232,0.514132,0.085182,6.210155,-6.429027
10.275837,5.926111,1.513314,0.522884,0.090268,6.086170,-6.215308
10.375603,5.874635,1.603122,0.532143,0.095342,5.968379,-6.013442
10.475368,5.822285,1.692615,0.541906,0.100365,5.881882,-5.818941
10.575133,5.769018,1.781765,0.552170,0.105400,5.839118,-5.630255
10.674899,5.714801,1.870528,0.562937,0.110467,5.831279,-5.448250
10.774664,5.659598,1.958868,0.574212,0.115545,5.836054,-5.272509
10.874430,5.603376,2.046737,0.585993,0.120634,5.833730,-5.106332
10.974195,5.546101,2.134094,0.598282,0.125673,5.817104,-4.960697
11.073961,5.487745,2.220888,0.611058,0.130460,5.789908,-4.824181
11.173726,5.428278,2.307071,0.624313,0.135189,5.760020,-4.709703
11.273491,5.367679,2.392589,0.638021,0.139618,5.733663,-4.598198
11.373257,5.305924,2.477391,0.652172,0.144090,5.714229,-4.487513
11.473022,5.242998,2.561421,0.666774,0.148643,5.702715,-4.380482
11.572788,5.178881,2.644620,0.681833,0.153221,5.698712,-4.280199
11.672553,5.113555,2.726927,0.697345,0.157764,5.701087,-4.182151
11.772318,5.047012,2.808276,0.713313,0.162355,5.708461,-4.085833
11.872084,4.979233,2.888605,0.729742,0.167004,5.719346,-3.992001
11.971849,4.910217,2.967836,0.746637,0.171693,5.732257,-3.904954
12.071615,4.839944,3.045910,0.763998,0.176334,5.745777,-3.820680
12.171380,4.768421,3.122737,0.781824,0.181007,5.758740,-3.746412
12.271145,4.695630,3.198260,0.800109,0.185556,5.770131,-3.672316
12.370911,4.621589,3.272380,0.818851,0.190193,5.779339,-3.597547
12.470676,4.546276,3.345040,0.838063,0.194935,5.786034,-3.522621
12.570442,4.469722,3.416135,0.857750,0.199770,5.790116,-3.448621
12.670207,4.391902,3.485606,0.877926,0.204673,5.791652,-3.373430
12.769973,4.312856,3.553338,0.898592,0.209692,5.790890,-3.293904
12.869738,4.232559,3.619276,0.919773,0.214898,5.788213,-3.213028
12.969503,4.151060,3.683297,0.941475,0.220221,5.784009,-3.132609
13.069269,4.068331,3.745342,0.963716,0.225614,5.778643,-3.048576
13.169034,3.984435,3.805285,0.986496,0.231173,5.772532,-2.953640
13.268800,3.899341,3.863066,1.009856,0.237074,5.766167,-2.855749
13.368565,3.813123,3.918554,1.033805,0.243112,5.759878,-2.756010
13.468330,3.725749,3.971684,1.058368,0.249252,5.753930,-2.654510
13.568096,3.637304,4.022326,1.083544,0.255484,5.748537,-2.568709
13.667861,3.547758,4.070413,1.109328,0.261347,5.743593,-2.488466
13.767627,3.457216,4.115818,1.135697,0.267106,5.739120,-2.486340
13.867392,3.365651,4.158484,1.162534,0.270830,5.733896,-2.463146
13.967157,3.273187,4.198304,1.189743,0.275224,5.728314,-2.318999
14.066923,3.179809,4.235229,1.217591,0.283000,5.724457,-2.120149
14.166688,3.085620,4.269137,1.246225,0.292251,5.723325,-1.630066
14.266454,2.990614,4.299919,1.276240,0.309457,5.729971,-1.188205
14.366219,2.894892,4.327373,1.307969,0.324720,5.743696,-1.177006
14.465985,2.798446,4.351365,1.340498,0.327307,5.757164,-1.171508
14.565750,2.701433,4.371814,1.373279,0.329748,5.770276,-1.169180
14.665515,2.603888,4.388697,1.406241,0.331037,5.782983,-1.203088
14.765281,2.505966,4.401977,1.439341,0.332604,5.794652,-1.229806
14.865046,2.407734,4.411642,1.472594,0.334028,5.805399,-1.263208
14.964812,2.309318,4.417673,1.505988,0.335129,5.815097,-1.307283
15.064577,2.210814,4.420066,1.539399,0.334745,5.823544,-1.406349
15.164342,2.112328,4.418834,1.572792,0.334725,5.829751,-1.500210
15.264108,2.013977,4.413994,1.606199,0.335071,5.833773,-1.588716
15.363873,1.915855,4.405560,1.639661,0.335770,5.835671,-1.672322
15.463639,1.818083,4.393556,1.673207,0.336818,5.835494,-1.751102
15.563404,1.720753,4.377999,1.706878,0.338204,5.833283,-1.825583
15.663169,1.623989,4.358911,1.740701,0.339942,5.829073,-1.895287
15.762935,1.527886,4.336317,1.774719,0.341962,5.822898,-1.962054
15.862700,1.432569,4.310243,1.808933,0.344024,5.814765,-2.034189
