# Updated waypoints saved on 2024-12-18 14:27:07
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,4.499906,-6.170842,-1.871207,0.475995,5.534668,1.011306
0.099765,4.601840,-6.197922,-1.824341,0.463835,5.559851,1.195395
0.199531,4.705015,-6.220489,-1.778629,0.452554,5.589397,1.347141
0.299296,4.809108,-6.238592,-1.734015,0.442132,5.622604,1.470494
0.399062,4.913950,-6.252316,-1.690377,0.432724,5.658857,1.564525
0.498827,5.019255,-6.261722,-1.647638,0.424300,5.697534,1.632215
0.598592,5.124871,-6.266888,-1.605691,0.416637,5.738080,1.680827
0.698358,5.230544,-6.267882,-1.564477,0.409792,5.780093,1.710075
0.798123,5.336138,-6.264773,-1.523900,0.403701,5.823170,1.722510
0.897889,5.441428,-6.257633,-1.483904,0.398272,5.866968,1.721198
0.997654,5.546285,-6.246528,-1.444410,0.393497,5.911203,1.706793
1.097420,5.650509,-6.231530,-1.405371,0.389277,5.955598,1.682205
1.197185,5.753975,-6.212700,-1.366716,0.385681,5.999940,1.645836
1.296950,5.856506,-6.190111,-1.328400,0.382586,6.043975,1.601182
1.396716,5.957980,-6.163823,-1.290358,0.380073,6.087512,1.546152
1.496481,6.058238,-6.133905,-1.252549,0.378008,6.130315,1.484554
1.596247,6.157156,-6.100414,-1.214914,0.376515,6.172211,1.413007
1.696012,6.254591,-6.063422,-1.177407,0.375484,6.212955,1.334756
1.795777,6.350420,-6.022984,-1.139975,0.374970,6.252354,1.248298
1.895543,6.444510,-5.979168,-1.102578,0.374819,6.290177,1.158260
1.995308,6.536733,-5.932034,-1.065168,0.375182,6.326267,1.060275
2.095074,6.626968,-5.881647,-1.027710,0.375815,6.360378,0.961667
2.194839,6.715083,-5.828074,-0.990162,0.377012,6.392383,-0.833714
2.294604,6.800963,-5.771376,-0.952469,0.378683,6.390871,-1.092001
2.394370,6.884473,-5.711626,-0.914586,0.380864,6.384013,-1.111828
2.494135,6.965502,-5.648886,-0.876454,0.383631,6.376041,-1.103520
2.593901,7.043904,-5.583234,-0.838018,0.387029,6.367309,-1.077627
2.693666,7.119566,-5.514730,-0.799217,0.390865,6.357975,-1.036239
2.793431,7.192347,-5.443460,-0.760013,0.395199,6.348158,-0.962597
2.893197,7.262122,-5.369490,-0.720324,0.400547,6.338298,-0.862012
2.992962,7.328736,-5.292917,-0.680062,0.406651,6.328739,-0.756863
3.092728,7.392057,-5.213811,-0.639193,0.412687,6.319404,-0.621287
3.192493,7.451934,-5.132275,-0.597706,0.419490,6.310713,-0.400070
3.292259,7.508226,-5.048398,-0.555399,0.428809,6.304146,-0.188579
3.392024,7.560755,-4.962290,-0.512135,0.437154,6.299369,-0.105301
3.491789,7.609371,-4.874065,-0.468358,0.440546,6.293788,-0.105301
3.591555,7.653947,-4.783890,-0.424279,0.440263,6.285662,-0.088267
3.691320,7.694426,-4.691929,-0.380915,0.429189,6.275185,0.220765
3.791086,7.730843,-4.598367,-0.338666,0.416748,6.267826,0.540639
3.890851,7.763244,-4.503456,-0.297850,0.401780,6.263673,0.904685
3.990616,7.791734,-4.407350,-0.258459,0.387663,6.263446,1.220141
4.090382,7.816398,-4.310293,-0.220507,0.373307,6.266093,1.523562
4.190147,7.837354,-4.212414,-0.183952,0.359660,6.271268,1.792111
4.289913,7.854712,-4.113900,-0.148719,0.346802,6.278209,2.027780
4.389678,7.868586,-4.014862,-0.114741,0.334315,6.286222,2.246045
4.489443,7.879083,-3.915464,-0.082005,0.322053,6.294949,2.453667
4.589209,7.886324,-3.815787,-0.050466,0.310253,6.304212,2.645494
4.688974,7.890422,-3.715971,-0.020087,0.298846,6.313829,2.825397
4.788740,7.891493,-3.616079,0.009175,0.287728,6.323831,2.997982
4.888505,7.889650,-3.516227,0.037329,0.276763,6.334548,3.168638
4.988271,7.885009,-3.416459,0.064407,0.266063,6.346727,3.334680
5.088036,7.877685,-3.316870,0.090423,0.255555,6.361506,3.499417
5.187801,7.867787,-3.217491,0.115405,0.245233,6.380617,3.663724
5.287567,7.855432,-3.118396,0.139358,0.235008,6.406379,3.831267
5.387332,7.840727,-3.019605,0.162303,0.224947,6.441653,4.000409
5.487098,7.823786,-2.921171,0.184246,0.214985,6.489433,4.173998
5.586863,7.804713,-2.823105,0.205204,0.205172,6.552385,4.350827
5.686628,7.783620,-2.725447,0.225188,0.195475,6.632053,4.532600
5.786394,7.760607,-2.628194,0.244212,0.185919,6.728137,4.718937
5.886159,7.735783,-2.531373,0.262289,0.176499,6.837912,4.910521
5.985925,7.709242,-2.434973,0.279432,0.167163,6.956149,5.109897
6.085690,7.681091,-2.339010,0.295646,0.157887,7.075730,5.318677
6.185455,7.651420,-2.243464,0.310938,0.148687,7.188872,5.536797
6.285221,7.620332,-2.148339,0.325315,0.139551,7.288743,5.528641
6.384986,7.587915,-2.053612,0.338785,0.130472,7.367555,5.481348
6.484752,7.554267,-1.959274,0.351351,0.121443,7.424031,5.434982
6.584517,7.519475,-1.865297,0.363018,0.112455,7.461128,5.389504
6.684282,7.483632,-1.771665,0.373790,0.103503,7.484408,5.344876
6.784048,7.446825,-1.678343,0.383671,0.094580,7.500270,5.301065
6.883813,7.409140,-1.585307,0.392663,0.085681,7.513979,5.258038
6.983579,7.370664,-1.492522,0.400768,0.076807,7.528197,5.215766
7.083344,7.331481,-1.399953,0.407989,0.067966,7.542449,5.174220
7.183110,7.291676,-1.307564,0.414329,0.059122,7.553713,5.133374
7.282875,7.251331,-1.215314,0.419786,0.050262,7.557838,5.093203
7.382640,7.210530,-1.123165,0.424358,0.041413,7.551312,5.053683
7.482406,7.169353,-1.031066,0.428049,0.032584,7.532691,5.014793
7.582171,7.127882,-0.938984,0.430859,0.023706,7.503302,4.976511
7.681937,7.086198,-0.846862,0.432776,0.014716,7.466966,4.938819
7.781702,7.044386,-0.754665,0.433800,0.006024,7.428957,4.901697
7.881467,7.002521,-0.662334,0.434003,-0.001952,7.394532,4.865127
7.981233,6.960681,-0.569834,0.433453,-0.006976,7.367531,4.829093
8.080998,6.918900,-0.477128,0.432861,-0.004890,7.349439,4.793578
8.180764,6.877172,-0.384210,0.432487,-0.002132,7.339130,4.758569
8.280529,6.835471,-0.291083,0.432494,0.002264,7.333243,4.724049
8.380294,6.793756,-0.197748,0.432938,0.006615,7.327099,4.690005
8.480060,6.751995,-0.104216,0.433810,0.010854,7.315801,4.656425
8.579825,6.710149,-0.010484,0.435104,0.015105,7.295344,4.623295
8.679591,6.668186,0.083440,0.436825,0.019390,7.263451,4.590603
8.779356,6.626066,0.177553,0.438973,0.023677,7.220100,4.558338
8.879122,6.583759,0.271847,0.441550,0.027973,7.167602,4.526490
8.978887,6.541225,0.366323,0.444555,0.032270,7.110359,4.495047
9.078652,6.498434,0.460971,0.447989,0.036574,7.054251,4.463999
9.178418,6.455352,0.555790,0.451852,0.040872,7.005795,4.433337
9.278183,6.411949,0.650768,0.456144,0.045159,6.971180,4.403051
9.377949,6.368193,0.745907,0.460863,0.049447,6.955319,4.373133
9.477714,6.324052,0.841189,0.466010,0.053744,6.961087,-2.070361
9.577479,6.279501,0.936615,0.471586,0.058016,6.914941,-7.749367
9.677245,6.234511,1.032166,0.477583,0.062219,6.822738,-7.534898
9.777010,6.189052,1.127839,0.484001,0.066455,6.746820,-7.323388
9.876776,6.143107,1.223614,0.490847,0.070790,6.678597,-7.111471
9.976541,6.096643,1.319482,0.498128,0.075273,6.606610,-6.878317
10.076306,6.049642,1.415418,0.505883,0.080209,6.519234,-6.652659
10.176072,6.002071,1.511408,0.514132,0.085182,6.410155,-6.429027
10.275837,5.953908,1.607419,0.522884,0.090268,6.286170,-6.215308
10.375603,5.905122,1.703427,0.532143,0.095342,6.168379,-6.013442
10.475368,5.855691,1.799395,0.541906,0.100365,6.081882,-5.818941
10.575133,5.805586,1.895295,0.552170,0.105400,6.039118,-5.630255
10.674899,5.754788,1.991081,0.562937,0.110467,6.031279,-5.448250
10.774664,5.703267,2.086715,0.574212,0.115545,6.036054,-5.272509
10.874430,5.651006,2.182145,0.585993,0.120634,6.033730,-5.106332
10.974195,5.597978,2.277325,0.598282,0.125673,6.017104,-4.960697
