s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,4.673373,-6.104987,-0.299611,0.500934,4.723236,0.738450
0.099770,4.769380,-6.132061,-0.250352,0.486732,4.738809,0.982993
0.199541,4.866606,-6.154446,-0.202456,0.473475,4.759460,1.187059
0.299311,4.964763,-6.172211,-0.155843,0.461198,4.784279,1.355002
0.399081,5.063653,-6.185444,-0.110390,0.450079,4.812453,1.486776
0.498851,5.163022,-6.194222,-0.065995,0.440049,4.843178,1.587369
0.598622,5.262693,-6.198630,-0.022556,0.430836,4.875768,1.665781
0.698392,5.362450,-6.198750,0.020008,0.422573,4.909736,1.720470
0.798162,5.462136,-6.194665,0.061792,0.415130,4.944574,1.756042
0.897933,5.561557,-6.186455,0.102867,0.408406,4.979881,1.775992
0.997703,5.660569,-6.174201,0.143309,0.402368,5.015336,1.781752
1.097473,5.759003,-6.157983,0.183176,0.396940,5.050656,1.775781
1.197244,5.856724,-6.137880,0.222537,0.392158,5.085614,1.757450
1.297014,5.953579,-6.113970,0.261445,0.387914,5.119976,1.729830
1.396784,6.049439,-6.086328,0.299962,0.384266,5.153574,1.691480
1.496554,6.144168,-6.055033,0.338137,0.381090,5.186216,1.645917
1.596325,6.237639,-6.020159,0.376024,0.378482,5.217784,1.590489
1.696095,6.329727,-5.981781,0.413676,0.376371,5.248108,1.527289
1.795865,6.420308,-5.939973,0.451143,0.374745,5.277063,1.456668
1.895636,6.509265,-5.894807,0.488463,0.373459,5.304532,1.382802
1.995406,6.596475,-5.846359,0.525682,0.372669,5.330477,1.301149
2.095176,6.681827,-5.794701,0.562836,0.372202,5.354775,1.216768
2.194946,6.765197,-5.739912,0.599969,0.372263,5.377398,1.123718
2.294717,6.846478,-5.682063,0.637132,0.372785,5.398207,1.024159
2.394487,6.925551,-5.621232,0.674369,0.373781,5.417102,0.917969
2.494257,7.002302,-5.557493,0.711740,0.375461,5.433983,-0.910389
2.594028,7.076607,-5.490928,0.749308,0.377688,5.417242,-1.029105
2.693798,7.148353,-5.421611,0.787107,0.380101,5.398255,-1.025530
2.793568,7.217421,-5.349620,0.825166,0.383126,5.379268,-0.968337
2.893338,7.283687,-5.275042,0.863610,0.387665,5.361278,-0.898774
2.993109,7.347016,-5.197960,0.902539,0.392510,5.344526,-0.850480
3.092879,7.407276,-5.118463,0.941898,0.396534,5.328626,-0.751387
3.192649,7.464349,-5.036638,0.981687,0.402127,5.314539,-0.534628
3.292420,7.518090,-4.952591,1.022257,0.411340,5.304493,-0.310046
3.392190,7.568339,-4.866406,1.063772,0.420237,5.298658,-0.118354
3.491960,7.614927,-4.778204,1.106051,0.427421,5.296429,-0.108361
3.591731,7.657718,-4.688089,1.148924,0.428105,5.294387,-0.108361
3.691501,7.696624,-4.596237,1.191188,0.419364,5.292345,0.145794
3.791271,7.731665,-4.502812,1.232564,0.407926,5.295093,0.454174
3.891041,7.762870,-4.408060,1.272465,0.392150,5.303643,0.860616
3.990812,7.790349,-4.312142,1.310856,0.377592,5.319808,1.204599
4.090582,7.814192,-4.215276,1.347836,0.363830,5.342352,1.505701
4.190352,7.834505,-4.117594,1.383477,0.350775,5.370398,1.771755
4.290123,7.851385,-4.019271,1.417855,0.338502,5.403213,2.004678
4.389893,7.864938,-3.920421,1.451041,0.326702,5.440104,2.216936
4.489663,7.875260,-3.821194,1.483057,0.315188,5.480611,2.416559
4.589433,7.882457,-3.721681,1.513949,0.304093,5.524427,2.601310
