s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,4.619310,-6.136476,1.250744,-0.473189,4.773665,-1.232720
0.099748,4.525451,-6.102875,1.203162,-0.481521,4.747837,-1.129559
0.199495,4.433230,-6.064772,1.154640,-0.490967,4.724047,-1.120348
0.299243,4.343053,-6.022247,1.105644,-0.492021,4.700331,-1.208038
0.398990,4.255007,-5.975314,1.056438,-0.494394,4.674625,-1.272908
0.498738,4.169434,-5.924130,1.007031,-0.496741,4.647384,-1.349096
0.598485,4.086459,-5.868742,0.957293,-0.500511,4.618337,-1.403264
0.698233,4.006384,-5.809304,0.907139,-0.505487,4.587929,-1.440161
0.797980,3.929386,-5.745888,0.856399,-0.511926,4.556511,-1.451590
0.897728,3.855739,-5.678636,0.804997,-0.519034,4.524622,-1.424898
0.997476,3.785666,-5.607656,0.752803,-0.527698,4.493100,-1.343792
1.097223,3.719425,-5.533085,0.699625,-0.538820,4.463168,-1.221286
1.196971,3.657295,-5.455072,0.645247,-0.551670,4.435789,-1.098630
1.296718,3.599537,-5.373745,0.589605,-0.564144,4.411015,-0.915933
1.396466,3.546460,-5.289318,0.532637,-0.578935,4.390254,-0.541381
1.496213,3.498327,-5.201915,0.473760,-0.601717,4.377936,-0.101001
1.595961,3.455563,-5.111859,0.412482,-0.625348,4.375634,-0.073959
1.695708,3.418429,-5.019227,0.349992,-0.627240,4.373948,-0.073959
1.795456,3.387206,-4.924586,0.287306,-0.625048,4.372261,-0.022735
1.895204,3.361859,-4.828118,0.227420,-0.575352,4.371742,0.929908
1.994951,3.342092,-4.730388,0.172529,-0.527279,4.392908,1.750161
2.094699,3.327502,-4.631744,0.121763,-0.490953,4.432470,2.278391
2.194446,3.317755,-4.532468,0.074545,-0.456138,4.483450,2.753316
2.294194,3.312538,-4.432894,0.030697,-0.423356,4.544292,3.177617
2.393941,3.311528,-4.333137,-0.009929,-0.391187,4.613514,3.591490
2.493689,3.314410,-4.233474,-0.047353,-0.359548,4.690522,4.004531
2.593436,3.320868,-4.133908,-0.081672,-0.328376,4.774922,4.424930
2.693184,3.330577,-4.034675,-0.112867,-0.297418,4.866481,4.864800
2.792932,3.343234,-3.935700,-0.141021,-0.266935,4.965193,5.323903
2.892679,3.358512,-3.837165,-0.166127,-0.236673,5.071019,5.814480
2.992427,3.376124,-3.738951,-0.188248,-0.206711,5.184129,6.322187
3.092174,3.395745,-3.641181,-0.207365,-0.176750,5.304379,6.255070
3.191922,3.417100,-3.543714,-0.223519,-0.147070,5.420728,6.190025
3.291669,3.439871,-3.446621,-0.236711,-0.117527,5.533459,6.126902
3.391417,3.463789,-3.349758,-0.246973,-0.088265,5.642824,6.065570
3.491164,3.488551,-3.253144,-0.254337,-0.059423,5.749044,6.005913
3.590912,3.513892,-3.156650,-0.258832,-0.030763,5.852321,5.947826
3.690660,3.539525,-3.060253,-0.260486,-0.002408,5.952833,5.891214
3.790407,3.565183,-2.963854,-0.259313,0.025903,6.050743,5.835993
3.890155,3.590592,-2.867390,-0.255322,0.054133,6.146198,4.563868
3.989902,3.615477,-2.770799,-0.248513,0.082283,6.219824,-8.062730
4.089650,3.639573,-2.673991,-0.238920,0.110055,6.089149,-7.213510
4.189397,3.662599,-2.576948,-0.226551,0.138172,5.969814,-6.385814
4.289145,3.684291,-2.479567,-0.211318,0.167236,5.862145,-5.585569
