s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,4.664984,-6.155302,-1.871207,0.475995,4.785368,1.011306
0.099765,4.760923,-6.182566,-1.824341,0.463835,4.806405,1.195395
0.199531,4.858057,-6.205370,-1.778629,0.452554,4.831154,1.347141
0.299296,4.956087,-6.223760,-1.734015,0.442132,4.858894,1.470494
0.399062,5.054867,-6.237813,-1.690377,0.432724,4.888993,1.564525
0.498827,5.154131,-6.247586,-1.647638,0.424300,4.920816,1.632215
0.598592,5.253748,-6.253151,-1.605691,0.416637,4.953797,1.680827
0.698358,5.353484,-6.254571,-1.564477,0.409792,4.987533,1.710075
0.798123,5.453219,-6.251911,-1.523900,0.403701,5.021623,1.722510
0.897889,5.552745,-6.245239,-1.483904,0.398272,5.055728,1.721198
0.997654,5.651947,-6.234616,-1.444410,0.393497,5.089580,1.706793
1.097420,5.750638,-6.220110,-1.405371,0.389277,5.122927,1.682205
1.197185,5.848707,-6.201779,-1.366716,0.385681,5.155582,1.645836
1.296950,5.945985,-6.179692,-1.328400,0.382586,5.187333,1.601182
1.396716,6.042360,-6.153906,-1.290358,0.380073,5.218037,1.546152
1.496481,6.137680,-6.124487,-1.252549,0.378008,5.247515,1.484554
1.596247,6.231829,-6.091492,-1.214914,0.376515,5.275664,1.413007
1.696012,6.324668,-6.054987,-1.177407,0.375484,5.302317,1.334756
1.795777,6.416077,-6.015028,-1.139975,0.374970,5.327372,1.248298
1.895543,6.505927,-5.971679,-1.102578,0.374819,5.350698,1.158260
1.995308,6.594093,-5.925000,-1.065168,0.375182,5.372250,1.060275
2.095074,6.680452,-5.875054,-1.027710,0.375815,5.391904,0.961667
2.194839,6.764874,-5.821908,-0.990162,0.377012,5.409669,-0.833714
2.294604,6.847242,-5.765621,-0.952469,0.378683,5.394271,-1.092001
2.394370,6.927420,-5.706267,-0.914586,0.380864,5.374037,-1.111828
2.494135,7.005291,-5.643905,-0.876454,0.383631,5.353357,-1.103520
2.593901,7.080711,-5.578615,-0.838018,0.387029,5.332752,-1.077627
2.693666,7.153560,-5.510456,-0.799217,0.390865,5.312553,-1.036239
2.793431,7.223692,-5.439513,-0.760013,0.395199,5.293058,-0.962597
2.893197,7.290979,-5.365853,-0.720324,0.400547,5.274883,-0.862012
2.992962,7.355260,-5.289574,-0.680062,0.406651,5.258555,-0.756863
3.092728,7.416398,-5.210745,-0.639193,0.412687,5.244176,-0.621287
3.192493,7.474237,-5.129471,-0.597706,0.419490,5.232343,-0.400070
3.292259,7.528628,-5.045840,-0.555399,0.428809,5.224709,-0.188579
3.392024,7.579388,-4.959964,-0.512135,0.437154,5.221107,-0.105301
3.491789,7.626362,-4.871956,-0.468358,0.440546,5.219095,-0.105301
3.591555,7.669416,-4.781985,-0.424279,0.440263,5.217081,-0.088267
3.691320,7.708487,-4.690215,-0.380915,0.429189,5.215393,0.220765
3.791086,7.743603,-4.596834,-0.338666,0.416748,5.219615,0.540639
3.890851,7.774803,-4.502092,-0.297850,0.401780,5.229938,0.904685
3.990616,7.802189,-4.406145,-0.258459,0.387663,5.247167,1.220141
4.090382,7.825839,-4.309239,-0.220507,0.373307,5.270315,1.523562
4.190147,7.845866,-4.211503,-0.183952,0.359660,5.299077,1.792111
4.289913,7.862371,-4.113127,-0.148719,0.346802,5.332710,2.027780
4.389678,7.875466,-4.014220,-0.114741,0.334315,5.370512,2.246045
4.489443,7.885253,-3.914949,-0.082005,0.322053,5.412075,2.453667
4.589209,7.891846,-3.815396,-0.050466,0.310253,5.457118,2.645494
4.688974,7.895355,-3.715704,-0.020087,0.298846,5.505270,2.825397
4.788740,7.895890,-3.615934,0.009175,0.287728,5.556235,2.997982
4.888505,7.893562,-3.516206,0.037329,0.276763,5.609808,3.168638
4.988271,7.888480,-3.416565,0.064407,0.266063,5.665879,3.334680
5.088036,7.880757,-3.317108,0.090423,0.255555,5.724295,3.499417
5.187801,7.870498,-3.217867,0.115405,0.245233,5.784963,3.663724
5.287567,7.857817,-3.118918,0.139358,0.235008,5.847805,3.831267
5.387332,7.842817,-3.020283,0.162303,0.224947,5.912806,4.000409
5.487098,7.825610,-2.922019,0.184246,0.214985,5.979923,4.173998
5.586863,7.806297,-2.824137,0.205204,0.205172,6.049159,4.350827
5.686628,7.784987,-2.726680,0.225188,0.195475,6.120494,4.532600
5.786394,7.761777,-2.629648,0.244212,0.185919,6.193936,4.718937
5.886159,7.736775,-2.533071,0.262289,0.176499,6.269483,4.910521
5.985925,7.710073,-2.436942,0.279432,0.167163,6.347142,5.109897
6.085690,7.681774,-2.341278,0.295646,0.157887,6.426959,5.318677
6.185455,7.651969,-2.246065,0.310938,0.148687,6.508997,5.536797
6.285221,7.620758,-2.151311,0.325315,0.139551,6.593315,5.528641
6.384986,7.588228,-2.056995,0.338785,0.130472,6.676446,5.481348
6.484752,7.554475,-1.963115,0.351351,0.121443,6.757857,5.434982
6.584517,7.519585,-1.869647,0.363018,0.112455,6.837622,5.389504
6.684282,7.483651,-1.776579,0.373790,0.103503,6.915811,5.344876
6.784048,7.446756,-1.683885,0.383671,0.094580,6.992490,5.301065
6.883813,7.408989,-1.591544,0.392663,0.085681,7.067718,5.258038
6.983579,7.370433,-1.499529,0.400768,0.076807,7.141553,5.215766
7.083344,7.331173,-1.407812,0.407989,0.067966,7.214048,5.174220
7.183110,7.291293,-1.316365,0.414329,0.059122,7.285253,5.133374
7.282875,7.250874,-1.225152,0.419786,0.050262,7.355214,5.093203
7.382640,7.209999,-1.134146,0.424358,0.041413,7.423976,5.053683
7.482406,7.168746,-1.043305,0.428049,0.032584,7.491581,5.014793
7.582171,7.127200,-0.952604,0.430859,0.023706,7.558068,4.976511
7.681937,7.085438,-0.861997,0.432776,0.014716,7.623474,4.938819
