# Updated waypoints saved on 2024-12-18 15:28:35
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,4.499921,-6.170722,-1.871207,0.475995,5.534668,1.011306
0.099765,4.601852,-6.197824,-1.824341,0.463835,5.559851,1.195395
0.199531,4.705025,-6.220409,-1.778629,0.452554,5.589397,1.347141
0.299296,4.809116,-6.238526,-1.734015,0.442132,5.622604,1.470494
0.399062,4.913957,-6.252263,-1.690377,0.432724,5.658857,1.564525
0.498827,5.019260,-6.261679,-1.647638,0.424300,5.697534,1.632215
0.598592,5.124875,-6.266853,-1.605691,0.416637,5.738080,1.680827
0.698358,5.230548,-6.267854,-1.564477,0.409792,5.780093,1.710075
0.798123,5.336141,-6.264750,-1.523900,0.403701,5.823170,1.722510
0.897889,5.441430,-6.257615,-1.483904,0.398272,5.866968,1.721198
0.997654,5.546287,-6.246513,-1.444410,0.393497,5.911203,1.706793
1.097420,5.650510,-6.231518,-1.405371,0.389277,5.955598,1.682205
1.197185,5.753976,-6.212691,-1.366716,0.385681,5.999940,1.645836
1.296950,5.856507,-6.190104,-1.328400,0.382586,6.043975,1.601182
1.396716,5.957981,-6.163817,-1.290358,0.380073,6.087511,1.546152
1.496481,6.058239,-6.133900,-1.252549,0.378008,6.130314,1.484554
1.596247,6.157156,-6.100410,-1.214914,0.376515,6.172210,1.413007
1.696012,6.254591,-6.063419,-1.177407,0.375484,6.212954,1.334756
1.795777,6.350420,-6.022982,-1.139975,0.374970,6.252352,1.248298
1.895543,6.444510,-5.979166,-1.102578,0.374819,6.290175,1.158260
1.995308,6.536733,-5.932033,-1.065168,0.375182,6.326264,1.060275
2.095074,6.626968,-5.881646,-1.027710,0.375815,6.360375,0.961667
2.194839,6.715083,-5.828073,-0.990162,0.377012,6.392379,-0.833714
2.294604,6.800963,-5.771375,-0.952469,0.378683,6.390866,-1.092001
2.394370,6.884473,-5.711625,-0.914586,0.380864,6.384007,-1.111828
2.494135,6.965502,-5.648886,-0.876454,0.383631,6.376033,-1.103520
2.593901,7.043904,-5.583234,-0.838018,0.387029,6.367299,-1.077627
2.693666,7.119566,-5.514730,-0.799217,0.390865,6.357963,-1.036239
2.793431,7.192347,-5.443460,-0.760013,0.395199,6.348143,-0.962597
2.893197,7.262122,-5.369490,-0.720324,0.400547,6.338279,-0.862012
2.992962,7.328736,-5.292917,-0.680062,0.406651,6.328716,-0.756863
3.092728,7.392057,-5.213811,-0.639193,0.412687,6.319375,-0.621287
3.192493,7.451934,-5.132275,-0.597706,0.419490,6.310678,-0.400070
3.292259,7.508226,-5.048398,-0.555399,0.428809,6.304103,-0.188579
3.392024,7.560755,-4.962290,-0.512135,0.437154,6.299316,-0.105301
3.491789,7.609371,-4.874065,-0.468358,0.440546,6.293724,-0.105301
3.591555,7.653947,-4.783890,-0.424279,0.440263,6.285584,-0.088267
3.691320,7.694426,-4.691929,-0.380915,0.429189,6.275090,0.220765
3.791086,7.730843,-4.598367,-0.338666,0.416748,6.267711,0.540639
3.890851,7.763244,-4.503457,-0.297850,0.401780,6.263535,0.904685
3.990616,7.791734,-4.407351,-0.258459,0.387663,6.263280,1.220141
4.090382,7.816397,-4.310294,-0.220507,0.373307,6.265893,1.523562
4.190147,7.837353,-4.212415,-0.183952,0.359660,6.271029,1.792111
4.289913,7.854711,-4.113901,-0.148719,0.346802,6.277924,2.027780
4.389678,7.868585,-4.014864,-0.114741,0.334315,6.285882,2.246045
4.489443,7.879082,-3.915466,-0.082005,0.322053,6.294545,2.453667
4.589209,7.886322,-3.815790,-0.050466,0.310253,6.303734,2.645494
4.688974,7.890420,-3.715975,-0.020087,0.298846,6.313264,2.825397
