# Updated waypoints saved on 2024-12-18 17:35:35
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,4.499929,-6.170674,-1.871207,0.475995,5.930239,1.011306
0.099765,4.601850,-6.197780,-1.824341,0.463835,5.938694,1.195395
0.199531,4.705011,-6.220368,-1.778629,0.452554,5.951861,1.347141
0.299296,4.809091,-6.238484,-1.734015,0.442132,5.969282,1.470494
0.399062,4.913919,-6.252220,-1.690377,0.432724,5.990618,1.564525
0.498827,5.019207,-6.261633,-1.647638,0.424300,6.015537,1.632215
0.598592,5.124806,-6.266800,-1.605691,0.416637,6.043796,1.680827
0.698358,5.230460,-6.267794,-1.564477,0.409792,6.075307,1.710075
0.798123,5.336030,-6.264680,-1.523900,0.403701,6.109984,1.722510
0.897889,5.441292,-6.257532,-1.483904,0.398272,6.147788,1.721198
0.997654,5.546117,-6.246413,-1.444410,0.393497,6.188719,1.706793
1.097420,5.650302,-6.231399,-1.405371,0.389277,6.232755,1.682205
1.197185,5.753722,-6.212547,-1.366716,0.385681,6.279898,1.645836
1.296950,5.856200,-6.189931,-1.328400,0.382586,6.330063,1.601182
1.396716,5.957609,-6.163609,-1.290358,0.380073,6.383174,1.546152
1.496481,6.057791,-6.133651,-1.252549,0.378008,6.439053,1.484554
1.596247,6.156617,-6.100111,-1.214914,0.376515,6.497521,1.413007
1.696012,6.253946,-6.063062,-1.177407,0.375484,6.558266,1.334756
1.795777,6.349648,-6.022555,-1.139975,0.374970,6.620965,1.248298
1.895543,6.443591,-5.978659,-1.102578,0.374819,6.685205,1.158260
1.995308,6.535641,-5.931431,-1.065168,0.375182,6.750592,1.060275
2.095074,6.625674,-5.880933,-1.027710,0.375815,6.816600,0.961667
2.194839,6.713554,-5.827230,-0.990162,0.377012,6.882788,-0.833714
2.294604,6.799161,-5.770381,-0.952469,0.378683,6.917409,-1.092001
2.394370,6.882355,-5.710457,-0.914586,0.380864,6.948280,-1.111828
2.494135,6.963019,-5.647516,-0.876454,0.383631,6.979279,-1.103520
2.593901,7.041000,-5.581632,-0.838018,0.387029,7.010411,-1.077627
2.693666,7.116179,-5.512862,-0.799217,0.390865,7.041502,-1.036239
2.793431,7.188407,-5.441287,-0.760013,0.395199,7.072360,-0.962597
2.893197,7.257551,-5.366969,-0.720324,0.400547,7.103141,-0.862012
2.992962,7.323447,-5.290000,-0.680062,0.406651,7.133944,-0.756863
3.092728,7.385952,-5.210444,-0.639193,0.412687,7.164470,-0.621287
3.192493,7.444907,-5.128400,-0.597706,0.419490,7.194958,-0.400070
3.292259,7.500159,-5.043949,-0.555399,0.428809,7.226735,-0.188579
3.392024,7.551518,-4.957196,-0.512135,0.437154,7.259341,-0.105301
3.491789,7.598822,-4.868247,-0.468358,0.440546,7.290080,-0.105301
3.591555,7.641931,-4.777263,-0.424279,0.440263,7.317121,-0.088267
3.691320,7.680776,-4.684401,-0.380915,0.429189,7.340583,0.220765
3.791086,7.715376,-4.589837,-0.338666,0.416748,7.365866,0.540639
3.890851,7.745765,-4.493816,-0.297850,0.401780,7.392990,0.904685
3.990616,7.772034,-4.396485,-0.258459,0.387663,7.422597,1.220141
