s_m,x_m,y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.000000,4.631795,-6.088113,2.799500,-0.514519,4.814492,-0.145300
0.099791,4.538664,-6.052228,2.748086,-0.515941,4.811479,-0.089426
0.199583,4.447548,-6.011615,2.696471,-0.518751,4.809624,-0.089426
0.299374,4.358596,-5.966332,2.645075,-0.511199,4.807768,0.094460
0.399166,4.272126,-5.916603,2.594389,-0.505166,4.809728,-0.291897
0.498957,4.188210,-5.862541,2.544255,-0.499411,4.803668,-0.548223
0.598749,4.107157,-5.804411,2.494668,-0.495040,4.792266,-0.704805
0.698540,4.029012,-5.742299,2.445406,-0.492024,4.777567,-0.844282
0.798332,3.954070,-5.676478,2.396428,-0.490162,4.759899,-0.969946
0.898123,3.882385,-5.607021,2.347549,-0.489296,4.739521,-1.085287
0.997915,3.814224,-5.534199,2.298741,-0.489633,4.716615,-1.186570
1.097706,3.749674,-5.458100,2.249762,-0.491969,4.691443,-1.250507
1.197498,3.688950,-5.378944,2.200549,-0.494786,4.664767,-1.315127
1.297289,3.632202,-5.296879,2.150939,-0.499746,4.636548,-1.309453
1.397081,3.579620,-5.212090,2.100762,-0.507277,4.608279,-1.172881
1.496872,3.531412,-5.124775,2.049549,-0.519390,4.582810,-0.925748
1.596663,3.487778,-5.035052,1.997091,-0.535837,4.562607,-0.338234
1.696455,3.449039,-4.943189,1.942156,-0.565882,4.555203,-0.080154
1.796246,3.415497,-4.849162,1.884457,-0.578763,4.553447,-0.080154
1.896038,3.387446,-4.753474,1.827818,-0.557813,4.551690,0.363198
1.995829,3.364727,-4.656211,1.773084,-0.533348,4.559646,0.831120
2.095621,3.347229,-4.558011,1.721807,-0.495219,4.577799,1.541060
2.195412,3.334595,-4.458969,1.674128,-0.460136,4.611271,2.133542
2.295204,3.326529,-4.359533,1.629911,-0.426467,4.657213,2.666228
2.394995,3.322700,-4.259787,1.588959,-0.394117,4.713997,3.156110
2.494787,3.322796,-4.160014,1.551223,-0.362437,4.780342,3.629358
2.594578,3.326503,-4.060271,1.516585,-0.331607,4.855516,4.090877
2.694370,3.333507,-3.960734,1.485030,-0.300931,4.938876,4.565247
2.794161,3.343498,-3.861434,1.456503,-0.270747,5.030273,5.051292
2.893952,3.356167,-3.762450,1.430989,-0.240625,5.129503,5.567020
2.993744,3.371210,-3.663797,1.408468,-0.210702,5.236686,6.115924
3.093535,3.388325,-3.565477,1.388940,-0.180655,5.351964,6.228480
3.193327,3.407207,-3.467494,1.372407,-0.150730,5.466865,6.164202
3.293118,3.427564,-3.369790,1.358854,-0.120850,5.578251,6.101794
3.392910,3.449093,-3.272358,1.348286,-0.091049,5.686361,6.041129
3.492701,3.471512,-3.175103,1.340674,-0.061480,5.791408,5.982096
3.592493,3.494521,-3.078014,1.336017,-0.031903,5.893583,5.924595
3.692284,3.517846,-2.980969,1.334303,-0.002418,5.993061,5.868535
3.792076,3.541187,-2.883965,1.335537,0.027170,6.089995,5.813835
3.891867,3.564271,-2.786866,1.339730,0.056858,6.184527,-1.971630
3.991659,3.586798,-2.689666,1.346883,0.086355,6.152631,-7.962211
4.091450,3.608493,-2.592247,1.356941,0.115205,6.022105,-7.127362
4.191242,3.629061,-2.494615,1.369874,0.143710,5.902817,-6.392824
4.291033,3.648232,-2.396674,1.385573,0.170908,5.793734,-5.735065
4.390824,3.665725,-2.298449,1.403968,0.197092,5.694096,-5.204170
4.490616,3.681289,-2.199884,1.424800,0.220403,5.602149,-4.749686
4.590407,3.694681,-2.101000,1.447930,0.242080,5.516893,-4.437716
4.690199,3.705684,-2.001823,1.472967,0.259777,5.436030,-4.158144
4.789990,3.714114,-1.902384,1.499775,0.276906,5.359153,-3.950853
4.889782,3.719794,-1.802760,1.528160,0.292035,5.285074,-3.747132
4.989573,3.722569,-1.703008,1.558069,0.307457,5.213841,-3.539830
5.089365,3.722282,-1.603222,1.589542,0.323387,5.145644,-3.337920
5.189156,3.718775,-1.503494,1.622620,0.339456,5.080498,-3.142296
5.288948,3.711892,-1.403944,1.657295,0.355581,5.018397,-2.943348
5.388739,3.701482,-1.304701,1.693603,0.372069,4.959523,-2.740379
5.488531,3.687394,-1.205910,1.731567,0.388882,4.904073,-2.525528
