# Updated waypoints saved on 2024-12-18 17:05:12
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,4.499929,-6.170674,-1.871207,0.475995,5.372689,1.011306
0.099765,4.601850,-6.197780,-1.824341,0.463835,5.377793,1.195395
0.199531,4.705011,-6.220368,-1.778629,0.452554,5.387903,1.347141
0.299296,4.809091,-6.238484,-1.734015,0.442132,5.402531,1.470494
0.399062,4.913919,-6.252220,-1.690377,0.432724,5.421282,1.564525
0.498827,5.019207,-6.261633,-1.647638,0.424300,5.443749,1.632215
0.598592,5.124806,-6.266800,-1.605691,0.416637,5.469592,1.680827
0.698358,5.230460,-6.267794,-1.564477,0.409792,5.498616,1.710075
0.798123,5.336030,-6.264680,-1.523900,0.403701,5.530619,1.722510
0.897889,5.441292,-6.257532,-1.483904,0.398272,5.565446,1.721198
0.997654,5.546117,-6.246413,-1.444410,0.393497,5.602988,1.706793
1.097420,5.650302,-6.231399,-1.405371,0.389277,5.643128,1.682205
1.197185,5.753722,-6.212547,-1.366716,0.385681,5.685796,1.645836
1.296950,5.856200,-6.189931,-1.328400,0.382586,5.730862,1.601182
1.396716,5.957609,-6.163609,-1.290358,0.380073,5.778238,1.546152
1.496481,6.057791,-6.133651,-1.252549,0.378008,5.827769,1.484554
1.596247,6.156617,-6.100111,-1.214914,0.376515,5.879340,1.413007
1.696012,6.253946,-6.063062,-1.177407,0.375484,5.932738,1.334756
1.795777,6.349648,-6.022555,-1.139975,0.374970,5.987777,1.248298
1.895543,6.443591,-5.978659,-1.102578,0.374819,6.044211,1.158260
1.995308,6.535641,-5.931431,-1.065168,0.375182,6.101840,1.060275
2.095074,6.625674,-5.880933,-1.027710,0.375815,6.160349,0.961667
2.194839,6.713554,-5.827230,-0.990162,0.377012,6.219517,-0.833714
2.294604,6.799161,-5.770381,-0.952469,0.378683,6.247817,-1.092001
2.394370,6.882355,-5.710457,-0.914586,0.380864,6.273276,-1.111828
2.494135,6.963019,-5.647516,-0.876454,0.383631,6.299964,-1.103520
2.593901,7.041000,-5.581632,-0.838018,0.387029,6.328049,-1.077627
2.693666,7.116179,-5.512862,-0.799217,0.390865,6.357485,-1.036239
