# bd32474b-7aed-4bc2-8e8c-a3a2e893418a
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0137229; -0.1958851; 1.1896345; -0.0025723; 15.0000000; 0.0000000
0.0999726; -0.0789873; -0.1587171; 1.1893878; -0.0023667; 15.0000000; 0.0000000
0.1999453; -0.1717294; -0.1215107; 1.1891616; -0.0021616; 15.0000000; 0.0000000
0.2999179; -0.2645039; -0.0842682; 1.1889557; -0.0019570; 15.0000000; 0.0000000
0.3998906; -0.3573107; -0.0469916; 1.1887702; -0.0017529; 15.0000000; 0.0000000
0.4998632; -0.4501502; -0.0096829; 1.1886050; -0.0015492; 15.0000000; 0.0000000
0.5998359; -0.5428505; 0.0275865; 1.1884599; -0.0013569; 15.0000000; 0.0000000
0.6998085; -0.6355582; 0.0648735; 1.1883338; -0.0011665; 15.0000000; 0.0000000
0.7997811; -0.7282988; 0.1021863; 1.1882267; -0.0009766; 15.0000000; 0.0000000
0.8997538; -0.8210726; 0.1395229; 1.1881385; -0.0007871; 15.0000000; 0.0000000
0.9997264; -0.9138796; 0.1768815; 1.1880692; -0.0005979; 15.0000000; 0.0000000
1.0996991; -1.0065867; 0.2142062; 1.1880187; -0.0004161; 15.0000000; 0.0000000
1.1996717; -1.0992783; 0.2515292; 1.1879860; -0.0002371; 15.0000000; 0.0000000
1.2996444; -1.1920033; 0.2888682; 1.1879713; -0.0000584; 15.0000000; 0.0000000
1.3996170; -1.2847620; 0.3262214; 1.1879743; 0.0001199; 15.0000000; 0.0000000
1.4995896; -1.3775543; 0.3635869; 1.1879952; 0.0002979; 15.0000000; 0.0000000
1.5995623; -1.4702834; 0.4009236; 1.1880337; 0.0004699; 15.0000000; 0.0000000
1.6995349; -1.5629761; 0.4382407; 1.1880891; 0.0006375; 15.0000000; 0.0000000
1.7995076; -1.6557028; 0.4755646; 1.1881612; 0.0008048; 15.0000000; 0.0000000
