s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,-0.411697,0.175891,-1.849897,0.264805,5.101014,-4.980278
0.099897,-0.315417,0.149704,-1.822494,0.284371,5.002531,-4.786781
0.199794,-0.218219,0.126210,-1.793102,0.303556,4.906011,-4.501868
0.299691,-0.120590,0.105731,-1.761623,0.327487,4.813471,-4.246833
0.399588,-0.022080,0.088410,-1.727685,0.351214,4.724511,-3.954157
0.499485,0.076715,0.074595,-1.691335,0.377552,4.640150,-3.678183
0.599382,0.176226,0.064489,-1.652243,0.404028,4.560276,-3.415445
0.699278,0.275818,0.058421,-1.610606,0.430667,4.484833,-3.154736
0.799175,0.375808,0.056639,-1.566166,0.457855,4.414004,-2.932449
0.899072,0.475570,0.059424,-1.519191,0.483693,4.347131,-2.700426
0.998969,0.575260,0.067038,-1.469478,0.510433,4.284626,-2.524598
1.098866,0.674275,0.079701,-1.417332,0.534593,4.225354,-2.330445
1.198763,0.772604,0.097656,-1.362607,0.559971,4.169893,-2.217582
1.298660,0.869663,0.121047,-1.305656,0.581172,4.116425,-2.078664
1.398557,0.965293,0.150060,-1.246412,0.604080,4.065667,-2.046118
1.498454,1.058930,0.184753,-1.185248,0.621320,4.015077,-1.977691
1.598351,1.150282,0.225211,-1.122169,0.641186,3.965566,-1.971160
1.698248,1.238849,0.271417,-1.057472,0.654636,3.915596,-2.022349
1.798145,1.324180,0.323300,-0.991231,0.672203,3.863656,-2.014272
1.898042,1.405913,0.380838,-0.923347,0.686740,3.811220,-2.079968
1.997939,1.483386,0.443748,-0.853853,0.706397,3.756306,-2.060810
2.097835,1.556388,0.512085,-0.782778,0.715623,3.701094,-2.227634
2.197732,1.624157,0.585288,-0.710732,0.729219,3.640471,-2.178384
2.297629,1.686499,0.663396,-0.635809,0.770114,3.580195,-1.974736
2.397526,1.742581,0.745958,-0.556879,0.810841,3.524664,-1.142422
2.497423,1.791776,0.832876,-0.471800,0.894195,3.492136,-0.047107
2.597320,1.833006,0.923820,-0.377985,0.984769,3.490788,-0.047107
2.697217,1.865355,1.018276,-0.283069,0.916794,3.489439,0.789874
2.797114,1.888929,1.115337,-0.194398,0.860501,3.511979,1.338900
