# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.000000,1.268544,0.376364,0.563342,0.609620,3.758330,-3.152347
0.099979,1.351276,0.432312,0.626722,0.659505,3.673514,-2.881685
0.199957,1.430274,0.493693,0.695205,0.709700,3.594231,-2.186593
0.299936,1.504539,0.560416,0.770046,0.790117,3.532884,-1.403373
0.399914,1.573466,0.632962,0.853312,0.872395,3.492944,-0.830703
0.499893,1.635734,0.711081,0.943338,0.931968,3.469085,-0.046488
0.599871,1.690504,0.794737,1.040120,0.997900,3.467745,-0.046488
0.699850,1.736842,0.883256,1.135505,0.911931,3.466404,0.995824
0.799828,1.774943,0.975681,1.222804,0.836041,3.495008,1.740474
0.899807,1.805157,1.070830,1.302587,0.761012,3.544447,2.390763
0.999785,1.828108,1.168228,1.374879,0.686105,3.611253,3.001987
1.099764,1.844201,1.266680,1.442356,0.667079,3.693429,2.847353
1.199742,1.853732,1.366398,1.508395,0.651241,3.769717,2.690422
1.299721,1.856768,1.466184,1.571881,0.621475,3.840408,2.777016
1.399699,1.853587,1.566236,1.632882,0.598244,3.912035,2.785306
1.499678,1.844451,1.665785,1.691298,0.571012,3.982582,2.881880
1.599656,1.829646,1.764648,1.747216,0.548380,4.054283,2.922615
1.699635,1.809458,1.862626,1.800082,0.507785,4.125726,3.290874
1.799613,1.784355,1.959329,1.848802,0.467690,4.204717,3.663065
1.899592,1.754739,2.054879,1.893037,0.415672,4.290932,4.275435
1.999570,1.721220,2.149001,1.931923,0.362762,4.389420,4.936184
2.099549,1.684278,2.241956,1.965182,0.301260,4.500448,5.819973
2.199527,1.644595,2.333662,1.992152,0.238503,4.627934,6.631167
2.299506,1.602694,2.424495,2.012777,0.173559,4.769038,6.553007
2.399484,1.559269,2.514492,2.026847,0.107971,4.904492,6.477831
2.499463,1.514807,2.604118,2.034897,0.054560,5.034812,6.405371
2.599441,1.469917,2.693381,2.037760,0.002656,5.160439,6.335396
2.699420,1.424914,2.782762,2.036173,-0.031904,5.281755,6.267706
2.799398,1.380275,2.872128,2.031390,-0.063952,5.399093,-6.048780
2.899377,1.336112,2.961958,2.023616,-0.090615,5.285897,-9.047721
2.999355,1.292867,3.051973,2.013262,-0.116843,5.111903,-8.506448
3.099334,1.250579,3.142708,2.000088,-0.146865,4.942735,-8.027939
3.199312,1.209735,3.233816,1.983881,-0.177885,4.777592,-7.464038
3.299291,1.170436,3.325851,1.964187,-0.216493,4.618755,-6.973037
3.399269,1.133217,3.418517,1.940595,-0.255988,4.465265,-6.364307
3.499248,1.098343,3.512249,1.912537,-0.305789,4.320417,-5.844382
