s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,-0.456986,0.202743,-1.775744,0.337192,3.787778,-2.464482,1.740043,1.573076
0.099774,-0.359300,0.182438,-1.742101,0.361160,3.722167,-2.288664,1.719699,1.534164
0.199908,-0.260632,0.165368,-1.705937,0.387192,3.660184,-2.127208,1.685108,1.493490
0.299715,-0.161735,0.151921,-1.667293,0.411356,3.601618,-1.968002,1.655096,1.448606
0.399823,-0.062092,0.142276,-1.626112,0.436364,3.546573,-1.834633,1.634379,1.400660
0.499669,0.037601,0.136756,-1.582543,0.459463,3.494478,-1.682775,1.623718,1.349732
0.599742,0.137667,0.135580,-1.536564,0.482971,3.446003,-1.561866,1.622544,1.291910
0.699615,0.237481,0.138998,-1.488328,0.504917,3.400392,-1.432032,1.625968,1.231147
0.799657,0.337183,0.147239,-1.437815,0.527172,3.358028,-1.328708,1.634216,1.171435
0.899549,0.436194,0.160484,-1.385154,0.547718,3.318238,-1.212897,1.647482,1.107007
0.999569,0.534495,0.178945,-1.330372,0.568573,3.281494,-1.127984,1.665979,1.038537
1.099475,0.631527,0.202735,-1.273568,0.587480,3.246950,-1.038060,1.689835,0.969955
1.199477,0.727145,0.232022,-1.214819,0.604655,3.214831,-1.002350,1.719226,0.902690
1.299399,0.820802,0.266846,-1.154401,0.620154,3.183510,-0.949789,1.754156,0.837284
1.399382,0.912242,0.307286,-1.092395,0.632061,3.153544,-0.946227,1.794372,0.774221
1.499329,1.000968,0.353297,-1.029223,0.644697,3.123405,-0.973769,1.844461,0.714323
1.599283,1.086619,0.404822,-0.964783,0.658407,3.092082,-0.973483,1.903621,0.658580
1.699273,1.168802,0.461776,-0.898949,0.673702,3.060448,-0.957507,1.970927,0.608263
1.799177,1.246995,0.523959,-0.831643,0.680635,3.029010,-0.944668,2.045319,0.564985
1.899201,1.320916,0.591342,-0.763563,0.694116,2.997671,-1.026333,2.123701,0.515166
1.999057,1.389967,0.663475,-0.694252,0.714989,2.963247,-1.054802,2.205592,0.474443
2.099037,1.453935,0.740313,-0.622767,0.748102,2.927446,-0.987172,2.287087,0.445620
2.198918,1.512194,0.821443,-0.548046,0.812847,2.893540,-0.481860,2.272032,0.431096
2.298827,1.564249,0.906720,-0.466835,0.852492,2.876845,-0.031970,2.246442,0.432032
2.398758,1.609224,0.995958,-0.381645,0.794778,2.875733,-0.031970,2.216856,0.439291
2.498569,1.646398,1.088588,-0.302317,0.718242,2.874622,0.588410,2.196080,0.448158
2.598606,1.676183,1.184088,-0.230467,0.645412,2.895012,1.100974,2.187542,0.456671
2.698361,1.698970,1.281205,-0.166084,0.574505,2.932783,1.575854,2.190730,0.477825
2.798468,1.715520,1.379935,-0.108572,0.530133,2.986014,1.998971,2.198998,0.512114
2.898170,1.726323,1.479051,-0.055716,0.488653,3.052203,2.149160,2.199087,0.557334
2.998361,1.731903,1.579086,-0.006758,0.456948,3.121799,2.297309,2.115336,0.611676
3.098103,1.732577,1.678826,0.038819,0.426357,3.194517,2.396793,2.036381,0.672665
3.198241,1.728690,1.778888,0.081514,0.404155,3.268660,2.485588,1.959216,0.739208
3.298158,1.720555,1.878474,0.121896,0.385334,3.343813,2.534419,1.880550,0.803518
3.398122,1.708400,1.977696,0.160415,0.365208,3.418743,2.551074,1.806669,0.868665
3.498232,1.692409,2.076521,0.196976,0.347068,3.492542,2.606950,1.733212,0.937416
3.598040,1.672876,2.174398,0.231616,0.321371,3.566380,2.633747,1.662654,1.008395
3.698198,1.649885,2.271881,0.263804,0.294281,3.639456,2.775841,1.597647,1.075924
3.797942,1.623876,2.368175,0.293157,0.258068,3.714919,2.956752,1.539291,1.140194
3.898052,1.594947,2.464014,0.318992,0.218631,3.793649,3.309720,1.485888,1.206769
3.997800,1.563665,2.558730,0.340800,0.172114,3.879884,3.759011,1.421501,1.264031
4.097855,1.530222,2.653030,0.358021,0.122521,3.975556,4.361883,1.361611,1.324762
4.197630,1.495259,2.746479,0.370246,0.069700,4.083765,5.036743,1.307781,1.381512
4.297648,1.459068,2.839719,0.377217,0.015218,4.205252,-2.808312,1.254205,1.438249
4.397445,1.422310,2.932500,0.378736,-0.040788,4.137955,-6.555420,1.194776,1.495284
4.497425,1.385342,3.025395,0.374658,-0.098144,3.976434,-5.714151,1.141037,1.550032
4.597248,1.348812,3.118293,0.364861,-0.156057,3.830088,-4.993512,1.082750,1.608792
4.697184,1.313152,3.211651,0.349265,-0.214815,3.697459,-4.400467,1.026244,1.663566
4.797037,1.278982,3.305475,0.327815,-0.273474,3.576508,-3.865628,0.975385,1.720680
4.896922,1.246822,3.400041,0.300499,-0.332185,3.466776,-3.371877,0.928236,1.772711
4.996809,1.217255,3.495452,0.267318,-0.392089,3.368143,-2.905036,0.862724,1.830942
5.096639,1.190886,3.591737,0.228175,-0.451348,3.280789,-2.489603,0.801607,1.895162
5.196555,1.168285,3.689063,0.183079,-0.510543,3.204032,-2.120502,0.745440,1.965228
5.296338,1.150118,3.787178,0.132135,-0.567603,3.137174,-1.755745,0.688751,2.040452
5.396252,1.136955,3.886221,0.075424,-0.625973,3.080719,-1.401601,0.632190,2.115429
5.496015,1.129437,3.985700,0.012975,-0.680600,3.034898,-1.016822,0.582219,2.195726
5.595902,1.128141,4.085579,-0.055008,-0.729366,3.001218,-0.723378,0.540158,2.281036
5.695651,1.133626,4.185177,-0.127762,-0.769014,2.977025,-0.388616,0.498751,2.291291
5.795493,1.146347,4.284206,-0.204542,-0.787663,2.963947,-0.339584,0.459803,2.275635
5.895181,1.166595,4.381815,-0.283062,-0.801066,2.952472,-0.259215,0.432966,2.271945
5.995036,1.194485,4.477697,-0.363053,-0.821593,2.943682,-0.118712,0.420476,2.280465
6.094715,1.229884,4.570879,-0.444949,-0.825601,2.939648,-0.033381,0.423586,2.301122
6.194552,1.272854,4.660994,-0.527373,-0.778707,2.938512,-0.033381,0.421295,2.333710
