s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,-0.505095,0.082224,1.305700,-0.290327,5.141123,4.224144
0.099924,-0.601220,0.109794,1.277563,-0.272392,5.222579,4.464978
0.199848,-0.696413,0.139924,1.251258,-0.254508,5.307320,4.722212
0.299772,-0.790948,0.172513,1.226674,-0.237191,5.395495,4.982509
0.399695,-0.884551,0.207284,1.203854,-0.219884,5.486994,5.263553
0.499619,-0.977494,0.244155,1.182676,-0.203762,5.582026,5.530508
0.599543,-1.069546,0.282860,1.163133,-0.187651,5.680165,5.820833
0.699467,-1.160967,0.323335,1.145120,-0.172778,5.781657,5.987579
0.799391,-1.251573,0.365335,1.128605,-0.157926,5.884230,5.929862
0.899315,-1.341597,0.408805,1.113518,-0.143994,5.984081,5.873598
0.999238,-1.430902,0.453523,1.099831,-0.130072,6.081369,5.818705
1.099162,-1.519693,0.499438,1.087500,-0.116718,6.176237,5.765106
1.199086,-1.607876,0.546350,1.076508,-0.103354,6.268816,5.712734
1.299010,-1.695628,0.594201,1.066843,-0.090039,6.359224,5.661526
1.398934,-1.782896,0.642812,1.058517,-0.076655,6.447571,5.611424
1.498858,-1.869833,0.692114,1.051558,-0.062470,6.533958,5.562376
1.598782,-1.956424,0.741937,1.046035,-0.048096,6.618476,5.514332
1.698705,-2.042806,0.792193,1.041977,-0.033024,6.701213,5.467248
1.798629,-2.128996,0.842718,1.039437,-0.017797,6.782247,5.421081
1.898553,-2.215119,0.893410,1.038414,-0.002700,6.861652,5.375794
1.998477,-2.301209,0.944114,1.038898,0.012394,6.939496,5.331349
2.098401,-2.387378,0.994721,1.040872,0.027047,7.015844,5.287713
2.198325,-2.473670,1.045088,1.044303,0.041634,7.090755,5.244854
2.298248,-2.560182,1.095102,1.049169,0.055665,7.164284,5.202743
2.398172,-2.646961,1.144629,1.055427,0.069608,7.236486,-6.672061
2.498096,-2.734090,1.193557,1.063051,0.082887,7.143762,-7.431702
2.598020,-2.821615,1.241757,1.071991,0.096065,7.039043,-6.950843
2.697944,-2.909604,1.289119,1.082226,0.108709,6.939670,-6.497668
2.797868,-2.998098,1.335520,1.093717,0.121285,6.845471,-6.082777
2.897792,-3.087152,1.380847,1.106449,0.133502,6.756097,-5.687599
2.997715,-3.176797,1.424980,1.120397,0.145691,6.671446,-5.322027
3.097639,-3.267080,1.467806,1.135551,0.157578,6.591251,-4.970466
3.197563,-3.358021,1.509204,1.151890,0.169457,6.515463,-4.632368
3.297487,-3.449653,1.549056,1.169414,0.181290,6.444027,-4.302597
3.397411,-3.541990,1.587242,1.188121,0.193151,6.376960,-3.934423
3.497335,-3.635044,1.623635,1.208062,0.206115,6.315009,-3.564127
3.597258,-3.728835,1.658107,1.229315,0.219248,6.258359,-2.974855
3.697182,-3.823348,1.690506,1.252118,0.237844,6.210679,-2.347782
3.797106,-3.918621,1.720654,1.276852,0.257183,6.172790,-1.347709
3.897030,-4.014628,1.748330,1.303908,0.285419,6.150935,-0.238427
3.996954,-4.111395,1.773258,1.333913,0.315131,6.147061,-0.145963
4.096878,-4.208888,1.795162,1.365681,0.317820,6.144687,-0.145963
4.196802,-4.307023,1.813958,1.397429,0.317717,6.142313,-0.132686
4.296725,-4.405715,1.829646,1.428700,0.307000,6.140154,0.279889
4.396649,-4.504822,1.842296,1.458788,0.295345,6.144708,0.702579
4.496573,-4.604284,1.852020,1.487694,0.283061,6.156122,1.126077
4.596497,-4.703951,1.858924,1.515366,0.270928,6.174373,1.524055
4.696421,-4.803804,1.863130,1.541835,0.258734,6.198989,1.908971
4.796345,-4.903692,1.864752,1.567079,0.246676,6.229684,2.276731
4.896268,-5.003633,1.863912,1.591124,0.234452,6.266096,2.642714
4.996192,-5.103481,1.860732,1.613938,0.222300,6.308098,3.000379
5.096116,-5.203281,1.855333,1.635540,0.209962,6.355448,3.363117
5.196040,-5.302898,1.847845,1.655900,0.197655,6.408107,3.724782
5.295964,-5.402396,1.838387,1.675032,0.185169,6.465928,4.096777
5.395888,-5.501653,1.827095,1.692907,0.172685,6.528932,4.474163
5.495812,-5.600750,1.814086,1.709535,0.160046,6.597053,4.866371
5.595735,-5.699577,1.799501,1.724891,0.147389,6.670355,5.270118
5.695659,-5.798227,1.783455,1.738984,0.134597,6.748841,5.440119
5.795583,-5.896605,1.766091,1.751790,0.121773,6.828913,5.394472
5.895507,-5.994810,1.747524,1.763316,0.108865,6.907397,5.349681
5.995431,-6.092764,1.727898,1.773545,0.095918,6.984358,5.305714
6.095355,-6.190566,1.707325,1.782479,0.082847,7.059857,5.262537
6.195278,-6.288158,1.685952,1.790101,0.069744,7.133953,5.220119
6.295202,-6.385628,1.663892,1.796413,0.056568,7.206700,5.178433
