s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right_iqp,d_left_iqp
0.000000,-20.143933,-1.611051,-2.610730,0.946040,2.716760,0.216814,1.443602,0.525312
0.099895,-20.089570,-1.694594,-2.519832,0.878091,2.724721,0.681719,1.351525,0.540866
0.199790,-20.027863,-1.773346,-2.435081,0.817080,2.749601,1.020012,1.264360,0.552885
0.299685,-19.960148,-1.846569,-2.356338,0.762844,2.786412,1.257976,1.184229,0.569318
0.399580,-19.886848,-1.914607,-2.282397,0.716964,2.831152,1.413651,1.109968,0.587702
0.499475,-19.809028,-1.977096,-2.213047,0.673001,2.880600,1.553444,1.041671,0.607101
0.599370,-19.727064,-2.034297,-2.147810,0.632938,2.933977,1.665131,0.984233,0.635475
0.699265,-19.641745,-2.086143,-2.086493,0.595634,2.990133,1.762494,0.931952,0.671868
0.799160,-19.553414,-2.132863,-2.028707,0.561369,3.048446,1.856985,0.876940,0.715312
0.899055,-19.462658,-2.174534,-1.974319,0.527975,3.108703,1.959342,0.812864,0.756788
0.998950,-19.369797,-2.211375,-1.923160,0.496452,3.171039,2.057105,0.761145,0.800233
1.098845,-19.275240,-2.243560,-1.875105,0.465830,3.235194,2.160649,0.724326,0.849081
1.198740,-19.179284,-2.271312,-1.830050,0.436460,3.301235,2.282725,0.696530,0.897122
1.298635,-19.082200,-2.294858,-1.787889,0.407634,3.369602,2.419025,0.672966,0.939761
1.398530,-18.984257,-2.314427,-1.748582,0.379567,3.440569,2.562600,0.653390,0.975697
1.498425,-18.885615,-2.330274,-1.712047,0.351807,3.514185,2.715280,0.614354,1.016849
1.598320,-18.786510,-2.342640,-1.678279,0.324471,3.590541,2.861948,0.580769,1.049939
1.698215,-18.687018,-2.351792,-1.647226,0.297116,3.669301,3.029300,0.566346,1.084682
1.798110,-18.587339,-2.357985,-1.618910,0.269956,3.750866,3.216016,0.560146,1.118093
1.898005,-18.487486,-2.361489,-1.593286,0.242964,3.835560,3.465227,0.556640,1.147756
1.997900,-18.387621,-2.362568,-1.570366,0.216038,3.924773,3.738680,0.549133,1.175914
2.097795,-18.287712,-2.361491,-1.550113,0.189345,4.018805,4.028612,0.528285,1.201676
2.197690,-18.187883,-2.358526,-1.532536,0.162647,4.117726,4.316081,0.512929,1.224001
2.297585,-18.088076,-2.353937,-1.517615,0.136021,4.221135,4.636760,0.515343,1.239500
2.397480,-17.988377,-2.347995,-1.505361,0.109347,4.329475,4.946831,0.521247,1.250720
2.497375,-17.888713,-2.340961,-1.495765,0.082750,4.442149,5.278237,0.528238,1.264522
2.597270,-17.789145,-2.333107,-1.488830,0.056107,4.559301,5.711952,0.504933,1.285153
2.697165,-17.689593,-2.324686,-1.484341,0.034018,4.682779,6.155074,0.494909,1.299385
2.797060,-17.590096,-2.315928,-1.482034,0.012168,4.812290,6.529018,0.503677,1.319836
2.896955,-17.490595,-2.307025,-1.481153,0.006405,4.945965,6.454786,0.512589,1.335755
2.996850,-17.391108,-2.298058,-1.480752,0.001625,5.074660,6.383189,0.521566,1.356705
3.096745,-17.291618,-2.289070,-1.480659,0.000420,5.198795,6.314007,0.528201,1.371922
3.196640,-17.192129,-2.280077,-1.480667,-0.000573,5.318735,6.247050,0.503172,1.390305
3.296535,-17.092639,-2.271091,-1.480772,-0.001528,5.434799,6.182151,0.497314,1.398977
3.396430,-16.993148,-2.262119,-1.480972,-0.002481,5.547267,6.119163,0.506299,1.409986
3.496325,-16.893654,-2.253171,-1.481247,-0.002997,5.656388,6.057957,0.515260,1.419443
3.596220,-16.794158,-2.244253,-1.481571,-0.003490,5.762382,5.998416,0.524191,1.435834
3.696115,-16.694658,-2.235370,-1.481938,-0.003844,5.865447,5.940437,0.521862,1.455251
3.796010,-16.595156,-2.226525,-1.482339,-0.004191,5.965761,5.883927,0.502576,1.472462
3.895905,-16.495649,-2.217721,-1.482775,-0.004542,6.063485,5.828801,0.500136,1.491310
3.995800,-16.396140,-2.208963,-1.483247,-0.004894,6.158765,5.774983,0.508899,1.509317
4.095695,-16.296624,-2.200253,-1.483753,-0.005248,6.251734,5.722403,0.517615,1.527641
4.195590,-16.197106,-2.191596,-1.484295,-0.005602,6.342512,5.670997,0.517746,1.546421
4.295485,-16.097582,-2.182993,-1.484840,-0.005288,6.431210,5.620707,0.498627,1.554161
4.395380,-15.998054,-2.174443,-1.485351,-0.004941,6.517931,5.571480,0.499102,1.567709
4.495275,-15.898522,-2.165938,-1.485723,-0.002396,6.602768,5.523265,0.502010,1.578623
