s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.000000,-20.206593,-1.677999,-0.968570,0.965915,3.407435,0.740253
0.099960,-20.146277,-1.757461,-0.875594,0.898603,3.429082,1.388225
0.199919,-20.078851,-1.831428,-0.788634,0.840182,3.469313,1.840930
0.299879,-20.005652,-1.899305,-0.707723,0.781545,3.521956,2.257634
0.399838,-19.927204,-1.961392,-0.632133,0.730651,3.585459,2.557411
0.499798,-19.844567,-2.017496,-0.561519,0.683539,3.656062,2.811599
0.599757,-19.758189,-2.067883,-0.495347,0.640441,3.732142,3.025532
0.699717,-19.668844,-2.112599,-0.433413,0.599533,3.812315,3.230356
0.799677,-19.576916,-2.151909,-0.375392,0.561485,3.896095,3.418221
0.899636,-19.482971,-2.185984,-0.321124,0.524691,3.982829,3.615545
0.999596,-19.387340,-2.215094,-0.270437,0.489655,4.072559,3.814588
1.099555,-19.290414,-2.239486,-0.223201,0.455611,4.165135,4.028832
1.199515,-19.192471,-2.259440,-0.179314,0.422688,4.260726,4.256430
1.299474,-19.093770,-2.275239,-0.138675,0.390457,4.359442,4.506003
1.399434,-18.994536,-2.287174,-0.101232,0.358883,4.461566,4.779271
1.499394,-18.894923,-2.295542,-0.066913,0.327728,4.567388,5.082615
1.599353,-18.795107,-2.300642,-0.035700,0.296921,4.677301,5.419636
1.699313,-18.695161,-2.302778,-0.007555,0.266151,4.791726,5.800237
1.799272,-18.595218,-2.302255,0.017514,0.235538,4.911234,6.225526
1.899232,-18.495289,-2.299378,0.039540,0.205085,5.036350,6.404515
1.999191,-18.395465,-2.294455,0.058517,0.174685,5.161899,6.334582
2.099151,-18.295717,-2.287786,0.074511,0.145274,5.283144,6.266931
2.199111,-18.196100,-2.279671,0.087560,0.115888,5.400415,6.201388
2.299070,-18.096561,-2.270396,0.097831,0.089595,5.514006,6.137801
2.399030,-17.997131,-2.260232,0.105471,0.063285,5.624173,6.076036
2.498989,-17.897745,-2.249435,0.110520,0.037721,5.731147,6.015971
2.598949,-17.798422,-2.238266,0.113012,0.012234,5.835131,5.957500
2.698908,-17.699095,-2.226965,0.113242,-0.007622,5.936309,5.900526
2.798868,-17.599777,-2.215741,0.111488,-0.027101,6.034849,5.844963
2.898828,-17.500419,-2.204757,0.108694,-0.028797,6.130899,5.790731
2.998787,-17.401037,-2.194060,0.105731,-0.030395,6.224596,5.737758
3.098747,-17.301620,-2.183658,0.102788,-0.028485,6.316065,5.685980
3.198706,-17.202174,-2.173540,0.100037,-0.026577,6.405421,5.635335
3.298666,-17.102702,-2.163686,0.097473,-0.024720,6.492768,5.585770
3.398625,-17.003205,-2.154078,0.095095,-0.022863,6.578201,5.537233
3.498585,-16.903686,-2.144698,0.092901,-0.021031,6.661811,5.489677
3.598545,-16.804148,-2.135526,0.090890,-0.019198,6.743680,5.443060
3.698504,-16.704593,-2.126546,0.089063,-0.017352,6.823884,5.397340
3.798464,-16.605022,-2.117738,0.087421,-0.015507,6.902494,5.352481
3.898423,-16.505438,-2.109085,0.085963,-0.013667,6.979577,5.308446
3.998383,-16.405842,-2.100568,0.084689,-0.011827,7.055193,5.265205
4.098343,-16.306236,-2.092168,0.083599,-0.009986,7.129401,5.222726
4.198302,-16.206622,-2.083868,0.082692,-0.008144,7.202256,5.180981
4.298262,-16.107001,-2.075649,0.081970,-0.006303,7.273807,5.139942
4.398221,-16.007374,-2.067493,0.081432,-0.004461,7.344102,5.099585
4.498181,-15.907745,-2.059381,0.081079,-0.002620,7.413187,5.059886
4.598140,-15.808112,-2.051295,0.080909,-0.000779,7.481104,5.020822
4.698100,-15.708481,-2.043217,0.080923,0.001063,7.547892,4.982373
4.798060,-15.608848,-2.035129,0.081121,0.002904,7.613589,4.944518
4.898019,-15.509220,-2.027011,0.081503,0.004744,7.678232,4.907238
4.997979,-15.409593,-2.018847,0.082069,0.006584,7.741854,4.870515
5.097938,-15.309974,-2.010616,0.082820,0.008430,7.804486,4.834332
5.197898,-15.210360,-2.002302,0.083755,0.010276,7.866160,4.798674
5.297857,-15.110756,-1.993886,0.084873,0.012105,7.926905,4.763524
5.397817,-15.011161,-1.985349,0.086175,0.014083,7.986748,-8.781478
5.497777,-14.911581,-1.976669,0.087781,0.018041,7.876075,-10.886686
5.597736,-14.812013,-1.967809,0.089784,0.022466,7.736673,-10.325844
5.697696,-14.712473,-1.958718,0.092547,0.032835,7.602090,-9.799097
5.797655,-14.612953,-1.949299,0.096348,0.043285,7.472131,-9.247009
5.897615,-14.513486,-1.939449,0.101253,0.054862,7.347387,-8.733055
5.997574,-14.414063,-1.929053,0.107316,0.066405,7.227599,-8.271603
6.097534,-14.314720,-1.917998,0.114512,0.077572,7.112280,-7.846543
6.197494,-14.215458,-1.906173,0.122824,0.088603,7.001133,-7.528491
6.297453,-14.116309,-1.893472,0.132149,0.097982,6.892806,-7.232752
6.397413,-14.017289,-1.879800,0.142413,0.107356,6.787106,-6.975189
6.497372,-13.918414,-1.865066,0.153594,0.116352,6.683587,-6.733972
6.597332,-13.819731,-1.849185,0.165677,0.125416,6.582103,-6.505930
6.697291,-13.721234,-1.832064,0.178673,0.134604,6.482547,-6.292023
6.797251,-13.623004,-1.813625,0.192590,0.143886,6.384788,-6.088558
6.897211,-13.525015,-1.793768,0.207447,0.153340,6.288744,-5.897483
6.997170,-13.427383,-1.772420,0.223249,0.162913,6.194295,-5.714969
7.097130,-13.330066,-1.749474,0.240026,0.172697,6.101373,-5.543460
7.197089,-13.233211,-1.724865,0.257779,0.182626,6.009868,-5.378652
7.297049,-13.136765,-1.698476,0.276548,0.192814,5.919731,-5.223713
7.397008,-13.040907,-1.670251,0.296331,0.203175,5.830857,-5.073628
7.496968,-12.945579,-1.640065,0.317180,0.213854,5.743220,-4.932640
7.596928,-12.850984,-1.607870,0.339091,0.224732,5.656717,-4.795766
7.696887,-12.757069,-1.573534,0.362123,0.235963,5.571327,-4.666806
7.796847,-12.664058,-1.537019,0.386271,0.247439,5.486957,-4.538788
7.896806,-12.571913,-1.498186,0.411610,0.259393,5.403639,-4.418086
7.996766,-12.480870,-1.457007,0.438137,0.271626,5.321283,-4.297229
8.096725,-12.390918,-1.413341,0.465934,0.284406,5.239938,-4.186148
8.196685,-12.302303,-1.367166,0.495004,0.297398,5.159463,-4.088467
8.296645,-12.215043,-1.318346,0.525392,0.310482,5.079636,-4.000520
8.396604,-12.129394,-1.266874,0.557086,0.323808,5.000292,-3.929392
8.496564,-12.045406,-1.212626,0.590125,0.337123,4.921113,-3.860722
8.596523,-11.963341,-1.155611,0.624499,0.351023,4.842058,-3.786778
8.696483,-11.883289,-1.095722,0.660334,0.365866,4.763242,-3.713988
8.796442,-11.805514,-1.032974,0.697658,0.381430,4.684653,-3.623024
8.896402,-11.730160,-0.967282,0.736644,0.398603,4.606698,-3.542494
8.996362,-11.657505,-0.898661,0.777362,0.416157,4.529178,-3.474143
9.096321,-11.587750,-0.827060,0.819853,0.434054,4.451843,-3.392826
9.196281,-11.521188,-0.752523,0.864171,0.453547,4.374999,-3.290270
9.296240,-11.458062,-0.675033,0.910582,0.475100,4.299166,-3.184641
9.396200,-11.398687,-0.594634,0.959172,0.497830,4.224471,-3.035396
9.496159,-11.343382,-0.511374,1.010221,0.523875,4.152026,-2.891249
9.596119,-11.292517,-0.425339,1.063943,0.550567,4.081826,-2.769011
9.696079,-11.246463,-0.336641,1.120286,0.576944,4.013443,-2.613969
9.796038,-11.205601,-0.245439,1.179347,0.606108,3.947803,-2.391573
9.895998,-11.170336,-0.151921,1.241601,0.639890,3.886776,-2.152428
